dR2_M,dR2_OxM,target,dim
0.00014478251493865724,4.505653474706772e-05,pts,d3par
0.00029058614468235877,0.00023282666266644103,pts,d3par
1.0949294845352675e-05,3.9011522443233027e-05,pts,d3par
3.978692419748242e-06,3.715381732360967e-05,pts,d3par
0.00033205205631337,6.089755698601707e-07,pts,d3par
6.109549687638438e-05,2.6168998248587982e-05,pts,d3par
1.754768846129462e-05,1.3192541787887535e-06,pts,d3par
7.789595388052462e-06,2.4818110808233484e-05,pts,d3par
2.743937828308951e-05,1.1116416157030962e-05,pts,d3par
4.761953674392583e-05,6.567140363478163e-05,pts,d3par
4.592867177022342e-05,3.5146367828309266e-06,pts,d3par
2.0262832308937107e-05,4.052489580574914e-07,pts,d3par
0.00022353336257907586,1.8313539764669429e-06,pts,d3par
2.257927467330667e-06,2.0932654494210112e-06,pts,d3par
6.352359489336656e-05,3.7080221076957187e-06,pts,d3par
1.751203023148129e-06,7.331855356174088e-07,pts,d3par
7.230266452218359e-07,9.25881505462467e-05,pts,d3par
3.557370733109355e-05,6.635383458242217e-07,pts,d3par
1.0261574213243918e-05,4.1067406852945965e-07,pts,d3par
0.0005196047516519142,2.0886528723229603e-06,pts,d3par
4.433277474602537e-05,1.7328034048746943e-06,pts,d3par
5.01992179713362e-07,0.0003337332349290234,pts,d3par
5.8190765346743945e-05,1.2944073389031807e-05,pts,d3par
0.0001147728714755436,1.5741161556226402e-05,pts,d3par
2.935149468696885e-06,2.1810272594624536e-06,pts,d3par
0.0002168568021809758,2.2244757310718732e-05,pts,d3par
5.47021874632847e-05,0.00017366407689933805,pts,d3par
5.998449806754458e-06,5.9945377481773754e-05,pts,d3par
0.00032511915892941,1.5187929058635419e-05,pts,d3par
3.8565656728106745e-06,2.538860717271607e-05,pts,d3par
2.489542878847395e-06,9.992172078987505e-05,pts,d3par
9.27000539219236e-07,0.0001373490304519276,pts,d3par
2.9115592544370905e-05,5.001246702818207e-05,pts,d3par
1.8200915713362242e-05,0.000512432650336514,pts,d3par
7.297363117109157e-07,2.9543391221409365e-05,pts,d3par
5.711719418666217e-05,0.00021144276972084874,pts,d3par
8.227190610332613e-06,8.38564369232131e-06,pts,d3par
3.3101174002125866e-05,5.503632214742815e-06,pts,d3par
2.121976378832713e-05,9.573527569517459e-05,pts,d3par
0.00014676866755980456,0.00013136753937892376,pts,d3par
5.2703013638577545e-05,0.00014281147210515321,pts,d3par
4.5749707907716264e-05,6.97615726046319e-05,pts,d3par
2.1143785524535552e-05,1.1615589075253396e-05,pts,d3par
8.574000679872906e-05,4.971016785004778e-05,pts,d3par
3.5706337359386886e-05,9.106393689861658e-05,pts,d3par
2.5547596846919873e-06,0.00010799155342511302,pts,d3par
3.8046620122300645e-05,0.0002717091293727991,pts,d3par
0.00043007583267107297,2.1611996117942844e-05,pts,d3par
6.711503354184245e-07,6.168853758503623e-05,pts,d3par
7.329002416289754e-06,9.278469149887059e-06,pts,d3par
3.7586174883585954e-06,0.00030437190042176265,pts,d3par
1.4521178776427668e-05,3.8532344629804705e-05,pts,d3par
2.9013961738710847e-05,8.159288800158038e-10,pts,d3par
4.9917091265005986e-05,1.4211812972120264e-05,pts,d3par
3.8585145871405935e-05,3.209754331612302e-05,pts,d3par
3.524328376014463e-05,0.00016333023320858064,pts,d3par
4.4074508620650654e-05,1.4622540596032074e-05,pts,d3par
0.00016146504793568273,1.4925777445884414e-05,pts,d3par
3.0131749404360697e-05,0.0002420869033050721,pts,d3par
3.9004503536888e-05,0.00014728001977060146,pts,d3par
9.347943039639262e-06,4.557689255224595e-06,pts,d3par
0.00024745366657141776,6.6427090511522735e-06,pts,d3par
2.2082036823523055e-05,0.00015523896480562627,pts,d3par
2.7279987517836446e-06,4.75154804391309e-10,pts,d3par
5.742233119110374e-05,0.0001031939351903155,pts,d3par
3.0723814299471464e-05,1.9633920618655765e-05,pts,d3par
0.000554077721614088,0.00011344304042459896,pts,d3par
0.00013470317248964747,6.800604346213213e-06,pts,d3par
2.745100988632565e-06,5.711900479821175e-05,pts,d3par
1.8743051520164755e-05,2.1848641735600083e-05,pts,d3par
1.2070823292686939e-05,5.108370281003971e-06,pts,d3par
1.4964316688570456e-05,1.0545969564290658e-06,pts,d3par
0.0001512331176075632,3.280907845404357e-08,pts,d3par
1.0860340494689424e-05,0.00018865455026206845,pts,d3par
3.871286253454009e-06,0.00025104820963062213,pts,d3par
3.373539861162289e-05,2.2634523426545705e-05,pts,d3par
1.7857566398493674e-05,1.3640654111912731e-05,pts,d3par
3.9047764284649844e-05,8.44107454078813e-06,pts,d3par
0.00014214966551739927,1.8326654527278663e-08,pts,d3par
4.59246336936836e-06,7.928034334392375e-05,pts,d3par
4.186807362693834e-06,4.272910081315473e-08,pts,d3par
6.185506860378887e-05,1.3582339151496647e-05,pts,d3par
3.84967270228298e-05,8.388569352812958e-05,pts,d3par
1.0248206517848857e-06,1.7185081284343262e-05,pts,d3par
8.381610643981574e-05,9.329092267584826e-06,pts,d3par
5.162885446263754e-05,0.00010037662469164488,pts,d3par
5.029326258987332e-05,1.8182020373957997e-05,pts,d3par
6.206580499323877e-05,0.00017388517931904435,pts,d3par
0.0003311879688148167,2.1894806345734708e-07,pts,d3par
0.00014286675340580146,7.07793324372652e-06,pts,d3par
2.4511639005186936e-05,6.442486823288185e-05,pts,d3par
0.0004221243697973831,1.3928335005242154e-05,pts,d3par
0.00014388796746489518,2.034657825045194e-05,pts,d3par
8.950606100588399e-05,2.0996973626452586e-05,pts,d3par
4.1314530769054336e-05,7.424098990116423e-05,pts,d3par
5.412884660938033e-06,1.5067977586213921e-05,pts,d3par
9.372272590424391e-05,6.070821592429887e-05,pts,d3par
0.00026119113744638156,0.0004353810351590548,pts,d3par
2.6833427463457404e-05,7.954342836646866e-05,pts,d3par
0.00010989404147043746,4.396839115572426e-06,pts,d3par
2.4965445668767572e-05,3.222870428232216e-05,pts,d3par
0.00011308417843036711,5.478566310124222e-05,pts,d3par
1.4408474957594564e-07,2.6080185036470027e-05,pts,d3par
5.944214703201833e-05,2.917165203841776e-06,pts,d3par
2.8379373553155673e-05,0.00014383119080030315,pts,d3par
6.275335806660287e-06,5.1709125309495896e-05,pts,d3par
4.477125660651282e-06,6.088397679904212e-06,pts,d3par
8.707411314001767e-05,8.373339239531319e-05,pts,d3par
0.00032491098656206585,1.6843636224672665e-06,pts,d3par
2.4243198737283755e-05,4.4322991614609286e-05,pts,d3par
7.111148669913803e-09,8.533542004596217e-05,pts,d3par
2.855484583230705e-07,1.8754519514052603e-06,pts,d3par
1.9527255460838333e-05,0.00020854610145937258,pts,d3par
1.2626797263326495e-06,7.978006003606097e-07,pts,d3par
0.00014189061211167253,4.119867131835431e-05,pts,d3par
0.0004811885880591227,3.5696349996450216e-05,pts,d3par
0.00011352397050012897,5.750036733698227e-05,pts,d3par
2.420705369599041e-06,4.849025332942514e-05,pts,d3par
7.025217097711423e-05,0.00015197414439471757,pts,d3par
8.039549626626119e-05,2.3189603682971516e-05,pts,d3par
7.521349709560532e-05,0.00019059894417405854,pts,d3par
2.136783026063238e-05,6.292460087609086e-05,pts,d3par
5.1812434739062496e-05,3.406824063401093e-05,pts,d3par
0.0002407027091184677,1.9676932475509723e-05,pts,d3par
3.927250694479856e-05,7.623963336433892e-05,pts,d3par
0.00014062119350910507,2.644904854021135e-06,pts,d3par
1.8961374224191196e-05,4.844502612399992e-07,pts,d3par
0.0005206506660014876,2.056671388861453e-06,pts,d3par
0.00016443075401950669,6.471214497005828e-05,pts,d3par
7.417891457672798e-05,5.992952563760312e-06,pts,d3par
9.838159713559946e-06,0.00020832599792619533,pts,d3par
0.00011873598675937735,2.4168530938117883e-05,pts,d3par
4.685037070439879e-05,2.0589038030038864e-07,pts,d3par
0.00028251374116583516,1.8178976232241517e-05,pts,d3par
8.1646115697942e-05,5.770545665750859e-07,pts,d3par
6.310136682996514e-05,2.1825333586855677e-05,pts,d3par
6.832535748535484e-05,1.6418806692009014e-06,pts,d3par
2.802325932427241e-05,1.8882867661162983e-05,pts,d3par
4.9897208738047816e-05,0.0002063070079396656,pts,d3par
4.7929862143858415e-05,8.9309653981684e-05,pts,d3par
2.819779321860949e-05,6.185284384674361e-07,pts,d3par
1.4276288777370638e-05,8.162725308902274e-06,pts,d3par
0.00020685267122733109,2.1913547116891863e-06,pts,d3par
1.4219436407225672e-06,2.6726312329916624e-07,pts,d3par
2.3007195471436148e-05,2.6204865232859476e-05,pts,d3par
3.810712412288808e-09,6.006077244102848e-06,pts,d3par
3.667812718655128e-06,0.0002882687977584508,pts,d3par
5.732660855717331e-05,7.001205772416697e-05,pts,d3par
0.0001501587878763866,1.95634304037684e-05,pts,d3par
0.00032971750890398166,8.588957224331395e-06,pts,d3par
0.00026510970967097425,0.0003405546499551937,pts,d3par
0.0004886632532266066,5.6322745356496284e-08,pts,d3par
2.9518322353094817e-06,1.4988170668028822e-05,pts,d3par
0.00016063833688806373,0.00010738188101777624,pts,d3par
0.00010186263777212101,0.00012032203867928803,pts,d3par
0.00014855873821884025,7.60422627130719e-05,pts,d3par
0.00011508332069742888,8.61036793653458e-06,pts,d3par
