dR2_M,dR2_OxM,unit
2.6270309392284474e-06,0.00010029694695923297,per36min
1.0194446122047118e-05,0.0001513448610291901,per36min
9.738373535994604e-05,0.00012585718199942253,per36min
2.525056479707466e-05,4.626539380936379e-06,per36min
0.00010595572540084142,0.00014883493492823252,per36min
0.0002142506593816318,0.00026784927666068103,per36min
3.9674203355932747e-07,7.960247822647037e-05,per36min
1.0930129871189465e-06,0.0001710209540223273,per36min
4.288848632127973e-06,4.058964682296384e-05,per36min
2.6397361515551054e-05,2.8338482467415993e-05,per36min
0.00019006560779322168,2.0501499371050613e-05,per36min
2.556505657169694e-07,1.0533598450046533e-05,per36min
5.007583126459547e-05,0.00028582090959372586,per36min
1.963605265642432e-05,1.548067201484482e-05,per36min
1.7648212211618386e-06,8.286506519528114e-05,per36min
1.6898542488208435e-05,8.474125986701608e-06,per36min
0.00018784387900971922,7.083973291266421e-05,per36min
1.7919851605152637e-05,3.1518519147955004e-06,per36min
9.215595456590897e-05,0.0001625750624342226,per36min
8.212767305559865e-06,5.435360114114385e-05,per36min
6.002455920639527e-06,1.3127323191808316e-06,per36min
7.011034821280404e-05,6.848800768954888e-06,per36min
5.519291632394285e-06,5.505533151217712e-05,per36min
1.1969774816766865e-05,1.5794319612183472e-06,per36min
3.4669105863915917e-06,1.4993704896326676e-05,per36min
4.050533939370382e-07,8.851322528813377e-06,per36min
1.3961561901254527e-05,0.0002261174360481677,per36min
1.3227273823690489e-05,1.8187065323749252e-06,per36min
4.047690429653805e-05,0.00011152061945063352,per36min
0.00010532767771387341,2.682892313288221e-05,per36min
2.990557527171589e-06,3.2610119574449925e-05,per36min
2.0631676182492065e-05,7.336160229520772e-05,per36min
8.876874553542802e-05,3.4828217939653072e-06,per36min
1.1277671495113495e-05,1.5195950309188078e-07,per36min
4.9794258456192786e-05,9.768486310623992e-06,per36min
5.1589627380388414e-05,0.00011693653793876102,per36min
6.22569564039388e-05,0.00027591792123127235,per36min
8.341098157726989e-07,1.3021813215496891e-06,per36min
5.755073811830602e-05,4.972677765668898e-06,per36min
1.0672347819595807e-05,2.7664667061277903e-05,per36min
