dR2_M,dR2_OxM,target,var
4.695583409797255e-05,8.543305554331582e-06,reb,own_b2b
7.034359476021379e-06,1.2427859163444133e-05,reb,own_b2b
0.0001332654928580812,0.0001582677836988733,reb,own_b2b
2.6054331884073356e-05,9.8459322463329e-05,reb,own_b2b
9.903832420421477e-05,1.2888447441850026e-05,reb,own_b2b
2.0200042194495893e-08,1.4770871540337183e-06,reb,own_b2b
0.00028100411812825854,0.00010865702134588151,reb,own_b2b
0.0001345651780959578,0.00046409210668019174,reb,own_b2b
3.175149899381502e-05,0.00012814389415705119,reb,own_b2b
3.0313836008044603e-07,0.0001110053428161617,reb,own_b2b
5.715635123793028e-05,1.8587066045516742e-05,reb,own_b2b
0.00016290708213195781,3.3596970659299785e-05,reb,own_b2b
9.573946835872427e-06,7.959175237770566e-06,reb,own_b2b
2.1769420114226e-05,1.7050553494768472e-05,reb,own_b2b
1.1992976447605663e-05,5.9986016486601734e-05,reb,own_b2b
9.726091565576134e-06,1.078802516496502e-05,reb,own_b2b
7.946270739633832e-06,4.475415416627104e-05,reb,own_b2b
1.451851744205257e-05,9.15256099165429e-06,reb,own_b2b
0.00021950653203672843,5.6066598166593096e-05,reb,own_b2b
1.2593521792836349e-05,3.8440436111564225e-05,reb,own_b2b
9.89938452540251e-05,3.3777168519044665e-05,reb,own_b2b
1.0328340416476678e-05,4.6431395128720965e-07,reb,own_b2b
1.5364767791403722e-08,0.0002522833159998017,reb,own_b2b
5.857040360701671e-05,1.300017752114968e-06,reb,own_b2b
5.308412642790472e-08,0.000744842806588486,reb,own_b2b
8.797668604731967e-08,8.994832317243961e-05,reb,own_b2b
1.4845629942916716e-05,9.696156344374263e-05,reb,own_b2b
0.00010455747778570501,1.0031990505976474e-05,reb,own_b2b
8.313908801238501e-05,4.522475727242181e-07,reb,own_b2b
1.2666410795780791e-06,1.4449077628597706e-05,reb,own_b2b
2.713945407539775e-05,6.248432095512513e-06,reb,own_b2b
7.838096234591418e-05,0.00012858032518081597,reb,own_b2b
3.56124527911561e-06,9.321222349534253e-09,reb,own_b2b
3.208380475872019e-05,0.0002985803501328599,reb,own_b2b
2.866248414945538e-06,8.079290334972455e-06,reb,own_b2b
0.00011546627626302097,0.000396878032235759,reb,own_b2b
7.255811521167388e-06,8.222101943833326e-05,reb,own_b2b
0.00010224892363575044,7.610019792303468e-05,reb,own_b2b
8.354450789915813e-05,5.016714065220196e-05,reb,own_b2b
9.391510910516931e-05,8.076949115087828e-06,reb,own_b2b
9.834655648366386e-05,5.595213989584291e-05,reb,own_b2b
1.433739023404268e-05,4.356732939625463e-05,reb,own_b2b
9.928428482242069e-06,1.967406436176322e-05,reb,own_b2b
1.013265862281898e-05,1.0502892983099699e-06,reb,own_b2b
3.1307886508180616e-05,0.000165278437698535,reb,own_b2b
0.00015814242088030284,0.0002528843396495395,reb,own_b2b
4.437207900176432e-05,8.918535708302144e-05,reb,own_b2b
9.085266498853883e-05,5.871237556398512e-05,reb,own_b2b
4.2042740691083935e-06,0.0002532195824297423,reb,own_b2b
4.911412845309826e-07,2.2998556460485098e-05,reb,own_b2b
8.857271621809382e-06,8.525355085675645e-05,reb,own_b2b
2.7025352382636925e-05,4.066023466819946e-05,reb,own_b2b
9.378724455610943e-06,8.922669855304655e-06,reb,own_b2b
6.620791026756834e-06,0.00011976529791168922,reb,own_b2b
8.466879741764188e-08,1.1947815818702523e-05,reb,own_b2b
7.795487548922786e-06,6.740599675758574e-06,reb,own_b2b
9.38287761209633e-06,5.1913030022276985e-05,reb,own_b2b
2.353721036318923e-05,6.290222203109153e-07,reb,own_b2b
2.783167772790751e-05,0.00014536282837185333,reb,own_b2b
4.48775430087478e-05,3.153132870736819e-05,reb,own_b2b
5.412657507530838e-06,7.243390899458468e-05,reb,own_b2b
1.3931735331484951e-05,9.676572410022288e-08,reb,own_b2b
1.2645335918382017e-06,3.240840545370993e-06,reb,own_b2b
1.2460521039869832e-05,9.15968991470617e-05,reb,own_b2b
