dR2_M,dR2_OxM,target,var
0.00017943626123029244,4.638112258903426e-05,pts,own_b2b
2.8810448324811944e-06,2.3783112740316525e-06,pts,own_b2b
7.196342483473117e-06,4.926228815316236e-05,pts,own_b2b
2.7944663359980026e-06,1.298835252905306e-06,pts,own_b2b
1.6087284311350203e-06,0.00017589878446899743,pts,own_b2b
7.250820484139275e-06,0.00021211851448266206,pts,own_b2b
5.93291655306416e-05,7.099102398755441e-05,pts,own_b2b
7.16381680463396e-05,0.00014955072569622363,pts,own_b2b
5.199370015973592e-06,0.00014241250606372713,pts,own_b2b
0.000458427582621046,7.489289048101533e-05,pts,own_b2b
7.92606489298242e-05,1.446106421409965e-05,pts,own_b2b
3.535185642888905e-06,1.0428988566846265e-05,pts,own_b2b
8.354315422787195e-07,1.5081617670831271e-05,pts,own_b2b
2.15945406251139e-05,1.1604328254311014e-05,pts,own_b2b
2.5944042755132735e-05,9.233369483441223e-07,pts,own_b2b
4.905357768703045e-05,3.683593480574565e-06,pts,own_b2b
1.0315065603783147e-05,3.1689223192188365e-05,pts,own_b2b
2.6984067280633184e-07,1.9879709248660227e-05,pts,own_b2b
4.185910991394426e-05,2.0744117175675036e-05,pts,own_b2b
1.0726043752851133e-05,0.00018126023047049244,pts,own_b2b
1.0907162941720117e-06,5.122569363058549e-05,pts,own_b2b
0.00021725548214868162,2.7856261600733845e-06,pts,own_b2b
0.00036727884787857157,3.482487602368689e-05,pts,own_b2b
5.400745744654767e-05,2.5188487371430313e-05,pts,own_b2b
8.477741302215236e-05,5.690773290922824e-05,pts,own_b2b
3.4968330033802175e-06,3.588895139849946e-06,pts,own_b2b
4.3538331223613724e-06,8.349177754385373e-06,pts,own_b2b
7.339847370235741e-05,1.1276744982247067e-08,pts,own_b2b
0.0002170123360293319,0.0002654827200277987,pts,own_b2b
0.00010633568947215899,0.0006570087048364259,pts,own_b2b
2.366708813028584e-05,0.0001534311170285907,pts,own_b2b
3.2897771529150077e-07,8.038362433016033e-06,pts,own_b2b
1.604773424146444e-07,0.00021419457467886094,pts,own_b2b
0.0001096367208557325,0.0001399990911807869,pts,own_b2b
8.946852932234517e-05,5.248352483389063e-06,pts,own_b2b
3.432574381745379e-05,1.1088526363334239e-05,pts,own_b2b
3.665399443308903e-05,9.147981616941525e-05,pts,own_b2b
1.8262528741708195e-05,2.0179860116709136e-05,pts,own_b2b
7.116796704587092e-05,1.5901681698293757e-05,pts,own_b2b
4.753459755146849e-06,1.5878551401504737e-06,pts,own_b2b
5.105598033239289e-08,9.434682890385737e-06,pts,own_b2b
1.5434377109713182e-09,1.8923501618584027e-05,pts,own_b2b
3.839870878707963e-06,1.741205023486625e-05,pts,own_b2b
4.822196339404616e-05,1.3836817889467667e-05,pts,own_b2b
5.189592981147406e-05,3.581754127734982e-07,pts,own_b2b
2.7367113100140728e-06,4.572666387492319e-05,pts,own_b2b
3.920896365028348e-05,1.2315520915517908e-05,pts,own_b2b
5.308634945655477e-05,1.6950290752104635e-06,pts,own_b2b
4.511825546504866e-08,6.109137961507471e-05,pts,own_b2b
4.580407313248269e-05,9.36276574814432e-05,pts,own_b2b
0.000216297999971915,0.00020032942242131924,pts,own_b2b
0.0002232457199516924,3.2453995267855973e-06,pts,own_b2b
0.0002041949711094615,9.601828792471512e-05,pts,own_b2b
1.4067517346116887e-05,3.1876079267356694e-05,pts,own_b2b
4.257189289025298e-05,3.3266829157718725e-05,pts,own_b2b
2.1677461485514193e-05,4.267283243986064e-06,pts,own_b2b
6.308228245333058e-05,6.876793404164694e-05,pts,own_b2b
0.00030767850934310115,0.00019005601408994544,pts,own_b2b
6.053546131035148e-08,3.012941493174548e-05,pts,own_b2b
1.1650000515617265e-05,0.0005575092279801463,pts,own_b2b
0.00011082419979768776,1.6215409931463753e-06,pts,own_b2b
1.850807173253699e-05,5.829481573160766e-05,pts,own_b2b
0.000101876924899158,5.085060820475551e-05,pts,own_b2b
0.00021094861301518275,0.00012271301710597982,pts,own_b2b
2.7952376698836545e-05,1.2212985271653487e-05,pts,own_b2b
4.317441114809473e-05,5.375684530628533e-06,pts,own_b2b
