dR2_M,dR2_OxM,target
1.0374393515921732e-05,4.244079685600255e-05,reb
4.7043519291189995e-06,2.940833310427493e-06,reb
9.003096673809718e-05,2.4132700511270144e-05,reb
0.00010093179145642672,5.554974123023193e-06,reb
4.381519462659522e-05,5.444833947809702e-05,reb
8.0168875005171e-07,0.00011390985636050566,reb
9.279041619214556e-05,0.0004113778282467395,reb
4.169280716970203e-05,1.8707646211146844e-05,reb
9.705985937191741e-08,2.0520088926612168e-05,reb
1.7150108678753995e-06,1.423126223532023e-07,reb
6.358928154404087e-05,0.00013769588215739592,reb
7.194249762088045e-05,4.9849788224309854e-05,reb
2.3898545961076323e-05,0.0004880997800725817,reb
2.9889465346100152e-06,8.181116230643326e-05,reb
0.00012865565593789263,0.00039103425331910024,reb
3.072827019579005e-05,1.23284886334174e-05,reb
1.4525249404373497e-06,2.345798822966927e-06,reb
4.5526727070477335e-06,0.00011401383815679011,reb
6.057265022896274e-09,8.955810851030144e-06,reb
8.981786420048099e-05,1.094805268664345e-07,reb
8.125252433899277e-05,3.87547455872328e-05,reb
3.0059572061480466e-06,5.618917797600709e-05,reb
1.0703139318168908e-06,4.601014871541409e-05,reb
3.082587824310146e-05,3.57849985355152e-06,reb
0.00010000615928706935,0.00011562890857641506,reb
1.2914163919797161e-05,8.00421865780887e-05,reb
6.650330133917137e-05,3.537809589349017e-05,reb
3.860713055914289e-07,7.584928872650387e-06,reb
5.396479658437148e-05,9.902234076153427e-06,reb
7.158186644873332e-06,5.332017602344141e-05,reb
8.6663253917596e-07,3.771928102769273e-05,reb
2.948295885207841e-08,8.514079192667445e-06,reb
1.967629424892703e-05,1.930490001822438e-05,reb
0.0002420260312819833,6.784870084652894e-07,reb
2.8429721605105485e-05,6.268011999255307e-05,reb
0.00017093336813778226,8.053401888252765e-06,reb
4.183004937097223e-06,0.00010913535554579745,reb
2.5615023936276238e-05,1.7683303006332807e-06,reb
3.562507709464757e-05,0.0002022259566037965,reb
3.751028441745241e-06,0.00046681232264111916,reb
9.982387383267177e-05,0.0003102447420088028,reb
1.655429536429054e-05,0.0003538751037859278,reb
