unit,slice,slice_status,arm,bucket,n_available,n_bets,coverage_share,n_dates,n_players,starrable,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured_mean,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110_mean,roi_m110_ci90_low,roi_m110_ci90_high,roi_captured_boot_ci90_low,roi_captured_boot_ci90_high,wins,losses,pushes,hit_rate,share_we_beat_market,mean_model_abs_err,mean_market_abs_err,mean_abs_disagreement
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_absence_proxy_only,top_quartile,211,52,0.24644549763033174,41,,True,-0.09112973216434533,-1.1672652755308914,0.9850058112022007,0.1380926896789791,-0.05686477948927418,0.33305015884723244,0.13811188811188815,-0.056243175104287974,0.33246695132806425,-0.06246126391382585,0.3212261144279211,31,21,0,0.5961538461538461,0.5,10.20117905783867,10.110049325674323,4.89538673478221
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_absence_proxy_only,top_half,211,105,0.4976303317535545,65,,True,0.3219026446547572,-0.45793872229555427,1.1017440116050687,0.12546121267977084,-0.017080928207246576,0.2680033535667883,0.12727272727272734,-0.015263701270616103,0.2698091558160708,-0.018088955696388628,0.2671964190953711,62,43,0,0.5904761904761905,0.5333333333333333,10.844115014934331,11.16601765958909,4.507364255001704
game,2025_development,DEVELOPMENT/MODEL-SELECTION CHECK,comparator_bet_everything,all_no_selection,211,211,1.0,91,,True,-0.4431963718801658,-0.980399602560517,0.09400685880018533,0.05485495646978605,-0.042060207853429045,0.15177012079300115,0.049547608789314995,-0.047212907658610206,0.14630812523724018,-0.03192879874425587,0.15489705789179492,116,94,1,0.5497630331753555,0.4834123222748815,11.280621315288522,10.837424943408356,4.422817886547237
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_ridge,top_decile,128,12,0.09375,10,,False,-0.0227666180348296,-0.7804280941183104,0.7348948580486512,-0.03828397028082559,-0.41012956419970675,0.3335616236380556,-0.045454545454545414,-0.41556066297104977,0.32465157206195894,-0.4047196688706123,0.33680300307658795,6,6,0,0.5,0.5,9.20254656031477,9.179779942279943,1.6501640351086937
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_ridge,top_quartile,128,32,0.25,26,,False,-0.19380757021298856,-0.9336979823441911,0.546082841918214,0.07855739258201755,-0.1953244777019239,0.352439262865959,0.014204545454545497,-0.24508489298409716,0.27349398389318813,-0.19155249107078234,0.36390652538057916,18,14,0,0.5625,0.53125,10.20275812486667,10.00895055465368,2.0768916022448183
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_ridge,top_half,128,64,0.5,39,,True,0.3066114810704563,-0.10921285893965543,0.7224358210805681,0.1984949886896207,0.02384043420112869,0.3731495431781127,0.16335227272727276,-0.000315264593481579,0.3270198100480271,0.026556157410440297,0.371438680619821,40,24,0,0.625,0.609375,8.864459440195777,9.171070921266235,2.0818274167973283
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_logistic_sign,top_decile,128,12,0.09375,11,,False,0.24950815278025443,-0.8417681561945237,1.3407844617550326,-0.1909171075837742,-0.605542145149883,0.22370792998233466,-0.2045454545454545,-0.6125490985672531,0.20345818947634417,-0.6475468975468975,0.23280423280423285,5,7,0,0.4166666666666667,0.4166666666666667,9.493673665401564,9.743181818181819,1.8098947733427764
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_logistic_sign,top_quartile,128,32,0.25,25,,False,0.1604917797710112,-0.3931784299196435,0.714161989461666,0.021575718239169157,-0.20837922771827558,0.2515306641966139,0.014204545454545497,-0.21427064434818002,0.24267973525727102,-0.20606707077579464,0.25863081594560966,17,15,0,0.53125,0.53125,7.591818149882668,7.752309929653681,1.7056108467890654
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,selector_logistic_sign,top_half,128,64,0.5,40,,True,-0.1248158987591059,-0.6921419115716698,0.44251011405345797,0.07755963466927783,-0.10062351154971487,0.2557427808882705,0.04403409090909095,-0.1282392378101243,0.21630741962830619,-0.09118138482804115,0.2567854648693502,36,28,0,0.5625,0.546875,9.060898262575844,8.93608236381674,2.1567168905437617
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_disagreement_only,top_decile,128,12,0.09375,12,,False,0.5889570224247226,-3.1748714118213055,4.352785456670751,0.28462986095069326,-0.14706293488436767,0.7163226567857541,0.27272727272727276,-0.15463446042648932,0.7000890058810348,-0.19657054997051898,0.7498908734399948,8,4,0,0.6666666666666666,0.5,13.737831698113999,14.326788720538723,8.654165329807029
game,2026_retrospective_descriptive,RETROSPECTIVE DESCRIPTIVE TEST ONLY,comparator_disagreement_only,top_quartile,128,32,0.25,28,,False,-0.19892952110796353,-2.0680568306931533,1.6701977884772263,0.019004869757938955,-0.27842416545785,0.3164339049737279,0.014204545454545497,-0.2808513035149024,0.30926039442399345,-0.2908434303467822,0.34081281426129373,17,15,0,0.53125,0.4375,12.650393378431195,12.451463857323231,6.398412571728933
