era,cutoff,game_id,game_date,season,season_type,model_margin,market_margin,consensus_home_spread,n_books,edge,side,margin_true,cons_outcome,cons_profit_m110,be_book,be_line_margin,be_price,be_outcome,be_profit,clv_pts,TEAM_ABBREVIATION_h,TEAM_ABBREVIATION_a,str_margin_cal,raw_margin_cal,str_total_cal,model_abs_err,market_abs_err,edge_sign,profit_captured,profit_m110,outcome,line_mag,disagreement_abs,internal_spread,pred_total,line_disp,n_books_vintage,absence_proxy_home,absence_load_home,rest_days_home,gp_prior_home,post_hoc_dnp_home,absence_proxy_away,absence_load_away,rest_days_away,gp_prior_away,post_hoc_dnp_away,rest_diff,gp_min,absence_proxy_total,absence_load_total,post_hoc_dnp_total
old,T-64m,1022400059,2024-06-07,2024,Regular Season,-9.007239228743156,-4.916666666666667,4.916666666666667,12,-4.090572562076489,away,1.0,loss,-1.0,wynnbet,-4.5,-110.0,loss,-1.0,,PHO,MIN,-9.007239228743156,-4.862166872614337,163.16328277432353,10.007239228743156,5.916666666666667,0,-1.0,-1.0,-1,4.916666666666667,4.090572562076489,4.145072356128819,163.16328277432353,0.2886751345948129,12,0.0,0.0,3.0,10,2,0.0,0.0,2.0,9,2,1.0,9,0.0,0.0,4
old,T-64m,1022400060,2024-06-08,2024,Regular Season,-0.9965045873156309,-2.125,2.125,12,-1.1284954126843694,home,-7.0,loss,-1.0,bovada,-2.5,-110.0,loss,-1.0,,CON,NYL,-0.9965045873156309,-3.159147109360208,157.21455284241944,6.003495412684369,4.875,0,-1.0,-1.0,-1,2.125,1.1284954126843691,2.1626425220445773,157.21455284241944,0.3107907802540305,12,1.0,6.695833333333333,4.0,9,2,2.0,33.37777777777777,2.0,11,3,2.0,9,3.0,40.073611111111106,5
old,T-64m,1022400061,2024-06-08,2024,Regular Season,3.3425007873617707,-0.9166666666666666,0.9166666666666666,12,-4.259167454028438,home,-9.0,loss,-1.0,lowvig,-1.5,-103.0,loss,-1.0,,CHI,ATL,3.3425007873617707,5.3298123526495775,156.32830626303752,12.342500787361772,8.083333333333334,0,-1.0,-1.0,-1,0.9166666666666666,4.259167454028438,1.9873115652878068,156.32830626303752,0.8747293953855187,12,0.0,0.0,2.0,9,1,0.0,0.0,2.0,8,2,0.0,8,0.0,0.0,3
old,T-64m,1022400062,2024-06-09,2024,Regular Season,13.315733790634944,14.916666666666666,-14.916666666666666,12,1.600932876031722,away,5.0,win,0.9090909090909092,wynnbet,15.5,-110.0,win,0.9090909090909092,,NYL,WAS,13.315733790634944,10.194843069831949,159.5724988434498,8.315733790634944,9.916666666666666,1,0.9090909090909092,0.9090909090909092,1,14.916666666666666,1.600932876031722,3.1208907208029952,159.5724988434498,0.35887028128263676,12,3.0,35.50833333333333,1.0,12,2,1.0,23.4,2.0,11,3,-1.0,11,4.0,58.90833333333333,5
old,T-64m,1022400063,2024-06-09,2024,Regular Season,-1.8218368192495733,-1.0,1.0,12,0.8218368192495733,away,-7.0,win,0.9090909090909092,wynnbet,-0.0,-110.0,win,0.9090909090909092,,DAL,PHO,-1.8218368192495733,3.659439321709877,159.8486164531223,5.178163180750427,6.0,1,0.9090909090909092,0.9090909090909092,1,1.0,0.8218368192495733,5.48127614095945,159.8486164531223,0.3692744729379982,12,1.0,1.1444444444444446,2.0,9,1,2.0,20.68611111111111,2.0,11,2,0.0,9,3.0,21.830555555555556,3
old,T-64m,1022400064,2024-06-09,2024,Regular Season,1.460481034966799,-1.0,1.0,12,2.460481034966797,home,19.0,win,0.9090909090909092,williamhill_us,-1.5,-110.0,win,0.9090909090909092,,MIN,SEA,1.460481034966799,2.8605226598010045,164.67028323388163,17.539518965033203,20.0,1,0.9090909090909092,0.9090909090909092,1,1.0,2.460481034966799,1.4000416248342056,164.67028323388163,0.3692744729379982,12,1.0,2.6166666666666667,2.0,10,1,3.0,11.916666666666668,2.0,10,0,0.0,10,4.0,14.533333333333335,1
old,T-64m,1022400065,2024-06-09,2024,Regular Season,-9.744634445384438,-10.363636363636363,10.363636363636363,11,0.6190019182519251,home,4.0,win,0.9090909090909092,mybookieag,-10.5,-110.0,win,0.9090909090909092,,LAS,LVA,-9.744634445384438,-4.634158767332265,159.5680623600436,13.744634445384438,14.363636363636363,1,0.9090909090909092,0.9090909090909092,1,10.363636363636363,0.6190019182519251,5.110475678052174,159.5680623600436,0.23354968324845687,11,0.0,0.0,2.0,10,1,3.0,11.184722222222224,2.0,8,1,0.0,8,3.0,11.184722222222224,2
old,T-64m,1022400067,2024-06-11,2024,Regular Season,3.72884455678553,6.916666666666667,-6.916666666666667,12,3.187822109881136,away,-19.0,win,0.9090909090909092,betrivers,7.0,-109.0,win,0.9174311926605504,,ATL,WAS,3.72884455678553,2.392153479289856,156.01093430668874,22.728844556785532,25.916666666666668,1,0.9174311926605504,0.9090909090909092,1,6.916666666666667,3.187822109881137,1.336691077495674,156.01093430668874,0.19462473604038077,12,1.0,3.816666666666667,3.0,9,0,2.0,28.272222222222222,2.0,12,0,1.0,9,3.0,32.08888888888889,0
old,T-64m,1022400068,2024-06-11,2024,Regular Season,1.1753352911958648,6.454545454545454,-6.454545454545454,11,5.279210163349589,away,-14.0,win,0.9090909090909092,fanduel,6.5,-108.0,win,0.925925925925926,,LVA,MIN,1.1753352911958648,1.7001782370503582,166.20063626679544,15.175335291195864,20.454545454545453,1,0.925925925925926,0.9090909090909092,1,6.454545454545454,5.279210163349589,0.5248429458544934,166.20063626679544,0.15075567228888181,11,2.0,34.670833333333334,2.0,9,0,0.0,0.0,2.0,11,0,0.0,9,2.0,34.670833333333334,0
old,T-64m,1022400069,2024-06-11,2024,Regular Season,7.609655915614577,11.291666666666666,-11.291666666666666,12,-3.682010751052088,away,16.0,loss,-1.0,superbook,11.5,-110.0,loss,-1.0,,SEA,LAS,7.609655915614577,3.738786551925996,160.3891700750487,8.390344084385422,4.708333333333334,0,-1.0,-1.0,-1,11.291666666666666,3.682010751052089,3.870869363688581,160.3891700750487,0.25746432527221863,12,1.0,3.4,2.0,11,0,1.0,8.654166666666667,2.0,11,1,0.0,11,2.0,12.054166666666667,1
