unit,slice,arm,curve_type,x,x_label,n,coverage_share,realised_edge_mean,realised_edge_ci90_low,realised_edge_ci90_high,roi_captured,roi_captured_ci90_low,roi_captured_ci90_high,roi_m110,pred_score_mean,mean_abs_disagreement,hit_rate,starrable
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,1.0,decile_1,177,0.09966216216216216,-1.0737213872323852,-1.6127730261412245,-0.5346697483235457,0.013317846847197792,-0.0876960755918497,0.11433176928624529,0.04622496147919876,5.24482038915899,5.24482038915899,0.5480225988700564,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,2.0,decile_2,178,0.10022522522522523,-1.0658839636171904,-1.346193058354099,-0.7855748688802817,-0.17372937897697927,-0.2510277575878358,-0.09643100036612273,-0.14198161389172625,3.366475640213236,3.366475640213236,0.449438202247191,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,3.0,decile_3,177,0.09966216216216216,-0.35499966230923885,-0.6735890051216986,-0.03641031949677903,0.007133571917138277,-0.10399853246976151,0.11826567630403806,0.03543913713405239,2.638250397529172,2.638250397529172,0.5423728813559322,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,4.0,decile_4,178,0.10022522522522523,-0.1798990836518517,-0.4110578355799994,0.05125966827629602,0.018952991798469696,-0.07701133204318467,0.11491731564012406,0.051072522982635336,2.0341357173418393,2.0341357173418393,0.550561797752809,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,5.0,decile_5,178,0.10022522522522523,-0.332797037821238,-0.5155619004354192,-0.15003217520705678,-0.17450967834860148,-0.2788656047285643,-0.07015375196863866,-0.1527068437180797,1.5928691049109436,1.5928691049109436,0.4438202247191011,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,6.0,decile_6,177,0.09966216216216216,-0.08467517637870815,-0.21553423830134388,0.04618388554392759,-0.0030411385479456646,-0.12038623472277378,0.11430395762688246,0.024653312788906017,1.2243000599477767,1.2243000599477767,0.536723163841808,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,7.0,decile_7,178,0.10022522522522523,-0.03368123979780787,-0.14528500184621063,0.0779225222505949,-0.03647112440194593,-0.1432316200296527,0.07028937122576084,-0.013278855975485192,0.9238529364579962,0.9238529364579962,0.5168539325842697,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,8.0,decile_8,177,0.09966216216216216,-0.005792481518853282,-0.07437603885765999,0.06279107581995343,0.005535903398343881,-0.09175630855371494,0.1028281153504027,0.03543913713405239,0.6655134114223303,0.6655134114223303,0.5423728813559322,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,9.0,decile_9,178,0.10022522522522523,0.00921003368874611,-0.04210841780842004,0.06052848518591226,-0.011329619220604775,-0.13822486492709443,0.11556562648588489,0.018896833503575093,0.39464579268578914,0.39464579268578914,0.5337078651685393,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,decile,10.0,decile_10,178,0.10022522522522523,0.0051889765759914,-0.01384494729901384,0.02422290045099664,0.048660634164656935,-0.056210867603229187,0.15353213593254306,0.0832482124616956,0.1244046919212538,0.1244046919212538,0.5674157303370787,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.05,top_5pct,88,0.04954954954954955,-1.3126776075941395,-2.2228372338611293,-0.4025179813271499,0.026197126120836644,-0.14306072442398976,0.19545497666566303,0.06301652892561985,6.165056023753802,6.165056023753802,0.5568181818181818,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.1,top_10pct,177,0.09966216216216216,-1.0737213872323852,-1.6127730261412245,-0.5346697483235457,0.013317846847197792,-0.0876960755918497,0.11433176928624529,0.04622496147919876,5.24482038915899,5.24482038915899,0.5480225988700564,True
props_regular,2026_retrospective_descriptive,comparator_disagreement_only,coverage,0.15,top_15pct,266,0.14977477477477477,-1.209271483647392,-1.6033386407771357,-0.8152043265176481,-0.06434659778423919,-0.14388473541477853,0.015191539846300159,-0.03110047846889951,4.686305992435338,4.686305992435338,0.5075187969924813,True
