transition_id,team_raw,team,player_raw,player_id,status_before,status_after,reason_after,t_lower_utc_bound,t_upper_utc_bound,poll_interval_event,censor_type,tier,prev_capture_id,curr_capture_id
cap_20260818T172702378756_rm_30,Dallas Wings,Dallas Wings,Azzi Fudd,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-18T03:57:14.749418+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260818T035702166906,cap_20260818T172702378756
cap_20260818T172702378756_rm_31,Chicago Sky,Chicago Sky,Maddy Westbeld,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T172702378756
cap_20260818T172702378756_rm_32,Las Vegas Aces,Las Vegas Aces,Chelsea Gray,,Questionable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T172702378756
cap_20260818T172702378756_rm_33,Las Vegas Aces,Las Vegas Aces,A'ja Wilson,,Questionable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T172702378756
cap_20260818T172702378756_rm_34,Las Vegas Aces,Las Vegas Aces,Jackie Young,,Questionable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T172702378756
cap_20260818T172702378756_rm_35,Portland Fire,Portland Fire,Luisa Geiselsoder,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T03:57:17.357969+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T035703321003,cap_20260818T172702378756
cap_20260818T172702378756_rm_36,Golden State Valkyries,Golden State Valkyries,Cecilia Zandalasini,,Questionable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T172702378756
cap_20260818T172702378756_rm_37,Los Angeles Sparks,Los Angeles Sparks,Rae Burrell,,Probable,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T04:57:16.902260+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T045702661164,cap_20260818T172702378756
cap_20260818T172702378756_rm_38,Portland Fire,Portland Fire,Carla Leite,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-09T03:57:17.357969+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260809T035703321003,cap_20260818T172702378756
cap_20260818T172702378756_rm_39,Las Vegas Aces,Las Vegas Aces,Kierstan Bell,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T172702378756
cap_20260818T172702378756_rm_40,Connecticut Sun,Connecticut Sun,Hailey Van Lith,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T172702378756
cap_20260818T172702378756_rm_41,Minnesota Lynx,Minnesota Lynx,Elena Buenavida,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T172702378756
cap_20260818T172702378756_rm_42,Phoenix Mercury,Phoenix Mercury,Kelsey Plum,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T172702378756
cap_20260818T172702378756_rm_43,Las Vegas Aces,Las Vegas Aces,Ta'Niya Latson,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-16T03:57:14.114516+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260816T035702143648,cap_20260818T172702378756
cap_20260818T172702378756_rm_44,Seattle Storm,Seattle Storm,Natisha Hiedeman,,Out,REMOVED_FROM_REPORT,absent from this report vs the immediately prior one -- this is NOT evidence of availability; it means only that no designation for this player was printed this cycle,2026-08-17T03:57:16.545564+00:00,2026-08-18T17:27:15.252529+00:00,PT15M,interval,T0,cap_20260817T035702551662,cap_20260818T172702378756
