capture_id,cycle_id,game_date,game_time_et,matchup,team_raw,coverage_status,retrieval_ts_utc
cap_20260807T054202599235,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T05:42:16.162365+00:00
cap_20260807T054202599235,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T05:42:16.162365+00:00
cap_20260807T054202599235,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T05:42:16.162365+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T055702416217,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T05:57:14.665509+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T061202539315,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T06:12:14.916498+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T062702490413,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T06:27:16.135027+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T064202575837,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T06:42:14.846363+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T065702545142,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T06:57:16.141753+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Seattle Storm,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T071202949968,cycle_20260807,08/08/2026,08:30 (ET),SEA@PDX,Portland Fire,NOT_YET_SUBMITTED,2026-08-07T07:12:15.251109+00:00
cap_20260807T072702416766,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Las Vegas Aces,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
cap_20260807T072702416766,cycle_20260807,08/08/2026,01:00 (ET),LVA@MIN,Minnesota Lynx,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
cap_20260807T072702416766,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Indiana Fever,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
cap_20260807T072702416766,cycle_20260807,08/08/2026,03:30 (ET),IND@CHI,Chicago Sky,NOT_YET_SUBMITTED,2026-08-07T07:27:14.594262+00:00
