candidate,dependent,direction,coverage,skill_gain,scheme,p_correct_level,p_row_level_NAIVE,null_sd_correct,null_sd_row_NAIVE,inflation_sd_correct_over_row,familywise_p_correct
pl_min_mean5,level_points,abstain on LOW,0.75,-0.004795963728881136,BETWEEN-block,1.0,1.0,0.0018918027109362187,0.0019223272340536258,0.9841210577592245,1.0
pl_min_mean5,level_minutes,abstain on HIGH,0.75,0.006695968430609822,BETWEEN-block,0.04488778054862843,0.014962593516209476,0.004115866768180504,0.003009353018056251,1.367691574728894,1.0
pl_min_mean5,level_minutes,abstain on LOW,0.75,-0.0014013611854888364,BETWEEN-block,0.6508728179551122,0.6783042394014963,0.0038399193356311043,0.0027514813920245023,1.395582520296728,1.0
pl_fga_sd5,rate_ppm_refA,abstain on HIGH,0.75,0.001283851647482348,WITHIN-block,0.032418952618453865,0.18204488778054864,0.0010824812991322322,0.0015072332204261573,0.7181909769917159,1.0
pl_fga_sd5,rate_ppm_refA,abstain on LOW,0.75,-0.00209447947697472,WITHIN-block,0.9850374064837906,0.9226932668329177,0.0013691586765366514,0.0015211786378804759,0.9000643595970816,1.0
pl_fga_sd5,rate_ppm_refB,abstain on HIGH,0.75,-0.00012318160057334104,WITHIN-block,0.4314214463840399,0.5261845386533666,0.0012376830029584068,0.0017538657281074392,0.7056885730323069,1.0
pl_fga_sd5,rate_ppm_refB,abstain on LOW,0.75,0.00011155574327692541,WITHIN-block,0.6159600997506235,0.4613466334164589,0.001670333575174843,0.0017365552765086023,0.9618660561920609,1.0
pl_fga_sd5,rate_ppf_refA,abstain on HIGH,0.75,9.614821055570211e-05,WITHIN-block,0.571072319201995,0.516209476309227,0.0011818738483872014,0.0017820084771533855,0.663225716117327,1.0
pl_fga_sd5,rate_ppf_refA,abstain on LOW,0.75,0.0006036827053874649,WITHIN-block,0.2967581047381546,0.3516209476309227,0.001819973334534786,0.0018775650132887812,0.9693263997004735,1.0
pl_fga_sd5,level_points,abstain on HIGH,0.75,0.003746239713266153,WITHIN-block,0.04239401496259352,0.034912718204488775,0.001978059798629252,0.0020322669437525926,0.973326759415155,1.0
pl_fga_sd5,level_points,abstain on LOW,0.75,-0.0021288390908114074,WITHIN-block,1.0,0.8453865336658354,0.0014098420958662328,0.002089499191870122,0.6747272750100518,1.0
pl_fga_sd5,level_minutes,abstain on HIGH,0.75,0.007797748834818319,WITHIN-block,0.09975062344139651,0.004987531172069825,0.0021486842439032133,0.0029204295232549433,0.7357425429354012,1.0
pl_fga_sd5,level_minutes,abstain on LOW,0.75,-8.66504069706453e-05,WITHIN-block,0.6733167082294265,0.5486284289276808,0.0025787185754848445,0.002747377741679141,0.9386108565867556,1.0
pl_fga_mean5,rate_ppm_refA,abstain on HIGH,0.75,0.001053196859802763,BETWEEN-block,0.1770573566084788,0.2743142144638404,0.0011056901835321865,0.0015013242490471235,0.7364766033946083,1.0
pl_fga_mean5,rate_ppm_refA,abstain on LOW,0.75,-0.0009373852748247868,BETWEEN-block,0.7855361596009975,0.7406483790523691,0.001110500102740089,0.0015219940907731828,0.7296349634156252,1.0
pl_fga_mean5,rate_ppm_refB,abstain on HIGH,0.75,0.0026878469415716477,BETWEEN-block,0.057356608478802994,0.07481296758104738,0.001799402578462084,0.0017737667158713325,1.0144527813953024,1.0
pl_fga_mean5,rate_ppm_refB,abstain on LOW,0.75,-0.003401160345370191,BETWEEN-block,0.9625935162094763,0.9800498753117207,0.0017246193941950732,0.0017417798922122177,0.9901477229735676,1.0
pl_fga_mean5,rate_ppf_refA,abstain on HIGH,0.75,0.0016505160898905302,BETWEEN-block,0.18952618453865336,0.2144638403990025,0.0017264576836329166,0.0019543327861224757,0.883400051358869,1.0
pl_fga_mean5,rate_ppf_refA,abstain on LOW,0.75,-0.0008064169288264367,BETWEEN-block,0.6034912718204489,0.6807980049875312,0.0017475662996009852,0.0018443852357162554,0.9475061206084361,1.0
pl_fga_mean5,level_points,abstain on HIGH,0.75,0.00936361194580948,BETWEEN-block,0.0024937655860349127,0.0024937655860349127,0.0020531973872299626,0.002026810776161883,1.013018783686382,1.0
pl_fga_mean5,level_points,abstain on LOW,0.75,-0.004935222941622741,BETWEEN-block,0.9925187032418953,0.9875311720698254,0.0020341875566735677,0.002034812717305465,0.9996927674834246,1.0
pl_fga_mean5,level_minutes,abstain on HIGH,0.75,0.012372622896650753,BETWEEN-block,0.0024937655860349127,0.0024937655860349127,0.004048568800901078,0.002939113897423074,1.3774793839907804,1.0
pl_fga_mean5,level_minutes,abstain on LOW,0.75,-0.005689993302990581,BETWEEN-block,0.9177057356608479,0.9775561097256857,0.0038941674339739393,0.0028616489559415773,1.360812417570844,1.0
pl_pts_sd5,rate_ppm_refA,abstain on HIGH,0.75,-0.00019761940726104044,WITHIN-block,0.3940149625935162,0.5860349127182045,0.0010788588512332241,0.0015450535246452157,0.6982663280101951,1.0
pl_pts_sd5,rate_ppm_refA,abstain on LOW,0.75,-0.0006534297379784393,WITHIN-block,0.9875311720698254,0.6907730673316709,0.0013325570673058944,0.0015067320797700345,0.8844021343922513,1.0
pl_pts_sd5,rate_ppm_refB,abstain on HIGH,0.75,-0.0024279664158326497,WITHIN-block,0.9650872817955112,0.8977556109725686,0.0012396682665199092,0.0017655758346457843,0.702132551994639,1.0
pl_pts_sd5,rate_ppm_refB,abstain on LOW,0.75,0.002114286188915293,WITHIN-block,0.4763092269326683,0.13466334164588528,0.0015966473993795506,0.00184754557401676,0.8641991958597642,1.0
pl_pts_sd5,rate_ppf_refA,abstain on HIGH,0.75,-0.0006165801512721947,WITHIN-block,0.9027431421446384,0.6533665835411472,0.001037710089826635,0.0018034206360966008,0.5754121190898082,1.0
