subset,target,stage,denominator,exposure,n,rung,kind,mae,rmse,r2,sd_y,coverage
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,O4   ACTUAL exposure x prior rate(floored),ORACLE,0.3127522576504486,0.40678308334659524,0.15970781948946455,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,O5   prior exposure x SEASON-MEAN rate,ORACLE,0.3188558629834634,0.4004917342177007,0.18549891239730232,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_any_fta,A,FULL_STRATUM,minutes,5111,O3   within-player-season OLS on ACTUAL exposure,ORACLE,0.2758996712027908,0.36669748367664795,0.3171577039406972,0.44380297912610694,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,REF  expanding prior mean (MATCHED),honest,1.8690949056431745,2.431143360510811,0.11505127234413914,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,H1   EWMA prior (hl=5),honest,1.8878804724503229,2.4532509627742707,0.09888353179794174,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,H2   trailing-5 prior mean,honest,1.9617733726225557,2.564998187871305,0.01492092029624148,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,H3   prior rate(floored) x prior exposure,honest,1.8704123014879812,2.4317554702054687,0.11460559407054505,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,2614,H4   walk-forward OLS on B_COMPLETE,honest,1.8689571888731629,2.421828508910074,0.14649107286363627,2.6219381339141816,0.7002410929547281
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,O1   SEASON-MEAN target,ORACLE,1.7782537498708897,2.3181308065450095,0.1954133028840528,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,O2   ACTUAL exposure x SEASON-MEAN rate,ORACLE,1.765092574869411,2.291312099288483,0.2139223154577259,2.5846973172920724,1.0
"DECISION (>=8 prior, >=24 trail-5 min)",y_fta_given,B,CONDITIONAL_SUBSET(fta>0),minutes,3733,O4   ACTUAL exposure x prior rate(floored),ORACLE,1.8659461250525575,2.412291590336284,0.1287223445989537,2.5846973172920724,1.0
