stratum,rowset,n,denominator_SST,target,stage,base,candidate,family,level,r2_base,dR2,beta,sd_candidate,sd_candidate_resid,sd_y,p_N_ROW,nullmean_N_ROW,nullsd_N_ROW,z_N_ROW,p_N_CYCLIC,nullmean_N_CYCLIC,nullsd_N_CYCLIC,z_N_CYCLIC,p_correct_level,correct_null_used,sd_inflation_correct_over_row,p_N_ENTITY,nullmean_N_ENTITY,nullsd_N_ENTITY,z_N_ENTITY,t_stat,p_family_wise,z_normal_orientation_only,p_normal_ORIENTATION_ONLY
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,F10_prior_pf_pm,F,player_season,0.28298513766833455,1.723247093286064e-05,-0.28179826091376586,0.037971729215242396,0.03709538817284458,2.518166553234929,0.5607321131447587,5.537960403351953e-05,7.451517948724221e-05,-0.5119377469551702,0.6605657237936772,4.03759357364753e-05,3.822854748417184e-05,-0.6053974405696944,0.6605657237936772,N_CYCLIC,0.5130303348556917,,,,,-0.6053974405696944,1.0,-0.6053974405696944,0.7275425472206333
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,F10_prior_pf_pm,F,player_season,0.3004128634431048,0.0004527988556265386,1.6285272271444984,0.037971729215242396,0.03290349929002051,2.518166553234929,0.0033277870216306157,5.490471518672457e-05,7.400924559299398e-05,5.376276129444567,0.09484193011647254,0.00030122023159805805,0.00011121317472354511,1.362955642668023,0.09484193011647254,N_CYCLIC,1.5026929923749015,,,,,1.362955642668023,0.8801996672212978,1.362955642668023,0.08644824922744287
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M01_opp_pf_pg,M,opp_team_season,0.28298513766833455,0.002579953284746236,0.07717805894442688,1.6574663463642783,1.6572824091767147,2.518166553234929,0.0016638935108153079,5.610989335881439e-05,7.626488285588764e-05,33.09312617914264,,,,,0.0016638935108153079,N_ENTITY,2.8871822147901542,0.0016638935108153079,0.00016396487039065335,0.00022019061339457333,10.972258885651144,10.972258885651144,0.0016638935108153079,10.972258885651144,2.5978935566364376e-28
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M01_opp_pf_pg,M,opp_team_season,0.3004128634431048,0.0025244724620477844,0.0807684639692467,1.6574663463642783,1.5664911526259142,2.518166553234929,0.0016638935108153079,5.504017960701251e-05,7.506172954334437e-05,32.89868615423788,,,,,0.0016638935108153079,N_ENTITY,2.8058658986004392,0.0016638935108153079,0.0001561418585830974,0.0002106131472156391,11.244932402248564,11.244932402248564,0.0016638935108153079,11.244932402248564,1.2264226506872972e-29
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE_PLUS_M02,M01_opp_pf_pg,M,opp_team_season,0.30302452777813427,0.00016094562993936248,0.039200216072977585,1.6574663463642783,0.8149586709584044,2.518166553234929,0.08652246256239601,5.461461616204195e-05,7.461639675382204e-05,1.4250354935810272,,,,,0.09816971713810316,N_ENTITY,1.149366755732624,0.09816971713810316,6.076626406407773e-05,8.576160586139872e-05,1.1681143895228234,1.1681143895228234,0.9317803660565723,1.1681143895228234,0.12138032173051277
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M02_opp_allowed_fta_pg,M,opp_team_season,0.28298513766833455,0.002666707072341445,0.0515736972882481,2.521427728291484,2.5214121471863247,2.518166553234929,0.0016638935108153079,5.801240533798838e-05,8.197276023317014e-05,31.823921258514027,,,,,0.0016638935108153079,N_ENTITY,2.9732045176514688,0.0016638935108153079,0.0001762835653570918,0.00024372178104962213,10.218305053651726,10.218305053651726,0.0033277870216306157,10.218305053651726,8.209326613966362e-25
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M02_opp_allowed_fta_pg,M,opp_team_season,0.3004128634431048,0.002611664335029472,0.0517309240609133,2.521427728291484,2.4876707182484847,2.518166553234929,0.0016638935108153079,5.6791691655622884e-05,7.884854452785254e-05,32.40228032961805,,,,,0.0016638935108153079,N_ENTITY,2.9479759939980017,0.0016638935108153079,0.00016728813306059304,0.00023244361642979177,10.515996264010926,10.515996264010926,0.0016638935108153079,10.515996264010926,3.645307790448381e-26
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M03_opp_allowed_ftm_pg,M,opp_team_season,0.28298513766833455,0.002797465955425242,0.06154653348610873,2.1640621696999585,2.1640299109738135,2.518166553234929,0.0016638935108153079,5.750721369943763e-05,7.662846685630208e-05,35.756408213985615,,,,,0.0016638935108153079,N_ENTITY,3.1983952261995734,0.0016638935108153079,0.00017586834234285397,0.0002450881225841888,10.696551042296461,10.696551042296461,0.0016638935108153079,10.696551042296461,5.281862440927716e-27
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M03_opp_allowed_ftm_pg,M,opp_team_season,0.3004128634431048,0.002719798855199637,0.06165074540531704,2.1640621696999585,2.1301712193373548,2.518166553234929,0.0016638935108153079,5.626979333262338e-05,7.467857545172724e-05,35.66657566451221,,,,,0.0016638935108153079,N_ENTITY,3.1140645606549655,0.0016638935108153079,0.00016688247888024143,0.00023255390525442167,10.977740294347758,10.977740294347758,0.0016638935108153079,10.977740294347758,2.4450143973634983e-28
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE_PLUS_M02,M03_opp_allowed_ftm_pg,M,opp_team_season,0.30302452777813427,0.0001151241648079243,0.0497877306320165,2.1640621696999585,0.5426819368131736,2.518166553234929,0.16472545757071547,5.625834994706457e-05,7.472220897363573e-05,0.7877954314978748,,,,,0.1713810316139767,N_ENTITY,1.1800224818274523,0.1713810316139767,6.126541811694468e-05,8.817388648069915e-05,0.6108242342563527,0.6108242342563527,1.0,0.6108242342563527,0.2706579513710449
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_SINGLE,M04_opp_allowed_ft_rate,M,opp_team_season,0.28298513766833455,0.0022322965369961046,2.990639077638138,0.03978291910229766,0.039782895613251976,2.518166553234929,0.0016638935108153079,5.813945593674807e-05,7.88693164165915e-05,27.566576963534906,,,,,0.0016638935108153079,N_ENTITY,3.054292276763173,0.0016638935108153079,0.00017489036455192503,0.00024088994400478636,8.540855372540166,8.540855372540166,0.0033277870216306157,8.540855372540166,6.661593899012597e-18
POOLED,MAIN,12795,81128.83673309887,y_fta,AB,B_COMPLETE,M04_opp_allowed_ft_rate,M,opp_team_season,0.3004128634431048,0.0021175968181920096,2.94678281445676,0.03978291910229766,0.039324024745936374,2.518166553234929,0.0016638935108153079,5.6895339529372225e-05,7.653084895976702e-05,26.926416035786662,,,,,0.0016638935108153079,N_ENTITY,2.9727997383666054,0.0016638935108153079,0.00016510127359392875,0.00022751088776456956,8.581987278861757,8.581987278861757,0.0033277870216306157,8.581987278861757,4.662397552223983e-18
