stratum,response,signal,signal_column,n,is_oracle,r2_base,dR2_over_B_COMPLETE,beta,sd_signal,sd_signal_resid_of_base,sd_response,move_per_1sd_natural_units,move_per_1sd_as_frac_of_sd_y,move_per_1sd_resid_natural_units,CEILING_dR2_raw,CEILING_dR2_base_residualised,ratio_to_D089_alive,ratio_to_D079_dead,ratio_to_D084_dead,verdict_vs_benchmarks
POOLED,y_ftm,F01_prior_ftr,F01_prior_ftr,13395,False,0.29158179651192184,0.0004906621221600243,-0.2827483557317126,0.20458905830511773,0.16573579376647915,2.1155589636191214,0.057847219836471515,0.027343704822819653,0.0468615231733622,0.0007476781934374907,0.0004906621221600242,0.23853287416627333,0.43537011726710223,3.803582342325769,below the dead shot-mix benchmark (0.001127)
POOLED,y_ftm,F02_prior_fd_pm,F02_prior_fd_pm,13402,False,0.29170513389271535,0.0009068098216389216,2.5888970347058318,0.04161871259804353,0.024603769950047517,2.1152335586986744,0.10774656163334913,0.05093837566553953,0.06369662706626247,0.0025947181154436297,0.0009068098216389219,0.4408409439178036,0.8046227343734889,7.029533501076914,below the dead shot-mix benchmark (0.001127)
POOLED,y_ftm,F03_prior_ft_pct,F03_prior_ft_pct,12948,False,0.28965536353572485,0.0004035896826319308,-0.3026420343391674,0.14978571789318143,0.14153179519539036,2.1321278118189944,0.04533145437814506,0.021261133655712305,0.04283347042160734,0.0004520358043260625,0.0004035896826319307,0.19620305426929058,0.3581097450150228,3.128602190945199,below the dead shot-mix benchmark (0.001127)
POOLED,y_ftm,F04_prior_paint_share,F04_prior_paint_share,13372,False,0.2918308729294895,0.0012793552879100042,0.3648575335538854,0.20781581295890106,0.20743082640951585,2.1159287098144715,0.07582316494968021,0.03583446105626523,0.07568269970682011,0.0012841085991929892,0.001279355287910004,0.6219520116237259,1.1351865908695689,9.917482852015535,between the dead benchmarks and the live one
POOLED,y_ftm,F05_prior_fga_pm,F05_prior_fga_pm,13402,False,0.29170513389271535,0.002389454623450621,2.9355892662985457,0.09933363421878959,0.03522187169750237,2.1152335586986744,0.29160275039510464,0.13785841719271102,0.10339694849413249,0.019004943190879562,0.002389454623450622,1.1616211100878084,2.120190437844385,18.52290405775676,ABOVE the largest measured (0.002057)
POOLED,y_ftm,F06_prior_fg3a_share,F06_prior_fg3a_share,13395,False,0.29158179651192184,0.0006495056261931942,-0.26004715784489807,0.21414443904060776,0.20733111409171023,2.1155589636191214,0.05568765274080008,0.026322902693070912,0.05391586695236554,0.0006928952061888799,0.0006495056261931941,0.3157538289709257,0.5763137765689389,5.034927334830962,below the dead shot-mix benchmark (0.001127)
POOLED,y_ftm,F07_prior_hurdle_rate,F07_prior_hurdle_rate,13402,False,0.29170513389271535,5.095363909820836e-06,0.033097174200496925,0.2916236894005974,0.14426301871650035,2.1152335586986744,0.009651920049083182,0.004563051682586389,0.00477469826114956,2.0821440657954475e-05,5.095363909820836e-06,0.002477085031512317,0.00452117472033792,0.03949894503737082,BELOW BOTH DEAD BENCHMARKS
POOLED,y_ftm,F08_prior_fta_given,F08_prior_fta_given,12948,False,0.28965536353572485,0.00019300953356406973,-0.05470636076803228,1.271366316240454,0.541458019796383,2.1321278118189944,0.0695518243645745,0.03262085132937568,0.02962119777172529,0.001064119941453231,0.00019300953356406973,0.09383059482939705,0.17125956837983117,1.4961979346051917,below the dead shot-mix benchmark (0.001127)
POOLED,y_ftm,F09_prior_starter_rate,F09_prior_starter_rate,13402,False,0.29170513389271535,0.00011297518613488948,0.10545118978020074,0.43916974803762465,0.21320548665034478,2.1152335586986744,0.0463109724460385,0.021894023123635458,0.02248277223494556,0.00047934824853828413,0.00011297518613488945,0.0549223073091344,0.10024417580735533,0.8757766367045694,BELOW BOTH DEAD BENCHMARKS
POOLED,y_ftm,F10_prior_pf_pm,F10_prior_pf_pm,13402,False,0.29170513389271535,0.00010954378624431238,0.6487933307353964,0.03898810495868122,0.0341228914817975,2.1152335586986744,0.02529522247520401,0.011958595480475469,0.022138704418797884,0.00014300800586564832,0.00010954378624431236,0.05325414985139153,0.09719945540755312,0.849176637552809,BELOW BOTH DEAD BENCHMARKS
