target,family,protocol,fold,n_test,global_alpha_eff,global_alpha_exp,mae_role,mae_global,gap_role_vs_global_pct,per_tier
reb,S3_usage,P1_LOSO,test2021,3433,0.05,0.3,1.8686596457082363,1.8683848737549538,-0.014706389306733004,usage_low:0.02/0.40 usage_mid:0.05/0.30 usage_high:0.05/0.20
reb,S3_usage,P1_LOSO,test2022,4030,0.05,0.3,1.766128885553688,1.7647690412297956,-0.07705508721667326,usage_low:0.03/0.40 usage_mid:0.03/0.30 usage_high:0.05/0.20
reb,S3_usage,P1_LOSO,test2023,4435,0.03,0.3,1.7719540386165693,1.7718856384431467,-0.0038603040703392892,usage_low:0.05/0.40 usage_mid:0.02/0.30 usage_high:0.02/0.20
reb,S3_usage,P1_LOSO,test2024,4447,0.05,0.3,1.7569505358315864,1.75816048974705,0.06881930987071622,usage_low:0.05/0.30 usage_mid:0.03/0.30 usage_high:0.03/0.20
reb,S3_usage,P2_WALKFWD,test2022,4030,0.03,0.3,1.7673526918678137,1.7645219698144692,-0.16042430197920377,usage_low:0.10/0.40 usage_mid:0.00/0.40 usage_high:0.00/0.15
reb,S3_usage,P2_WALKFWD,test2023,4435,0.03,0.3,1.7761452493247658,1.7718856384431467,-0.240399876222359,usage_low:0.10/0.30 usage_mid:0.02/0.30 usage_high:0.00/0.25
reb,S3_usage,P2_WALKFWD,test2024,4447,0.05,0.3,1.7569505358315864,1.75816048974705,0.06881930987071622,usage_low:0.05/0.30 usage_mid:0.03/0.30 usage_high:0.03/0.20
ast,S1_starter,P1_LOSO,test2021,3433,0.03,0.3,1.2216537731956523,1.2196851108837101,-0.16140742347143805,starter1:0.05/0.20 starter0:0.00/0.50
ast,S1_starter,P1_LOSO,test2022,4030,0.05,0.3,1.2266899584510318,1.2259965204097973,-0.05656117531252575,starter1:0.05/0.15 starter0:0.05/0.50
ast,S1_starter,P1_LOSO,test2023,4435,0.03,0.3,1.203218947774071,1.2054400795413356,0.184258994284462,starter1:0.03/0.20 starter0:0.03/0.40
ast,S1_starter,P1_LOSO,test2024,4447,0.02,0.3,1.202131575334056,1.2030803864743693,0.07886514907734506,starter1:0.02/0.25 starter0:0.00/0.50
ast,S1_starter,P2_WALKFWD,test2022,4030,0.05,0.3,1.2289082189291198,1.2259965204097973,-0.23749647497769716,starter1:0.00/0.25 starter0:0.10/0.30
ast,S1_starter,P2_WALKFWD,test2023,4435,0.01,0.3,1.2038033156188697,1.205549627824864,0.14485610261812557,starter1:0.01/0.30 starter0:0.02/0.40
ast,S1_starter,P2_WALKFWD,test2024,4447,0.02,0.3,1.202131575334056,1.2030803864743693,0.07886514907734506,starter1:0.02/0.25 starter0:0.00/0.50
ast,S2_minutes,P1_LOSO,test2021,3433,0.03,0.3,1.2193729736630068,1.2196851108837101,0.025591623437723105,min_lt15:0.01/0.50 min_15_25:0.05/0.40 min_ge25:0.01/0.25
ast,S2_minutes,P1_LOSO,test2022,4030,0.05,0.3,1.2292483822887306,1.2259965204097973,-0.2652423416215138,min_lt15:0.08/0.30 min_15_25:0.08/0.40 min_ge25:0.02/0.15
ast,S2_minutes,P1_LOSO,test2023,4435,0.03,0.3,1.2050774965080984,1.2054400795413356,0.03007889312716227,min_lt15:0.05/0.30 min_15_25:0.05/0.30 min_ge25:0.01/0.25
ast,S2_minutes,P1_LOSO,test2024,4447,0.02,0.3,1.2045063652628698,1.2030803864743693,-0.11852730744612308,min_lt15:0.01/0.50 min_15_25:0.03/0.40 min_ge25:0.00/0.25
ast,S2_minutes,P2_WALKFWD,test2022,4030,0.05,0.3,1.2340117120044423,1.2259965204097973,-0.6537695222793773,min_lt15:0.10/0.15 min_15_25:0.05/0.40 min_ge25:0.00/0.05
ast,S2_minutes,P2_WALKFWD,test2023,4435,0.01,0.3,1.2041736411672668,1.205549627824864,0.11413770332126068,min_lt15:0.00/0.50 min_15_25:0.03/0.30 min_ge25:0.00/0.30
ast,S2_minutes,P2_WALKFWD,test2024,4447,0.02,0.3,1.2045063652628698,1.2030803864743693,-0.11852730744612308,min_lt15:0.01/0.50 min_15_25:0.03/0.40 min_ge25:0.00/0.25
ast,S3_usage,P1_LOSO,test2021,3433,0.03,0.3,1.2191444817671342,1.2196851108837101,0.04432530263358082,usage_low:0.05/0.40 usage_mid:0.00/0.40 usage_high:0.05/0.15
ast,S3_usage,P1_LOSO,test2022,4030,0.05,0.3,1.2262325903745006,1.2259965204097973,-0.019255353565306957,usage_low:0.08/0.40 usage_mid:0.03/0.30 usage_high:0.03/0.10
ast,S3_usage,P1_LOSO,test2023,4435,0.03,0.3,1.2076820124853411,1.2054400795413356,-0.18598460280651924,usage_low:0.08/0.30 usage_mid:0.02/0.40 usage_high:0.01/0.15
ast,S3_usage,P1_LOSO,test2024,4447,0.02,0.3,1.2042389846236183,1.2030803864743693,-0.09630263798450643,usage_low:0.01/0.50 usage_mid:0.02/0.40 usage_high:0.01/0.20
ast,S3_usage,P2_WALKFWD,test2022,4030,0.05,0.3,1.2307319048086023,1.2259965204097973,-0.3862477845550581,usage_low:0.10/0.50 usage_mid:0.10/0.30 usage_high:0.00/0.10
ast,S3_usage,P2_WALKFWD,test2023,4435,0.01,0.3,1.2056237552280709,1.205549627824864,-0.006148847089814665,usage_low:0.02/0.40 usage_mid:0.02/0.40 usage_high:0.00/0.15
ast,S3_usage,P2_WALKFWD,test2024,4447,0.02,0.3,1.2042389846236183,1.2030803864743693,-0.09630263798450643,usage_low:0.01/0.50 usage_mid:0.02/0.40 usage_high:0.01/0.20
