target,alpha_eff,alpha_exp,mae_pooled_2021_2024
pts,0.25,0.7,4.213062129494621
pts,0.3,0.0,4.1938562437725295
pts,0.3,0.01,4.189799496032961
pts,0.3,0.02,4.185973773450315
pts,0.3,0.03,4.182409377554907
pts,0.3,0.05,4.176279681099836
pts,0.3,0.08,4.169458780659114
pts,0.3,0.1,4.1663409455686855
pts,0.3,0.15,4.162012585389334
pts,0.3,0.2,4.161595359081316
pts,0.3,0.25,4.164251756748529
pts,0.3,0.3,4.169036539108516
pts,0.3,0.4,4.182515869443158
pts,0.3,0.5,4.2000862703650075
pts,0.3,0.7,4.247567668777461
pts,0.4,0.0,4.270404385204483
pts,0.4,0.01,4.2662635784174014
pts,0.4,0.02,4.262314459243614
pts,0.4,0.03,4.258602462230238
pts,0.4,0.05,4.252223020839557
pts,0.4,0.08,4.244789815609681
pts,0.4,0.1,4.241303790503836
pts,0.4,0.15,4.236606168904791
pts,0.4,0.2,4.236456339092661
pts,0.4,0.25,4.239055339673065
pts,0.4,0.3,4.243919824122228
pts,0.4,0.4,4.257605707465942
pts,0.4,0.5,4.275453935945932
pts,0.4,0.7,4.325442384428272
pts,0.5,0.0,4.36019175786665
pts,0.5,0.01,4.356115687315919
pts,0.5,0.02,4.352176402524806
pts,0.5,0.03,4.348470356658208
pts,0.5,0.05,4.341864657798566
pts,0.5,0.08,4.33407121944741
pts,0.5,0.1,4.330346259452386
pts,0.5,0.15,4.324883918888915
pts,0.5,0.2,4.324076931008173
pts,0.5,0.25,4.326325634874387
pts,0.5,0.3,4.331090774028638
pts,0.5,0.4,4.345266214600397
pts,0.5,0.5,4.363587971888678
pts,0.5,0.7,4.414233658689393
pts,0.7,0.0,4.586179162124517
pts,0.7,0.01,4.582004033215625
pts,0.7,0.02,4.578001939384609
pts,0.7,0.03,4.574196511105875
pts,0.7,0.05,4.567584531801162
pts,0.7,0.08,4.559646208516803
pts,0.7,0.1,4.555438898946937
pts,0.7,0.15,4.548671291205493
pts,0.7,0.2,4.546381639003557
pts,0.7,0.25,4.547627606631554
pts,0.7,0.3,4.551148550015047
pts,0.7,0.4,4.563062458101716
pts,0.7,0.5,4.580074667557511
pts,0.7,0.7,4.62934180620887
reb,0.0,0.0,1.8214996762738809
reb,0.0,0.01,1.8186215747842667
reb,0.0,0.02,1.81590107497314
reb,0.0,0.03,1.8132510103598836
reb,0.0,0.05,1.8083732583997418
reb,0.0,0.08,1.8022663868332574
reb,0.0,0.1,1.799060378953663
reb,0.0,0.15,1.7934469143479836
reb,0.0,0.2,1.7902332751752166
reb,0.0,0.25,1.7885862158287014
reb,0.0,0.3,1.7882620579625366
reb,0.0,0.4,1.7903187099142976
reb,0.0,0.5,1.7951919391024904
reb,0.0,0.7,1.8128420162334873
reb,0.01,0.0,1.8207425881302142
reb,0.01,0.01,1.8178533574814049
reb,0.01,0.02,1.8151400426097573
reb,0.01,0.03,1.8125367756375896
reb,0.01,0.05,1.8076802993929089
reb,0.01,0.08,1.8015763278864994
reb,0.01,0.1,1.7983225940662293
reb,0.01,0.15,1.7926467790712246
reb,0.01,0.2,1.7893767990307075
reb,0.01,0.25,1.7877884574972327
reb,0.01,0.3,1.7874768927864166
reb,0.01,0.4,1.789513907565383
reb,0.01,0.5,1.7943962981593629
reb,0.01,0.7,1.8120063986979913
reb,0.02,0.0,1.8201839507980908
reb,0.02,0.01,1.8173043006410976
reb,0.02,0.02,1.8146019235423492
reb,0.02,0.03,1.8120381551456144
reb,0.02,0.05,1.8071808028709977
reb,0.02,0.08,1.8010939644524824
reb,0.02,0.1,1.79783795783572
reb,0.02,0.15,1.7921982090796331
reb,0.02,0.2,1.7888404222457457
reb,0.02,0.25,1.787247648477004
reb,0.02,0.3,1.7869030629991673
reb,0.02,0.4,1.788949846497816
reb,0.02,0.5,1.7938236926889068
reb,0.02,0.7,1.8114066142620648
reb,0.03,0.0,1.8198038437123192
reb,0.03,0.01,1.8169555336512253
reb,0.03,0.02,1.8142881692859618
reb,0.03,0.03,1.8117200175565198
reb,0.03,0.05,1.8068580358497477
reb,0.03,0.08,1.8007878343517718
reb,0.03,0.1,1.797617826920231
reb,0.03,0.15,1.791973551335256
reb,0.03,0.2,1.7885436099908465
reb,0.03,0.25,1.7869049531149106
reb,0.03,0.3,1.7865316604858594
reb,0.03,0.4,1.7886066166520278
reb,0.03,0.5,1.793464929050156
reb,0.03,0.7,1.8110009276248733
reb,0.05,0.0,1.8197770158740783
reb,0.05,0.01,1.816979914442755
reb,0.05,0.02,1.8143140914100064
reb,0.05,0.03,1.8117359403084763
reb,0.05,0.05,1.8069226620222019
reb,0.05,0.08,1.8009242340621645
reb,0.05,0.1,1.797745624945379
reb,0.05,0.15,1.792122072830978
reb,0.05,0.2,1.7886122880895179
reb,0.05,0.25,1.7869046901875125
reb,0.05,0.3,1.7864131061862154
reb,0.05,0.4,1.7886582555571369
reb,0.05,0.5,1.7934931432976935
reb,0.05,0.7,1.810940238910288
reb,0.08,0.0,1.821589157467864
reb,0.08,0.01,1.8188519026176153
reb,0.08,0.02,1.8162211193727746
reb,0.08,0.03,1.8136681446007248
reb,0.08,0.05,1.8089774079990093
reb,0.08,0.08,1.8029297896570415
reb,0.08,0.1,1.7996803942991464
reb,0.08,0.15,1.7938655870344753
reb,0.08,0.2,1.790349742752452
reb,0.08,0.25,1.7885711524170604
reb,0.08,0.3,1.7881071695527764
reb,0.08,0.4,1.7901961843948302
reb,0.08,0.5,1.7952965639566343
reb,0.08,0.7,1.81283570291194
reb,0.1,0.0,1.8239441448586142
reb,0.1,0.01,1.821184458354761
reb,0.1,0.02,1.818510759299186
reb,0.1,0.03,1.815927824620956
reb,0.1,0.05,1.8112657875023388
reb,0.1,0.08,1.8053244657735183
reb,0.1,0.1,1.8020728639417916
reb,0.1,0.15,1.7960952544425637
reb,0.1,0.2,1.792499941310094
reb,0.1,0.25,1.7907465833627239
reb,0.1,0.3,1.7903248038943973
reb,0.1,0.4,1.7923349895050067
reb,0.1,0.5,1.7975180611155444
reb,0.1,0.7,1.8150519869422375
reb,0.15,0.0,1.832542127681957
reb,0.15,0.01,1.8297703241280963
reb,0.15,0.02,1.8271243435770241
reb,0.15,0.03,1.8245708525620503
reb,0.15,0.05,1.8198506664701477
reb,0.15,0.08,1.8139817378660377
reb,0.15,0.1,1.8106981010240057
reb,0.15,0.15,1.804498503305092
reb,0.15,0.2,1.8007174814901319
reb,0.15,0.25,1.7989177467611819
reb,0.15,0.3,1.798503228019466
reb,0.15,0.4,1.8004944511960324
reb,0.15,0.5,1.8056118606120661
reb,0.15,0.7,1.8230865093964879
reb,0.2,0.0,1.8433609772852582
reb,0.2,0.01,1.8406884353843442
reb,0.2,0.02,1.8380923376363822
reb,0.2,0.03,1.8355339748167754
reb,0.2,0.05,1.8307446726270906
reb,0.2,0.08,1.8248553691069118
reb,0.2,0.1,1.821601495924671
reb,0.2,0.15,1.815351401533619
reb,0.2,0.2,1.811581476289789
reb,0.2,0.25,1.8098299330976177
reb,0.2,0.3,1.8094003028151782
reb,0.2,0.4,1.811361148915867
reb,0.2,0.5,1.8164030442190398
reb,0.2,0.7,1.8340920900642184
reb,0.25,0.0,1.856054836852368
reb,0.25,0.01,1.853354617887528
reb,0.25,0.02,1.8507120495739342
reb,0.25,0.03,1.8481174907428488
reb,0.25,0.05,1.8433746689039583
reb,0.25,0.08,1.8373409765192108
reb,0.25,0.1,1.834058385295582
reb,0.25,0.15,1.8281778798459059
reb,0.25,0.2,1.8246553960093663
reb,0.25,0.25,1.8229423566318734
reb,0.25,0.3,1.8224415537838594
reb,0.25,0.4,1.8242423431480221
reb,0.25,0.5,1.8291711112183648
reb,0.25,0.7,1.8469780738759851
reb,0.3,0.0,1.870289213889953
reb,0.3,0.01,1.8675245623923917
reb,0.3,0.02,1.8648203897945388
reb,0.3,0.03,1.8622234710924788
reb,0.3,0.05,1.857472115684845
reb,0.3,0.08,1.8514974676560714
reb,0.3,0.1,1.8482411629113746
reb,0.3,0.15,1.8423401136005113
reb,0.3,0.2,1.8390283691650535
reb,0.3,0.25,1.8373557198627795
reb,0.3,0.3,1.836784604099526
reb,0.3,0.4,1.838409086216914
reb,0.3,0.5,1.843613817963268
reb,0.3,0.7,1.8616380714195488
reb,0.4,0.0,1.9037357178116026
reb,0.4,0.01,1.900950974811997
reb,0.4,0.02,1.8982344750722842
reb,0.4,0.03,1.895666590353588
reb,0.4,0.05,1.8908720647680555
reb,0.4,0.08,1.884801666674816
reb,0.4,0.1,1.8814709693113998
reb,0.4,0.15,1.8754870938974708
reb,0.4,0.2,1.871997691960739
reb,0.4,0.25,1.8701785112819889
reb,0.4,0.3,1.869739713897451
reb,0.4,0.4,1.8716621550247003
reb,0.4,0.5,1.8767928731663812
reb,0.4,0.7,1.8943618714500043
reb,0.5,0.0,1.9439388203454304
reb,0.5,0.01,1.9411682261263186
reb,0.5,0.02,1.9385795938264707
reb,0.5,0.03,1.936032392114106
reb,0.5,0.05,1.9313065410883492
reb,0.5,0.08,1.9252063047887957
reb,0.5,0.1,1.9218592872850968
reb,0.5,0.15,1.9154429328798666
reb,0.5,0.2,1.9118460583401473
reb,0.5,0.25,1.9098636986779884
reb,0.5,0.3,1.909156509432249
reb,0.5,0.4,1.9106749015029252
reb,0.5,0.5,1.9156794492680118
reb,0.5,0.7,1.9328538655829155
reb,0.7,0.0,2.045737021633359
reb,0.7,0.01,2.0429248226276737
reb,0.7,0.02,2.04017098598836
reb,0.7,0.03,2.037608019385241
reb,0.7,0.05,2.03281594472362
reb,0.7,0.08,2.0265121435991658
reb,0.7,0.1,2.022982236125593
reb,0.7,0.15,2.0163772861704437
reb,0.7,0.2,2.012478557942409
reb,0.7,0.25,2.0101018131295656
reb,0.7,0.3,2.0089054440529828
reb,0.7,0.4,2.009572519351469
reb,0.7,0.5,2.0132249202214347
reb,0.7,0.7,2.027888394894073
ast,0.0,0.0,1.2315718933007096
ast,0.0,0.01,1.2301723642381561
ast,0.0,0.02,1.2288016283448573
ast,0.0,0.03,1.227480490852829
ast,0.0,0.05,1.2250677819459692
ast,0.0,0.08,1.2219513286820098
ast,0.0,0.1,1.2201889891962343
ast,0.0,0.15,1.2169241063102039
ast,0.0,0.2,1.2148429529710767
ast,0.0,0.25,1.2136312132346865
ast,0.0,0.3,1.2130484850390504
ast,0.0,0.4,1.2134315042577153
ast,0.0,0.5,1.215381813510823
ast,0.0,0.7,1.2225197634979992
ast,0.01,0.0,1.2309037000368086
ast,0.01,0.01,1.2295135418599035
ast,0.01,0.02,1.2281612216150093
ast,0.01,0.03,1.22687882932712
ast,0.01,0.05,1.224515278420375
ast,0.01,0.08,1.2214410878408388
ast,0.01,0.1,1.219690865958407
ast,0.01,0.15,1.216470933013127
ast,0.01,0.2,1.2144288200815767
ast,0.01,0.25,1.2132142812529048
ast,0.01,0.3,1.2126171964897987
ast,0.01,0.4,1.2130568775923496
ast,0.01,0.5,1.2149966764904625
ast,0.01,0.7,1.2220957012909266
ast,0.02,0.0,1.2303379158326417
ast,0.02,0.01,1.2289655432726996
ast,0.02,0.02,1.227638617412301
ast,0.02,0.03,1.226390780535862
ast,0.02,0.05,1.2240688060278675
ast,0.02,0.08,1.2210199291122297
ast,0.02,0.1,1.2193102897461203
ast,0.02,0.15,1.2161672849129814
ast,0.02,0.2,1.2141519438341064
ast,0.02,0.25,1.2129443340823334
ast,0.02,0.3,1.2123536470088059
ast,0.02,0.4,1.2128169909445883
ast,0.02,0.5,1.2147331985314607
ast,0.02,0.7,1.221801553355512
ast,0.03,0.0,1.2299380783324305
ast,0.03,0.01,1.2285589896254898
ast,0.03,0.02,1.2272649283634154
ast,0.03,0.03,1.2260475628186265
ast,0.03,0.05,1.2237389541929993
ast,0.03,0.08,1.2207155709296225
ast,0.03,0.1,1.2190422263597238
ast,0.03,0.15,1.2159982182158189
ast,0.03,0.2,1.2139866051507529
ast,0.03,0.25,1.2128129970065284
ast,0.03,0.3,1.212242670217065
ast,0.03,0.4,1.21271851766277
ast,0.03,0.5,1.214611160186395
ast,0.03,0.7,1.2216521603682158
ast,0.05,0.0,1.229715366769259
ast,0.05,0.01,1.2284025192233525
ast,0.05,0.02,1.2271232552761582
ast,0.05,0.03,1.2258891246888521
ast,0.05,0.05,1.2235642336673036
ast,0.05,0.08,1.2205730133869825
ast,0.05,0.1,1.2189626380509948
ast,0.05,0.15,1.2159873255059706
ast,0.05,0.2,1.214104819635807
ast,0.05,0.25,1.2130045274127146
ast,0.05,0.3,1.2125161679491254
ast,0.05,0.4,1.2129500377823708
ast,0.05,0.5,1.214820847483935
ast,0.05,0.7,1.221918712885865
ast,0.08,0.0,1.230892065211365
ast,0.08,0.01,1.2295863046956232
ast,0.08,0.02,1.2283378317124432
ast,0.08,0.03,1.2271540088002724
ast,0.08,0.05,1.2248790463572607
ast,0.08,0.08,1.2219024939589942
ast,0.08,0.1,1.2203280255459013
ast,0.08,0.15,1.2173347357885802
ast,0.08,0.2,1.2155572828250094
ast,0.08,0.25,1.2145290902336756
ast,0.08,0.3,1.2140345255559648
ast,0.08,0.4,1.2144147042800137
ast,0.08,0.5,1.216197629138975
ast,0.08,0.7,1.2235055246681512
ast,0.1,0.0,1.23246307562456
ast,0.1,0.01,1.2311916254794069
ast,0.1,0.02,1.2299634362144694
ast,0.1,0.03,1.2287878081871522
ast,0.1,0.05,1.226562142719899
ast,0.1,0.08,1.2236521613926743
ast,0.1,0.1,1.2221173760168211
ast,0.1,0.15,1.2191927428366858
ast,0.1,0.2,1.2174564691503151
ast,0.1,0.25,1.2163995582091565
ast,0.1,0.3,1.215870513433706
ast,0.1,0.4,1.216184185046649
ast,0.1,0.5,1.2179364316910515
ast,0.1,0.7,1.225225500891432
ast,0.15,0.0,1.2387262013497498
ast,0.15,0.01,1.2374488668024388
ast,0.15,0.02,1.2362177786827946
ast,0.15,0.03,1.2350333536875244
ast,0.15,0.05,1.2328181132564942
ast,0.15,0.08,1.2299691879466275
ast,0.15,0.1,1.2284235650162862
ast,0.15,0.15,1.2256575730347097
ast,0.15,0.2,1.2239239886769426
ast,0.15,0.25,1.2229213190716914
ast,0.15,0.3,1.2223684837219424
ast,0.15,0.4,1.2225209485131432
ast,0.15,0.5,1.2244117990952206
ast,0.15,0.7,1.2314796954652265
ast,0.2,0.0,1.247167561567394
ast,0.2,0.01,1.2459082772936834
ast,0.2,0.02,1.2446849339735182
ast,0.2,0.03,1.2435118869175648
ast,0.2,0.05,1.2413712373308297
ast,0.2,0.08,1.238575507225047
ast,0.2,0.1,1.2369844462312851
ast,0.2,0.15,1.2340829274609129
ast,0.2,0.2,1.2322855769590917
ast,0.2,0.25,1.2313242421844686
ast,0.2,0.3,1.230870566732139
ast,0.2,0.4,1.231288365821563
ast,0.2,0.5,1.2329936686750609
ast,0.2,0.7,1.2398762647779271
ast,0.25,0.0,1.2574784338389338
ast,0.25,0.01,1.256260957579561
ast,0.25,0.02,1.2550782179695854
ast,0.25,0.03,1.2539303602932266
ast,0.25,0.05,1.25183720550155
ast,0.25,0.08,1.2490788712849956
ast,0.25,0.1,1.2475390328468217
ast,0.25,0.15,1.244553420740337
ast,0.25,0.2,1.2426874500604748
ast,0.25,0.25,1.2416945690407073
ast,0.25,0.3,1.2413141978968951
ast,0.25,0.4,1.2417854245301876
ast,0.25,0.5,1.2434519329959453
ast,0.25,0.7,1.2501172670591496
ast,0.3,0.0,1.2694028264593296
ast,0.3,0.01,1.2682170558419512
ast,0.3,0.02,1.2670511308427874
ast,0.3,0.03,1.2659209889581644
ast,0.3,0.05,1.2637729939756088
ast,0.3,0.08,1.2609922038797752
ast,0.3,0.1,1.25939876506594
ast,0.3,0.15,1.2564283862964323
ast,0.3,0.2,1.2545315221610893
ast,0.3,0.25,1.253456068725887
ast,0.3,0.3,1.2529748951316393
ast,0.3,0.4,1.2533624997320023
ast,0.3,0.5,1.254879433226687
ast,0.3,0.7,1.2614897187862133
ast,0.4,0.0,1.297666957910915
ast,0.4,0.01,1.2964337968414952
ast,0.4,0.02,1.295229424111739
ast,0.4,0.03,1.2940765441249134
ast,0.4,0.05,1.2918799853954452
ast,0.4,0.08,1.2890071871981896
ast,0.4,0.1,1.2874160729808992
ast,0.4,0.15,1.284253891127077
ast,0.4,0.2,1.2820644164647654
ast,0.4,0.25,1.2807129730983196
ast,0.4,0.3,1.2799347921534612
ast,0.4,0.4,1.2799625841657056
ast,0.4,0.5,1.2813262663757792
ast,0.4,0.7,1.2872394663781144
ast,0.5,0.0,1.3302483141392747
ast,0.5,0.01,1.3290242783530906
ast,0.5,0.02,1.3278294987491066
ast,0.5,0.03,1.326697823057984
ast,0.5,0.05,1.3245406516974856
ast,0.5,0.08,1.3217702859066265
ast,0.5,0.1,1.3202021426395738
ast,0.5,0.15,1.317029255248409
ast,0.5,0.2,1.3148473771025255
ast,0.5,0.25,1.3134010923952186
ast,0.5,0.3,1.3125053839023741
ast,0.5,0.4,1.3120469848870933
ast,0.5,0.5,1.3129322922258846
ast,0.5,0.7,1.3181646423489084
ast,0.7,0.0,1.4081127201902677
ast,0.7,0.01,1.4069735442899765
ast,0.7,0.02,1.4058497288889529
ast,0.7,0.03,1.4047474901468662
ast,0.7,0.05,1.402637803907691
ast,0.7,0.08,1.3998251938748494
ast,0.7,0.1,1.398266537982892
ast,0.7,0.15,1.3950836032280671
ast,0.7,0.2,1.3928425419828994
ast,0.7,0.25,1.3914819181881104
ast,0.7,0.3,1.3904818109629506
ast,0.7,0.4,1.3894104348137284
ast,0.7,0.5,1.389379446872675
ast,0.7,0.7,1.392879313738392
