target,protocol,fold,arm,form,alpha_eff,alpha_exp,n_test,test_mae
pts,P3_HALF,test2021H2,TOT_tuned,TOT,0.1,0.1,1890,4.19606308284322
pts,P3_HALF,test2021H2,SINGLE_tuned,PER36,0.1,0.1,1890,4.188546262371867
pts,P3_HALF,test2021H2,SPLIT_tuned,PER36,0.1,0.15,1890,4.179586855407457
pts,P3_HALF,test2021H2,SPLITFORM,RATE100,0.1,0.15,1890,4.183580038012927
pts,P3_HALF,test2022H2,INCUMBENT,PER36,0.3,0.3,2189,4.093409858088029
pts,P3_HALF,test2022H2,NAIVE,STD,,,2189,4.067290716263027
pts,P3_HALF,test2022H2,FROZEN_SPLIT,PER36,0.03,0.3,2189,3.9317830041484267
pts,P3_HALF,test2022H2,TOT_tuned,TOT,0.1,0.1,2189,3.9836488240591947
pts,P3_HALF,test2022H2,SINGLE_tuned,PER36,0.1,0.1,2189,3.980094470209816
pts,P3_HALF,test2022H2,SPLIT_tuned,PER36,0.05,0.2,2189,3.937741220250982
pts,P3_HALF,test2022H2,SPLITFORM,RATE100,0.05,0.2,2189,3.9475466795063623
pts,P3_HALF,test2023H2,INCUMBENT,PER36,0.3,0.3,2391,4.204959550595176
pts,P3_HALF,test2023H2,NAIVE,STD,,,2391,4.111322647657222
pts,P3_HALF,test2023H2,FROZEN_SPLIT,PER36,0.03,0.3,2391,4.06842469266675
pts,P3_HALF,test2023H2,TOT_tuned,TOT,0.1,0.1,2391,4.087942922352786
pts,P3_HALF,test2023H2,SINGLE_tuned,PER36,0.1,0.1,2391,4.068526307755803
pts,P3_HALF,test2023H2,SPLIT_tuned,PER36,0.05,0.2,2391,4.065096988176401
pts,P3_HALF,test2023H2,SPLITFORM,RATE100,0.03,0.25,2391,4.081970092899716
pts,P3_HALF,test2024H2,INCUMBENT,PER36,0.3,0.3,2397,4.21044530293015
pts,P3_HALF,test2024H2,NAIVE,STD,,,2397,4.211648678358888
pts,P3_HALF,test2024H2,FROZEN_SPLIT,PER36,0.03,0.3,2397,4.092207484694775
pts,P3_HALF,test2024H2,TOT_tuned,TOT,0.1,0.1,2397,4.144874192198421
pts,P3_HALF,test2024H2,SINGLE_tuned,PER36,0.1,0.1,2397,4.112692024441563
pts,P3_HALF,test2024H2,SPLIT_tuned,PER36,0.05,0.2,2397,4.090262074674597
pts,P3_HALF,test2024H2,SPLITFORM,PER100,0.03,0.25,2397,4.081818740165389
reb,P1_LOSO,test2021,INCUMBENT,PER36,0.3,0.3,3433,1.9154686523841742
reb,P1_LOSO,test2021,NAIVE,STD,,,3433,1.8923191427586898
reb,P1_LOSO,test2021,FROZEN_SPLIT,PER36,0.03,0.3,3433,1.8683286005284514
reb,P1_LOSO,test2021,TOT_tuned,TOT,0.1,0.1,3433,1.8817521284994698
reb,P1_LOSO,test2021,SINGLE_tuned,PER36,0.1,0.1,3433,1.8817105544139618
reb,P1_LOSO,test2021,SPLIT_tuned,PER36,0.05,0.3,3433,1.8683848737549538
reb,P1_LOSO,test2021,SPLITFORM,RATE100,0.05,0.3,3433,1.8626435681259277
reb,P1_LOSO,test2022,INCUMBENT,PER36,0.3,0.3,4030,1.8113032069402948
reb,P1_LOSO,test2022,NAIVE,STD,,,4030,1.7988028942172252
reb,P1_LOSO,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,1.7645219698144692
reb,P1_LOSO,test2022,TOT_tuned,TOT,0.1,0.1,4030,1.7719292071754194
reb,P1_LOSO,test2022,SINGLE_tuned,PER36,0.1,0.1,4030,1.779079322396722
reb,P1_LOSO,test2022,SPLIT_tuned,PER36,0.05,0.3,4030,1.7647690412297956
reb,P1_LOSO,test2022,SPLITFORM,PER100,0.03,0.3,4030,1.7630612678030844
reb,P1_LOSO,test2023,INCUMBENT,PER36,0.3,0.3,4435,1.8218024407136773
reb,P1_LOSO,test2023,NAIVE,STD,,,4435,1.796523013393498
reb,P1_LOSO,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,1.7718856384431467
reb,P1_LOSO,test2023,TOT_tuned,TOT,0.1,0.1,4435,1.7765103753048266
reb,P1_LOSO,test2023,SINGLE_tuned,PER36,0.1,0.1,4435,1.7819593815372765
reb,P1_LOSO,test2023,SPLIT_tuned,PER36,0.03,0.3,4435,1.7718856384431467
reb,P1_LOSO,test2023,SPLITFORM,RATE100,0.03,0.3,4435,1.7681881985000298
reb,P1_LOSO,test2024,INCUMBENT,PER36,0.3,0.3,4447,1.814075718875047
reb,P1_LOSO,test2024,NAIVE,STD,,,4447,1.8032297456206483
reb,P1_LOSO,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,1.757938286525643
reb,P1_LOSO,test2024,TOT_tuned,TOT,0.1,0.1,4447,1.7807374543258874
reb,P1_LOSO,test2024,SINGLE_tuned,PER36,0.1,0.1,4447,1.7814906906788495
reb,P1_LOSO,test2024,SPLIT_tuned,PER36,0.05,0.3,4447,1.75816048974705
reb,P1_LOSO,test2024,SPLITFORM,RATE100,0.05,0.3,4447,1.7580186856404885
reb,P2_WALKFWD,test2022,INCUMBENT,PER36,0.3,0.3,4030,1.8113032069402948
reb,P2_WALKFWD,test2022,NAIVE,STD,,,4030,1.7988028942172252
reb,P2_WALKFWD,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,1.7645219698144692
reb,P2_WALKFWD,test2022,TOT_tuned,TOT,0.1,0.1,4030,1.7719292071754194
reb,P2_WALKFWD,test2022,SINGLE_tuned,PER36,0.08,0.08,4030,1.7808574622710984
reb,P2_WALKFWD,test2022,SPLIT_tuned,PER36,0.03,0.3,4030,1.7645219698144692
reb,P2_WALKFWD,test2022,SPLITFORM,RATE100,0.0,0.4,4030,1.7608312792483654
reb,P2_WALKFWD,test2023,INCUMBENT,PER36,0.3,0.3,4435,1.8218024407136773
reb,P2_WALKFWD,test2023,NAIVE,STD,,,4435,1.796523013393498
reb,P2_WALKFWD,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,1.7718856384431467
reb,P2_WALKFWD,test2023,TOT_tuned,TOT,0.1,0.1,4435,1.7765103753048266
reb,P2_WALKFWD,test2023,SINGLE_tuned,PER36,0.1,0.1,4435,1.7819593815372765
reb,P2_WALKFWD,test2023,SPLIT_tuned,PER36,0.03,0.3,4435,1.7718856384431467
reb,P2_WALKFWD,test2023,SPLITFORM,RATE100,0.03,0.3,4435,1.7681881985000298
reb,P2_WALKFWD,test2024,INCUMBENT,PER36,0.3,0.3,4447,1.814075718875047
reb,P2_WALKFWD,test2024,NAIVE,STD,,,4447,1.8032297456206483
reb,P2_WALKFWD,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,1.757938286525643
reb,P2_WALKFWD,test2024,TOT_tuned,TOT,0.1,0.1,4447,1.7807374543258874
reb,P2_WALKFWD,test2024,SINGLE_tuned,PER36,0.1,0.1,4447,1.7814906906788495
reb,P2_WALKFWD,test2024,SPLIT_tuned,PER36,0.05,0.3,4447,1.75816048974705
reb,P2_WALKFWD,test2024,SPLITFORM,RATE100,0.05,0.3,4447,1.7580186856404885
reb,P3_HALF,test2021H2,INCUMBENT,PER36,0.3,0.3,1890,1.945351004276684
reb,P3_HALF,test2021H2,NAIVE,STD,,,1890,1.9308402170408834
reb,P3_HALF,test2021H2,FROZEN_SPLIT,PER36,0.03,0.3,1890,1.8948826810160089
reb,P3_HALF,test2021H2,TOT_tuned,TOT,0.05,0.05,1890,1.9183628860650606
reb,P3_HALF,test2021H2,SINGLE_tuned,PER36,0.03,0.03,1890,1.9208841258269167
reb,P3_HALF,test2021H2,SPLIT_tuned,PER36,0.0,0.3,1890,1.8967617037538969
reb,P3_HALF,test2021H2,SPLITFORM,RATE100,0.0,0.3,1890,1.8884094538087437
reb,P3_HALF,test2022H2,INCUMBENT,PER36,0.3,0.3,2189,1.7976345172083683
reb,P3_HALF,test2022H2,NAIVE,STD,,,2189,1.8028507323693581
reb,P3_HALF,test2022H2,FROZEN_SPLIT,PER36,0.03,0.3,2189,1.7516121305049799
reb,P3_HALF,test2022H2,TOT_tuned,TOT,0.1,0.1,2189,1.7610419078130433
reb,P3_HALF,test2022H2,SINGLE_tuned,PER36,0.08,0.08,2189,1.7683769462967536
reb,P3_HALF,test2022H2,SPLIT_tuned,PER36,0.03,0.3,2189,1.7516121305049799
reb,P3_HALF,test2022H2,SPLITFORM,RATE100,0.01,0.3,2189,1.7416871322991028
reb,P3_HALF,test2023H2,INCUMBENT,PER36,0.3,0.3,2391,1.7803350461960654
reb,P3_HALF,test2023H2,NAIVE,STD,,,2391,1.7530223612122624
reb,P3_HALF,test2023H2,FROZEN_SPLIT,PER36,0.03,0.3,2391,1.7143853667572602
reb,P3_HALF,test2023H2,TOT_tuned,TOT,0.1,0.1,2391,1.725201360200636
reb,P3_HALF,test2023H2,SINGLE_tuned,PER36,0.1,0.1,2391,1.7275463926833665
reb,P3_HALF,test2023H2,SPLIT_tuned,PER36,0.03,0.3,2391,1.7143853667572602
reb,P3_HALF,test2023H2,SPLITFORM,RATE100,0.03,0.3,2391,1.713147856099556
reb,P3_HALF,test2024H2,INCUMBENT,PER36,0.3,0.3,2397,1.8276102897861448
reb,P3_HALF,test2024H2,NAIVE,STD,,,2397,1.823097824295157
reb,P3_HALF,test2024H2,FROZEN_SPLIT,PER36,0.03,0.3,2397,1.7658544027116856
reb,P3_HALF,test2024H2,TOT_tuned,TOT,0.1,0.1,2397,1.7929062289861102
reb,P3_HALF,test2024H2,SINGLE_tuned,PER36,0.1,0.1,2397,1.7963165133305685
reb,P3_HALF,test2024H2,SPLIT_tuned,PER36,0.05,0.3,2397,1.766135321743919
reb,P3_HALF,test2024H2,SPLITFORM,RATE100,0.03,0.3,2397,1.763107999182977
ast,P1_LOSO,test2021,INCUMBENT,PER36,0.3,0.3,3433,1.2506849477511355
ast,P1_LOSO,test2021,NAIVE,STD,,,3433,1.2231570794049953
ast,P1_LOSO,test2021,FROZEN_SPLIT,PER36,0.03,0.3,3433,1.2196851108837101
ast,P1_LOSO,test2021,TOT_tuned,TOT,0.1,0.1,3433,1.2192634317644675
ast,P1_LOSO,test2021,SINGLE_tuned,PER36,0.08,0.08,3433,1.2255042294503158
ast,P1_LOSO,test2021,SPLIT_tuned,PER36,0.03,0.3,3433,1.2196851108837101
ast,P1_LOSO,test2021,SPLITFORM,RATE100,0.03,0.3,3433,1.2093893083113667
ast,P1_LOSO,test2022,INCUMBENT,PER36,0.3,0.3,4030,1.2773015272286365
ast,P1_LOSO,test2022,NAIVE,STD,,,4030,1.245692362192834
ast,P1_LOSO,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,1.224282391319003
ast,P1_LOSO,test2022,TOT_tuned,TOT,0.1,0.1,4030,1.2419482491875014
ast,P1_LOSO,test2022,SINGLE_tuned,PER36,0.1,0.1,4030,1.242989911466758
ast,P1_LOSO,test2022,SPLIT_tuned,PER36,0.05,0.3,4030,1.2259965204097973
ast,P1_LOSO,test2022,SPLITFORM,RATE100,0.03,0.3,4030,1.2251650337253013
ast,P1_LOSO,test2023,INCUMBENT,PER36,0.3,0.3,4435,1.2545623164003052
ast,P1_LOSO,test2023,NAIVE,STD,,,4435,1.2278349156584878
ast,P1_LOSO,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,1.2054400795413356
ast,P1_LOSO,test2023,TOT_tuned,TOT,0.1,0.1,4435,1.2183627990656825
ast,P1_LOSO,test2023,SINGLE_tuned,PER36,0.1,0.1,4435,1.218249007498684
ast,P1_LOSO,test2023,SPLIT_tuned,PER36,0.03,0.3,4435,1.2054400795413356
ast,P1_LOSO,test2023,SPLITFORM,RATE100,0.03,0.3,4435,1.2046967556095467
ast,P1_LOSO,test2024,INCUMBENT,PER36,0.3,0.3,4447,1.2311140560670653
ast,P1_LOSO,test2024,NAIVE,STD,,,4447,1.2254662967007968
ast,P1_LOSO,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,1.202370737407858
ast,P1_LOSO,test2024,TOT_tuned,TOT,0.08,0.08,4447,1.2054468307840707
ast,P1_LOSO,test2024,SINGLE_tuned,PER36,0.08,0.08,4447,1.2056909612214206
ast,P1_LOSO,test2024,SPLIT_tuned,PER36,0.02,0.3,4447,1.2030803864743693
ast,P1_LOSO,test2024,SPLITFORM,RATE100,0.01,0.3,4447,1.200511253794092
ast,P2_WALKFWD,test2022,INCUMBENT,PER36,0.3,0.3,4030,1.2773015272286365
ast,P2_WALKFWD,test2022,NAIVE,STD,,,4030,1.245692362192834
ast,P2_WALKFWD,test2022,FROZEN_SPLIT,PER36,0.03,0.3,4030,1.224282391319003
ast,P2_WALKFWD,test2022,TOT_tuned,TOT,0.08,0.08,4030,1.2412193498816213
ast,P2_WALKFWD,test2022,SINGLE_tuned,PER36,0.1,0.1,4030,1.242989911466758
ast,P2_WALKFWD,test2022,SPLIT_tuned,PER36,0.05,0.3,4030,1.2259965204097973
ast,P2_WALKFWD,test2022,SPLITFORM,RATE100,0.01,0.3,4030,1.2246779746997905
ast,P2_WALKFWD,test2023,INCUMBENT,PER36,0.3,0.3,4435,1.2545623164003052
ast,P2_WALKFWD,test2023,NAIVE,STD,,,4435,1.2278349156584878
ast,P2_WALKFWD,test2023,FROZEN_SPLIT,PER36,0.03,0.3,4435,1.2054400795413356
ast,P2_WALKFWD,test2023,TOT_tuned,TOT,0.08,0.08,4435,1.2179815594470416
ast,P2_WALKFWD,test2023,SINGLE_tuned,PER36,0.08,0.08,4435,1.2173137906316902
ast,P2_WALKFWD,test2023,SPLIT_tuned,PER36,0.01,0.3,4435,1.205549627824864
ast,P2_WALKFWD,test2023,SPLITFORM,RATE100,0.01,0.3,4435,1.2047787565800494
ast,P2_WALKFWD,test2024,INCUMBENT,PER36,0.3,0.3,4447,1.2311140560670653
ast,P2_WALKFWD,test2024,NAIVE,STD,,,4447,1.2254662967007968
ast,P2_WALKFWD,test2024,FROZEN_SPLIT,PER36,0.03,0.3,4447,1.202370737407858
ast,P2_WALKFWD,test2024,TOT_tuned,TOT,0.08,0.08,4447,1.2054468307840707
ast,P2_WALKFWD,test2024,SINGLE_tuned,PER36,0.08,0.08,4447,1.2056909612214206
ast,P2_WALKFWD,test2024,SPLIT_tuned,PER36,0.02,0.3,4447,1.2030803864743693
ast,P2_WALKFWD,test2024,SPLITFORM,RATE100,0.01,0.3,4447,1.200511253794092
ast,P3_HALF,test2021H2,INCUMBENT,PER36,0.3,0.3,1890,1.2402643446743236
ast,P3_HALF,test2021H2,NAIVE,STD,,,1890,1.2224193248332562
ast,P3_HALF,test2021H2,FROZEN_SPLIT,PER36,0.03,0.3,1890,1.2017786924228846
ast,P3_HALF,test2021H2,TOT_tuned,TOT,0.05,0.05,1890,1.2175129610972582
ast,P3_HALF,test2021H2,SINGLE_tuned,PER36,0.05,0.05,1890,1.2186977377352062
ast,P3_HALF,test2021H2,SPLIT_tuned,PER36,0.05,0.08,1890,1.2150208905084317
ast,P3_HALF,test2021H2,SPLITFORM,RATE100,0.03,0.08,1890,1.2115335483384548
ast,P3_HALF,test2022H2,INCUMBENT,PER36,0.3,0.3,2189,1.3110062029619234
ast,P3_HALF,test2022H2,NAIVE,STD,,,2189,1.2689296118301887
ast,P3_HALF,test2022H2,FROZEN_SPLIT,PER36,0.03,0.3,2189,1.2426443513387815
ast,P3_HALF,test2022H2,TOT_tuned,TOT,0.1,0.1,2189,1.2657183065705135
ast,P3_HALF,test2022H2,SINGLE_tuned,PER36,0.1,0.1,2189,1.2671464157026138
ast,P3_HALF,test2022H2,SPLIT_tuned,PER36,0.05,0.3,2189,1.2453648502014703
ast,P3_HALF,test2022H2,SPLITFORM,RATE100,0.01,0.3,2189,1.2430274417415592
ast,P3_HALF,test2023H2,INCUMBENT,PER36,0.3,0.3,2391,1.2403227917212434
ast,P3_HALF,test2023H2,NAIVE,STD,,,2391,1.2108526693737796
ast,P3_HALF,test2023H2,FROZEN_SPLIT,PER36,0.03,0.3,2391,1.1789204304311787
ast,P3_HALF,test2023H2,TOT_tuned,TOT,0.08,0.08,2391,1.194315658629554
ast,P3_HALF,test2023H2,SINGLE_tuned,PER36,0.08,0.08,2391,1.192032565331772
ast,P3_HALF,test2023H2,SPLIT_tuned,PER36,0.01,0.3,2391,1.1796346858709204
ast,P3_HALF,test2023H2,SPLITFORM,RATE100,0.0,0.3,2391,1.1816938830442696
ast,P3_HALF,test2024H2,INCUMBENT,PER36,0.3,0.3,2397,1.242151914569021
ast,P3_HALF,test2024H2,NAIVE,STD,,,2397,1.2375766400074326
ast,P3_HALF,test2024H2,FROZEN_SPLIT,PER36,0.03,0.3,2397,1.2084698767843787
ast,P3_HALF,test2024H2,TOT_tuned,TOT,0.08,0.08,2397,1.207835981720217
ast,P3_HALF,test2024H2,SINGLE_tuned,PER36,0.08,0.08,2397,1.2085028403515474
ast,P3_HALF,test2024H2,SPLIT_tuned,PER36,0.02,0.4,2397,1.2127486918976575
ast,P3_HALF,test2024H2,SPLITFORM,RATE100,0.01,0.4,2397,1.2101678855936346
