from_venue_id,to_venue_id,great_circle_km,great_circle_mi,elevation_gain_ft,tz_offset_delta_hours_jul
chase_center,target_center,2542.004,1579.527,810,2.0
chase_center,gainbridge_fieldhouse,3127.755,1943.496,695,3.0
chase_center,moda_center,863.584,536.606,30,0.0
chase_center,climate_pledge_arena,1095.731,680.855,155,0.0
chase_center,wintrust_arena,2983.557,1853.896,575,2.0
chase_center,gateway_center_arena,3432.293,2132.727,990,3.0
chase_center,chase_center,0.0,0.0,0,0.0
chase_center,coca_cola_coliseum,3638.881,2261.095,230,3.0
coca_cola_coliseum,barclays_center,555.722,345.309,-220,0.0
coca_cola_coliseum,footprint_center,3033.292,1884.8,840,-3.0
coca_cola_coliseum,michelob_ultra_arena,3138.544,1950.201,1780,-3.0
coca_cola_coliseum,crypto_com_arena,3493.795,2170.943,35,-3.0
coca_cola_coliseum,college_park_center,1957.826,1216.536,354,-1.0
coca_cola_coliseum,entertainment_sports_arena,567.959,352.913,-120,0.0
coca_cola_coliseum,mohegan_sun_arena,645.457,401.068,-210,0.0
coca_cola_coliseum,target_center,1111.346,690.558,580,-1.0
coca_cola_coliseum,gainbridge_fieldhouse,705.398,438.314,465,0.0
coca_cola_coliseum,moda_center,3389.96,2106.423,-200,-3.0
coca_cola_coliseum,climate_pledge_arena,3324.642,2065.836,-75,-3.0
coca_cola_coliseum,wintrust_arena,698.033,433.738,345,-1.0
coca_cola_coliseum,gateway_center_arena,1192.058,740.71,760,0.0
coca_cola_coliseum,chase_center,3638.881,2261.095,-230,-3.0
coca_cola_coliseum,coca_cola_coliseum,0.0,0.0,0,0.0
