absence_game_id,absent_player_id,absent_player_name,top_absorber_id,top_absorber_name,delta_usage,season
1022200182,1628890,Diamond DeShields,100940,Diana Taurasi,0.14908,2022
1022200184,203403,Tianna Hawkins,204322,Elizabeth Williams,0.13835,2022
1022200185,1629574,Li Yueru,201516,Allie Quigley,0.1117499999999999,2022
1022200187,1630150,Chennedy Carter,1628882,Lexie Brown,0.1793636363636363,2022
1022200189,100940,Diana Taurasi,1631068,Sam Thomas,0.09975,2022
1022200190,1630454,Charli Collier,204330,Isabelle Harrison,0.1343749999999999,2022
1022200191,1630150,Chennedy Carter,1631147,Kianna Smith,0.2924,2022
1022200192,203399,Elena Delle Donne,1631091,Evina Westbrook,0.1098,2022
1022200193,1630454,Charli Collier,1630386,Awak Kuier,0.0456428571428571,2022
1022200194,100940,Diana Taurasi,1629482,Sophie Cunningham,0.1181304347826087,2022
1022200195,1629574,Li Yueru,1627700,Julie Allemand,0.0871538461538461,2022
1022200196,203403,Tianna Hawkins,204322,Elizabeth Williams,0.13035,2022
1022200197,202650,Jantel Lavender,202250,Tina Charles,0.0706666666666666,2022
1022200198,1627672,Aerial Powers,203831,Natalie Achonwa,0.1323333333333333,2022
1022200199,1630454,Charli Collier,1631029,Jasmine Dickey,0.1494,2022
1022200200,1629574,Li Yueru,202664,Courtney Vandersloot,0.1524285714285714,2022
1022200202,1630150,Chennedy Carter,203014,Nneka Ogwumike,0.0733478260869565,2022
1022200204,100940,Diana Taurasi,1629484,Megan Gustafson,0.1901785714285714,2022
1022200207,1628899,Myisha Hines-Allen,203403,Tianna Hawkins,0.0790434782608695,2022
1022200210,1630454,Charli Collier,204330,Isabelle Harrison,0.1903749999999999,2022
1022200212,1629476,Asia (AD) Durr,1628881,Monique Billings,0.0704166666666666,2022
1022200213,1628909,Kelsey Mitchell,1631062,Khayla Pointer,0.0807142857142857,2022
1022200214,100940,Diana Taurasi,1628890,Diamond DeShields,0.2076799999999999,2022
1022200215,202650,Jantel Lavender,201896,Briann January,0.0915925925925925,2022
1022300004,1628922,Azurá Stevens,204324,Dearica Hamby,0.143,2023
1022300007,1628899,Myisha Hines-Allen,204320,Amanda Zahui B,0.1312857142857142,2023
1022300009,1629497,Marina Mabrey,1641641,Robyn Parks,0.0946944444444444,2023
1022300010,1630096,DiJonai Carrington,1631135,Olivia Nelson-Ododa,0.12971875,2023
1022300012,204297,Cayla George,1629498,Jackie Young,0.0884374999999999,2023
1022300014,1628899,Myisha Hines-Allen,204320,Amanda Zahui B,0.1672857142857143,2023
1022300018,1628242,Emma Cannon,1628909,Kelsey Mitchell,0.0802333333333333,2023
1022300025,1631263,Nikolina Milić,1627671,Rachel Banham,0.1153548387096774,2023
1022300027,204297,Cayla George,201496,Candace Parker,0.0538181818181818,2023
1022300029,1628922,Azurá Stevens,1628886,Jordin Canada,0.063735294117647,2023
1022300031,1628922,Azurá Stevens,204324,Dearica Hamby,0.092,2023
1022300033,1630389,Dana Evans,1631021,Sika Koné,0.1197368421052631,2023
1022300034,204297,Cayla George,1629498,Jackie Young,0.0254375,2023
1022300035,204297,Cayla George,204329,Kiah Stokes,0.05153125,2023
1022300036,1628242,Emma Cannon,1628929,Kristy Wallace,0.0996666666666666,2023
1022300038,1627671,Rachel Banham,1629491,Jessica Shepard,0.12575,2023
1022300043,1628242,Emma Cannon,1631086,Lexie Hull,0.2134999999999999,2023
1022300045,204319,Jewell Loyd,1630441,Arella Guirantes,0.1015,2023
1022300049,1627669,Moriah Jefferson,1641690,Kadi Sissoko,0.1331282051282051,2023
1022300050,203399,Elena Delle Donne,1631022,Shakira Austin,0.0405,2023
1022300051,1641649,Diamond Miller,1627676,Tiffany Mitchell,0.09764,2023
