absence_game_id,n_playing,n_gainers,total_pos_delta,top1_share,top2_share,hhi,even_split_top1_baseline
1022200024,9.0,7.0,0.35894732806087964,0.3116601140945603,0.5051470339677913,0.2028284939283894,0.14285714285714285
1022200030,9.0,5.0,0.22466369047619023,0.37389219335779666,0.7047571104958472,0.2893226375057057,0.2
1022200031,9.0,5.0,0.3451253447872835,0.32336077800598556,0.5810570073420728,0.25128556108563394,0.2
1022200036,9.0,6.0,0.21188083700085386,0.4127396046810655,0.5901978426804196,0.2503123350600823,0.16666666666666666
1022200041,17.0,8.0,0.48931845548418096,0.3139060018654164,0.6174574654748555,0.22688940526078302,0.125
1022200044,11.0,6.0,0.2772837885154059,0.2836186621796957,0.5276526427775445,0.2101581432533247,0.16666666666666666
1022200048,9.0,3.0,0.2558133333333332,0.591837798394663,0.8824142603982074,0.4485330660368395,0.3333333333333333
1022200052,9.0,5.0,0.14661138716356092,0.32421310685986965,0.6202337696449683,0.2542249220707883,0.2
1022200053,9.0,5.0,0.3913040994623654,0.52876075227497,0.8873906095295838,0.4129612215640855,0.2
1022200059,9.0,3.0,0.3366947204968944,0.4488648784262796,0.8746214800992845,0.39846813620527866,0.3333333333333333
1022200061,8.0,5.0,0.1956839285714283,0.41616856629221743,0.623499995437249,0.281433775833,0.2
1022200062,11.0,5.0,0.39960208333333314,0.5153459952348431,0.7787747186002745,0.3541086540767905,0.2
1022200064,10.0,5.0,0.2765794356609572,0.2869880756330027,0.5487259166074356,0.2279946746203177,0.2
1022200065,10.0,6.0,0.26267057971014474,0.29512912795936047,0.5694905229286475,0.2325393036032956,0.16666666666666666
1022200072,9.0,4.0,0.21544417249417241,0.8055240136520693,0.9847601664258423,0.6811635912204554,0.25
1022200075,18.0,11.0,0.4259445187165769,0.197899289562517,0.35378813677687077,0.1376760154616168,0.09090909090909091
1022200076,19.0,10.0,0.586257173913043,0.22918269656846696,0.45024608950738726,0.15143262497009122,0.1
1022200082,8.0,4.0,0.17780827586206874,0.463195538006842,0.6960305947514175,0.3153807009509466,0.25
1022200084,9.0,3.0,0.1377487179487179,0.43363984959606855,0.7777446856036634,0.35584908209892907,0.3333333333333333
1022200085,10.0,5.0,0.1608272058823526,0.40843524974282797,0.6408275231455025,0.2865389100981265,0.2
1022200088,10.0,5.0,0.27057391304347805,0.4195526417277288,0.7176308008741489,0.30404993057589264,0.2
1022200090,10.0,4.0,0.3060428571428569,0.40843952761051205,0.7666993418288757,0.3425128355650706,0.25
