game_id,team_id,TEAM_ABBREVIATION,TEAM_CITY,player_id,player_name,NICKNAME,start_position,COMMENT,MIN,FGM,fga,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,fta,FT_PCT,OREB,DREB,REB,AST,STL,BLK,tov,PF,PTS,PLUS_MINUS,SEASON,minutes,season,tm_min,tm_fga,tm_fta,tm_tov,usage_percentage,tm_baseline_usage,n_control_games,delta_usage,event_key
1022100043,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,13.000000:56,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,1.0,1.0,4.0,0.0,-4.0,2021,13.933333333333334,2021,225.0,70.0,17.0,17.0,0.10255075376070072,0.14505573601409666,15,-0.04250498225339594,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,12.000000:06,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,-15.0,2021,12.1,2021,225.0,70.0,17.0,17.0,0.19681457792457713,0.1918949287659164,12,0.004919649158660722,100940_1611661317_2021_1022100043
1022100043,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,10.000000:35,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,-4.0,2021,10.583333333333334,2021,225.0,70.0,17.0,17.0,0.22501950169014645,0.13693777088846104,16,0.08808173080168541,100940_1611661317_2021_1022100043
1022100055,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,F,,28.000000:47,2.0,11.0,0.182,1.0,7.0,0.143,2.0,2.0,1.0,0.0,2.0,2.0,2.0,1.0,0.0,1.0,1.0,7.0,-9.0,2021,28.783333333333335,2021,200.0,70.0,23.0,7.0,0.20545508780493252,0.1746010590333278,16,0.03085402877160473,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,28.000000:42,2.0,5.0,0.4,0.0,1.0,0.0,1.0,2.0,0.5,2.0,6.0,8.0,3.0,0.0,1.0,1.0,4.0,5.0,-5.0,2021,28.7,2021,200.0,70.0,23.0,7.0,0.11006485507594155,0.13057651914230484,16,-0.02051166406636329,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,36.000000:10,11.0,17.0,0.647,0.0,1.0,0.0,5.0,6.0,0.833,5.0,11.0,16.0,4.0,1.0,2.0,2.0,1.0,27.0,-6.0,2021,36.166666666666664,2021,200.0,70.0,23.0,7.0,0.2747203920224448,0.2543594114453889,15,0.020360980577055876,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,G,,28.000000:49,3.0,11.0,0.273,2.0,6.0,0.333,2.0,2.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,10.0,5.0,2021,28.816666666666666,2021,200.0,70.0,23.0,7.0,0.1892843998107156,0.19006444246368517,14,-0.0007800426529695759,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,37.000000:35,7.0,18.0,0.389,2.0,8.0,0.25,6.0,8.0,0.75,2.0,4.0,6.0,5.0,0.0,1.0,3.0,3.0,22.0,-1.0,2021,37.583333333333336,2021,200.0,70.0,23.0,7.0,0.29954860029441766,0.25618023685678465,16,0.043368363437633006,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,7.000000:04,1.0,2.0,0.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,-2.0,2021,7.066666666666666,2021,200.0,70.0,23.0,7.0,0.15853214824055303,0.14505573601409666,15,0.013476412226456375,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,15.000000:08,2.0,4.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,4.0,3.0,2021,15.133333333333333,2021,200.0,70.0,23.0,7.0,0.1213577505127365,0.1918949287659164,12,-0.0705371782531799,100940_1611661317_2021_1022100055
1022100055,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,17.000000:45,1.0,2.0,0.5,0.0,1.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,4.0,-5.0,2021,17.75,2021,200.0,70.0,23.0,7.0,0.0744965661739029,0.13693777088846104,16,-0.062441204714558135,100940_1611661317_2021_1022100055
1022100058,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,F,,29.000000:04,2.0,10.0,0.2,2.0,7.0,0.286,4.0,4.0,1.0,0.0,4.0,4.0,2.0,1.0,0.0,4.0,3.0,10.0,-12.0,2021,29.066666666666666,2021,200.0,63.0,16.0,13.0,0.26117622103197746,0.1746010590333278,16,0.08657516199864967,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,18.000000:23,2.0,3.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,1.0,4.0,-12.0,2021,18.383333333333333,2021,200.0,63.0,16.0,13.0,0.10481136574450133,0.13057651914230484,16,-0.02576515339780351,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,32.000000:53,7.0,14.0,0.5,0.0,0.0,0.0,5.0,7.0,0.714,2.0,4.0,6.0,2.0,1.0,2.0,1.0,1.0,19.0,-23.0,2021,32.88333333333333,2021,200.0,63.0,16.0,13.0,0.26484711231685554,0.2543594114453889,15,0.01048770087146661,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,G,,18.000000:34,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,-19.0,2021,18.566666666666666,2021,200.0,63.0,16.0,13.0,0.155664636107969,0.19006444246368517,14,-0.034399806355716184,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,32.000000:27,4.0,12.0,0.333,0.0,3.0,0.0,3.0,5.0,0.6,1.0,4.0,5.0,5.0,1.0,3.0,2.0,2.0,11.0,-14.0,2021,32.45,2021,200.0,63.0,16.0,13.0,0.24047667821548485,0.25618023685678465,16,-0.015703558641299797,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,203035,Shey Peddy,Shey,,,16.000000:29,1.0,5.0,0.2,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,-4.0,2021,16.483333333333334,2021,200.0,63.0,16.0,13.0,0.17533913511049284,0.13693777088846104,16,0.0384013642220318,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,201913,Kia Vaughn,Kia,,,17.000000:52,3.0,6.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,2.0,1.0,0.0,2.0,3.0,6.0,-2.0,2021,17.866666666666667,2021,200.0,63.0,16.0,13.0,0.21568458286601672,0.1918949287659164,12,0.02378965410010031,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,1629482,Sophie Cunningham,Sophie,,,20.000000:09,1.0,5.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,-3.0,2021,20.15,2021,200.0,63.0,16.0,13.0,0.1434329235932816,0.14505573601409666,15,-0.0016228124208150507,100940_1611661317_2021_1022100058
1022100058,1611661317,PHO,Phoenix,1629501,Alanna Smith,Alanna,,,10.000000:52,1.0,2.0,0.5,1.0,2.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,2021,10.866666666666667,2021,200.0,63.0,16.0,13.0,0.08865562608603142,0.15192012813867978,13,-0.06326450205264836,100940_1611661317_2021_1022100058
1022100064,1611661317,PHO,Phoenix,1628915,Kia Nurse,Kia,F,,28.000000:31,3.0,15.0,0.2,0.0,8.0,0.0,3.0,4.0,0.75,1.0,1.0,2.0,4.0,2.0,0.0,1.0,1.0,9.0,13.0,2021,28.516666666666666,2021,199.99999999999997,65.0,33.0,15.0,0.26356059581117725,0.1746010590333278,16,0.08895953677784946,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,1629488,Brianna Turner,Brianna,F,,35.000000:53,3.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,0.75,1.0,7.0,8.0,1.0,1.0,0.0,1.0,2.0,9.0,3.0,2021,35.88333333333333,2021,199.99999999999997,65.0,33.0,15.0,0.0679306831849348,0.13057651914230484,16,-0.06264583595737004,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,203398,Brittney Griner,Brittney,C,,33.000000:26,10.0,16.0,0.625,1.0,1.0,1.0,8.0,8.0,1.0,3.0,11.0,14.0,0.0,1.0,2.0,6.0,3.0,29.0,7.0,2021,33.43333333333333,2021,199.99999999999997,65.0,33.0,15.0,0.32302584417715957,0.2543594114453889,15,0.06866643273177064,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,1630136,Megan Walker,Megan,G,,30.000000:57,2.0,9.0,0.222,1.0,4.0,0.25,1.0,2.0,0.5,1.0,3.0,4.0,3.0,0.0,1.0,1.0,4.0,6.0,5.0,2021,30.95,2021,199.99999999999997,65.0,33.0,15.0,0.14876628584047139,0.19006444246368517,14,-0.04129815662321379,100940_1611661317_2021_1022100064
1022100064,1611661317,PHO,Phoenix,203400,Skylar Diggins-Smith,Skylar,G,,36.000000:26,6.0,16.0,0.375,2.0,7.0,0.286,11.0,13.0,0.846,1.0,5.0,6.0,5.0,0.0,1.0,3.0,3.0,25.0,4.0,2021,36.43333333333333,2021,199.99999999999997,65.0,33.0,15.0,0.28713480429261884,0.25618023685678465,16,0.03095456743583419,100940_1611661317_2021_1022100064
