scope,battery,perm_idx,n_eligible_cells_in_family,max_roi_over_eligible_cells,n_eligible_cells_perm_beats_obs
regular,companion_regular,177,298,0.07028733938932419,280
regular,companion_regular,178,298,0.11782296746969223,219
regular,companion_regular,179,298,0.04936785250902176,161
regular,companion_regular,180,298,0.1581818163394928,243
regular,companion_regular,181,298,0.11688311398029327,258
regular,companion_regular,182,298,0.17482517659664154,243
regular,companion_regular,183,298,0.17008797824382782,204
regular,companion_regular,184,298,0.029013538733124733,207
regular,companion_regular,185,298,0.11570248007774353,228
regular,companion_regular,186,298,0.08387096971273422,200
regular,companion_regular,187,298,0.14787112176418304,263
regular,companion_regular,188,298,0.043449196964502335,241
regular,companion_regular,189,298,0.048128340393304825,171
regular,companion_regular,190,298,0.08556149899959564,148
regular,companion_regular,191,298,0.044356975704431534,223
regular,companion_regular,192,298,0.12522576749324799,270
regular,companion_regular,193,298,0.05244755372405052,253
regular,companion_regular,194,298,0.14795008301734924,225
regular,companion_regular,195,298,0.158620685338974,241
regular,companion_regular,196,298,0.02348484843969345,162
regular,companion_regular,197,298,0.10243277996778488,203
regular,companion_regular,198,298,0.04936785250902176,154
regular,companion_regular,199,298,0.15265865623950958,283
playoff,companion_playoff,0,134,0.10971786826848984,13
playoff,companion_playoff,1,134,0.16239002346992493,23
playoff,companion_playoff,2,134,0.16023875772953033,16
playoff,companion_playoff,3,134,0.056259315460920334,13
playoff,companion_playoff,4,134,0.05999739095568657,18
playoff,companion_playoff,5,134,0.09346991032361984,15
playoff,companion_playoff,6,134,0.09691833704710007,21
playoff,companion_playoff,7,134,0.0473308302462101,7
playoff,companion_playoff,8,134,0.11404533684253693,26
playoff,companion_playoff,9,134,0.07740774005651474,26
playoff,companion_playoff,10,134,0.05933014303445816,12
playoff,companion_playoff,11,134,0.04730692505836487,13
playoff,companion_playoff,12,134,0.08510638028383255,15
playoff,companion_playoff,13,134,0.06740331649780273,17
playoff,companion_playoff,14,134,0.02348484843969345,13
playoff,companion_playoff,15,134,0.1054416298866272,18
playoff,companion_playoff,16,134,0.04502369835972786,10
playoff,companion_playoff,17,134,0.08886771649122238,12
playoff,companion_playoff,18,134,0.1285599321126938,20
playoff,companion_playoff,19,134,0.02890978753566742,10
playoff,companion_playoff,20,134,0.04792490229010582,11
