execution,price_basis,threshold,cond_dim,cond_level,scope,battery,n_bets,wins,losses,pushes,n_void,n_noprice,hit_rate,roi,roi_ci90_low,roi_ci90_high,n_dates,n_over,n_under,mean_edge,mean_line,n_candidate_rows_in_cell,n_perm_ge,n_perm_nonempty,perm_roi_mean,perm_roi_q95,p_perm,p_perm_phipson_smyth,n_perm_ge_phaseblock,n_perm_nonempty_phaseblock,perm_roi_mean_phaseblock,perm_roi_q95_phaseblock,p_perm_phaseblock,p_perm_phipson_smyth_phaseblock,eligible,small_n_flag,roi_positive,q_bh,q_bh_phaseblock,starred,starred_phaseblock,starred_and_profitable,expected_false_in_family
consensus,synthetic110,2.0,line_terc,mid,regular,companion_regular,622,313,307,2,17,0,0.5048387096774194,-0.03610055539315989,-0.09527011300365872,0.026465955238591035,223,353,269,0.49084801699993547,13.879421221864952,1726,104,200,-0.036364082,0.0125113055,0.52,0.5223880597014925,95,200,-0.036588576,0.013296084,0.475,0.47761194029850745,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,2.0,line_terc,mid,playoff,companion_playoff,31,12,19,0,0,0,0.3870967741935484,-0.26099706744868034,-0.5227272727272727,0.022727272727272728,19,11,20,-1.4456344472091276,14.274193548387096,115,200,200,-0.015612659,0.1412758,1.0,1.0,198,200,-0.012169481,0.14613636,0.99,0.9900497512437811,False,True,False,,,False,False,False,8.9
consensus,captured,3.0,line_terc,mid,all,registered,326,155,171,0,8,13,0.4754601226993865,-0.11974738190280045,-0.1994670310230522,-0.03051006504284442,177,185,141,0.5684952018745715,13.938650306748466,1841,197,200,-0.053526606,-0.00085117895,0.985,0.9850746268656716,199,200,-0.052849434,-0.0058627147,0.995,0.9950248756218906,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,3.0,line_terc,mid,regular,companion_regular,311,150,161,0,8,13,0.48231511254019294,-0.10702032930866742,-0.19252009192842715,-0.019471100323842958,167,181,130,0.7172219296106415,13.908360128617364,1726,189,200,-0.05462604,0.0046560713,0.945,0.945273631840796,192,200,-0.05508143,-0.0062189884,0.96,0.9601990049751243,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,3.0,line_terc,mid,playoff,companion_playoff,15,5,10,0,0,0,0.3333333333333333,-0.38362160568782505,-0.6985833629010981,-0.08643469661723782,10,4,11,-2.5151056198532813,14.566666666666666,115,199,200,-0.036813155,0.15469801,0.995,0.9950248756218906,200,200,-0.020976864,0.15813406,1.0,1.0,False,True,False,,,False,False,False,8.9
consensus,synthetic110,3.0,line_terc,mid,all,registered,339,162,175,2,8,0,0.4807121661721068,-0.08179136497720568,-0.1662858450872324,0.0042157422339802126,181,191,148,0.5281687553865495,13.949852507374631,1841,189,200,-0.03341682,0.015170929,0.945,0.945273631840796,191,200,-0.033888057,0.013676552,0.955,0.9552238805970149,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,synthetic110,3.0,line_terc,mid,regular,companion_regular,324,157,165,2,8,0,0.48757763975155277,-0.06874298540965208,-0.15689478108377017,0.013750725347732572,171,187,137,0.6690610875735787,13.921296296296296,1726,172,200,-0.034201555,0.019746289,0.86,0.8606965174129353,174,200,-0.035151187,0.016870605,0.87,0.8706467661691543,True,False,False,1.0,1.0,False,False,False,0.0
consensus,synthetic110,3.0,line_terc,mid,playoff,companion_playoff,15,5,10,0,0,0,0.3333333333333333,-0.3636363636363636,-0.6818181818181818,-0.045454545454545456,10,4,11,-2.5151056198532813,14.566666666666666,115,200,200,-0.021508453,0.15817729,1.0,1.0,200,200,-0.016248085,0.16847354,1.0,1.0,False,True,False,,,False,False,False,8.9
consensus,captured,1.0,line_terc,high,all,registered,1170,590,580,0,19,52,0.5042735042735043,-0.059477547818980965,-0.10943621174599447,-0.012624410835998334,258,692,478,0.6210272906986125,18.715384615384615,1774,176,200,-0.033992596,-0.004600401,0.88,0.8805970149253731,186,200,-0.03334536,-0.006213278,0.93,0.9303482587064676,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,captured,1.0,line_terc,high,regular,companion_regular,1085,543,542,0,19,50,0.5004608294930876,-0.06641975466206297,-0.11668495449314777,-0.017142623948167367,231,650,435,0.6527755128597665,18.668663594470047,1649,192,200,-0.031931784,-0.00297837,0.96,0.9601990049751243,194,200,-0.031126447,-0.001794804,0.97,0.9701492537313433,True,False,False,1.0,1.0,False,False,False,0.0
consensus,captured,1.0,line_terc,high,playoff,companion_playoff,85,47,38,0,0,2,0.5529411764705883,0.02913768070741866,-0.12610665974982915,0.1822094890546226,27,42,43,0.21577057252388138,19.311764705882354,125,8,200,-0.059822522,0.024516424,0.04,0.04477611940298507,16,200,-0.060298495,0.035595756,0.08,0.0845771144278607,False,True,True,,,False,False,False,8.9
consensus,synthetic110,1.0,line_terc,high,all,registered,1222,616,602,4,19,0,0.5057471264367817,-0.03436988543371521,-0.08140529623864132,0.011073489985538513,259,723,499,0.6302164155905323,18.70744680851064,1774,187,200,-0.0050418866,0.022560736,0.935,0.9353233830845771,194,200,-0.0041614184,0.02334832,0.97,0.9701492537313433,True,False,False,1.0,1.0,False,False,False,0.30000000000000004
consensus,synthetic110,1.0,line_terc,high,regular,companion_regular,1135,567,564,4,19,0,0.5013262599469496,-0.04277132559070885,-0.09162478935206209,0.006438140142685576,232,681,454,0.6688206980221996,18.665198237885463,1649,198,200,-0.0027332187,0.023506755,0.99,0.9900497512437811,198,200,-0.0019796991,0.027251307,0.99,0.9900497512437811,True,False,False,1.0,1.0,False,False,False,0.0
