response,window,stratum,arm,n,n_blocks,p,p_min_attainable,max_attainable_abs_t,six_block_floor_ok,bonferroni_alpha,bonferroni_attainable,signflip_p_resolution
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,ABC_SHARED_INTERCEPT,1297,139,0.0035998200089995,2.8698592549372254e-42,11.789826122551595,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,ABC_FROZEN_INTERCEPT,1297,139,1.0,2.8698592549372254e-42,11.789826122551595,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2023,VACUOUS_freed_0_to_25,AB_ONLY_baseABC_vs_base,1297,139,0.0002499875006249,2.8698592549372254e-42,11.789826122551595,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,C_SHARED_INTERCEPT,438,113,0.0023498825058747,1.925929944387236e-34,10.63014581273465,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,C_FROZEN_INTERCEPT,438,113,0.0008499575021248,1.925929944387236e-34,10.63014581273465,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,ABC_SHARED_INTERCEPT,438,113,0.0012499375031248,1.925929944387236e-34,10.63014581273465,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,ABC_FROZEN_INTERCEPT,438,113,0.0143492825358732,1.925929944387236e-34,10.63014581273465,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_and_DECISION,AB_ONLY_baseABC_vs_base,438,113,9.99950002499875e-05,1.925929944387236e-34,10.63014581273465,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,C_SHARED_INTERCEPT,1023,118,0.0258987050647467,6.018531076210112e-36,10.862780491200215,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,C_FROZEN_INTERCEPT,1023,118,0.0309484525773711,6.018531076210112e-36,10.862780491200215,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,ABC_SHARED_INTERCEPT,1023,118,0.0296485175741212,6.018531076210112e-36,10.862780491200215,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,ABC_FROZEN_INTERCEPT,1023,118,0.1361431928403579,6.018531076210112e-36,10.862780491200215,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,C_TREATED_all,AB_ONLY_baseABC_vs_base,1023,118,0.0567471626418679,6.018531076210112e-36,10.862780491200215,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,C_SHARED_INTERCEPT,1567,380,0.15959202039898,8.121413879410078e-115,19.493588689617926,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,C_FROZEN_INTERCEPT,1567,380,0.0006999650017499,8.121413879410078e-115,19.493588689617926,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,ABC_SHARED_INTERCEPT,1567,380,0.0039498025098745,8.121413879410078e-115,19.493588689617926,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,ABC_FROZEN_INTERCEPT,1567,380,0.0136493175341232,8.121413879410078e-115,19.493588689617926,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,DECISION_all,AB_ONLY_baseABC_vs_base,1567,380,0.1263436828158592,8.121413879410078e-115,19.493588689617926,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,C_SHARED_INTERCEPT,4502,480,0.1342432878356082,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,C_FROZEN_INTERCEPT,4502,480,0.0301984900754962,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,ABC_SHARED_INTERCEPT,4502,480,4.999750012499375e-05,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,ABC_FROZEN_INTERCEPT,4502,480,0.1383930803459827,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,POOLED,AB_ONLY_baseABC_vs_base,4502,480,4.999750012499375e-05,6.406665904585923e-145,21.908902300206645,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,C_SHARED_INTERCEPT,1563,156,0.8139593020348983,2.1895288505075267e-47,12.489995996796797,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,C_FROZEN_INTERCEPT,1563,156,1.0,2.1895288505075267e-47,12.489995996796797,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,ABC_SHARED_INTERCEPT,1563,156,4.999750012499375e-05,2.1895288505075267e-47,12.489995996796797,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,ABC_FROZEN_INTERCEPT,1563,156,1.0,2.1895288505075267e-47,12.489995996796797,True,0.0002777777777777778,True,4.999750012499375e-05
minutes,PRIMARY_WINDOW_SPLIT_2024,VACUOUS_freed_eq_0,AB_ONLY_baseABC_vs_base,1563,156,4.999750012499375e-05,2.1895288505075267e-47,12.489995996796797,True,0.0002777777777777778,True,4.999750012499375e-05
