cluster_perm_dR2_M,naive_row_perm_dR2_M
5.949949932331723e-06,1.4216773419632602e-06
7.37380588824805e-05,0.00010296002520086478
5.0538231970860885e-05,8.076615710785219e-06
1.3955959558098556e-05,1.2245980593385824e-05
2.368760904523177e-05,4.343878915600269e-06
1.0860916131433357e-05,5.0460074922785e-05
1.3757026146454285e-05,3.4930920753415664e-07
4.78674346658309e-05,1.9909265244587825e-05
2.11969273266786e-05,0.00010281531382327529
1.6707432038553832e-05,2.791898778031885e-05
6.894957489996827e-05,0.00011327955145843909
0.0002468421062796872,5.809044148256547e-05
0.00011288012879007073,0.00015924844998560468
0.00022335950099924262,2.9424552010933693e-05
0.00020082385863416652,1.7178154777768107e-05
4.85917844087012e-05,8.599300586257537e-05
1.2818780431463472e-06,6.211516672304935e-06
0.00024002916870775014,4.1661127465755846e-05
0.00025705678358067775,3.8710875080225534e-05
3.567188758817674e-06,7.533402280595899e-05
3.4812411547375766e-05,3.4842321188562553e-06
8.881649525323597e-08,2.6693321900665276e-05
6.793340797054597e-05,1.1354401497103249e-05
4.0724705478793663e-07,0.00022323230065428903
0.0001761754512143966,9.76115724586921e-07
8.016370206707885e-05,1.0281935887910211e-07
7.067389606622994e-05,1.0772860130341183e-05
2.6238026565805283e-05,0.00013921329562267202
5.8846429458013346e-05,0.00011970243295207373
2.573009167876171e-05,3.340182082750804e-05
1.6660557922530122e-05,2.535409210684932e-05
1.2847849838580577e-06,1.5889172941212525e-05
0.00023251851107402425,2.7454830720234374e-05
0.0003162665913708571,1.8157491457686088e-06
1.73052921870578e-08,6.28370531181146e-05
7.980130639257683e-05,0.00014873660550646044
4.264947142627238e-06,3.4224456212123043e-07
5.379571593811536e-05,0.00011855645630856177
6.728841330779627e-05,5.214965270973729e-05
0.00017002179910477345,2.6067658454155813e-05
8.184435444983821e-05,0.00011464721789433291
2.515367713771944e-07,2.3924724948433393e-05
7.934423070651551e-07,0.00010710894191833942
4.790331177263455e-05,0.00010519163794908518
5.949791649060228e-05,0.0002139556939756809
0.00028463881053864107,1.4358052260465544e-05
3.1567141731006304e-08,1.647234915522013e-05
4.499815734295465e-05,1.9603443028175962e-05
1.3647356183222092e-05,3.087156432168766e-05
4.243512342532982e-06,2.7045750702439928e-05
6.083499504908907e-07,4.1493143319538045e-05
5.709021995827378e-05,1.0800943828143176e-06
6.8856770728048116e-06,0.0002638106060348443
9.951202315471846e-08,1.833033685150962e-05
0.00011385074172900275,1.4919931381443724e-05
0.00015876843305627188,1.3308626973432146e-05
0.00032306328503042337,2.9727513844288833e-05
6.430489128628539e-05,7.817559515444456e-07
0.00015052071927950834,0.0002739099035682954
3.61699911388983e-05,9.560516604729172e-05
0.0003668618609172655,3.6041051482020045e-05
1.1734742221275544e-07,0.00012462905575289694
0.00030928717174293215,5.212670104346428e-06
5.3227331497990506e-05,0.0003367572668415874
0.00013272854109509146,1.471122508449905e-06
2.637341577162421e-05,0.00014961048648514652
5.0064727606336e-05,3.7901441895084637e-06
6.60651432011579e-06,4.905711084912256e-06
0.00016950978051019378,3.1264034621377296e-05
6.917721569828952e-05,0.00011518783413999921
0.00028166264315853507,4.714665086051086e-06
0.0002993644417960516,0.00015180565089810392
2.6695024212346718e-05,5.501582693377597e-08
2.529195832415965e-09,2.2142300976930992e-06
9.14845775057541e-05,4.617241785638539e-07
0.00010922293784499637,2.6361889591573254e-05
4.213403506563398e-05,9.133596857913805e-06
9.931693825724163e-05,2.542870299281027e-08
0.0001550591092521791,2.19531744277045e-06
0.00031641195767511754,0.00015761505592601827
1.2092224402637952e-06,0.00010122812525246602
3.570111545468596e-05,1.3301914295975435e-05
0.00021033429737829984,1.68615600094591e-05
0.0003432079865682257,8.12692551674686e-06
1.7879303511751264e-05,6.162424613526324e-06
5.068871526380196e-05,0.00013771031677250147
