family,target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common
SECONDARY_BASE,minutes,POOLED,STACK,R4_COMPLETE,0.13301783505395282,0.1330178350539528,13808,472,0.00024993751562109475,4.222941454249743e-05,0.020487409758306038,0.00024993751562109475,4.136025620256652,4.727297925233974,5.636922238546351,1596325.117607325
CONTEXT,minutes,POOLED,CHAMPION,R4_COMPLETE,0.08360511634828804,0.08360511634828798,13808,472,0.00024993751562109475,2.9198524092555355e-05,0.020409685417102405,0.00024993751562109475,3.5761334982895105,5.048650969031384,5.636922238546351,1596325.117607325
HEADLINE,minutes,DECISION,STACK,CHAMPION,-0.005213440795699631,-0.005213440795699629,5107,257,0.00024993751562109475,-9.647702567683065e-06,0.001329018418814631,0.00024993751562109475,0.9784793099731508,4.339354549972571,4.3328000668542686,213459.3165649544
SECONDARY_BASE,minutes,DECISION,STACK,R4_COMPLETE,0.3988025434506812,0.3988025434506812,5107,257,0.00024993751562109475,-0.0012251029600412722,0.0783341672428179,0.00024993751562109475,3.645420144999771,4.339354549972571,5.397612012520287,213459.3165649544
CONTEXT,minutes,DECISION,CHAMPION,R4_COMPLETE,0.40401598424638085,0.40401598424638085,5107,257,0.00024993751562109475,-0.0012154552574735892,0.07834768677782875,0.00024993751562109475,3.6583922721800564,4.3328000668542686,5.397612012520287,213459.3165649544
HEADLINE,minutes,POOLED_EXCL_ROUTED__POSTHOC,STACK,CHAMPION,-0.00026304807036292566,-0.0002630480703628403,12818,451,0.3654086478380405,-3.57400962879354e-06,0.0002856034957178347,0.38465383654086477,0.950292402618129,4.688460374549074,4.69325258075537,1470952.3357341457
SECONDARY_BASE,minutes,POOLED_EXCL_ROUTED__POSTHOC,STACK,R4_COMPLETE,0.13359166729820904,0.13359166729820915,12818,451,0.00024993751562109475,0.0003860387195870939,0.021039197777881297,0.00024993751562109475,4.197420586276805,4.688460374549074,5.610822064788813,1470952.3357341457
CONTEXT,minutes,POOLED_EXCL_ROUTED__POSTHOC,CHAMPION,R4_COMPLETE,0.13385471536857196,0.13385471536857196,12818,451,0.00024993751562109475,0.0003896127292158873,0.021031930328674706,0.00024993751562109475,4.207654394742368,4.69325258075537,5.610822064788813,1470952.3357341457
HEADLINE,fga,POOLED,STACK,CHAMPION,0.04295556225914754,0.04295556225914746,13808,472,0.00024993751562109475,-7.4277922248277875e-06,0.004178408881652888,0.00024993751562109475,1.2450456858000114,2.492173718184691,2.627646424795024,396833.66446987254
SECONDARY_BASE,fga,POOLED,STACK,R4_COMPLETE,0.44235871875613264,0.4423587187561326,13808,472,0.00024993751562109475,-0.000500878359979865,0.07930643698665754,0.00024993751562109475,5.152476808133111,2.492173718184691,3.4265439860246576,396833.66446987254
CONTEXT,fga,POOLED,CHAMPION,R4_COMPLETE,0.3994031564969851,0.39940315649698516,13808,472,0.00024993751562109475,-0.000493450567755037,0.07877100607068088,0.00024993751562109475,5.061009381931994,2.627646424795024,3.4265439860246576,396833.66446987254
HEADLINE,fga,DECISION,STACK,CHAMPION,0.001077194301463913,0.0010771943014639383,5107,257,0.30042489377655585,8.925407026530302e-06,0.0010272951657375423,0.2604348912771807,1.0782523193081954,2.9209818202361957,2.9219439453050056,124986.92265517917
SECONDARY_BASE,fga,DECISION,STACK,R4_COMPLETE,0.7429097374570643,0.7429097374570646,5107,257,0.00024993751562109475,-0.0032179469443186707,0.17220712854759426,0.00024993751562109475,4.533923646351647,2.9209818202361957,4.076733250154255,124986.92265517917
CONTEXT,fga,DECISION,CHAMPION,R4_COMPLETE,0.7418325431556004,0.7418325431556005,5107,257,0.00024993751562109475,-0.0032268723513452016,0.17220646250267801,0.00024993751562109475,4.535177340066624,2.9219439453050056,4.076733250154255,124986.92265517917
HEADLINE,fga,POOLED_EXCL_ROUTED__POSTHOC,STACK,CHAMPION,0.0005025071551403304,0.0005025071551403034,12818,451,0.20644838790302425,1.8467649488570397e-06,0.0003951625564933764,0.17670582354411396,1.0563390324378314,2.481660503961662,2.485669673381167,368583.7969261976
SECONDARY_BASE,fga,POOLED_EXCL_ROUTED__POSTHOC,STACK,R4_COMPLETE,0.4437721934769653,0.44377219347696534,12818,451,0.00024993751562109475,0.0011785850633974125,0.0822743842071008,0.00024993751562109475,5.267895857787737,2.481660503961662,3.4269773639626155,368583.7969261976
CONTEXT,fga,POOLED_EXCL_ROUTED__POSTHOC,CHAMPION,R4_COMPLETE,0.44326968632182495,0.44326968632182495,12818,451,0.00024993751562109475,0.0011767382984485559,0.08227340152645457,0.00024993751562109475,5.273712538280232,2.485669673381167,3.4269773639626155,368583.7969261976
HEADLINE,ppm,POOLED,STACK,CHAMPION,0.014327581537304401,0.014327581537304452,13808,472,0.00024993751562109475,-2.9552013807915146e-05,0.0030913580376581563,0.00024993751562109475,1.172856239900392,0.17912396384096613,0.18150687130196966,962.107250511479
SECONDARY_BASE,ppm,POOLED,STACK,R4_COMPLETE,-0.010102619387102996,-0.010102619387103034,13808,472,0.11647088227943014,-0.00021485898166908113,0.0063764279740009845,0.04073981504623844,1.2881603955800867,0.17912396384096613,0.18025890511313153,962.107250511479
CONTEXT,ppm,POOLED,CHAMPION,R4_COMPLETE,-0.024430200924407397,-0.02443020092440748,13808,472,0.00024993751562109475,-0.00018530696786116596,0.006638016860354564,0.00024993751562109475,1.2982712199674842,0.18150687130196966,0.18025890511313153,962.107250511479
HEADLINE,ppm,DECISION,STACK,CHAMPION,0.0067738796621092945,0.006773879662109267,5107,257,0.0007498125468632841,2.2178511775544086e-05,0.0019158864475926217,0.00024993751562109475,1.090438967151619,0.15159550755243636,0.15212589651501462,252.94414129912354
SECONDARY_BASE,ppm,DECISION,STACK,R4_COMPLETE,0.05992397114895076,0.05992397114895072,5107,257,0.00024993751562109475,-0.00036058085752228175,0.014201559644200515,0.00024993751562109475,1.7779696242906802,0.15159550755243636,0.15708464666119168,252.94414129912354
CONTEXT,ppm,DECISION,CHAMPION,R4_COMPLETE,0.053150091486841466,0.05315009148684145,5107,257,0.00024993751562109475,-0.0003827593692978257,0.014119113784987588,0.00024993751562109475,1.828650897257864,0.15212589651501462,0.15708464666119168,252.94414129912354
HEADLINE,ppm,POOLED_EXCL_ROUTED__POSTHOC,STACK,CHAMPION,0.0018784136571271537,0.0018784136571273122,12818,451,0.0069982504373906525,-6.488856264772839e-06,0.000702760445109954,0.0029992501874531365,1.098187027573319,0.1779657860263584,0.17829925767900973,884.9260528459707
SECONDARY_BASE,ppm,POOLED_EXCL_ROUTED__POSTHOC,STACK,R4_COMPLETE,-0.007761325592590573,-0.007761325592590403,12818,451,0.25668582854286426,7.349820710736798e-05,0.006670256919550471,0.13196700824793803,1.297370830627591,0.1779657860263584,0.17939803228173962,884.9260528459707
CONTEXT,ppm,POOLED_EXCL_ROUTED__POSTHOC,CHAMPION,R4_COMPLETE,-0.009639739249717727,-0.009639739249717713,12818,451,0.15046238440389903,7.998706337214079e-05,0.0066751107308364145,0.054236440889777554,1.3101274930617224,0.17829925767900973,0.17939803228173962,884.9260528459707
