target,stratum,arm,base,dr2_common_sst,dr2_kit,n,n_clusters,p,null_mean,null_sd,p_row_NAIVE,inflation,mae_arm,mae_base,sst_common,step,added,components_so_far,increment_dr2,increment_p,increment_null_sd
fga,DECISION,STEP1,CHAMPION,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,2.9219439453050056,2.9219439453050056,124986.92265517917,1,C1_FALLBACK_ROUTE,C1_FALLBACK_ROUTE,0.0,1.0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP1,CHAMPION,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,2.485669673381167,2.485669673381167,368583.7969261976,1,C1_FALLBACK_ROUTE,C1_FALLBACK_ROUTE,0.0,1.0,0.0
fga,POOLED,STEP2,CHAMPION,0.03784370989036567,0.03784370989036559,13808,472,0.00024993751562109475,-6.546468369552798e-06,0.004227162909208571,0.00024993751562109475,1.1845936749335377,2.502125581603329,2.627646424795024,396833.66446987254,2,C3_PER_TARGET_HALFLIFE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE,0.0,1.0,0.0
fga,DECISION,STEP2,CHAMPION,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,2.9219439453050056,2.9219439453050056,124986.92265517917,2,C3_PER_TARGET_HALFLIFE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE,0.0,1.0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP2,CHAMPION,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,2.485669673381167,2.485669673381167,368583.7969261976,2,C3_PER_TARGET_HALFLIFE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE,0.0,1.0,0.0
fga,POOLED,STEP3,CHAMPION,0.0425118697528688,0.04251186975286884,13808,472,0.00024993751562109475,6.244459093994147e-07,0.0041434667312787105,0.00024993751562109475,1.2466583517512635,2.495821607084742,2.627646424795024,396833.66446987254,3,C4_SHRINK_OWN_PRIOR_SEASON,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON,0.0046681598625031295,0.00024993751562109475,0.0006603442974899106
fga,DECISION,STEP3,CHAMPION,0.0,-0.0,5107,257,1.0,0.0,0.0,1.0,inf,2.9219439453050056,2.9219439453050056,124986.92265517917,3,C4_SHRINK_OWN_PRIOR_SEASON,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON,0.0,1.0,0.0
fga,POOLED_EXCL_ROUTED__POSTHOC,STEP3,CHAMPION,0.0,-0.0,12818,451,1.0,0.0,0.0,1.0,inf,2.485669673381167,2.485669673381167,368583.7969261976,3,C4_SHRINK_OWN_PRIOR_SEASON,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON,0.0,1.0,0.0
fga,POOLED,STEP4,CHAMPION,0.042934419752322706,0.042934419752322636,13808,472,0.00024993751562109475,-4.370285700960271e-06,0.004225628755228669,0.00024993751562109475,1.2666742020136146,2.494653559329333,2.627646424795024,396833.66446987254,4,C6_OPP_DEFENCE_SELECTIVE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE,0.0004225499994539028,0.08097975506123468,0.00024106618140779033
fga,DECISION,STEP4,CHAMPION,0.0011538677896372196,0.0011538677896373152,5107,257,0.09922519370157461,7.057237383187886e-06,0.000700143986307124,0.04348912771807048,1.2459981575031651,2.9186349664787055,2.9219439453050056,124986.92265517917,4,C6_OPP_DEFENCE_SELECTIVE,C1_FALLBACK_ROUTE+C3_PER_TARGET_HALFLIFE+C4_SHRINK_OWN_PRIOR_SEASON+C6_OPP_DEFENCE_SELECTIVE,0.0011538677896372196,0.09922519370157461,0.000700143986307124
