season,team_id,franchise,first_game_date,team_games,opening_head_coach,coverage_status,seasons_carried_forward,tenure_ids,cutoff_status,admission_status
2024,1611661313,New York Liberty,2024-05-14,51,Sandy Brondello,NAMED_EVENT_ANCHORED,1,CT002,CUTOFF_UNPROVEN,NOT_ADMITTED
2024,1611661317,Phoenix Mercury,2024-05-14,42,Nikki Blue,NAMED_EVENT_ANCHORED,0,CT006,CUTOFF_UNPROVEN,NOT_ADMITTED
2024,1611661328,Seattle Storm,2024-05-14,42,Noelle Quinn,NAMED_EVENT_ANCHORED,2,CT025,CUTOFF_UNPROVEN,NOT_ADMITTED
2024,1611661322,Washington Mystics,2024-05-14,40,Eric Thibault,NAMED_EVENT_ANCHORED,1,CT016,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661330,Atlanta Dream,2025-05-16,47,Karl Smesko,NAMED_EVENT_ANCHORED,0,CT035,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661329,Chicago Sky,2025-05-17,44,Tyler Marsh,NAMED_EVENT_ANCHORED,0,CT030,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661323,Connecticut Sun,2025-05-18,44,Rachid Meziane,NAMED_EVENT_ANCHORED,0,CT019,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661321,Dallas Wings,2025-05-16,44,Chris Koclanes,NAMED_EVENT_ANCHORED,0,CT014,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661331,Golden State Valkyries,2025-05-16,46,Natalie Nakase,NAMED_EVENT_ANCHORED,0,CT036,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661325,Indiana Fever,2025-05-17,52,Stephanie White,NAMED_EVENT_ANCHORED,0,CT023,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661319,Las Vegas Aces,2025-05-17,56,Becky Hammon,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,3,CT007,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661320,Los Angeles Sparks,2025-05-16,44,Lynne Roberts,NAMED_EVENT_ANCHORED,0,CT011,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661324,Minnesota Lynx,2025-05-16,50,,UNKNOWN_NO_SPELL_COVERS_OPENER,,,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661313,New York Liberty,2025-05-17,47,Sandy Brondello,NAMED_EVENT_ANCHORED,2,CT002,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661317,Phoenix Mercury,2025-05-17,55,,UNKNOWN_ONLY_INTERIM_SPELL_CARRIED_ACROSS_SEASON,1,CT006,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661328,Seattle Storm,2025-05-17,47,Noelle Quinn,NAMED_EVENT_ANCHORED,3,CT025,CUTOFF_UNPROVEN,NOT_ADMITTED
2025,1611661322,Washington Mystics,2025-05-16,44,Sydney Johnson,NAMED_EVENT_ANCHORED,0,CT017,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661330,Atlanta Dream,2026-05-09,28,Karl Smesko,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT035,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661329,Chicago Sky,2026-05-09,28,Tyler Marsh,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT030,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661323,Connecticut Sun,2026-05-08,29,Rachid Meziane,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT019,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661321,Dallas Wings,2026-05-09,29,Jose Fernandez,NAMED_EVENT_ANCHORED,0,CT015,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661331,Golden State Valkyries,2026-05-08,28,Natalie Nakase,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT036,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661325,Indiana Fever,2026-05-09,29,Stephanie White,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT023,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661319,Las Vegas Aces,2026-05-09,28,Becky Hammon,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,4,CT007,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661320,Los Angeles Sparks,2026-05-10,27,Lynne Roberts,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT011,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661324,Minnesota Lynx,2026-05-09,30,,UNKNOWN_NO_SPELL_COVERS_OPENER,,,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661313,New York Liberty,2026-05-08,29,Chris DeMarco,NAMED_EVENT_ANCHORED,0,CT003,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661317,Phoenix Mercury,2026-05-09,29,,UNKNOWN_ONLY_INTERIM_SPELL_CARRIED_ACROSS_SEASON,2,CT006,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661327,Portland Fire,2026-05-09,29,Alex Sarama,NAMED_EVENT_ANCHORED,0,CT024,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661328,Seattle Storm,2026-05-08,31,Sonia Raman,NAMED_EVENT_ANCHORED,0,CT026,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661332,Toronto Tempo,2026-05-08,28,Sandy Brondello,NAMED_EVENT_ANCHORED,0,CT037,CUTOFF_UNPROVEN,NOT_ADMITTED
2026,1611661322,Washington Mystics,2026-05-08,28,Sydney Johnson,NAMED_OPEN_END_CARRIED_FORWARD_UNVERIFIED,1,CT017,CUTOFF_UNPROVEN,NOT_ADMITTED
