response,population,window,candidate,arm,projection,n,n_folds,sst,r2_base,r2_aug,dr2,beta
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5182405037590452,0.0003078730136551421,-0.0011270512266790583
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5177067544374518,-0.0002950720409461498,-0.001551621760153208
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5180263434487554,9.371270336534969e-05,-0.001551621760153208
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5179995318822888,-2.294596109324201e-06,2.0698107064316896e-05
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5179326502599326,1.951454254418517e-08,2.0698107064316896e-05
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5179994718724293,-2.3546059686866396e-06,2.0699562462586048e-05
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5179325842318703,-4.651351981166935e-08,2.0699562462586048e-05
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,G01_noise,FROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.517945807977162,-5.601850123598517e-05,0.0006052408331533056
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,G01_noise,FROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5178956859839232,-3.694476146681772e-05,0.0006052408331533056
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,9056,2,75.85052564505915,0.5180018264783981,0.5179416887703425,-6.013770805553146e-05,0.0006055119342616928
R1_s_pts,ALL_APPEARED,CLEAN_2023_24,G01_noise,UNFROZEN,RAW,9056,2,75.85052564505915,0.5179326307453901,0.5178912132011368,-4.141754425320314e-05,0.0006055119342616928
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.24875944208877832,-0.006352963738718167,0.0008835326708313341
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2521893930053941,-0.003077704640251174,0.0008835326708313341
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25189265198460653,-0.0032197538428898964,0.010015443324110373
R2_s_min,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.27968047428193776,0.024413376636292488,0.010015443324110373
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.2454060047759783,-0.009706401051518156,0.0016822226096363433
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2503019135853285,-0.004965184060316722,0.0016822226096363433
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25392870040840376,-0.001183705419092662,0.005336135287387615
R2_s_min,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.266583696445887,0.011316598800241663,0.005336135287387615
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.24593875233196472,-0.009173653495531741,0.0015478685292844604
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2507731331789417,-0.004493964466703613,0.0015478685292844604
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.2548265572141818,-0.00028584861331473006,0.004200148771956371
R2_s_min,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2660086448622798,0.010741547216634553,0.004200148771956371
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25775274308903984,0.0026403372615433885,-0.0008236143776804293
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.26373657980970033,0.008469482164055112,-0.0008236143776804293
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25528770259980327,0.00017529677230674557,-0.0010614394944859374
R2_s_min,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2627075658939436,0.007440468248298403,-0.0010614394944859374
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.2551343857392079,2.197991171142126e-05,1.7881638014293578e-05
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2552329215428977,-3.417610274758812e-05,1.7881638014293578e-05
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25513298526817474,2.057944067827748e-05,1.7884288146315145e-05
R2_s_min,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.25523150691286334,-3.559073278197024e-05,1.7884288146315145e-05
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.25498984563551585,-0.00012256019198065332,0.0001724477106500114
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,FROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2552058064653171,-6.129118032820237e-05,0.0001724477106500114
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,3167,2,3.163535498446242,0.2551124058274965,0.2549801362788753,-0.00013226954862122187,0.00017246257882519374
R2_s_min,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,RAW,3167,2,3.163535498446242,0.25526709764564526,0.2551962141538673,-7.088349177796556e-05,0.00017246257882519374
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6675220539864561,-3.114283501582378e-05,0.0008835326708313341
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6675957375504461,0.00021289791315556495,0.0008835326708313341
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6699755025389869,0.002422305717514747,0.010015443324110373
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6719207739940989,0.004537934356808399,0.010015443324110373
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6680180113930615,0.0004648145715894778,0.0016822226096363433
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6682296736641103,0.0008468340268198394,0.0016822226096363433
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6700703076120247,0.0025171107905526983,0.005336135287387615
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6712170878059585,0.0038342481686679175,0.005336135287387615
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6672892440926083,-0.0002639527288638036,0.0015478685292844604
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6674781727722521,9.533313496164803e-05,0.0015478685292844604
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6674031734470942,-0.00015002337437786922,0.004200148771956371
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6683234521457866,0.0009406125084960505,0.004200148771956371
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6674886405714568,-6.455625001514797e-05,-0.0008236143776804293
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6679660855844929,0.0005832459472023963,-0.0008236143776804293
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6674730952202667,-8.010160120538765e-05,-0.0010614394944859374
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.668026576147013,0.0006437365097224524,-0.0010614394944859374
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6675577517499762,4.554928504225103e-06,1.7881638014293578e-05
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6673828772128226,3.757553212958168e-08,1.7881638014293578e-05
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.667557753078903,4.556257430980658e-06,1.7884288146315145e-05
R2_s_min,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6673828467767648,7.139474419817579e-09,1.7884288146315145e-05
R2_s_min,ALL_APPEARED,CLEAN_2023_24,G01_noise,FROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6675246831892896,-2.8513632182526576e-05,0.0001724477106500114
R2_s_min,ALL_APPEARED,CLEAN_2023_24,G01_noise,FROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6673636421831783,-1.9197454112191277e-05,0.0001724477106500114
R2_s_min,ALL_APPEARED,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,9056,2,26.17332980732683,0.6675531968214721,0.6675244757575778,-2.8721063894255428e-05,0.00017246257882519374
R2_s_min,ALL_APPEARED,CLEAN_2023_24,G01_noise,UNFROZEN,RAW,9056,2,26.17332980732683,0.6673828396372905,0.6673632251811552,-1.9614456135304307e-05,0.00017246257882519374
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48803582857393246,-0.0011015100469712836,0.0014837865833786392
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4894491099437739,0.0001897357433375063,0.0014837865833786392
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48689604653203644,-0.002241292088867353,0.005183374509073168
R3_s_fga,DECISION,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4907013216900722,0.0014419474896358625,0.005183374509073168
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4887057631995727,-0.00043157542133101377,0.000770895964332099
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4893300915754337,7.071737499740095e-05,0.000770895964332099
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4892492798699647,0.00011194124906091956,0.01322843669122653
R3_s_fga,DECISION,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.49402165285533683,0.004762278654900528,0.01322843669122653
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4880509554892293,-0.0010863831316744478,0.0016711047469612282
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.48928908503335533,2.971083291896802e-05,0.0016711047469612282
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4878688887954741,-0.0012684498254296986,0.003606018314596278
R3_s_fga,DECISION,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4898954838055424,0.000636109605105972,0.003606018314596278
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4892971995005374,0.00015986087963367442,-0.0007808626868092252
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.49060158603997106,0.0013422118395347397,-0.0007808626868092252
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48916903555371827,3.169693281448933e-05,-0.0010580411429084633
R3_s_fga,DECISION,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4908785258129835,0.0016191516125471186,-0.0010580411429084633
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48913324898262533,-4.0896382784372985e-06,8.344272964785778e-06
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.48926058119615023,1.2069957139054628e-06,8.344272964785778e-06
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48913321358762274,-4.125033281055945e-06,8.34487128116046e-06
R3_s_fga,DECISION,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4892605529425168,1.1787420804528154e-06,8.34487128116046e-06
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,FROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.4890682979727916,-6.90406481121397e-05,0.00017736843935743784
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,FROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4891970148093552,-6.235939108123093e-05,0.00017736843935743784
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,PROJ,3167,2,16.184902688213644,0.4891373386209038,0.48906738289879326,-6.995572211052574e-05,0.0001774336349439149
R3_s_fga,DECISION,CLEAN_2023_24,G01_noise,UNFROZEN,RAW,3167,2,16.184902688213644,0.4892593742004363,0.4891965889238963,-6.278527654011385e-05,0.0001774336349439149
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.64162235718887,0.0003412104649233143,0.0014837865833786392
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,FROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6419382743889039,0.0006582935473354037,0.0014837865833786392
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6418203728388358,0.0005392261148890965,0.005183374509073168
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A1_min_share_prior,UNFROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6427883013800291,0.001508320538460438,0.005183374509073168
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6414481393054876,0.0001669925815410418,0.000770895964332099
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,FROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6415753626359408,0.00029538179437222934,0.000770895964332099
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6433795346202476,0.0020983878963009945,0.01322843669122653
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A2_fga_share_prior,UNFROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6444965365501067,0.0032165557085381516,0.01322843669122653
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.641415400795636,0.00013425407168934044,0.0016711047469612282
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,FROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6416991031411194,0.00041912229955086135,0.0016711047469612282
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6410221933935148,-0.00025895333043180353,0.003606018314596278
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A3_starter_rate_prior,UNFROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6415568771884712,0.00027689634690258305,0.003606018314596278
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.641048653963981,-0.00023249275996554793,-0.0007808626868092252
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,FROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6413998534275165,0.0001198725859479228,-0.0007808626868092252
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6410768469679236,-0.000204299756023144,-0.0010580411429084633
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A4_vac_x_own,UNFROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6415170643540333,0.0002370835124648369,-0.0010580411429084633
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6412795005253489,-1.6461985977312422e-06,8.344272964785778e-06
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,FROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6412799852063442,4.364775682919191e-09,8.344272964785778e-06
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,PROJ,9056,2,55.83724358279526,0.6412811467239466,0.6412795060500964,-1.6406738502812556e-06,8.34487128116046e-06
R3_s_fga,ALL_APPEARED,CLEAN_2023_24,A5_opp_defrtg,UNFROZEN,RAW,9056,2,55.83724358279526,0.6412799808415686,0.6412799902342934,9.392724768141352e-09,8.34487128116046e-06
