screen,candidate,n_sites,site_scope,sites
E0_I0014_residual_heterogeneity,tm_rest_days,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 310, ""                 \""tm_rest_days\"": \""opp_rest_days\"", \""tm_game_idx\"": \""opp_game_idx\""})""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s04_screen.py"", 63, ""    FAMILY[c] = (\""schedule_state\"" if c in (\""tm_rest_days\"", \""tm_b2b\"", \""tm_3in4\"",""]]"
E0_I0014_residual_heterogeneity,tm_b2b,1,WORKTREE,"[[""experiments\\exploration\\E0_I0019_availability_forecast\\s02_build_candidates.py"", 61, ""tg[\""tm_b2b\""] = (tg[\""tm_rest_days\""] == 1).astype(float)""]]"
E0_I0014_residual_heterogeneity,tm_3in4,1,WORKTREE,"[[""experiments\\exploration\\E0_I0019_availability_forecast\\s02_build_candidates.py"", 82, ""tg[\""tm_3in4\""] = (tg[\""tm_n_prior3d\""] >= 2).astype(float)""]]"
E0_I0014_residual_heterogeneity,tm_games_prior7d,1,WORKTREE,"[[""experiments\\exploration\\E0_I0019_availability_forecast\\s02_build_candidates.py"", 79, ""    gg[\""tm_games_prior7d\""] = _n_in_window(gg[\""gdate\""], 7)""]]"
E0_I0014_residual_heterogeneity,opp_rest_days,0,NONE,[]
E0_I0014_residual_heterogeneity,tm_rest_diff,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 312, ""    T[\""tm_rest_diff\""] = T[\""tm_rest_days\""] - T[\""opp_rest_days\""]""]]"
E0_I0014_residual_heterogeneity,tm_roster_churn_prior,0,NONE,[]
E0_I0014_residual_heterogeneity,tm_newfaces_prior,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 85, ""    mean_newfaces=(\""tm_newfaces_prior\"", \""mean\""),""]]"
E0_I0014_residual_heterogeneity,tm_five_tenure_prior,0,NONE,[]
E0_I0014_residual_heterogeneity,tm_five_changed_prior,0,NONE,[]
E0_I0014_residual_heterogeneity,tm_prior_meetings,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 300, ""    mm[\""tm_prior_meetings\""] = mm.groupby([\""season\"", \""team_id\"", \""opp_team_id\""]).cumcount().astype(float)""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 301, ""    mm[\""tm_first_meeting\""] = (mm[\""tm_prior_meetings\""] == 0).astype(float)""]]"
E0_I0014_residual_heterogeneity,tm_first_meeting,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 301, ""    mm[\""tm_first_meeting\""] = (mm[\""tm_prior_meetings\""] == 0).astype(float)""]]"
E0_I0014_residual_heterogeneity,tm_is_home,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 304, ""    T[\""tm_is_home\""] = T[\""is_home\""].astype(float)""]]"
E0_I0014_residual_heterogeneity,tm_game_idx,3,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 252, ""            tm_game_idx = float(i)""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 310, ""                 \""tm_rest_days\"": \""opp_rest_days\"", \""tm_game_idx\"": \""opp_game_idx\""})""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 84, ""    mean_team_game_idx=(\""tm_game_idx\"", \""mean\""),""]]"
E0_I0014_residual_heterogeneity,opp_game_idx,0,NONE,[]
E0_I0014_residual_heterogeneity,tm_poss_mean_prior,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\rh_base.py"", 309, ""        columns={\""team_id\"": \""opp_team_id\"", \""tm_poss_mean_prior\"": \""opp_poss_mean_prior\"",""]]"
E0_I0014_residual_heterogeneity,opp_poss_mean_prior,0,NONE,[]
E0_I0014_residual_heterogeneity,pts__pred_point,1,WORKTREE,"[[""experiments\\exploration\\E0_I0015_points_skill_decomposition\\s01_reproduce.py"", 171, ""    dd[\""pts__pred_point\""] = v""]]"
E0_I0014_residual_heterogeneity,pts__pred_sd,0,NONE,[]
E0_I0014_residual_heterogeneity,pts__pred_width,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 21, ""f[\""pts__pred_width\""] = f[\""pts__pred_q95\""] - f[\""pts__pred_q05\""]""]]"
E0_I0014_residual_heterogeneity,pts__pred_iqr,1,WORKTREE,"[[""experiments\\exploration\\E0_I0015_points_skill_decomposition\\s03_mechanism_and_abstention.py"", 209, ""f[\""pts__pred_iqr\""] = f[\""pts__pred_q75\""] - f[\""pts__pred_q25\""]""]]"
E0_I0014_residual_heterogeneity,pts__pred_cv,0,NONE,[]
E0_I0014_residual_heterogeneity,pts__is_fallback,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 20, ""f[\""pts__is_fallback\""] = f[\""pts__is_fallback\""].astype(float)""], [""experiments\\exploration\\E0_I0014_residual_heterogeneity\\s08_conditioning.py"", 86, ""    fallback_rate=(\""pts__is_fallback\"", \""mean\""),""]]"
E0_I0014_residual_heterogeneity,pts__fallback_level,0,NONE,[]
E0_I0014_residual_heterogeneity,pts__is_cold_start,0,NONE,[]
E0_I0014_residual_heterogeneity,pts__n_prior_games,0,NONE,[]
E0_I0014_residual_heterogeneity,minutes__pred_point,0,NONE,[]
E0_I0014_residual_heterogeneity,minutes__pred_sd,0,NONE,[]
E0_I0014_residual_heterogeneity,minutes__pred_width,1,WORKTREE,"[[""experiments\\exploration\\E0_I0015_points_skill_decomposition\\s03_mechanism_and_abstention.py"", 207, ""f[\""minutes__pred_width\""] = f[\""minutes__pred_q95\""] - f[\""minutes__pred_q05\""]""]]"
E0_I0014_residual_heterogeneity,minutes__pred_iqr,0,NONE,[]
E0_I0014_residual_heterogeneity,minutes__pred_cv,0,NONE,[]
E0_I0014_residual_heterogeneity,fga__pred_point,0,NONE,[]
E0_I0014_residual_heterogeneity,fga__pred_sd,0,NONE,[]
E0_I0014_residual_heterogeneity,fga__pred_width,1,WORKTREE,"[[""experiments\\exploration\\E0_I0015_points_skill_decomposition\\s03_mechanism_and_abstention.py"", 208, ""f[\""fga__pred_width\""] = f[\""fga__pred_q95\""] - f[\""fga__pred_q05\""]""]]"
E0_I0014_residual_heterogeneity,fga__pred_iqr,0,NONE,[]
E0_I0014_residual_heterogeneity,fga__pred_cv,0,NONE,[]
E0_I0016_efficiency_predictors,A01_opp_efg_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 89, ""tprior[\""A01_opp_efg_allowed\""] = safe_div(PS[\""opp_fgm\""] + 0.5 * PS[\""opp_fg3m\""], PS[\""opp_fga\""])""]]"
E0_I0016_efficiency_predictors,A02_opp_ts_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 90, ""tprior[\""A02_opp_ts_allowed\""] = safe_div(PS[\""opp_pts\""], 2.0 * (PS[\""opp_fga\""] + 0.44 * PS[\""opp_fta\""]))""]]"
E0_I0016_efficiency_predictors,A03_opp_paintpts_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 91, ""tprior[\""A03_opp_paintpts_allowed\""] = safe_div(PS[\""opp_points_paint\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,A04_opp_blk,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 92, ""tprior[\""A04_opp_blk\""] = safe_div(PS[\""blk\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,A05_opp_fg3pct_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 93, ""tprior[\""A05_opp_fg3pct_allowed\""] = safe_div(PS[\""opp_fg3m\""], PS[\""opp_fg3a\""])""]]"
E0_I0016_efficiency_predictors,A06_opp_fg3a_share_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 94, ""tprior[\""A06_opp_fg3a_share_allowed\""] = safe_div(PS[\""opp_fg3a\""], PS[\""opp_fga\""])""]]"
E0_I0016_efficiency_predictors,A07_opp_ftrate_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 95, ""tprior[\""A07_opp_ftrate_allowed\""] = safe_div(PS[\""opp_fta\""], PS[\""opp_fga\""])""]]"
E0_I0016_efficiency_predictors,A08_opp_pf,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 96, ""tprior[\""A08_opp_pf\""] = safe_div(PS[\""pf\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,A09_opp_stl,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 97, ""tprior[\""A09_opp_stl\""] = safe_div(PS[\""stl\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,A10_opp_defrtg,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 98, ""tprior[\""A10_opp_defrtg\""] = 100.0 * safe_div(PS[\""opp_pts\""], PS[\""opp_poss\""])""]]"
E0_I0016_efficiency_predictors,A11_opp_fastbreak_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 99, ""tprior[\""A11_opp_fastbreak_allowed\""] = safe_div(PS[\""opp_points_fast_break\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,A12_opp_2ndchance_allowed,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 100, ""tprior[\""A12_opp_2ndchance_allowed\""] = safe_div(PS[\""opp_points_second_chance\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,B01_pl_ftrate,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 141, ""pl[\""B01_pl_ftrate\""] = safe_div(QS[\""fta\""], QS[\""fga\""])""]]"
E0_I0016_efficiency_predictors,B02_pl_ftpct,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 142, ""pl[\""B02_pl_ftpct\""] = safe_div(QS[\""ftm\""], QS[\""fta\""])""]]"
E0_I0016_efficiency_predictors,B03_pl_fouls_drawn_per36,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 143, ""pl[\""B03_pl_fouls_drawn_per36\""] = 36.0 * safe_div(QS[\""fouls_drawn\""], QS[\""minutes\""])""]]"
E0_I0016_efficiency_predictors,B04_matchup_ftrate,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 244, ""pl[\""B04_matchup_ftrate\""] = pl[\""B01_pl_ftrate\""] * pl[\""A07_opp_ftrate_allowed\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 53, ""    \""B04_matchup_ftrate\"": [\""B01_pl_ftrate\"", \""A07_opp_ftrate_allowed\""],""]]"
E0_I0016_efficiency_predictors,B05_matchup_fouldraw,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 245, ""pl[\""B05_matchup_fouldraw\""] = pl[\""B03_pl_fouls_drawn_per36\""] * pl[\""A08_opp_pf\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 54, ""    \""B05_matchup_fouldraw\"": [\""B03_pl_fouls_drawn_per36\"", \""A08_opp_pf\""],""]]"
E0_I0016_efficiency_predictors,B06_pl_ftpts_per36,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 144, ""pl[\""B06_pl_ftpts_per36\""] = 36.0 * safe_div(QS[\""ftm\""], QS[\""minutes\""])""]]"
E0_I0016_efficiency_predictors,C01_tm_usage_hhi,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 213, ""pl[\""C01_tm_usage_hhi\""] = c01""]]"
E0_I0016_efficiency_predictors,C02_tm_ast_per_game,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 103, ""tprior[\""C02_tm_ast_per_game\""] = safe_div(PS[\""ast\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,C03_tm_ast_rate,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 104, ""tprior[\""C03_tm_ast_rate\""] = safe_div(PS[\""ast\""], PS[\""fgm\""])""]]"
E0_I0016_efficiency_predictors,C04_teammate_usg_present,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 214, ""pl[\""C04_teammate_usg_present\""] = c04""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 157, ""           \""tip_time_observable\"": cand in (\""C04_teammate_usg_present\"", \""C05_top_usg_teammate_out\"",""]]"
E0_I0016_efficiency_predictors,C05_top_usg_teammate_out,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 215, ""pl[\""C05_top_usg_teammate_out\""] = c05""]]"
E0_I0016_efficiency_predictors,C06_top_usg_teammate_out_lastgame,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 223, ""tgl[\""C06_top_usg_teammate_out_lastgame\""] = tgl.groupby([\""season\"", \""team_id\""], sort=False)[\""_c05_team\""].shift(1)""]]"
E0_I0016_efficiency_predictors,C07_pl_usage_rank,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 216, ""pl[\""C07_pl_usage_rank\""] = c07""]]"
E0_I0016_efficiency_predictors,C08_vacated_usg,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 217, ""pl[\""C08_vacated_usg\""] = c08""]]"
E0_I0016_efficiency_predictors,D01_tm_poss_per40,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 105, ""tprior[\""D01_tm_poss_per40\""] = 200.0 * safe_div(PS[\""poss\""], PS[\""minutes\""])""]]"
E0_I0016_efficiency_predictors,D02_opp_poss_per40,0,NONE,[]
E0_I0016_efficiency_predictors,D03_pace_sum,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 241, ""pl[\""D03_pace_sum\""] = pl[\""D01_tm_poss_per40\""] + pl[\""D02_opp_poss_per40\""]""]]"
E0_I0016_efficiency_predictors,D04_pl_fastbreak_share,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 145, ""pl[\""D04_pl_fastbreak_share\""] = safe_div(QS[\""points_fast_break\""], QS[\""pts\""])""]]"
E0_I0016_efficiency_predictors,D05_transition_x_pace,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 246, ""pl[\""D05_transition_x_pace\""] = pl[\""D04_pl_fastbreak_share\""] * pl[\""D03_pace_sum\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 55, ""    \""D05_transition_x_pace\"": [\""D04_pl_fastbreak_share\"", \""D03_pace_sum\""],""]]"
E0_I0016_efficiency_predictors,D06_tm_fastbreak_pts,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 106, ""tprior[\""D06_tm_fastbreak_pts\""] = safe_div(PS[\""points_fast_break\""], mt[\""_tm_prior_games\""])""]]"
E0_I0016_efficiency_predictors,E01_pl_fg3a_share,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 146, ""pl[\""E01_pl_fg3a_share\""] = safe_div(QS[\""fg3a\""], QS[\""fga\""])""]]"
E0_I0016_efficiency_predictors,E02_pl_paintpts_share,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 147, ""pl[\""E02_pl_paintpts_share\""] = safe_div(QS[\""points_paint\""], QS[\""pts\""])""]]"
E0_I0016_efficiency_predictors,E03_pl_blocked_rate,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 148, ""pl[\""E03_pl_blocked_rate\""] = safe_div(QS[\""blocks_against\""], QS[\""fga\""])""]]"
E0_I0016_efficiency_predictors,E04_3pt_vs_opp_perim,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 247, ""pl[\""E04_3pt_vs_opp_perim\""] = pl[\""E01_pl_fg3a_share\""] * pl[\""A05_opp_fg3pct_allowed\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 56, ""    \""E04_3pt_vs_opp_perim\"": [\""E01_pl_fg3a_share\"", \""A05_opp_fg3pct_allowed\""],""]]"
E0_I0016_efficiency_predictors,E05_paint_vs_opp_rim,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 248, ""pl[\""E05_paint_vs_opp_rim\""] = pl[\""E02_pl_paintpts_share\""] * pl[\""A04_opp_blk\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 57, ""    \""E05_paint_vs_opp_rim\"": [\""E02_pl_paintpts_share\"", \""A04_opp_blk\""],""]]"
E0_I0016_efficiency_predictors,E06_pl_efg_prior,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 149, ""pl[\""E06_pl_efg_prior\""] = safe_div(QS[\""fgm\""] + 0.5 * QS[\""fg3m\""], QS[\""fga\""])""]]"
E0_I0016_efficiency_predictors,E07_pl_2ndchance_share,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 150, ""pl[\""E07_pl_2ndchance_share\""] = safe_div(QS[\""points_second_chance\""], QS[\""pts\""])""]]"
E0_I0016_efficiency_predictors,F01_b2b_x_fg3a_share,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 249, ""pl[\""F01_b2b_x_fg3a_share\""] = pl[\""_tm_b2b\""] * pl[\""E01_pl_fg3a_share\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 58, ""    \""F01_b2b_x_fg3a_share\"": [\""E01_pl_fg3a_share\""],""]]"
E0_I0016_efficiency_predictors,F02_b2b_x_ftrate,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 250, ""pl[\""F02_b2b_x_ftrate\""] = pl[\""_tm_b2b\""] * pl[\""B01_pl_ftrate\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 59, ""    \""F02_b2b_x_ftrate\"": [\""B01_pl_ftrate\""],""]]"
E0_I0016_efficiency_predictors,F03_minutes_load_7d,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 163, ""pl[\""F03_minutes_load_7d\""] = load""]]"
E0_I0016_efficiency_predictors,F04_load_x_fg3a_share,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 251, ""pl[\""F04_load_x_fg3a_share\""] = pl[\""F03_minutes_load_7d\""] * pl[\""E01_pl_fg3a_share\""]""], [""experiments\\exploration\\E0_I0016_efficiency_predictors\\s03_survivors.py"", 60, ""    \""F04_load_x_fg3a_share\"": [\""F03_minutes_load_7d\"", \""E01_pl_fg3a_share\""],""]]"
E0_I0016_efficiency_predictors,G01_noise,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0016_efficiency_predictors\\s01_build_frame.py"", 255, ""pl[\""G01_noise\""] = rng.standard_normal(len(pl))""]]"
E0_I0017_shot_quality_efficiency,D04_xefg_minus_own,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s01_build_frame.py"", 336, ""pl[\""D04_xefg_minus_own\""] = pl[\""D01_xefg_zone\""] - pl[\""refB_efg\""]""], [""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s03_forensics.py"", 87, ""for lbl, x in [(\""D04_xefg_minus_own\"", d[\""D04_xefg_minus_own\""].to_numpy(float)),""]]"
E0_I0017_shot_quality_efficiency,F02_lt5ft_x_opplt5ft,2,IN_SCREEN,"[[""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s01_build_frame.py"", 338, ""pl[\""F02_lt5ft_x_opplt5ft\""] = pl[\""A02_share_lt5ft\""] * pl[\""E02_opp_lt5ft_conceded\""]""], [""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\sq_base.py"", 96, ""    \""F02_lt5ft_x_opplt5ft\"": [\""A02_share_lt5ft\"", \""E02_opp_lt5ft_conceded\""],""]]"
E0_I0017_shot_quality_efficiency,A02_share_lt5ft,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s01_build_frame.py"", 230, ""pl[\""A02_share_lt5ft\""] = safe_div(P[\""_lt5\""], P[\""_att\""])""]]"
E0_I0017_shot_quality_efficiency,A03_share_restricted,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s01_build_frame.py"", 232, ""pl[\""A03_share_restricted\""] = safe_div(P[zc[\""Restricted Area\""]], P[\""_att\""])""]]"
E0_I0017_shot_quality_efficiency,B01_dist_t5,1,IN_SCREEN,"[[""experiments\\exploration\\E0_I0017_shot_quality_efficiency\\s01_build_frame.py"", 244, ""pl[\""B01_dist_t5\""] = safe_div(T5[\""_distsum\""], T5[\""_att\""])""]]"
