era,cutoff,basis,threshold,n_games_eligible,n_bets,n_home,n_away,wins,losses,pushes,hit_rate,total_profit_units,roi,roi_ci90_low,roi_ci90_high,mean_clv_pts,pct_clv_positive,clv_measurable,small_n_flag
extension,T-8h,consensus_m110,1.5,321,248,116,132,129,117,2,0.524390243902439,0.2727272727272778,0.0010997067448680557,-0.08487820271015292,0.08765895375154541,0.03451951834008285,0.5040322580645161,True,False
extension,T-8h,actual_best_exec,1.5,321,248,116,132,132,115,1,0.5344129554655871,5.175500947636854,0.020868955434019572,-0.06890780173370248,0.10636204139343361,0.03451951834008285,0.5040322580645161,True,False
extension,T-8h,consensus_m110,2.0,321,224,100,124,117,105,2,0.527027027027027,1.363636363636366,0.006087662337662348,-0.08387145299926499,0.10575389071712599,0.02295829790249431,0.5133928571428571,True,False
extension,T-8h,actual_best_exec,2.0,321,224,100,124,120,103,1,0.5381165919282511,6.222193334175708,0.02777764881328441,-0.06223741842865095,0.12597197648423125,0.02295829790249431,0.5133928571428571,True,False
extension,T-8h,consensus_m110,3.0,321,171,74,97,91,79,1,0.5352941176470588,3.727272727272729,0.021796916533758648,-0.0903772713273791,0.13637757947573897,0.042680037636177955,0.5263157894736842,True,False
extension,T-8h,actual_best_exec,3.0,321,171,74,97,92,79,0,0.5380116959064327,4.8882825811933905,0.0285864478432362,-0.08597657578650075,0.14377452312093908,0.042680037636177955,0.5263157894736842,True,False
old,T-64m,consensus_m110,0.5,289,289,127,162,151,138,0,0.5224913494809689,-0.7272727272727266,-0.0025165146272412686,-0.09680042723431369,0.09186602870813396,,,False,False
old,T-64m,actual_best_exec,0.5,289,289,127,162,152,135,2,0.5296167247386759,4.192884739472856,0.014508251693677702,-0.08183032566339977,0.10852681559966036,,,False,False
old,T-64m,consensus_m110,1.0,289,259,114,145,136,123,0,0.525096525096525,0.636363636363642,0.0024570024570024786,-0.09829894889857989,0.10672475046523429,,,False,False
old,T-64m,actual_best_exec,1.0,289,259,114,145,136,121,2,0.5291828793774319,3.6244574679563364,0.013994044277823692,-0.08651357594447301,0.11807335593645515,,,False,False
old,T-64m,consensus_m110,1.5,289,234,99,135,122,112,0,0.5213675213675214,-1.09090909090909,-0.004662004662004658,-0.10590264672036825,0.09895389001019578,,,False,False
old,T-64m,actual_best_exec,1.5,289,234,99,135,122,110,2,0.5258620689655172,1.8146007005344824,0.007754703848437959,-0.09419778027800281,0.11247847538763152,,,False,False
old,T-64m,consensus_m110,2.0,289,205,88,117,108,97,0,0.526829268292683,1.1818181818181843,0.005764966740576509,-0.09718635000681476,0.11777908619877529,,,False,False
old,T-64m,actual_best_exec,2.0,289,205,88,117,108,95,2,0.5320197044334976,3.8782386986385005,0.01891823755433415,-0.08335161420333591,0.13108080470458242,,,False,False
old,T-64m,consensus_m110,3.0,289,159,71,88,82,77,0,0.5157232704402516,-2.4545454545454506,-0.015437392795883338,-0.13554888507718696,0.09953970080552357,,,False,False
old,T-64m,actual_best_exec,3.0,289,159,71,88,82,75,2,0.5222929936305732,0.2997209000080119,0.0018850371069686282,-0.11845005743628001,0.1172389430468671,,,False,False
