target,over,added,null,stratum,n,r2_base,dr2_own_sst,dr2_on_full_wf_sst,sst_basis,perm_p,null_p95,n_draws,block,comparison,arm,mae,mae_base,skill_vs_base,p_blockflip,mae_d094_est
pts,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.32833042700839254,0.001203113364439756,0.00044475085661710564,own stratum SST + full wf_eval SST (D099),0.351824087956022,0.0021401885690073954,2000.0,dr2,,,,,,,
minutes,base_only,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6745739866277313,0.0004920157557425305,0.0004920157557425305,own stratum SST + full wf_eval SST (D099),0.47126436781609193,0.0008721362297104986,2000.0,dr2,,,,,,,
minutes,base_only,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.27250708901598997,0.0020225053067182003,0.0002642916506480275,own stratum SST + full wf_eval SST (D099),0.14442778610694654,0.002705967660246714,2000.0,dr2,,,,,,,
minutes,base_only,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.6745739866277313,3.104487768249028e-05,3.104487768249028e-05,own stratum SST + full wf_eval SST (D099),0.38980509745127434,0.00015851815228513444,2000.0,dr2,,,,,,,
minutes,base_only,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.27250708901598997,2.8001661241165413e-07,3.659127739112351e-08,own stratum SST + full wf_eval SST (D099),0.9785107446276862,0.0008337631698158064,2000.0,dr2,,,,,,,
minutes,base_only,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6745739866277313,0.0005197358795873072,0.0005197358795873072,own stratum SST + full wf_eval SST (D099),0.48225887056471767,0.0009225714578818681,2000.0,dr2,,,,,,,
minutes,base_only,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.27250708901598997,0.0020609260689170832,0.00026931229836992383,own stratum SST + full wf_eval SST (D099),0.13343328335832083,0.0027113155899346902,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6759710465258502,0.00040088864071126867,0.00040088864071126867,own stratum SST + full wf_eval SST (D099),0.5217391304347826,0.0008204900292603201,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2765485071057203,0.0016395454473815084,0.00021424822528848505,own stratum SST + full wf_eval SST (D099),0.26686656671664166,0.0027593401373425326,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.6759710465258502,5.761347598682301e-07,5.761347598682301e-07,own stratum SST + full wf_eval SST (D099),0.9150424787606197,0.00017502202616675742,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.2765485071057203,1.0414515030999758e-10,1.3609207150649648e-11,own stratum SST + full wf_eval SST (D099),0.9985007496251874,0.0008319336079802606,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6759710465258502,0.00040186184039458443,0.00040186184039458443,own stratum SST + full wf_eval SST (D099),0.5177411294352824,0.0007864022109157552,2000.0,dr2,,,,,,,
minutes,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2765485071057203,0.001639986835984412,0.0002143059039121461,own stratum SST + full wf_eval SST (D099),0.2368815592203898,0.002668739512782789,2000.0,dr2,,,,,,,
fga,base_only,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6425060843377506,0.0004978129798142888,0.0004978129798142888,own stratum SST + full wf_eval SST (D099),0.1679160419790105,0.0006521873970875875,2000.0,dr2,,,,,,,
fga,base_only,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.474538913071467,0.0011327611905157483,0.0003585371518007886,own stratum SST + full wf_eval SST (D099),0.08045977011494253,0.0012999282443653037,2000.0,dr2,,,,,,,
fga,base_only,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.6425060843377506,3.3388308262262415e-07,3.3388308262262415e-07,own stratum SST + full wf_eval SST (D099),0.9440279860069966,0.0001935025891554762,2000.0,dr2,,,,,,,
fga,base_only,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.474538913071467,1.514869863182912e-06,4.794806978222481e-07,own stratum SST + full wf_eval SST (D099),0.9380309845077461,0.0007310333594488867,2000.0,dr2,,,,,,,
fga,base_only,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.6425060843377506,0.0004994569718704396,0.0004994569718704396,own stratum SST + full wf_eval SST (D099),0.16591704147926037,0.0006404554829033762,2000.0,dr2,,,,,,,
fga,base_only,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.474538913071467,0.0011341260904681428,0.0003589691646076554,own stratum SST + full wf_eval SST (D099),0.08195902048975512,0.0012896760704289166,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.643965344954804,0.0003798637054933768,0.0003798637054933768,own stratum SST + full wf_eval SST (D099),0.2653673163418291,0.000559532141144634,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.4771790854074839,0.0009257821672650348,0.00029302495902780684,own stratum SST + full wf_eval SST (D099),0.1794102948525737,0.0013988223876851885,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.643965344954804,1.5383452057544592e-07,1.5383452057544592e-07,own stratum SST + full wf_eval SST (D099),0.9610194902548725,0.00021625601289924012,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.4771790854074839,2.4860815734453e-07,7.868848385259972e-08,own stratum SST + full wf_eval SST (D099),0.9675162418790605,0.0007509817726539209,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.643965344954804,0.0003798765845928361,0.0003798765845928361,own stratum SST + full wf_eval SST (D099),0.2538730634682659,0.0005614952431930842,2000.0,dr2,,,,,,,
fga,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.4771790854074839,0.0009260227217354779,0.00029310109839010817,own stratum SST + full wf_eval SST (D099),0.15542228885557222,0.0013280020602019933,2000.0,dr2,,,,,,,
ppm,base_only,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.19462653471397584,0.00045996605057519173,0.00045996605057519173,own stratum SST + full wf_eval SST (D099),0.8875562218890555,0.0022451853401601906,2000.0,dr2,,,,,,,
ppm,base_only,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2577469129390795,0.0015144886026695786,0.00040245480686463734,own stratum SST + full wf_eval SST (D099),0.44877561219390305,0.0032263925572822523,2000.0,dr2,,,,,,,
ppm,base_only,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.19462653471397584,5.480419636670589e-05,5.480419636670589e-05,own stratum SST + full wf_eval SST (D099),0.48875562218890556,0.0004785511753974122,2000.0,dr2,,,,,,,
ppm,base_only,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.2577469129390795,6.33654681919144e-05,1.68385138178739e-05,own stratum SST + full wf_eval SST (D099),0.6421789105447276,0.0012328165613032245,2000.0,dr2,,,,,,,
ppm,base_only,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.19462653471397584,0.0004696139268330279,0.0004696139268330279,own stratum SST + full wf_eval SST (D099),0.8875562218890555,0.0021912774956911753,2000.0,dr2,,,,,,,
ppm,base_only,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2577469129390795,0.0015628032052869883,0.0004152937572739417,own stratum SST + full wf_eval SST (D099),0.47176411794102946,0.003163289071585624,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.1977294405293467,0.000509466986245048,0.000509466986245048,own stratum SST + full wf_eval SST (D099),0.8355822088955522,0.0022281694657447803,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_game_level,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2620061919011224,0.0018494711580540636,0.0004914718779688025,own stratum SST + full wf_eval SST (D099),0.32283858070964516,0.0032115706361728717,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_prev_season,player_season_relabel,wf_eval_2023_24,9517,0.1977294405293467,3.72698932710718e-05,3.72698932710718e-05,own stratum SST + full wf_eval SST (D099),0.5677161419290355,0.00045535563742636365,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_prev_season,player_season_relabel,decision_stratum_wf,3549,0.2620061919011224,8.775828836499027e-06,2.3320574966656862e-06,own stratum SST + full wf_eval SST (D099),0.856071964017991,0.0010584383895840157,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,wf_eval_2023_24,9517,0.1977294405293467,0.0005365241400378604,0.0005365241400378604,own stratum SST + full wf_eval SST (D099),0.8380809595202399,0.0024188996486094057,2000.0,dr2,,,,,,,
ppm,base_plus_RAPM,pm_all,cyclic_shift_within_player_season,decision_stratum_wf,3549,0.2620061919011224,0.0018496019907835372,0.0004915066449923239,own stratum SST + full wf_eval SST (D099),0.31584207896051975,0.003132245721596077,2000.0,dr2,,,,,,,
pts,,,,wf_eval_2023_24,9517,,0.0025764103267799814,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
pts,,,,wf_eval_2023_24,9517,,0.00021618592476507745,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
pts,,,,wf_eval_2023_24,9517,,0.0026112022910006623,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
pts,,,,wf_eval_2023_24,9517,,0.00025097788898575805,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
pts,,,,decision_stratum_wf,3549,,0.004074984810152365,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
pts,,,,decision_stratum_wf,3549,,0.0010943160233315562,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
pts,,,,decision_stratum_wf,3549,,0.0041837821512605644,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
pts,,,,decision_stratum_wf,3549,,0.001203113364439756,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
minutes,,,,wf_eval_2023_24,9517,,0.0013970598981189342,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
minutes,,,,wf_eval_2023_24,9517,,0.0005197358795873072,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
minutes,,,,wf_eval_2023_24,9517,,0.0012791858589262615,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
minutes,,,,wf_eval_2023_24,9517,,0.00040186184039458443,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
minutes,,,,decision_stratum_wf,3549,,0.004041418089730339,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
minutes,,,,decision_stratum_wf,3549,,0.0020609260689170832,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
minutes,,,,decision_stratum_wf,3549,,0.0036204788567975725,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
minutes,,,,decision_stratum_wf,3549,,0.001639986835984412,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
fga,,,,wf_eval_2023_24,9517,,0.0014592606170533223,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
fga,,,,wf_eval_2023_24,9517,,0.0004994569718704396,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
fga,,,,wf_eval_2023_24,9517,,0.0013396802297757186,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
fga,,,,wf_eval_2023_24,9517,,0.0003798765845928361,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
fga,,,,decision_stratum_wf,3549,,0.002640172336016829,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
fga,,,,decision_stratum_wf,3549,,0.0011341260904681428,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
fga,,,,decision_stratum_wf,3549,,0.002432068967284164,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
fga,,,,decision_stratum_wf,3549,,0.0009260227217354779,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
ppm,,,,wf_eval_2023_24,9517,,0.0031029058153708516,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
ppm,,,,wf_eval_2023_24,9517,,0.0004696139268330279,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
ppm,,,,wf_eval_2023_24,9517,,0.0031698160285755133,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
ppm,,,,wf_eval_2023_24,9517,,0.0005365241400378604,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
ppm,,,,decision_stratum_wf,3549,,0.004259278962042952,,own stratum SST,,,,head_to_head,RAPM_over_base,,,,,,
ppm,,,,decision_stratum_wf,3549,,0.0015628032052869883,,own stratum SST,,,,head_to_head,PM_over_base,,,,,,
ppm,,,,decision_stratum_wf,3549,,0.004546077747539662,,own stratum SST,,,,head_to_head,RAPM_over_base_plus_PM,,,,,,
ppm,,,,decision_stratum_wf,3549,,0.0018496019907835372,,own stratum SST,,,,head_to_head,PM_over_base_plus_RAPM,,,,,,
pts,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base,4.2210216676937025,4.2210216676937025,0.0,1.0,4.147585220885528
pts,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM,4.199191404054169,4.2210216676937025,0.005171796156986153,0.006496751624187906,4.147585220885528
pts,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+PM,4.221281443637423,4.2210216676937025,-6.154338076691523e-05,0.9150424787606197,4.147585220885528
pts,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM+PM,4.20360204917389,4.2210216676937025,0.004126872565743178,0.020989505247376312,4.147585220885528
pts,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base,5.126665570308508,5.126665570308508,0.0,1.0,5.047955930814263
pts,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM,5.096262921049001,5.126665570308508,0.005930296962529891,0.01249375312343828,5.047955930814263
pts,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+PM,5.133188550788764,5.126665570308508,-0.0012723631746205388,0.18840579710144928,5.047955930814263
pts,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM+PM,5.107036111746873,5.126665570308508,0.0038288939062692817,0.09745127436281859,5.047955930814263
minutes,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base,4.890143373679463,4.890143373679463,0.0,1.0,4.884528084606726
minutes,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM,4.953762861164479,4.890143373679463,-0.01300973869752764,0.0004997501249375312,4.884528084606726
minutes,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+PM,4.88792552168121,4.890143373679463,0.0004535351683530031,0.4197901049475262,4.884528084606726
minutes,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM+PM,5.171053746428784,4.890143373679463,-0.05744419974704296,0.0004997501249375312,4.884528084606726
minutes,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base,4.278261310737773,4.278261310737773,0.0,1.0,4.323591891517417
minutes,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM,4.366041367967062,4.278261310737773,-0.02051769418781757,0.0004997501249375312,4.323591891517417
minutes,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+PM,4.283323738311156,4.278261310737773,-0.0011832908758231397,0.20539730134932535,4.323591891517417
minutes,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM+PM,4.750268566123037,4.278261310737773,-0.11032688774773969,0.0004997501249375312,4.323591891517417
fga,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base,2.5873747007227705,2.5873747007227705,0.0,1.0,2.558836001322271
fga,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM,2.581180942108205,2.5873747007227705,0.0023938390573406965,0.21039480259870064,2.558836001322271
fga,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+PM,2.584711484252998,2.5873747007227705,0.0010293122480591332,0.0024987506246876563,2.558836001322271
fga,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM+PM,2.6614806139426057,2.5873747007227705,-0.02864135341476981,0.0004997501249375312,2.558836001322271
fga,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base,2.9376270322318776,2.9376270322318776,0.0,1.0,2.928533158462894
fga,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM,2.9248386885451483,2.9376270322318776,0.004353290443754321,0.10494752623688156,2.928533158462894
fga,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+PM,2.9347916202966533,2.9376270322318776,0.0009652048759470899,0.05297351324337831,2.928533158462894
fga,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM+PM,3.0424071432337128,2.9376270322318776,-0.0356682825464838,0.0034982508745627187,2.928533158462894
ppm,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base,0.18366384101521602,0.18366384101521602,0.0,1.0,0.18029301753872462
ppm,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM,0.18240581191422528,0.18366384101521602,0.0068496286151747965,0.0004997501249375312,0.18029301753872462
ppm,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+PM,0.18362586597072897,0.18366384101521602,0.0002067638587821552,0.63968015992004,0.18029301753872462
ppm,,,,wf_eval_2023_24,9517,,,,,,,,walkforward_forecast,,base+RAPM+PM,0.18250805756417807,0.18366384101521602,0.006292928671475351,0.0004997501249375312,0.18029301753872462
ppm,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base,0.15540423006796752,0.15540423006796752,0.0,1.0,0.1511534710096663
ppm,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM,0.15345467426002415,0.15540423006796752,0.01254506268645783,0.0004997501249375312,0.1511534710096663
ppm,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+PM,0.15532008290068786,0.15540423006796752,0.0005414728237633781,0.44127936031984005,0.1511534710096663
ppm,,,,decision_stratum_wf,3549,,,,,,,,walkforward_forecast,,base+RAPM+PM,0.15339305995893868,0.15540423006796752,0.012941540318106126,0.0004997501249375312,0.1511534710096663
