target,population,variant,n,mae_variant,mae_D092_incumbent,skill_vs_D092,dr2_own_sst,dr2_on_full_tier_sst,sst_basis,mean_abs_err_diff,p_blockflip,n_blocks
minutes,all_data_poor,C1,698,6.390231272520629,5.358635441870362,-0.19251091846811685,-0.10445098506336756,-0.10445098506336756,own population SST + full data-poor-tier SST (D099),1.0315958306502673,0.0004997501249375312,311
minutes,all_data_poor,C2,698,5.613385164176909,5.358635441870362,-0.04754003609128321,-0.019302082122759034,-0.019302082122759034,own population SST + full data-poor-tier SST (D099),0.2547497223065464,0.0009995002498750624,311
minutes,all_data_poor,C3,698,5.2289640529465835,5.358635441870362,0.024198583824265207,0.011955574911970397,0.011955574911970397,own population SST + full data-poor-tier SST (D099),-0.1296713889237777,0.019490254872563718,311
minutes,all_data_poor,C4,698,6.390231272520629,5.358635441870362,-0.19251091846811685,-0.10445098506336756,-0.10445098506336756,own population SST + full data-poor-tier SST (D099),1.0315958306502673,0.0004997501249375312,311
minutes,veteran_returning,C0,572,5.2605552827522875,5.2605552827522875,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,253
minutes,veteran_returning,C1,572,5.872639373974565,5.2605552827522875,-0.11635351371158653,-0.043862764486497154,-0.0345465066387101,own population SST + full data-poor-tier SST (D099),0.6120840912222777,0.0004997501249375312,253
minutes,veteran_returning,C2,572,5.306497985067554,5.2605552827522875,-0.008733432089554904,0.007597039462303863,0.005983461765156567,own population SST + full data-poor-tier SST (D099),0.04594270231526703,0.5392303848075962,253
minutes,veteran_returning,C3,572,5.206406849828691,5.2605552827522875,0.01029329225017972,0.006224426720913609,0.004902385920121444,own population SST + full data-poor-tier SST (D099),-0.05414843292359533,0.3743128435782109,253
minutes,veteran_returning,C4,572,5.872639373974565,5.2605552827522875,-0.11635351371158653,-0.043862764486497154,-0.0345465066387101,own population SST + full data-poor-tier SST (D099),0.6120840912222777,0.0004997501249375312,253
minutes,true_rookie,C0,126,5.803888227707973,5.803888227707973,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,58
minutes,true_rookie,C1,126,8.739934177031335,5.803888227707973,-0.5058756878374349,-0.561356022263628,-0.0699044784246575,own population SST + full data-poor-tier SST (D099),2.936045949323362,0.0004997501249375312,58
minutes,true_rookie,C2,126,7.006555532832071,5.803888227707973,-0.20721751659215637,-0.2030512587686506,-0.025285543887915582,own population SST + full data-poor-tier SST (D099),1.202667305124101,0.0004997501249375312,58
minutes,true_rookie,C3,126,5.331366594084953,5.803888227707973,0.08141466807840725,0.05663943435334061,0.007053188991848893,own population SST + full data-poor-tier SST (D099),-0.47252163362301813,0.0009995002498750624,58
minutes,true_rookie,C4,126,8.739934177031335,5.803888227707973,-0.5058756878374349,-0.561356022263628,-0.0699044784246575,own population SST + full data-poor-tier SST (D099),2.936045949323362,0.0004997501249375312,58
ppm,all_data_poor,C0,698,0.1953357459657426,0.1953357459657426,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,311
ppm,all_data_poor,C1,698,0.20156420146145618,0.1953357459657426,-0.031885897099478644,-0.017976809868188236,-0.017976809868188236,own population SST + full data-poor-tier SST (D099),0.0062284554957136,0.0004997501249375312,311
ppm,all_data_poor,C2,698,0.19743969276338194,0.1953357459657426,-0.010770925655401165,-0.0005282766634887176,-0.0005282766634887176,own population SST + full data-poor-tier SST (D099),0.0021039467976393875,0.02498750624687656,311
ppm,all_data_poor,C3,698,0.1951408314648954,0.1953357459657426,0.000997843481660543,0.0006906428387970729,0.0006906428387970729,own population SST + full data-poor-tier SST (D099),-0.00019491450084721895,0.7051474262868566,311
ppm,all_data_poor,C4,698,0.20156420146145618,0.1953357459657426,-0.031885897099478644,-0.017976809868188236,-0.017976809868188236,own population SST + full data-poor-tier SST (D099),0.0062284554957136,0.0004997501249375312,311
ppm,veteran_returning,C0,572,0.18794434396462542,0.18794434396462542,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,253
ppm,veteran_returning,C1,572,0.1900566905072621,0.18794434396462542,-0.011239213152560934,-0.0019755956624884926,-0.0014318955108335303,own population SST + full data-poor-tier SST (D099),0.0021123465426366667,0.25737131434282856,253
ppm,veteran_returning,C2,572,0.18803467600977636,0.18794434396462542,-0.00048063188944880153,0.007781098467282169,0.005639676263826531,own population SST + full data-poor-tier SST (D099),9.033204515091004e-05,0.9280359820089955,253
ppm,veteran_returning,C3,572,0.18695806213104477,0.18794434396462542,0.005247733519271436,0.005296582979074978,0.0038389198430116133,own population SST + full data-poor-tier SST (D099),-0.0009862818335806514,0.06346826586706647,253
ppm,veteran_returning,C4,572,0.1900566905072621,0.18794434396462542,-0.011239213152560934,-0.0019755956624884926,-0.0014318955108335303,own population SST + full data-poor-tier SST (D099),0.0021123465426366667,0.25737131434282856,253
ppm,true_rookie,C0,126,0.2288903645739888,0.2288903645739888,0.0,0.0,0.0,own population SST + full data-poor-tier SST (D099),0.0,1.0,58
ppm,true_rookie,C1,126,0.25380464801541675,0.2288903645739888,-0.10884810938983147,-0.06589667487551015,-0.01654491435735496,own population SST + full data-poor-tier SST (D099),0.024914283441427935,0.0004997501249375312,58
ppm,true_rookie,C2,126,0.24013548310514735,0.2288903645739888,-0.04912884188938205,-0.024566315661710258,-0.006167952927315248,own population SST + full data-poor-tier SST (D099),0.011245118531158508,0.0004997501249375312,58
ppm,true_rookie,C3,126,0.23228800653602674,0.2288903645739888,-0.014843971122863175,-0.012539260203093337,-0.003148277004214509,own population SST + full data-poor-tier SST (D099),0.0033976419620378876,0.02148925537231384,58
ppm,true_rookie,C4,126,0.25380464801541675,0.2288903645739888,-0.10884810938983147,-0.06589667487551015,-0.01654491435735496,own population SST + full data-poor-tier SST (D099),0.024914283441427935,0.0004997501249375312,58
