P0_champion,P1_ref_D076,P2_position,P3_draft_bin,P3_draft_ols,P4_teamrole,P5a_draft_x_depth,P5b_pos_x_draft,P5c_additive,league,P1full_running_mean,P5d_blend_k1,P5e_careerblend_k1,P5d_blend_k2,P5e_careerblend_k2,P5d_blend_k3,P5e_careerblend_k3,P5d_blend_k5,P5e_careerblend_k5,P5d_blend_k10,P5e_careerblend_k10,P1c_career_mean
16.10443347705005,16.38888888888889,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.0,15.871196745927746,16.009215976490324,15.754660468433801,15.954209996534251,15.648718397984762,15.901495932409683,15.463319774698942,15.802393491855492,15.11170169605342,15.586169985191804,16.066666666666666
17.36320680366039,16.94736842105263,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.55,16.401139758026424,16.243062445075637,16.265812265323174,16.184330621606456,16.14225238068108,16.12799601542173,15.924786983710986,16.021954403779894,15.507978306184974,15.789988378313378,16.304347826086957
16.483651497363017,16.65,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.285714285714285,16.15563340538886,16.133831977469892,16.036863905961297,16.078527955859386,15.927991864819365,16.025436095113296,15.735372099722099,15.925378357553358,15.362559651146748,15.705953494483321,16.19148936170213
14.55638948175673,15.952380952380953,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.636363636363637,15.540171083415432,15.845386426909284,15.451994576546245,15.796957396742197,15.37087219022659,15.750427544228721,15.226654614547208,15.662635369674993,14.944979662048413,15.469643951474985,15.895833333333334
14.565331576777416,15.818181818181818,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.521739130434783,15.434330621606456,15.788478698371097,15.353914793484394,15.74211509484529,15.279684798294799,15.697534706839708,15.147131235456236,15.613327307273604,14.886040884410583,15.427785579416089,15.83673469387755
15.561220121929587,16.130434782608695,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.833333333333334,15.736957396742197,15.92988107683441,15.647994993734994,15.881689804559805,15.565622398357956,15.8353170708616,15.417919813543952,15.747630447141358,15.124686740751448,15.553989153092488,15.98
16.361166615417808,16.166666666666668,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,15.88,15.785535958405958,15.950460286895288,15.69806925322629,15.9027899969266,15.616850169845172,15.85688527325305,15.470655819759154,15.769994189156689,15.17826711958712,15.57769424894343,16.0
17.732990298520292,16.68,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.384615384615383,16.27496055253907,16.196678017331227,16.173138208468206,16.14533092290944,16.07833809502292,16.09585099555754,15.907086277186277,16.002099554259203,15.562204144043033,15.794183051379825,16.25
18.214220391791997,16.923076923076923,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,16.62962962962963,16.515140532805532,16.322665461454722,16.40854723576241,16.269961269765634,16.309060158522158,16.21913937063687,16.128739831024205,16.12275301022025,15.763225653663492,15.908561098183322,16.37735849056604
19.29242421580031,17.333333333333332,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,17.035714285714285,16.91117016960534,16.534980634882814,16.794928994570327,16.479426247091247,16.686187250182734,16.425821136064293,16.488474987659835,16.324062281233466,16.08524603119866,16.097489831024205,16.59259259259259
20.441296191150528,17.785714285714285,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,17.482758620689655,17.347464497285163,16.77542740925991,17.22089902700354,16.716629295387893,17.102243898614525,16.659858702683874,16.885872782140428,16.551994576546242,16.442034594501262,16.311374602854603,16.836363636363636
19.368301840031627,17.586206896551722,9.007260747366288,11.165650222529546,13.939038130029829,10.64613334376848,10.053308577898742,10.52047044465817,13.42393491855492,8.697554697554697,17.3,17.17496564253403,16.69164798102728,17.05774593240968,16.635308100639826,16.947630447141357,16.580878046706182,16.746276416936418,16.477371714635648,16.33098372963873,16.246050745235593,16.75
8.700466977985323,3.0,9.539988501917435,11.165650222529546,11.944040874182946,9.10810358437775,9.124140070183236,11.698386379367975,12.418632913715337,8.697554697554697,16.0,14.209316456857668,15.924077438638689,13.612421942476892,15.823921880783736,13.313974685286503,15.72933052058739,13.015527428096114,15.55508327812044,12.744211739741216,15.19037974737566,16.03030303030303
8.700466977985323,13.0,9.539988501917435,11.165650222529546,11.944040874182946,10.64613334376848,10.053308577898742,11.698386379367975,13.956662673106067,8.697554697554697,14.5,14.318887557702023,15.88447607637446,14.228331336553033,15.830925704061448,14.17399760386364,15.78026994646806,14.111901909361476,15.68675162475719,14.047218894255055,15.490150607524107,15.941176470588236
18.929844683468804,19.5,9.539988501917435,11.165650222529546,11.944040874182946,11.971861671520374,11.708777348777348,11.698386379367975,15.282391000857961,8.697554697554697,18.333333333333332,17.57059775021449,16.20228863891272,17.112956400343183,16.177426540586918,16.807862167095646,16.153872973751945,16.426494375536226,16.110298875107244,15.986454616044586,16.018309111301768,16.228571428571428
18.208920413743833,18.333333333333332,9.539988501917435,11.165650222529546,11.944040874182946,11.971861671520374,11.708777348777348,11.698386379367975,15.282391000857961,8.697554697554697,17.75,17.256478200171593,16.196821378401566,16.927463666952654,16.172757421097785,16.692453286081985,16.14992751288651,16.379106111587756,16.107608658641215,15.987422143469972,16.017911087143034,16.22222222222222
18.968669229316344,18.75,9.539988501917435,11.165650222529546,11.944040874182946,11.971861671520374,11.708777348777348,11.698386379367975,15.282391000857961,8.697554697554697,18.2,17.713731833476327,16.296905026338365,17.366397428816562,16.27089184619784,17.105896625321733,16.246179325064347,16.74119550042898,16.20028464295928,16.254927333905307,16.10263638316127,16.324324324324323
19.253737034243542,19.0,9.539988501917435,11.165650222529546,11.944040874182946,13.785494055944808,12.996314206710245,11.698386379367975,17.096023385282393,8.697554697554697,18.5,18.2994319121832,16.4383595739816,18.1490058463206,16.45480116926412,18.03200779509413,16.47044073550847,17.861828811491996,16.499537602939814,17.622514615801496,16.5616715386005,16.42105263157895
