axis,n,n_at,n_ge,n_lt,skill_at_pts,skill_ge_pts,skill_lt_pts,skill_at_minutes,skill_ge_minutes,skill_lt_minutes
pl_career_games_prior,14,93,12565,1314,-0.050009340483115006,0.005620322733053795,-0.09465589927813944,0.05794961947718258,0.050571416236344646,-0.09495402918524398
pl_career_games_prior,15,95,12472,1407,0.02383613593743772,0.005949797029122905,-0.0917585836501027,0.0843946104910539,0.050514215777586746,-0.08537520873341098
pl_career_games_prior,16,94,12377,1502,-0.03626503995200547,0.005852284112918493,-0.08527604132131983,0.05259603409669433,0.05018150528782195,-0.07300642827238768
pl_career_games_prior,17,98,12283,1596,-0.05037505050582647,0.006085869569544156,-0.08264469937214791,0.006138426218374127,0.05016067468803742,-0.06551154550862726
pl_career_games_prior,18,100,12185,1694,-0.0030617255096772045,0.006438466106697294,-0.08081583739832099,0.007700981183429101,0.05056238132872626,-0.06129401732036288
pl_career_games_prior,19,102,12085,1794,0.06305385599069446,0.006490346183688822,-0.07716336090282483,0.141994010753685,0.05088930667743763,-0.0580818372264742
pl_career_games_prior,20,102,11983,1896,-0.030812254805696826,0.00612650622995814,-0.06985628915080988,0.01029909604996071,0.05001572087866035,-0.047118553505779426
pl_career_games_prior,21,103,11881,1998,-0.02031131138383402,0.00637402769224904,-0.06785853214299165,0.0820350678982813,0.05038670658364175,-0.04423456904940681
pl_career_games_prior,22,100,11778,2101,0.06996445334358814,0.006575314039059199,-0.06528744061976033,0.07343730261003611,0.05004585672345063,-0.037391913052882364
pl_career_games_prior,23,104,11678,2201,-0.00401047154286549,0.006111827543520021,-0.05859750980343725,0.027623541221942438,0.04980664518322442,-0.03202037791068579
pl_career_games_prior,24,104,11574,2305,0.061023008470057816,0.006178281217961046,-0.05629080323959412,0.01582928566704689,0.05003425518024163,-0.029281302571154244
pl_career_games_prior,25,103,11470,2409,0.01730242918618985,0.005771977697863417,-0.05098883489291306,0.03170145234340771,0.05040068913816387,-0.027238169292416625
pl_career_games_prior,26,105,11367,2512,0.023976460859868487,0.005684165701175026,-0.047978788704591935,0.09264769916297577,0.050590259834396356,-0.024839123204472013
pl_career_games_prior,27,102,11262,2617,0.011658838735885357,0.005543893666700717,-0.04494329411115605,0.037416328846541336,0.050170483785012876,-0.02035542878354568
pl_career_games_prior,28,107,11160,2719,0.05420904292302586,0.005494857095148964,-0.04256999168029596,0.07699014314803365,0.05028795786287388,-0.01840738256248864
pl_career_games_prior,29,113,11053,2826,0.0679130743935793,0.005115559030942518,-0.038812208644210644,0.07361602922117505,0.05004108006683705,-0.015311799079805954
pl_career_games_prior,30,112,10940,2939,-0.05801391263985134,0.004509946959888267,-0.033959690435675594,0.01151493717433516,0.049761271536132856,-0.011795602525694227
