population,n,n_clusters,target,placeholder,mae,r2_of_forecast,r2_league,dr2_vs_league_mean,p_cluster,p_row_NAIVE
zero_career,22,22,pts,P2_position,6.1689412212231165,-2.5025494011842917,-2.1919600808437885,-0.3105893203405037,0.0069965017491254375,0.0069965017491254375
zero_career,22,22,pts,P3_draft_bin,4.9248038281697575,-1.3306076246708058,-2.1919600808437885,0.861352456172982,0.014492753623188406,0.014492753623188406
zero_career,22,22,pts,P3_draft_ols,4.592976981894423,-1.1190146467080546,-2.1919600808437885,1.0729454341357338,0.01249375312343828,0.01249375312343828
zero_career,22,22,pts,P4_teamrole,5.236624190289562,-1.5049100763824979,-2.1919600808437885,0.6870500044612904,0.0009995002498750624,0.0009995002498750624
zero_career,22,22,pts,P5c_additive,4.605285603817527,-1.0310558438301087,-2.1919600808437885,1.1609042370136797,0.0069965017491254375,0.0069965017491254375
zero_career,22,22,pts,P1c_career_mean,5.81679309393732,-2.1919600808437885,-2.1919600808437885,-0.0,1.0,1.0
zero_career,22,22,pts,P5e_careerblend_k3,4.605285603817527,-1.0310558438301087,-2.1919600808437885,1.1609042370136797,0.0069965017491254375,0.0069965017491254375
zero_career,22,22,minutes,P0_champion,12.639139326575098,-3.1393667837505967,-3.110437986621271,-0.028928797129324568,0.0004997501249375312,0.0004997501249375312
zero_career,22,22,minutes,P1full_running_mean,12.2609570769576,-2.87484786971502,-3.110437986621271,0.23559011690625087,0.0009995002498750624,0.0009995002498750624
zero_career,22,22,minutes,P2_position,13.002361100828058,-3.459648681417441,-3.110437986621271,-0.3492106947961707,0.004497751124437781,0.004497751124437781
zero_career,22,22,minutes,P3_draft_bin,11.519618280309228,-2.3626302396227254,-3.110437986621271,0.7478077469985461,0.015492253873063468,0.015492253873063468
zero_career,22,22,minutes,P3_draft_ols,11.224458889326838,-2.1567448964354847,-3.110437986621271,0.9536930901857864,0.010994502748625687,0.010994502748625687
zero_career,22,22,minutes,P4_teamrole,11.25471608788121,-2.298991302657333,-3.110437986621271,0.8114466839639385,0.0004997501249375312,0.0004997501249375312
zero_career,22,22,minutes,P5c_additive,10.840323266708209,-1.941135618171685,-3.110437986621271,1.1693023684495858,0.0024987506246876563,0.0024987506246876563
zero_career,22,22,minutes,P1c_career_mean,12.602597802941263,-3.110437986621271,-3.110437986621271,-0.0,1.0,1.0
zero_career,22,22,minutes,P5e_careerblend_k3,10.840323266708209,-1.941135618171685,-3.110437986621271,1.1693023684495858,0.0024987506246876563,0.0024987506246876563
zero_same_season_but_has_career,49,49,pts,P0_champion,5.833283745206559,-0.6566228459327981,-0.6572562295847411,0.0006333836519430465,0.0014992503748125937,0.0014992503748125937
zero_same_season_but_has_career,49,49,pts,P1full_running_mean,5.737463254080728,-0.6088440303508096,-0.6572562295847411,0.04841219923393141,0.0009995002498750624,0.0009995002498750624
zero_same_season_but_has_career,49,49,pts,P2_position,5.789524450794647,-0.6352847619104811,-0.6572562295847411,0.02197146767425954,0.6376811594202898,0.6376811594202898
zero_same_season_but_has_career,49,49,pts,P3_draft_bin,5.215650654027334,-0.47261636520407957,-0.6572562295847411,0.18463986438066146,0.3008495752123938,0.3008495752123938
zero_same_season_but_has_career,49,49,pts,P3_draft_ols,4.895151035748165,-0.2467011860161683,-0.6572562295847411,0.41055504356857253,0.0079960019990005,0.0079960019990005
zero_same_season_but_has_career,49,49,pts,P4_teamrole,5.3000208100434225,-0.4092456060965568,-0.6572562295847411,0.2480106234881844,0.0004997501249375312,0.0004997501249375312
zero_same_season_but_has_career,49,49,pts,P5c_additive,4.610275229055269,-0.21700776133299993,-0.6572562295847411,0.4402484682517409,0.0079960019990005,0.0079960019990005
zero_same_season_but_has_career,49,49,pts,P1c_career_mean,4.126546056868124,-0.04842513257310377,-0.6572562295847411,0.6088310970116372,0.0384807596201899,0.0384807596201899
zero_same_season_but_has_career,49,49,pts,P5e_careerblend_k3,4.100493952284885,0.00558837691549896,-0.6572562295847411,0.66284460650024,0.01649175412293853,0.01649175412293853
zero_same_season_but_has_career,49,49,minutes,P0_champion,10.426893822641816,-0.8502959099868841,-0.8354973790740892,-0.014798530912794981,0.0004997501249375312,0.0004997501249375312
zero_same_season_but_has_career,49,49,minutes,P1full_running_mean,10.094105327125629,-0.7465602542797836,-0.8354973790740892,0.08893712479430589,0.0004997501249375312,0.0004997501249375312
zero_same_season_but_has_career,49,49,minutes,P2_position,10.343036512096095,-0.7747107953308099,-0.8354973790740892,0.06078658374327955,0.16991504247876063,0.16991504247876063
zero_same_season_but_has_career,49,49,minutes,P3_draft_bin,9.750068725408187,-0.6398841785869824,-0.8354973790740892,0.19561320048710687,0.16741629185407297,0.16741629185407297
zero_same_season_but_has_career,49,49,minutes,P3_draft_ols,9.479702789343289,-0.5227541134105091,-0.8354973790740892,0.3127432656635802,0.021989005497251374,0.021989005497251374
zero_same_season_but_has_career,49,49,minutes,P4_teamrole,9.419797874698963,-0.5286322705254869,-0.8354973790740892,0.30686510854860244,0.0004997501249375312,0.0004997501249375312
zero_same_season_but_has_career,49,49,minutes,P5c_additive,8.730975299786596,-0.2950296528168612,-0.8354973790740892,0.5404677262572282,0.0009995002498750624,0.0009995002498750624
zero_same_season_but_has_career,49,49,minutes,P1c_career_mean,8.092968887816143,-0.06913449123361048,-0.8354973790740892,0.7663628878404789,0.0074962518740629685,0.0074962518740629685
zero_same_season_but_has_career,49,49,minutes,P5e_careerblend_k3,7.9159485419914795,-0.021131219363610843,-0.8354973790740892,0.8143661597104783,0.0029985007496251873,0.0029985007496251873
