game_date,home,away,game_id,tip_utc,label,cutoff_utc,odds_first_seen_utc,id_first_seen_utc,odds_lead_min,id_lead_min,discoverable_before_cutoff
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-90m,2026-08-03T23:38:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2857.9,578.0,True
2026-08-03,CHI,PHX,1022600224,2026-08-04T01:08:00+00:00,T-30m,2026-08-04T00:38:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2917.9,638.0,True
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-24h,2026-08-02T23:04:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,1384.0,-896.0,False
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-8h,2026-08-03T15:04:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2343.9,64.0,True
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-90m,2026-08-03T21:34:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2733.9,453.9,True
2026-08-03,NYL,SEA,1022600223,2026-08-03T23:04:00+00:00,T-30m,2026-08-03T22:34:00+00:00,2026-08-02T00:00:03+00:00,2026-08-03T14:00:03+00:00,2793.9,514.0,True
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:00:00+00:00,T-24h,2026-08-04T02:00:00+00:00,2026-08-03T03:00:02+00:00,2026-08-04T14:00:02+00:00,1380.0,-720.0,False
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:00:00+00:00,T-8h,2026-08-04T18:00:00+00:00,2026-08-03T03:00:02+00:00,2026-08-04T14:00:02+00:00,2340.0,240.0,True
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:00:00+00:00,T-90m,2026-08-05T00:30:00+00:00,2026-08-03T03:00:02+00:00,2026-08-04T14:00:02+00:00,2730.0,630.0,True
2026-08-04,GSV,TOR,1022600225,2026-08-05T02:00:00+00:00,T-30m,2026-08-05T01:30:00+00:00,2026-08-03T03:00:02+00:00,2026-08-04T14:00:02+00:00,2790.0,690.0,True
