window,arm,row_set,n,mean_w,base_rate,brier,logloss,AUC,cal_intercept,cal_slope,uncond_pts_MAE,uncond_pts_bias
FULL 2022-2024,Z_R2_stale_S2,RS1P (all),20084,0.6544663908568048,0.6516132244572794,0.09241484261173118,0.31250350857174547,0.93185678404085,-0.04935143847127996,1.0292897389998474,3.3814720946498857,0.019118910056562664
FULL 2022-2024,Z_R2_stale_S2,RS1P-A (tier A),16312,0.7705310288801834,0.7788131436978911,0.09334864312064847,0.3124743265736523,0.8973308487959866,0.08384297290141478,1.0050783864813377,3.783532757046341,-0.09168732548234786
FULL 2022-2024,Z_R2_stale_S2,RS1P-B (tier B),3772,0.15254529450543897,0.10153764581124072,0.08837662577677388,0.31262970601418877,0.8229269630589521,-1.0027387524829814,0.4814123229172354,1.6427622523882277,0.49830006438071645
FULL 2022-2024,Z_R2_stale_S2,DECISION STRATUM,4964,0.9144344488891492,0.9083400483481063,0.04773754850014671,0.18740339722826407,0.8358662406566598,-0.3851974557754017,1.1338002714071334,5.268443445574373,0.18136455585272956
FULL 2022-2024,Y_R3_union_S2,RS1P (all),20084,0.6678032696017866,0.6516132244572794,0.10181071924123304,0.3352854057428415,0.9257372460131179,-0.1990376420623991,1.0375371587297788,3.4863906221204344,0.15213487794542382
FULL 2022-2024,Y_R3_union_S2,RS1P-A (tier A),16312,0.7608333238890033,0.7788131436978911,0.09320082283304329,0.3135888388964097,0.897850352753048,0.1338982890571531,1.0591416239792333,3.7762860648036862,-0.15569742272719062
FULL 2022-2024,Y_R3_union_S2,RS1P-B (tier B),3772,0.26549514512324024,0.10153764581124072,0.13904418430231236,0.42911212854215075,0.8700241219673233,-1.558289394923521,0.5080918567285281,2.232738856200711,1.4833545196664437
FULL 2022-2024,Y_R3_union_S2,DECISION STRATUM,4964,0.9053955945543483,0.9083400483481063,0.047242718989288536,0.18641439404347268,0.8395331437247605,-0.3462596320782312,1.2138324355661143,5.252078130129259,0.0626358862199286
FULL 2022-2024,Z_R3_union_S2,RS1P (all),20084,0.6507553034573289,0.6516132244572794,0.09034699972738364,0.30571524583615406,0.9338996368658428,-0.0029059434405220293,1.0182566223508815,3.3469686742257108,-0.011689279371259312
FULL 2022-2024,Z_R3_union_S2,RS1P-A (tier A),16312,0.7705310288801834,0.7788131436978911,0.09334864312064847,0.3124743265736523,0.8973308487959866,0.08384297290141478,1.0050783864813377,3.783532757046341,-0.09168732548234786
FULL 2022-2024,Z_R3_union_S2,RS1P-B (tier B),3772,0.13278562342084896,0.10153764581124072,0.07736640401398598,0.27648562627356893,0.8621742744727028,-0.7802763827056731,0.4774188516605644,1.4590489184011812,0.3342619741186866
FULL 2022-2024,Z_R3_union_S2,DECISION STRATUM,4964,0.9145015036566067,0.9083400483481063,0.04763009858418557,0.18691516640365569,0.8359461784611485,-0.3966510301270048,1.1389712173243594,5.267505365360434,0.1823026360666683
FULL 2022-2024,Y_R4_departed_all,RS1P (all),20084,0.6714291304589032,0.6516132244572794,0.11318373980818659,0.5433412987329923,0.914469549814923,0.14193974947017013,0.6767058080357908,3.56709329083264,0.1913247848792376
FULL 2022-2024,Y_R4_departed_all,RS1P-A (tier A),16312,0.757615541480931,0.7788131436978911,0.09290470133203589,0.36710594985524664,0.8982683754126012,0.27601248966160336,0.9291108812496978,3.7586419725277973,-0.1774659224110144
FULL 2022-2024,Y_R4_departed_all,RS1P-B (tier B),3772,0.298716315880081,0.10153764581124072,0.20088036643145538,1.305470410846934,0.6769613254986375,-1.7979921875272968,0.07671459130853578,2.7387417277861386,1.786158829767517
FULL 2022-2024,Y_R4_departed_all,DECISION STRATUM,4964,0.904116132881399,0.9083400483481063,0.046914917580698386,0.19565089562536148,0.839577499457739,-0.2149045093580908,1.1568903899648975,5.238485729651611,0.04327625417898575
FULL 2022-2024,Z_R4_departed_all,RS1P (all),20084,0.6486142355473912,0.6516132244572794,0.09403704336551362,0.494022034411156,0.928329669040555,0.25452323671036736,0.7045305872276267,3.355945726082308,-0.024695267982725082
FULL 2022-2024,Z_R4_departed_all,RS1P-A (tier A),16312,0.7678093163198404,0.7788131436978911,0.0929871947483354,0.36578563139617576,0.8978513236049752,0.222962191707956,0.8847816040172342,3.7664484231064157,-0.11006115125809535
FULL 2022-2024,Z_R4_departed_all,RS1P-B (tier B),3772,0.13315555114649186,0.10153764581124072,0.09857710981392581,1.0485798832924804,0.6880330850771232,-1.5729781432904155,0.09862585495020534,1.5807283364064748,0.3444691774011137
FULL 2022-2024,Z_R4_departed_all,DECISION STRATUM,4964,0.9135393123992374,0.9083400483481063,0.04720047044482819,0.19589308967925698,0.8360153929016204,-0.2782929327587285,1.0887579610424043,5.252994306083354,0.16707587937506158
CLEAN WINDOW 2023-2024,X0,RS1P (all),14293,0.706123858156602,0.6312180787798223,0.13196868646128415,0.41000937116620945,0.9066583209550246,-0.7871403479683575,1.1749393179497272,3.8911655692597664,0.6734152236618259
CLEAN WINDOW 2023-2024,X0,RS1P-A (tier A),11287,0.7579002328219133,0.7765571010897493,0.09186179337468467,0.30992477954028713,0.9016957222534113,0.13982023319851392,1.0644757952729413,3.761761058864073,-0.15844520431947806
CLEAN WINDOW 2023-2024,X0,RS1P-B (tier B),3006,0.5117127001900784,0.0854956753160346,0.28256299859316986,0.7858093664029977,0.778060787580344,-3.3608472723529736,1.3709687504766719,4.377056689963755,3.7969044620600223
CLEAN WINDOW 2023-2024,X0,DECISION STRATUM,3529,0.8998645948799244,0.8954378010767923,0.04879137687763709,0.19227592032489976,0.8521765977153443,-0.5523811812040984,1.258558158752617,5.271713002924979,0.19546875741465597
CLEAN WINDOW 2023-2024,Xa,RS1P (all),14293,0.6394494090502544,0.6312180787798223,0.0884162040534031,0.2967827560374128,0.9365543810128584,-0.12064846498493574,1.065662354965939,3.3037150351024382,0.06895336772138774
CLEAN WINDOW 2023-2024,Xa,RS1P-A (tier A),11287,0.772608522798946,0.7765571010897493,0.0920278440851308,0.30817443875088335,0.9010566908523872,0.05572502370885079,0.9863057239035341,3.7728662436514253,-0.0599069873877946
CLEAN WINDOW 2023-2024,Xa,RS1P-B (tier B),3006,0.13946041474503693,0.0854956753160346,0.07485513251710553,0.25400899596191623,0.7873347648172028,-0.4987355758303549,1.1094992665269643,1.5421349649452796,0.552801281266744
CLEAN WINDOW 2023-2024,Xa,DECISION STRATUM,3529,0.9125771281282751,0.8954378010767923,0.04949090920176554,0.19372890653741962,0.8515548351686049,-0.6457913329558193,1.1520314152280997,5.294758104684717,0.3624510123924559
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,RS1P (all),14293,0.6651603924041791,0.6312180787798223,0.10969097823962246,0.35191983539740357,0.9239800675269176,-0.3899118587367831,1.0638725940023142,3.5349045322674546,0.3152049219167869
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,RS1P-A (tier A),11287,0.7579002328219133,0.7765571010897493,0.09186179337468467,0.30992477954028713,0.9016957222534113,0.13982023319851392,1.0644757952729413,3.761761058864073,-0.15844520431947806
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,RS1P-B (tier B),3006,0.3169386429713901,0.0854956753160346,0.17663642387187556,0.5096038658229771,0.8415801713534317,-2.17935365803738,0.7007054115728509,2.6830982728875354,2.0936776347673267
CLEAN WINDOW 2023-2024,Y_R1_departed_S2,DECISION STRATUM,3529,0.8998645948799244,0.8954378010767923,0.04879137687763709,0.19227592032489976,0.8521765977153443,-0.5523811812040984,1.258558158752617,5.271713002924979,0.19546875741465597
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,RS1P (all),14293,0.6347733611817977,0.6312180787798223,0.08702787594337212,0.2941828377396453,0.9390245438530683,-0.0545859922830428,1.0256558394742352,3.257851250667367,0.028913835613821867
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,RS1P-A (tier A),11287,0.772608522798946,0.7765571010897493,0.0920278440851308,0.30817443875088335,0.9010566908523872,0.05572502370885079,0.9863057239035341,3.7728662436514253,-0.0599069873877946
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,RS1P-B (tier B),3006,0.11722663158341053,0.0854956753160346,0.06825387713564408,0.2416468428581271,0.8479574461459632,-0.6538226815475083,0.7797338714404788,1.3240607563855755,0.36242036562687735
CLEAN WINDOW 2023-2024,Z_R1_departed_S2,DECISION STRATUM,3529,0.9126778885000734,0.8954378010767923,0.04933046010733954,0.19296788969113726,0.851688621316593,-0.6623047362528057,1.1592419306880999,5.293348491099924,0.3638606259772495
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,RS1P (all),14293,0.655554233130714,0.6312180787798223,0.10152645365356056,0.33467993296319115,0.9303167774584701,-0.31974210028522115,1.0850261969140067,3.4548273626513,0.234154866654131
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,RS1P-A (tier A),11287,0.7579002328219133,0.7765571010897493,0.09186179337468467,0.30992477954028713,0.9016957222534113,0.13982023319851392,1.0644757952729413,3.761761058864073,-0.15844520431947806
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,RS1P-B (tier B),3006,0.27126304932680023,0.0854956753160346,0.13781554898545423,0.42763116938511975,0.8820009540080369,-1.9657039583193034,0.7303254172401024,2.3023454500918983,1.7082989122559693
CLEAN WINDOW 2023-2024,Y_R2_stale_S2,DECISION STRATUM,3529,0.8998645948799244,0.8954378010767923,0.04879137687763709,0.19227592032489976,0.8521765977153443,-0.5523811812040984,1.258558158752617,5.271713002924979,0.19546875741465597
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,RS1P (all),14293,0.6284794045247266,0.6312180787798223,0.08533841175082044,0.2913590797402644,0.9414502318391086,0.04237340237238585,0.9827698761386353,3.2045990544266036,-0.026122183021897984
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,RS1P-A (tier A),11287,0.772608522798946,0.7765571010897493,0.0920278440851308,0.30817443875088335,0.9010566908523872,0.05572502370885079,0.9863057239035341,3.7728662436514253,-0.0599069873877946
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,RS1P-B (tier B),3006,0.08729997739195428,0.0854956753160346,0.06022077277631578,0.2282203714392478,0.8759895710219351,-0.32952769784830577,0.7502362734710579,1.0708559523705294,0.10073380063674309
CLEAN WINDOW 2023-2024,Z_R2_stale_S2,DECISION STRATUM,3529,0.9125789255452549,0.8954378010767923,0.04948741929529083,0.19366708263980612,0.8515548351686049,-0.6467727278704312,1.1524901593031067,5.294732959249589,0.3624761578275843
CLEAN WINDOW 2023-2024,Y_R3_union_S2,RS1P (all),14293,0.644060568990657,0.6312180787798223,0.09556093795651255,0.3175340636856431,0.9348963731692184,-0.17841156645935755,1.0468206040445598,3.3520646512176335,0.13139215522046405
CLEAN WINDOW 2023-2024,Y_R3_union_S2,RS1P-A (tier A),11287,0.7579002328219133,0.7765571010897493,0.09186179337468467,0.30992477954028713,0.9016957222534113,0.13982023319851392,1.0644757952729413,3.761761058864073,-0.15844520431947806
CLEAN WINDOW 2023-2024,Y_R3_union_S2,RS1P-B (tier B),3006,0.2166127028351712,0.0854956753160346,0.10945057365015567,0.3461055840278363,0.8986062140743079,-1.5648809103492878,0.5675560564146638,1.8137268757334808,1.219680337897552
CLEAN WINDOW 2023-2024,Y_R3_union_S2,DECISION STRATUM,3529,0.8998645948799244,0.8954378010767923,0.04879137687763709,0.19227592032489976,0.8521765977153443,-0.5523811812040984,1.258558158752617,5.271713002924979,0.19546875741465597
CLEAN WINDOW 2023-2024,Z_R3_union_S2,RS1P (all),14293,0.6282660497383048,0.6312180787798223,0.08485801822806485,0.28885084179502,0.9421325370841428,0.0478080812342042,0.9794541883174817,3.197722822627632,-0.02780601159336219
CLEAN WINDOW 2023-2024,Z_R3_union_S2,RS1P-A (tier A),11287,0.772608522798946,0.7765571010897493,0.0920278440851308,0.30817443875088335,0.9010566908523872,0.05572502370885079,0.9863057239035341,3.7728662436514253,-0.0599069873877946
CLEAN WINDOW 2023-2024,Z_R3_union_S2,RS1P-B (tier B),3006,0.08628551299996272,0.0854956753160346,0.05793658627573506,0.2162941422471725,0.8962615340845557,-0.3854354906005968,0.6388685632724658,1.0381606825426186,0.0927274926620465
CLEAN WINDOW 2023-2024,Z_R3_union_S2,DECISION STRATUM,3529,0.9126732468446765,0.8954378010767923,0.0493362769368802,0.1929803221372966,0.8516774724709273,-0.6618445223390065,1.1590627994536986,5.293413426752567,0.3637956903246067
CLEAN WINDOW 2023-2024,Y_R4_departed_all,RS1P (all),14293,0.6534792916548805,0.6312180787798223,0.11127054440077155,0.5395712134547014,0.9204087367370833,0.11361070526640005,0.6749528937749535,3.4839921577247783,0.22107439547817956
CLEAN WINDOW 2023-2024,Y_R4_departed_all,RS1P-A (tier A),11287,0.7544744452256732,0.7765571010897493,0.09143722139537538,0.3654034430300602,0.9022397087037379,0.2861746886414073,0.9281084819197001,3.7427460459794326,-0.18119514629722175
CLEAN WINDOW 2023-2024,Y_R4_departed_all,RS1P-B (tier B),3006,0.2742602968599587,0.0854956753160346,0.18574117539275636,1.1935404831762335,0.6771673604692474,-1.9526588881893219,0.07752084579131656,2.512416929271587,1.7315255990772997
CLEAN WINDOW 2023-2024,Y_R4_departed_all,DECISION STRATUM,3529,0.8985926602545544,0.8954378010767923,0.048251455466120925,0.1980059055182317,0.8522636444718877,-0.4537988708998428,1.2185479860737942,5.258937365312973,0.17684768554926567
CLEAN WINDOW 2023-2024,Z_R4_departed_all,RS1P (all),14293,0.627097896428747,0.6312180787798223,0.08860736638204389,0.4806651940795207,0.9351076444977497,0.2638985358294114,0.6905965120679456,3.217099291284968,-0.03307426204851931
CLEAN WINDOW 2023-2024,Z_R4_departed_all,RS1P-A (tier A),11287,0.7698238676990966,0.7765571010897493,0.09151368470558296,0.3633690058698032,0.9016639425876022,0.20015074082400433,0.8652187922738886,3.754532189061024,-0.07841033681142108
CLEAN WINDOW 2023-2024,Z_R4_departed_all,RS1P-B (tier B),3006,0.0911870389009913,0.0854956753160346,0.07769465350187568,0.9210916998423555,0.6817364078624983,-1.6514491665991116,0.10644558899923177,1.1991335171005606,0.13715470529974158
CLEAN WINDOW 2023-2024,Z_R4_departed_all,DECISION STRATUM,3529,0.9118475945494109,0.8954378010767923,0.04865312291229274,0.19834658312762168,0.851907739014099,-0.5802060875209747,1.125929541249518,5.27934557540285,0.3509880481090051
