target,estimator,split,n,mae,rmse
pts,SHRINK_a0.05_k2,2023,4435,4.102794710434095,5.3953179187527756
pts,SHRINK_a0.05_k2,2024,4447,4.105458042753774,5.30282508266954
pts,SHRINK_a0.05_k2,SCORE_pooled,8882,4.104128175737587,5.349208933972971
pts,SHRINK_a0.05_k5,SELECT_2021_2022,7463,4.226658429039325,5.388916606457509
pts,SHRINK_a0.05_k5,2023,4435,4.171194850547833,5.437946793609886
pts,SHRINK_a0.05_k5,2024,4447,4.193081288931357,5.351870296663477
pts,SHRINK_a0.05_k5,SCORE_pooled,8882,4.182152854543728,5.395022067514868
pts,SHRINK_a0.05_k10,SELECT_2021_2022,7463,4.384650346715119,5.537028776345124
pts,SHRINK_a0.05_k10,2023,4435,4.275522927145299,5.530365058084331
pts,SHRINK_a0.05_k10,2024,4447,4.319126094607989,5.459957045043629
pts,SHRINK_a0.05_k10,SCORE_pooled,8882,4.29735396584228,5.495226253762296
pts,SHRINK_a0.08_k2,SELECT_2021_2022,7463,4.10756093255353,5.30375070326864
pts,SHRINK_a0.08_k2,2023,4435,4.101042982492815,5.395061815661519
pts,SHRINK_a0.08_k2,2024,4447,4.097278311403871,5.291997997776367
pts,SHRINK_a0.08_k2,SCORE_pooled,8882,4.099158103824436,5.343708763283768
pts,SHRINK_a0.08_k5,SELECT_2021_2022,7463,4.2168697460202305,5.379674903761929
pts,SHRINK_a0.08_k5,2023,4435,4.169594028093255,5.435960598677829
pts,SHRINK_a0.08_k5,2024,4447,4.1840582895704435,5.339494759290679
pts,SHRINK_a0.08_k5,SCORE_pooled,8882,4.1768359297808315,5.387878411349475
pts,SHRINK_a0.08_k10,SELECT_2021_2022,7463,4.374854130822199,5.528265620255885
pts,SHRINK_a0.08_k10,2023,4435,4.272761436813032,5.5268905645470365
pts,SHRINK_a0.08_k10,2024,4447,4.309117048867963,5.446532330128971
pts,SHRINK_a0.08_k10,SCORE_pooled,8882,4.290963801911914,5.486804278253172
pts,SHRINK_a0.10_k2,SELECT_2021_2022,7463,4.103746719038229,5.302020827571549
pts,SHRINK_a0.10_k2,2023,4435,4.101856434757345,5.39880958604794
pts,SHRINK_a0.10_k2,2024,4447,4.094781289350436,5.290240482500182
pts,SHRINK_a0.10_k2,SCORE_pooled,8882,4.098314082626684,5.344727374627419
pts,SHRINK_a0.10_k5,SELECT_2021_2022,7463,4.212596472289505,5.377002821846237
pts,SHRINK_a0.10_k5,2023,4435,4.170322643457306,5.437812275370244
pts,SHRINK_a0.10_k5,2024,4447,4.179633433796893,5.335829209911175
pts,SHRINK_a0.10_k5,SCORE_pooled,8882,4.174984328285063,5.386993190312307
pts,SHRINK_a0.10_k10,SELECT_2021_2022,7463,4.370474091090819,5.524972508046819
pts,SHRINK_a0.10_k10,2023,4435,4.271822968257743,5.526959072044919
pts,SHRINK_a0.10_k10,2024,4447,4.303968432571276,5.441199330419785
pts,SHRINK_a0.10_k10,SCORE_pooled,8882,4.2879174154320605,5.4841889057017905
pts,SHRINK_a0.15_k2,SELECT_2021_2022,7463,4.102796628832384,5.310613470654824
pts,SHRINK_a0.15_k2,2023,4435,4.112086194354142,5.418884508270823
pts,SHRINK_a0.15_k2,2024,4447,4.097697885731936,5.300860821670898
pts,SHRINK_a0.15_k2,SCORE_pooled,8882,4.104882320401997,5.360117789832716
pts,SHRINK_a0.15_k5,SELECT_2021_2022,7463,4.209469710006079,5.380602062111554
pts,SHRINK_a0.15_k5,2023,4435,4.175968551773132,5.451084477093209
pts,SHRINK_a0.15_k5,2024,4447,4.176659171653036,5.339418750817358
pts,SHRINK_a0.15_k5,SCORE_pooled,8882,4.1763143282430635,5.395465070625916
pts,SHRINK_a0.15_k10,SELECT_2021_2022,7463,4.3649510590588285,5.524301092999062
pts,SHRINK_a0.15_k10,2023,4435,4.273761823022023,5.533641462200306
pts,SHRINK_a0.15_k10,2024,4447,4.297833731774471,5.438170027978165
pts,SHRINK_a0.15_k10,SCORE_pooled,8882,4.285814038539039,5.486048936662411
pts,SHRINK_a0.20_k2,SELECT_2021_2022,7463,4.114480697099521,5.333144554144784
pts,SHRINK_a0.20_k2,2023,4435,4.129957109881262,5.45068227157157
pts,SHRINK_a0.20_k2,2024,4447,4.110625075786503,5.326880946027974
pts,SHRINK_a0.20_k2,SCORE_pooled,8882,4.120278033589954,5.3890534961291685
pts,SHRINK_a0.20_k5,SELECT_2021_2022,7463,4.216002693224393,5.395205087641928
pts,SHRINK_a0.20_k5,2023,4435,4.1885825791116185,5.4737874858541655
pts,SHRINK_a0.20_k5,2024,4447,4.183493620579345,5.356137627987299
pts,SHRINK_a0.20_k5,SCORE_pooled,8882,4.186034662134246,5.415202595853644
pts,SHRINK_a0.20_k10,SELECT_2021_2022,7463,4.366560454377977,5.531705229342673
pts,SHRINK_a0.20_k10,2023,4435,4.281369367071761,5.54745115192399
pts,SHRINK_a0.20_k10,2024,4447,4.2989115491531065,5.445890413126315
pts,SHRINK_a0.20_k10,SCORE_pooled,8882,4.29015230826921,5.49683673769174
pts,SHRINK_a0.25_k2,SELECT_2021_2022,7463,4.135381602785971,5.365364327994946
pts,SHRINK_a0.25_k2,2023,4435,4.15370102244057,5.4913216302059995
pts,SHRINK_a0.25_k2,2024,4447,4.13037409020489,5.363269202624853
pts,SHRINK_a0.25_k2,SCORE_pooled,8882,4.142021798431104,5.427586567216987
pts,SHRINK_a0.25_k5,SELECT_2021_2022,7463,4.22941911081368,5.4173325814752165
pts,SHRINK_a0.25_k5,2023,4435,4.204612404775774,5.503573277544921
pts,SHRINK_a0.25_k5,2024,4447,4.196660392003584,5.381630737632754
pts,SHRINK_a0.25_k5,SCORE_pooled,8882,4.200631026617934,5.442861144608549
pts,SHRINK_a0.25_k10,SELECT_2021_2022,7463,4.3741901953728535,5.544564888403826
pts,SHRINK_a0.25_k10,2023,4435,4.291978568632849,5.566618121628861
pts,SHRINK_a0.25_k10,2024,4447,4.304836214856772,5.460788551119817
pts,SHRINK_a0.25_k10,SCORE_pooled,8882,4.298416077387385,5.513885753505836
pts,SHRINK_a0.30_k2,SELECT_2021_2022,7463,4.161414365069376,5.404763347307206
pts,SHRINK_a0.30_k2,2023,4435,4.182973693630752,5.539009695898979
pts,SHRINK_a0.30_k2,2024,4447,4.156609973506255,5.407194166534327
pts,SHRINK_a0.30_k2,SCORE_pooled,8882,4.169774024255202,5.473409712763406
pts,SHRINK_a0.30_k5,SELECT_2021_2022,7463,4.247156171563043,5.444944881658008
pts,SHRINK_a0.30_k5,2023,4435,4.225063936728393,5.538973341011646
pts,SHRINK_a0.30_k5,2024,4447,4.214502023036242,5.41339839523137
pts,SHRINK_a0.30_k5,SCORE_pooled,8882,4.219775845061088,5.476460978777935
pts,SHRINK_a0.30_k10,SELECT_2021_2022,7463,4.384893843865096,5.561340918719811
pts,SHRINK_a0.30_k10,2023,4435,4.304713975077433,5.590009949731247
pts,SHRINK_a0.30_k10,2024,4447,4.314225297195995,5.48073760941084
pts,SHRINK_a0.30_k10,SCORE_pooled,8882,4.3094760612586125,5.535569599593103
pts,SHRINK_a0.40_k2,SELECT_2021_2022,7463,4.2259078876763265,5.500451987456616
pts,SHRINK_a0.40_k2,2023,4435,4.250808042109829,5.651407668816159
pts,SHRINK_a0.40_k2,2024,4447,4.218600002961767,5.512061175614339
pts,SHRINK_a0.40_k2,SCORE_pooled,8882,4.234682265247474,5.582075123430918
pts,SHRINK_a0.40_k5,SELECT_2021_2022,7463,4.293713762940148,5.51294518258324
pts,SHRINK_a0.40_k5,2023,4435,4.273935500156307,5.62321193608892
pts,SHRINK_a0.40_k5,2024,4447,4.260284187108487,5.490781506380468
pts,SHRINK_a0.40_k5,SCORE_pooled,8882,4.267100621849208,5.557301751575725
pts,SHRINK_a0.40_k10,SELECT_2021_2022,7463,4.413453906882166,5.603914013443372
pts,SHRINK_a0.40_k10,2023,4435,4.338029261977829,5.646772917579007
pts,SHRINK_a0.40_k10,2024,4447,4.343991743942372,5.531459927150348
pts,SHRINK_a0.40_k10,SCORE_pooled,8882,4.341014530756969,5.589335909338844
pts,SHRINK_a0.50_k2,SELECT_2021_2022,7463,4.305798279774836,5.616118991617799
pts,SHRINK_a0.50_k2,2023,4435,4.332309277394125,5.78328138989447
pts,SHRINK_a0.50_k2,2024,4447,4.298075792636187,5.635845475964965
pts,SHRINK_a0.50_k2,SCORE_pooled,8882,4.315169409490663,5.7099397218856485
pts,SHRINK_a0.50_k5,SELECT_2021_2022,7463,4.350585895502363,5.59612091432922
pts,SHRINK_a0.50_k5,2023,4435,4.334058574100252,5.72270903765918
pts,SHRINK_a0.50_k5,2024,4447,4.316853826051651,5.583270652136739
pts,SHRINK_a0.50_k5,SCORE_pooled,8882,4.325444577863805,5.653325569779226
pts,SHRINK_a0.50_k10,SELECT_2021_2022,7463,4.450367477168307,5.657216857982492
pts,SHRINK_a0.50_k10,2023,4435,4.377262170978016,5.714679918719487
pts,SHRINK_a0.50_k10,2024,4447,4.382853783506693,5.593617475233927
pts,SHRINK_a0.50_k10,SCORE_pooled,8882,4.380061754508193,5.654390923678972
pts,SHRINK_a0.70_k2,SELECT_2021_2022,7463,4.509531552449184,5.909589095288753
pts,SHRINK_a0.70_k2,2023,4435,4.538783112015674,6.104090244369344
pts,SHRINK_a0.70_k2,2024,4447,4.504723907425741,5.940138046825907
pts,SHRINK_a0.70_k2,SCORE_pooled,8882,4.5217305019265694,6.0225613257257535
pts,SHRINK_a0.70_k5,SELECT_2021_2022,7463,4.4966236632670835,5.810515863696131
pts,SHRINK_a0.70_k5,2023,4435,4.4900417281647425,5.96642444101313
pts,SHRINK_a0.70_k5,2024,4447,4.470380692428454,5.813449879412374
pts,SHRINK_a0.70_k5,SCORE_pooled,8882,4.48019792880432,5.890330444696349
pts,SHRINK_a0.70_k10,SELECT_2021_2022,7463,4.546472245942401,5.798177657469582
pts,SHRINK_a0.70_k10,2023,4435,4.483649384641472,5.88278576222326
pts,SHRINK_a0.70_k10,2024,4447,4.485554416211428,5.751503132789395
pts,SHRINK_a0.70_k10,SCORE_pooled,8882,4.4846031873201015,5.817426108185269
pts,PER36_a0.05_m0.05,SELECT_2021_2022,7463,4.091989815192154,5.362094807688483
pts,PER36_a0.05_m0.05,2023,4435,4.07509713673616,5.433036733136291
pts,PER36_a0.05_m0.05,2024,4447,4.061101188997197,5.350893524348923
pts,PER36_a0.05_m0.05,SCORE_pooled,8882,4.0680897082746466,5.392066063164273
pts,PER36CTX_a0.05_m0.05,SELECT_2021_2022,7463,4.0874179939307185,5.353151220398408
pts,PER36CTX_a0.05_m0.05,2023,4435,4.076052482941996,5.4301649719060725
pts,PER36CTX_a0.05_m0.05,2024,4447,4.0366625654004675,5.303330020102119
pts,PER36CTX_a0.05_m0.05,SCORE_pooled,8882,4.056330915355059,5.367036502235151
pts,PER100_a0.05_p0.05,SELECT_2021_2022,7463,4.092103402659675,5.361959816839245
pts,PER100_a0.05_p0.05,2023,4435,4.076920146466052,5.433415418219877
pts,PER100_a0.05_p0.05,2024,4447,4.060838861052992,5.350398581538613
pts,PER100_a0.05_p0.05,SCORE_pooled,8882,4.068868640472821,5.39201069080176
pts,PER36_a0.05_m0.08,SELECT_2021_2022,7463,4.081699192296295,5.3515215780527035
pts,PER36_a0.05_m0.08,2023,4435,4.0707782656366005,5.42664552736667
pts,PER36_a0.05_m0.08,2024,4447,4.050078639281483,5.338567077209222
pts,PER36_a0.05_m0.08,SCORE_pooled,8882,4.0604144693743605,5.382726961186509
pts,PER36CTX_a0.05_m0.08,SELECT_2021_2022,7463,4.076863691842956,5.342605692891729
pts,PER36CTX_a0.05_m0.08,2023,4435,4.072228413695843,5.423714675049729
pts,PER36CTX_a0.05_m0.08,2024,4447,4.024963240785225,5.290372363969662
pts,PER36CTX_a0.05_m0.08,SCORE_pooled,8882,4.048563898504049,5.357368312166308
pts,PER100_a0.05_p0.08,SELECT_2021_2022,7463,4.082062129955633,5.352180180276197
pts,PER100_a0.05_p0.08,2023,4435,4.071901397224398,5.427251143568664
pts,PER100_a0.05_p0.08,2024,4447,4.048690613376669,5.337894539740828
pts,PER100_a0.05_p0.08,SCORE_pooled,8882,4.060280325869877,5.382697904898483
pts,PER36_a0.05_m0.10,SELECT_2021_2022,7463,4.076012222066326,5.346286276827222
pts,PER36_a0.05_m0.10,2023,4435,4.068542587345503,5.423606311933099
pts,PER36_a0.05_m0.10,2024,4447,4.044349054150349,5.332551207108969
pts,PER36_a0.05_m0.10,SCORE_pooled,8882,4.056429477446961,5.378209952375726
pts,PER36CTX_a0.05_m0.10,SELECT_2021_2022,7463,4.071241678624836,5.337374686277926
pts,PER36CTX_a0.05_m0.10,2023,4435,4.070461244332044,5.42064093765064
pts,PER36CTX_a0.05_m0.10,2024,4447,4.018575756509322,5.2839278627585236
pts,PER36CTX_a0.05_m0.10,SCORE_pooled,8882,4.044483450552755,5.35262854296122
pts,PER100_a0.05_p0.10,SELECT_2021_2022,7463,4.076528096858018,5.347367558702057
pts,PER100_a0.05_p0.10,2023,4435,4.0691484363421395,5.424256847379935
pts,PER100_a0.05_p0.10,2024,4447,4.042376368948685,5.331892235649747
pts,PER100_a0.05_p0.10,SCORE_pooled,8882,4.055744317483922,5.378210432407654
pts,PER36_a0.05_m0.15,SELECT_2021_2022,7463,4.066201315060692,5.338731388748861
pts,PER36_a0.05_m0.15,2023,4435,4.0649928185809285,5.4195489746731145
pts,PER36_a0.05_m0.15,2024,4447,4.035077358781359,5.323889947297949
pts,PER36_a0.05_m0.15,SCORE_pooled,8882,4.050014880084116,5.371867774778575
pts,PER36CTX_a0.05_m0.15,SELECT_2021_2022,7463,4.0617735612369374,5.3298118411553475
pts,PER36CTX_a0.05_m0.15,2023,4435,4.067538774821559,5.416484984599099
pts,PER36CTX_a0.05_m0.15,2024,4447,4.008143535242924,5.274252376191971
pts,PER36CTX_a0.05_m0.15,SCORE_pooled,8882,4.037801032150292,5.345745661390492
pts,PER100_a0.05_p0.15,SELECT_2021_2022,7463,4.0671983553892135,5.340534216920209
pts,PER100_a0.05_p0.15,2023,4435,4.064015202424023,5.419976178605636
pts,PER100_a0.05_p0.15,2024,4447,4.032084425072063,5.323580608700042
pts,PER100_a0.05_p0.15,SCORE_pooled,8882,4.048028243756587,5.371929499136366
pts,PER36_a0.05_m0.20,SELECT_2021_2022,7463,4.062053941019578,5.337173741281819
pts,PER36_a0.05_m0.20,2023,4435,4.064248511026379,5.4195853314250035
pts,PER36_a0.05_m0.20,2024,4447,4.031557957641535,5.321926903226759
pts,PER36_a0.05_m0.20,SCORE_pooled,8882,4.047881151095914,5.370912114371143
pts,PER36CTX_a0.05_m0.20,SELECT_2021_2022,7463,4.056913353066633,5.328250255926322
pts,PER36CTX_a0.05_m0.20,2023,4435,4.066521246856059,5.416374202092845
pts,PER36CTX_a0.05_m0.20,2024,4447,4.0037727440301065,5.2714487320332655
pts,PER36CTX_a0.05_m0.20,SCORE_pooled,8882,4.035104607352904,5.344304844586404
pts,PER100_a0.05_p0.20,SELECT_2021_2022,7463,4.0629916460506585,5.339361317670298
pts,PER100_a0.05_p0.20,2023,4435,4.061500993034957,5.4193604771522885
pts,PER100_a0.05_p0.20,2024,4447,4.027423599496717,5.32224435085218
pts,PER100_a0.05_p0.20,SCORE_pooled,8882,4.044439276184637,5.3709563171795764
pts,PER36_a0.05_m0.25,SELECT_2021_2022,7463,4.062523338252354,5.339607670071134
pts,PER36_a0.05_m0.25,2023,4435,4.064754529337947,5.4227314991524835
pts,PER36_a0.05_m0.25,2024,4447,4.031982803293125,5.324337017326959
pts,PER36_a0.05_m0.25,SCORE_pooled,8882,4.04834652824345,5.373693000081048
pts,PER36CTX_a0.05_m0.25,SELECT_2021_2022,7463,4.056327732022814,5.330696774574242
pts,PER36CTX_a0.05_m0.25,2023,4435,4.067263493848796,5.41932407168378
pts,PER36CTX_a0.05_m0.25,2024,4447,4.003597829545504,5.273232063731091
pts,PER36CTX_a0.05_m0.25,SCORE_pooled,8882,4.035387654042812,5.346678376587505
pts,PER100_a0.05_p0.25,SELECT_2021_2022,7463,4.063210484398749,5.342006263616455
pts,PER100_a0.05_p0.25,2023,4435,4.060728998940438,5.421505619273502
pts,PER100_a0.05_p0.25,2024,4447,4.027832929595463,5.325424190347267
pts,PER100_a0.05_p0.25,SCORE_pooled,8882,4.044258742199039,5.373614748112845
pts,PER36_a0.05_m0.30,SELECT_2021_2022,7463,4.06505127494644,5.344752129363388
pts,PER36_a0.05_m0.30,2023,4435,4.06661771434578,5.42820938276536
pts,PER36_a0.05_m0.30,2024,4447,4.034999518908766,5.329659289695886
pts,PER36_a0.05_m0.30,SCORE_pooled,8882,4.050787257792256,5.3790934590414965
pts,PER36CTX_a0.05_m0.30,SELECT_2021_2022,7463,4.059134721471257,5.335869307531296
pts,PER36CTX_a0.05_m0.30,2023,4435,4.068513605007006,5.424580582226931
pts,PER36CTX_a0.05_m0.30,2024,4447,4.0056679782120455,5.2781314887595885
pts,PER36CTX_a0.05_m0.30,SCORE_pooled,8882,4.037048337909822,5.351758069606363
pts,PER100_a0.05_p0.30,SELECT_2021_2022,7463,4.065641137998935,5.347288283531903
pts,PER100_a0.05_p0.30,2023,4435,4.060829032990619,5.425730214086099
pts,PER100_a0.05_p0.30,2024,4447,4.0308833772051065,5.331573938942221
pts,PER100_a0.05_p0.30,SCORE_pooled,8882,4.045835976102736,5.378794502048713
pts,PER36_a0.05_m0.40,SELECT_2021_2022,7463,4.075535423938144,5.360677275399846
pts,PER36_a0.05_m0.40,2023,4435,4.072797805176178,5.444122399990007
pts,PER36_a0.05_m0.40,2024,4447,4.044788038804012,5.34595691425596
pts,PER36_a0.05_m0.40,SCORE_pooled,8882,4.05877400073382,5.395196613101028
pts,PER36CTX_a0.05_m0.40,SELECT_2021_2022,7463,4.069093161038202,5.351887820367311
pts,PER36CTX_a0.05_m0.40,2023,4435,4.075102650843206,5.440072529918385
pts,PER36CTX_a0.05_m0.40,2024,4447,4.014141350495757,5.294084842300025
