target,slice,best_alpha_selected,n_select,n_2023,n_2024,skill_2023,skill_2024,mae_2023,mae_2024,naive_mae_2023,naive_mae_2024
ast,S4_nprior3-7,0.05,1449,739,740,-0.027679909292722658,-0.24578465321739026,1.1535539588379453,1.1352706095523006,1.1532347445067337,1.1324871299871302
ast,S4_nprior8-19,0.08,3054,1573,1604,0.8779833130819514,0.8097741657358805,1.2026746625474822,1.2043445576322185,1.2133274753137757,1.2141766464415
ast,S4_nprior>=20,0.08,2960,2123,2103,1.0218421278700582,2.8797314089560406,1.2516299765956833,1.2303142074326465,1.264551698580475,1.2667944861368527
ast,S5_regular,0.05,6721,4081,4050,0.6441832963829744,1.103434302010245,1.2223016670359559,1.211121520245683,1.230226581179578,1.224634558033294
ast,S5_playoffs,0.15,742,354,397,0.0873962371374317,5.058836301832569,1.1992142161196266,1.1715277124334813,1.2002632009930398,1.233951288145096
minutes,S1_starter=1,0.25,4048,2409,2421,6.617759213049558,8.616132613708547,4.5521739461183355,4.531811841250209,4.8747748048839625,4.959093952648834
minutes,S1_starter=0,0.3,3415,2026,2026,9.157008289068328,11.480142772392544,4.811734760959921,4.886496300995009,5.296759464143558,5.520226143644315
minutes,S2_min<15,0.3,1744,1396,1280,7.68183915623617,7.365276119650544,4.901948291378538,5.008852267499413,5.309841797730819,5.407100121514949
minutes,S2_min15-25,0.3,2452,1214,1286,14.27335003500238,18.084536689207862,5.127948754879242,5.061389463893422,5.981744016560771,6.178796114099006
minutes,S2_min>=25,0.2,3267,1825,1881,2.7192912895109407,4.923920060004534,4.157852539598997,4.206863642107036,4.274077147168939,4.424734007504387
minutes,S3_usage_low,0.4,2488,1614,1720,9.965341756585453,15.517127719526078,5.128862927220027,4.973156757477115,5.696542895019174,5.886585793350843
minutes,S3_usage_mid,0.3,2487,1378,1402,9.49326560755212,7.913143266908144,4.69729642312195,5.047313754854035,5.189996583849681,5.481035984845662
minutes,S3_usage_high,0.2,2488,1443,1325,3.7936037816832515,3.998834400834168,4.085959421773091,3.8984476550255396,4.247076683447337,4.060833668731428
minutes,S4_nprior3-7,0.3,1449,739,740,3.5698401676448426,3.128348118112874,4.7126649626599155,4.345112595238159,4.887127607019353,4.48543253968254
minutes,S4_nprior8-19,0.25,3054,1573,1604,8.150538639132064,7.704833990458112,4.726989104664077,4.796666743375016,5.1464527223433345,5.197094225800639
minutes,S4_nprior>=20,0.3,2960,2123,2103,8.60439875638809,13.207572683775265,4.635478881984714,4.760412105179569,5.071884006352779,5.484824255271946
minutes,S5_regular,0.3,6721,4081,4050,7.198352064259648,9.694336125807796,4.657065663034129,4.688665695867205,5.018300608475047,5.191995158132207
minutes,S5_playoffs,0.25,742,354,397,13.314666674281897,11.432296122679766,4.884944786848929,4.824071418755554,5.635261006027241,5.446761299624102
