candidate,dependent,sd_abs,mean_abs,sd_signed_recovered,fold_factor_sd
tm_newfaces_prior,pts_sqres,0.6060838014504343,0.7766149050409503,0.9851234872402412,1.6253915463220063
tm_newfaces_prior,minutes_absres,0.6378309033254521,0.8355615894975001,1.0511857262541913,1.6480633358679166
tm_newfaces_prior,minutes_sqres,0.6600863734525134,0.8372771718574995,1.0661834189910213,1.6152180409579724
tm_newfaces_prior,fga_absres,0.6127036048386885,0.7952180962857727,1.0038812320402708,1.6384451211194864
tm_newfaces_prior,fga_sqres,0.614039912339477,0.7987026290964118,1.0074576436115776,1.6407038424801879
tm_five_tenure_prior,pts_absres,0.6425633223087555,0.9014345057853168,1.1070102941693378,1.722803427671231
tm_five_tenure_prior,pts_sqres,0.6008558952352103,0.8236766123555922,1.019544490731273,1.696820317177987
tm_five_tenure_prior,minutes_absres,0.8615491234493223,1.828060371443627,2.020908610936899,2.3456684661762903
tm_five_tenure_prior,minutes_sqres,0.8111834535214626,1.4728398258479214,1.6814504892713145,2.0728362763958006
tm_five_tenure_prior,fga_absres,0.7712744568103234,1.1890953409261524,1.417325656841201,1.8376411202604608
tm_five_tenure_prior,fga_sqres,0.6785433169219159,0.9464459241746537,1.1645518109239323,1.7162527164908241
tm_five_changed_prior,pts_absres,0.624090539938872,0.8141775302906245,1.0258528417230872,1.643756436083083
tm_five_changed_prior,pts_sqres,0.5958870820296456,0.7887942499570808,0.9885736104586037,1.6589948671003776
tm_five_changed_prior,minutes_absres,0.7916520651126202,1.1770483142981842,1.4185047502173804,1.7918285225663932
tm_five_changed_prior,minutes_sqres,0.7595182527661994,1.0684898763638275,1.3109304299530955,1.7260025353948087
tm_five_changed_prior,fga_absres,0.7091442839346764,0.970008125084413,1.2015828636290562,1.6944123937121678
tm_five_changed_prior,fga_sqres,0.6521208163308114,0.8779342437634752,1.0936316086619429,1.6770383359563843
tm_prior_meetings,pts_absres,0.6386288033020207,0.8635997514559024,1.074081597981116,1.6818558643575003
tm_prior_meetings,pts_sqres,0.5951475602998887,0.8381758892485035,1.0279783265460558,1.7272663035501115
tm_prior_meetings,minutes_absres,0.9433414595385676,1.8850221605151578,2.107890332753957,2.234493471520932
tm_prior_meetings,minutes_sqres,0.9221658691239598,1.7252179186781103,1.9562123496965198,2.1213237392475657
tm_prior_meetings,fga_absres,0.8217785650312187,1.2382458037664197,1.4861267376943044,1.8084272344556074
tm_prior_meetings,fga_sqres,0.7609787291084575,1.1350341795238745,1.3665252338844527,1.7957469527242074
tm_first_meeting,pts_absres,0.6037756768784261,0.793506202529028,0.9970943593472187,1.6514318107385264
tm_first_meeting,pts_sqres,0.5991182457152947,0.7821671946124789,0.9852553946449254,1.6445090792863715
tm_first_meeting,minutes_absres,0.6736709772160906,0.9065867263847408,1.1294831021313614,1.676609413691666
tm_first_meeting,minutes_sqres,0.6656070604333896,0.8996805225488925,1.1191326112452564,1.6813713041393636
tm_first_meeting,fga_absres,0.65719122316933,0.8381201165955039,1.0650566340119483,1.6206190777711116
tm_first_meeting,fga_sqres,0.633859060313806,0.8411901376467842,1.0532702198467956,1.6616788901390016
tm_is_home,pts_absres,0.6300545791584522,0.8557180497822711,1.0626486500446457,1.6865977729484933
tm_is_home,pts_sqres,0.6261900031555145,0.8236376009563892,1.0346462283124118,1.6522880006045977
tm_is_home,minutes_absres,0.644108436042832,0.848921569946728,1.065618838657782,1.6544090700077718
tm_is_home,minutes_sqres,0.6313552239731187,0.8255696246799855,1.0393144971722463,1.646164405882064
tm_is_home,fga_absres,0.6258518593840944,0.8479818642609798,1.0539277925977921,1.683989232907242
