label,n_blocks,seasons,lam,w_between,rho,K,t_crit_fw,seed,n,n_blocks_actual,regime,t_crit_used,sd_signed_true,sd_signed_recovered,sd_abs,mean_abs,mean_signed,fold_factor_sd,recovery_rel_err,q_threshold,type1_at_delta0,max_power,power_monotone,E_inj,E_inj_status,null_sd_drift_top_vs_zero,A_pub_folded,A_pub_signed,A_cor,ratio_A_pub_folded,ratio_A_pub_signed,ratio_A_cor,status
C036,489,4,30,0.1,0.5,318,6.974475,20695891,15017,488,family_wise,6.974475,1.5383741109794535,1.5377500902113024,0.9105924393015252,1.2391516248755705,0.0014849264517458672,1.689421133519922,0.0004056365507567301,5.8544494893472105,0.0,0.0,True,,ABOVE_GRID_MAX,0.9558792046480749,0.003373220220617149,0.009627655465314014,0.003403525558132089,,,,OK
C037,489,4,12,0.5,0.0,318,6.974475,20703810,6443,488,per_cell,1.959964,1.968820131045921,1.9686841358219942,1.2241123935012648,1.5418385371736552,-0.049363652327644426,1.6083654911904026,6.907447855816821e-05,4.030715829749354,0.0525,0.0525,True,,ABOVE_GRID_MAX,0.9720944550419501,0.0018254171983620184,0.004722061409909585,0.005020971716858464,,,,OK
C037,489,4,12,0.5,0.0,318,6.974475,20703810,6443,488,family_wise,6.974475,1.968820131045921,1.9686841358219942,1.2241123935012648,1.5418385371736552,-0.049363652327644426,1.6083654911904026,6.907447855816821e-05,6.198237325273383,0.0,0.0025,True,,ABOVE_GRID_MAX,0.9720944550419501,0.014208042722762828,0.03675392688953919,0.009577024124601572,,,,OK
C038,489,4,30,0.5,0.0,318,6.974475,20711729,15168,488,per_cell,1.959964,2.6925891725883115,2.6915625962062832,1.6281840939427936,2.143251213817081,-0.014885335656683547,1.653737548846805,0.00038125993838171744,5.1548739903108896,0.06125,0.0675,True,,ABOVE_GRID_MAX,1.022466736451538,0.0013717860269995231,0.0037516261083922996,0.003630765554032869,,,,OK
C038,489,4,30,0.5,0.0,318,6.974475,20711729,15168,488,family_wise,6.974475,2.6925891725883115,2.6915625962062832,1.6281840939427936,2.143251213817081,-0.014885335656683547,1.653737548846805,0.00038125993838171744,9.0784705833259,0.0,0.00375,True,,ABOVE_GRID_MAX,1.022466736451538,0.010677227373330007,0.029200592651203405,0.008484981164309102,,,,OK
C039,489,4,12,0.5,0.5,318,6.974475,20719648,6291,488,per_cell,1.959964,2.0381863978225514,2.0379674892882806,1.2127544170785334,1.6378456005535091,0.04961837635661688,1.6806258292032807,0.00010740358904593917,3.9090959384872335,0.05375,0.06375,True,,ABOVE_GRID_MAX,1.019677810001651,0.0018349900951120952,0.005182935354848506,0.005028571017879482,,,,OK
C039,489,4,12,0.5,0.5,318,6.974475,20719648,6291,488,family_wise,6.974475,2.0381863978225514,2.0379674892882806,1.2127544170785334,1.6378456005535091,0.04961837635661688,1.6806258292032807,0.00010740358904593917,6.848043442765149,0.00125,0.00125,True,,ABOVE_GRID_MAX,1.019677810001651,0.014282552881935065,0.04034111600191097,0.01165669008698655,,,,OK
C040,489,4,30,0.5,0.5,318,6.974475,20727567,14958,488,per_cell,1.959964,2.896910727698159,2.8990345151337444,1.7815600830184999,2.2870165697982734,-0.13722982539384795,1.626052781105153,0.00073312146462753,5.7224587477330315,0.0525,0.06125,True,,ABOVE_GRID_MAX,1.0289479181466112,0.001665463416667875,0.0044035646279050175,0.004452115581345641,,,,OK
C040,489,4,30,0.5,0.5,318,6.974475,20727567,14958,488,family_wise,6.974475,2.896910727698159,2.8990345151337444,1.7815600830184999,2.2870165697982734,-0.13722982539384795,1.626052781105153,0.00073312146462753,11.018792433922794,0.0,0.0,True,,ABOVE_GRID_MAX,1.0289479181466112,0.012963050528092405,0.034274923245964484,0.01210643110758286,,,,OK
C041,489,4,12,0.8,0.0,318,6.974475,20735486,6349,488,per_cell,1.959964,2.3195192871735677,2.322828865341972,1.3692572677753339,1.876344443941544,0.14051990755215257,1.693998156345117,0.0014268379602212116,4.416564217635968,0.07625,0.07625,True,,ABOVE_GRID_MAX,1.0154410673990042,0.002317781338489527,0.006651174291501676,0.006388503058744587,,,,OK
