season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Playoffs,1611661329,Mid-Range,135,43,86,10,CHI,0.193966,0.318519,0.637037,0.390698,0.180294,1807.084576,122.307775,0.385680,0.190276,2,0.771361
2021,Playoffs,1611661329,Corner 3,28,10,30,10,CHI,0.040230,0.357143,1.071429,0.383721,0.036059,5000.000000,490.572701,0.383573,0.038175,3,1.150719
2021,Playoffs,1611661329,Above the Break 3,160,62,186,10,CHI,0.229885,0.387500,1.162500,0.353120,0.275472,4515.440280,333.689182,0.354297,0.242560,3,1.062890
2021,Playoffs,1611661329,Backcourt,0,0,0,10,CHI,0.000000,,,0.000000,0.000419,122.411748,5000.000000,0.000000,0.000365,3,0.000000
2021,Regular Season,1611661313,Restricted Area,724,436,872,32,NYL,0.311800,0.602210,1.204420,0.609031,0.281587,343.740841,109.530113,0.604406,0.310045,2,1.208812
2021,Regular Season,1611661313,In The Paint (Non-RA),467,179,358,32,NYL,0.201120,0.383298,0.766595,0.401290,0.200731,1231.180672,149.517590,0.396342,0.200841,2,0.792684
2021,Regular Season,1611661313,Mid-Range,444,174,348,32,NYL,0.191214,0.391892,0.783784,0.365863,0.208306,1807.084576,122.307775,0.370997,0.191826,2,0.741993
2021,Regular Season,1611661313,Corner 3,46,17,51,32,NYL,0.019811,0.369565,1.108696,0.392297,0.026685,5000.000000,490.572701,0.392089,0.020983,3,1.176268
2021,Regular Season,1611661313,Above the Break 3,635,212,636,32,NYL,0.273471,0.333858,1.001575,0.341295,0.280521,4515.440280,333.689182,0.340378,0.274008,3,1.021133
2021,Regular Season,1611661313,Backcourt,6,0,0,32,NYL,0.002584,0.000000,0.000000,0.000000,0.002170,122.411748,5000.000000,0.000000,0.002298,3,0.000000
