season,season_type,team_id,zone,fga,fgm,pts,games,team_abbr,attempt_share,fg_pct,pps,league_fg_pct,league_share,k_conversion,k_share,fg_pct_shrunk,share_shrunk,pts_value,pps_shrunk
2021,Regular Season,1611661317,In The Paint (Non-RA),438,194,388,32,PHO,0.208373,0.442922,0.885845,0.401290,0.200731,226.127746,117.251986,0.428747,0.208138,2,0.857494
2021,Regular Season,1611661317,Mid-Range,348,134,268,32,PHO,0.165557,0.385057,0.770115,0.365863,0.208306,321.344996,62.001013,0.375842,0.166917,2,0.751684
2021,Regular Season,1611661317,Corner 3,70,29,87,32,PHO,0.033302,0.414286,1.242857,0.392297,0.026685,654.722812,240.143215,0.394421,0.032650,3,1.183262
2021,Regular Season,1611661317,Above the Break 3,623,212,636,32,PHO,0.296384,0.340289,1.020867,0.341295,0.280521,1509.093100,96.498325,0.341001,0.295928,3,1.023002
2021,Regular Season,1611661317,Backcourt,4,0,0,32,PHO,0.001903,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.002093,3,0.000000
2021,Regular Season,1611661319,Restricted Area,570,378,756,32,LVA,0.253559,0.663158,1.326316,0.609031,0.281587,251.698868,75.025548,0.646578,0.254275,2,1.293156
2021,Regular Season,1611661319,In The Paint (Non-RA),621,281,562,32,LVA,0.276246,0.452496,0.904992,0.401290,0.200731,226.127746,117.251986,0.438827,0.272300,2,0.877654
2021,Regular Season,1611661319,Mid-Range,625,239,478,32,LVA,0.278025,0.382400,0.764800,0.365863,0.208306,321.344996,62.001013,0.376784,0.275948,2,0.753569
2021,Regular Season,1611661319,Corner 3,33,12,36,32,LVA,0.014680,0.363636,1.090909,0.392297,0.026685,654.722812,240.143215,0.390921,0.015827,3,1.172764
2021,Regular Season,1611661319,Above the Break 3,394,150,450,32,LVA,0.175267,0.380711,1.142132,0.341295,0.280521,1509.093100,96.498325,0.349455,0.179466,3,1.048365
2021,Regular Season,1611661319,Backcourt,5,0,0,32,LVA,0.002224,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.002185,3,0.000000
2021,Regular Season,1611661320,Restricted Area,570,344,688,32,LAS,0.270527,0.603509,1.207018,0.609031,0.281587,251.698868,75.025548,0.605200,0.270799,2,1.210400
2021,Regular Season,1611661320,In The Paint (Non-RA),456,150,300,32,LAS,0.216421,0.328947,0.657895,0.401290,0.200731,226.127746,117.251986,0.352929,0.215508,2,0.705858
2021,Regular Season,1611661320,Mid-Range,436,155,310,32,LAS,0.206929,0.355505,0.711009,0.365863,0.208306,321.344996,62.001013,0.359900,0.206886,2,0.719799
2021,Regular Season,1611661320,Corner 3,50,15,45,32,LAS,0.023730,0.300000,0.900000,0.392297,0.026685,654.722812,240.143215,0.385748,0.024023,3,1.157245
2021,Regular Season,1611661320,Above the Break 3,592,201,603,32,LAS,0.280968,0.339527,1.018581,0.341295,0.280521,1509.093100,96.498325,0.340797,0.280836,3,1.022390
2021,Regular Season,1611661320,Backcourt,3,0,0,32,LAS,0.001424,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.001948,3,0.000000
2021,Regular Season,1611661321,Restricted Area,637,377,754,32,DAL,0.281609,0.591837,1.183673,0.609031,0.281587,251.698868,75.025548,0.596706,0.281537,2,1.193413
2021,Regular Season,1611661321,In The Paint (Non-RA),446,155,310,32,DAL,0.197171,0.347534,0.695067,0.401290,0.200731,226.127746,117.251986,0.365619,0.197296,2,0.731238
2021,Regular Season,1611661321,Mid-Range,439,155,310,32,DAL,0.194076,0.353075,0.706150,0.365863,0.208306,321.344996,62.001013,0.358480,0.194406,2,0.716959
2021,Regular Season,1611661321,Corner 3,30,13,39,32,DAL,0.013263,0.433333,1.300000,0.392297,0.026685,654.722812,240.143215,0.394095,0.014547,3,1.182284
2021,Regular Season,1611661321,Above the Break 3,704,249,747,32,DAL,0.311229,0.353693,1.061080,0.341295,0.280521,1509.093100,96.498325,0.345239,0.309894,3,1.035716
2021,Regular Season,1611661321,Backcourt,6,0,0,32,DAL,0.002653,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.002320,3,0.000000
2021,Regular Season,1611661322,Restricted Area,417,277,554,32,WAS,0.188262,0.664269,1.328537,0.609031,0.281587,251.698868,75.025548,0.643477,0.191691,2,1.286954
2021,Regular Season,1611661322,In The Paint (Non-RA),490,198,396,32,WAS,0.221219,0.404082,0.808163,0.401290,0.200731,226.127746,117.251986,0.403200,0.220617,2,0.806400
2021,Regular Season,1611661322,Mid-Range,430,145,290,32,WAS,0.194131,0.337209,0.674419,0.365863,0.208306,321.344996,62.001013,0.349464,0.194895,2,0.698928
2021,Regular Season,1611661322,Corner 3,97,37,111,32,WAS,0.043792,0.381443,1.144330,0.392297,0.026685,654.722812,240.143215,0.390896,0.042201,3,1.172689
2021,Regular Season,1611661322,Above the Break 3,777,251,753,32,WAS,0.350790,0.323037,0.969112,0.341295,0.280521,1509.093100,96.498325,0.335089,0.348533,3,1.005268
2021,Regular Season,1611661322,Backcourt,4,0,0,32,WAS,0.001806,0.000000,0.000000,0.000000,0.002170,4.802415,5000.000000,0.000000,0.002062,3,0.000000
2021,Regular Season,1611661323,Restricted Area,711,440,880,32,CON,0.338571,0.618847,1.237693,0.609031,0.281587,251.698868,75.025548,0.616280,0.336438,2,1.232561
