season,player_id,player_name,team_id,team_abbr,n_teams,zone,fga,fgm,fg_pct_raw,attempt_share,fga_total,league_fg_pct,team_prior_fg_pct,k_player,fg_pct_shrunk,data_weight,prior_dominated,pts_value,pps_shrunk
2021,201886,DeWanna Bonner,1611661323,CON,1,Corner 3,13,4,0.307692,0.028889,450,0.391360,0.386393,260.325606,0.382650,0.047562,True,3,1.147950
2021,201886,DeWanna Bonner,1611661323,CON,1,Above the Break 3,139,46,0.330935,0.308889,450,0.342263,0.350221,262.841529,0.343550,0.345908,True,3,1.030650
2021,201886,DeWanna Bonner,1611661323,CON,1,Backcourt,2,0,0.000000,0.004444,450,0.000000,0.000000,30.401406,0.000000,0.061726,True,3,0.000000
2021,201896,Briann January,1611661323,CON,1,Restricted Area,22,12,0.545455,0.119565,184,0.606885,0.611565,72.089964,0.596107,0.233819,True,2,1.192214
2021,201896,Briann January,1611661323,CON,1,In The Paint (Non-RA),19,7,0.368421,0.103261,184,0.399965,0.376031,103.196074,0.374847,0.155488,True,2,0.749695
2021,201896,Briann January,1611661323,CON,1,Mid-Range,64,29,0.453125,0.347826,184,0.367672,0.340602,126.590601,0.378387,0.335798,True,2,0.756774
2021,201896,Briann January,1611661323,CON,1,Corner 3,7,2,0.285714,0.038043,184,0.391360,0.386393,260.325606,0.383757,0.026185,True,3,1.151271
2021,201896,Briann January,1611661323,CON,1,Above the Break 3,71,30,0.422535,0.385870,184,0.342263,0.350221,262.841529,0.365601,0.212676,True,3,1.096802
2021,201896,Briann January,1611661323,CON,1,Backcourt,1,0,0.000000,0.005435,184,0.000000,0.000000,30.401406,0.000000,0.031846,True,3,0.000000
2021,201911,Kristi Toliver,1611661320,LAS,1,Restricted Area,11,9,0.818182,0.067901,162,0.606885,0.604543,72.089964,0.632826,0.132387,True,2,1.265652
2021,201911,Kristi Toliver,1611661320,LAS,1,In The Paint (Non-RA),30,16,0.533333,0.185185,162,0.399965,0.352490,103.196074,0.393222,0.225232,True,2,0.786443
2021,201911,Kristi Toliver,1611661320,LAS,1,Mid-Range,38,14,0.368421,0.234568,162,0.367672,0.360667,126.590601,0.362457,0.230876,True,2,0.724915
2021,201911,Kristi Toliver,1611661320,LAS,1,Corner 3,7,3,0.428571,0.043210,162,0.391360,0.384878,260.325606,0.386022,0.026185,True,3,1.158065
2021,201911,Kristi Toliver,1611661320,LAS,1,Above the Break 3,76,25,0.328947,0.469136,162,0.342263,0.341492,262.841529,0.338678,0.224294,True,3,1.016035
2021,201911,Kristi Toliver,1611661320,LAS,1,Backcourt,0,0,,0.000000,162,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,201913,Kia Vaughn,1611661317,PHO,1,Restricted Area,30,18,0.600000,0.162162,185,0.606885,0.602704,72.089964,0.601909,0.293858,True,2,1.203819
2021,201913,Kia Vaughn,1611661317,PHO,1,In The Paint (Non-RA),46,16,0.347826,0.248649,185,0.399965,0.419162,103.196074,0.397168,0.308319,True,2,0.794336
2021,201913,Kia Vaughn,1611661317,PHO,1,Mid-Range,107,40,0.373832,0.578378,185,0.367672,0.387674,126.590601,0.381333,0.458066,True,2,0.762667
2021,201913,Kia Vaughn,1611661317,PHO,1,Corner 3,0,0,,0.000000,185,0.391360,0.391985,260.325606,0.391985,0.000000,True,3,1.175955
2021,201913,Kia Vaughn,1611661317,PHO,1,Above the Break 3,2,0,0.000000,0.010811,185,0.342263,0.341582,262.841529,0.339002,0.007552,True,3,1.017007
2021,201913,Kia Vaughn,1611661317,PHO,1,Backcourt,0,0,,0.000000,185,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,201919,Shavonte Zellous,1611661322,WAS,1,Restricted Area,16,12,0.750000,0.140351,114,0.606885,0.642669,72.089964,0.662164,0.181632,True,2,1.324328
2021,201919,Shavonte Zellous,1611661322,WAS,1,In The Paint (Non-RA),16,5,0.312500,0.140351,114,0.399965,0.402782,103.196074,0.390663,0.134233,True,2,0.781326
2021,201919,Shavonte Zellous,1611661322,WAS,1,Mid-Range,41,16,0.390244,0.359649,114,0.367672,0.350238,126.590601,0.360025,0.244644,True,2,0.720050
2021,201919,Shavonte Zellous,1611661322,WAS,1,Corner 3,5,1,0.200000,0.043860,114,0.391360,0.390080,260.325606,0.386498,0.018845,True,3,1.159494
2021,201919,Shavonte Zellous,1611661322,WAS,1,Above the Break 3,35,9,0.257143,0.307018,114,0.342263,0.335728,262.841529,0.326494,0.117512,True,3,0.979481
2021,201919,Shavonte Zellous,1611661322,WAS,1,Backcourt,1,0,0.000000,0.008772,114,0.000000,0.000000,30.401406,0.000000,0.031846,True,3,0.000000
2021,202250,Tina Charles,1611661322,WAS,1,Restricted Area,135,89,0.659259,0.254717,530,0.606885,0.642669,72.089964,0.653484,0.651891,False,2,1.306968
2021,202250,Tina Charles,1611661322,WAS,1,In The Paint (Non-RA),153,73,0.477124,0.288679,530,0.399965,0.402782,103.196074,0.447179,0.597199,False,2,0.894358
2021,202250,Tina Charles,1611661322,WAS,1,Mid-Range,105,26,0.247619,0.198113,530,0.367672,0.350238,126.590601,0.303712,0.453386,True,2,0.607424
2021,202250,Tina Charles,1611661322,WAS,1,Corner 3,10,5,0.500000,0.018868,530,0.391360,0.390080,260.325606,0.394146,0.036992,True,3,1.182439
2021,202250,Tina Charles,1611661322,WAS,1,Above the Break 3,127,45,0.354331,0.239623,530,0.342263,0.335728,262.841529,0.341788,0.325773,True,3,1.025365
2021,202250,Tina Charles,1611661322,WAS,1,Backcourt,0,0,,0.000000,530,0.000000,0.000000,30.401406,0.000000,0.000000,True,3,0.000000
2021,202259,Epiphanny Prince,1611661328,SEA,1,Restricted Area,20,8,0.400000,0.148148,135,0.606885,0.611573,72.089964,0.565624,0.217179,True,2,1.131248
2021,202259,Epiphanny Prince,1611661328,SEA,1,In The Paint (Non-RA),31,11,0.354839,0.229630,135,0.399965,0.432446,103.196074,0.414518,0.231005,True,2,0.829036
2021,202259,Epiphanny Prince,1611661328,SEA,1,Mid-Range,33,14,0.424242,0.244444,135,0.367672,0.359106,126.590601,0.372575,0.206779,True,2,0.745150
2021,202259,Epiphanny Prince,1611661328,SEA,1,Corner 3,0,0,,0.000000,135,0.391360,0.392386,260.325606,0.392386,0.000000,True,3,1.177158
2021,202259,Epiphanny Prince,1611661328,SEA,1,Above the Break 3,50,25,0.500000,0.370370,135,0.342263,0.353936,262.841529,0.377281,0.159825,True,3,1.131842
2021,202259,Epiphanny Prince,1611661328,SEA,1,Backcourt,1,0,0.000000,0.007407,135,0.000000,0.000000,30.401406,0.000000,0.031846,True,3,0.000000
2021,202633,Liz Cambage,1611661319,LVA,1,Restricted Area,94,66,0.702128,0.312292,301,0.606885,0.644257,72.089964,0.677009,0.565958,False,2,1.354019
2021,202633,Liz Cambage,1611661319,LVA,1,In The Paint (Non-RA),123,57,0.463415,0.408638,301,0.399965,0.435820,103.196074,0.450825,0.543776,False,2,0.901651
2021,202633,Liz Cambage,1611661319,LVA,1,Mid-Range,64,30,0.468750,0.212625,301,0.367672,0.385593,126.590601,0.413517,0.335798,True,2,0.827034
2021,202633,Liz Cambage,1611661319,LVA,1,Corner 3,0,0,,0.000000,301,0.391360,0.389783,260.325606,0.389783,0.000000,True,3,1.169349
