response,projection,population,benchmark,n,n_blocks,r2_tuned,r2_benchmark,dR2_tuned_minus_benchmark,null_sd,z,p,p_min_attainable,MDE80_analytic
R1_min,PROJ,DECISION_DISCLOSED_2022,UNIFORM,1350,336,0.27115162914376645,-1.2296865827923642,1.500838211936131,0.11050612705728705,13.572724379667205,0.0004997501249375312,1.4287342391028437e-101,0.3094171557604037
R1_min,PROJ,ALL_APPEARED_CLEAN_2023_24,NAIVE,9056,960,0.6680450145773364,0.6631487315576199,0.004896283019716602,0.0025060929207103492,1.9371680587899676,0.04997501249375312,2.0522684006491881e-289,0.007017060177988977
R1_min,PROJ,ALL_APPEARED_CLEAN_2023_24,TRAIL5,9056,960,0.6680450145773364,0.6543473434768665,0.013697671100469915,0.003088033016577699,4.44752034582097,0.0004997501249375312,2.0522684006491881e-289,0.008646492446417556
R1_min,PROJ,ALL_APPEARED_CLEAN_2023_24,UNIFORM,9056,960,0.6680450145773364,0.049818092031430505,0.618226922545906,0.02368932819646315,26.094926953992125,0.0004997501249375312,2.0522684006491881e-289,0.06633011895009681
R2_smin,RAW,DECISION_CLEAN_2023_24,NAIVE,3167,764,0.2382307775722471,0.21994219208963928,0.01828858548260789,0.004824127251289582,3.7668114259991556,0.0004997501249375312,2.0611676062710827e-230,0.01350755630361083
R2_smin,RAW,DECISION_CLEAN_2023_24,TRAIL5,3167,764,0.2382307775722471,0.19070541639153893,0.04752536118070831,0.008513969058506926,5.6134618281473,0.0004997501249375312,2.0611676062710827e-230,0.023839113363819393
R2_smin,RAW,DECISION_CLEAN_2023_24,UNIFORM,3167,764,0.2382307775722471,-1.8443024453957744,2.082533222968021,0.09245229143001094,22.5083049255854,0.0004997501249375312,2.0611676062710827e-230,0.2588664160040306
R2_smin,RAW,DECISION_DISCLOSED_2022,NAIVE,1350,336,0.17456721436732126,0.16133045033547333,0.01323676403184796,0.011452127840064762,1.156090582189019,0.24687656171914044,1.4287342391028437e-101,0.03206595795218133
R2_smin,RAW,DECISION_DISCLOSED_2022,TRAIL5,1350,336,0.17456721436732126,0.13384436171866776,0.04072285264865372,0.011993135010886337,3.397851518597699,0.0009995002498750624,1.4287342391028437e-101,0.03358077803048174
R2_smin,RAW,DECISION_DISCLOSED_2022,UNIFORM,1350,336,0.17456721436732126,-1.4942308794729784,1.6687980938403,0.12785698054943942,13.022766060917688,0.0004997501249375312,1.4287342391028437e-101,0.35799954553843033
R2_smin,RAW,ALL_APPEARED_CLEAN_2023_24,NAIVE,9056,960,0.6474838775799795,0.6435246106314265,0.003959266948552956,0.002217258744973948,1.7624781654173127,0.07896051974012994,2.0522684006491881e-289,0.006208324485927054
R2_smin,RAW,ALL_APPEARED_CLEAN_2023_24,TRAIL5,9056,960,0.6474838775799795,0.6370312795052706,0.010452598074708984,0.002752996318741508,3.817228873816574,0.0004997501249375312,2.0522684006491881e-289,0.007708389692476223
R2_smin,RAW,ALL_APPEARED_CLEAN_2023_24,UNIFORM,9056,960,0.6474838775799795,0.000996394441939663,0.6464874831380399,0.02441370866914282,26.476396631773785,0.0004997501249375312,2.0522684006491881e-289,0.06835838427359989
R2_smin,PROJ,DECISION_CLEAN_2023_24,NAIVE,3167,764,0.26168220201480463,0.2233038759364655,0.03837832607833919,0.006703125712812935,5.7024051299106,0.0004997501249375312,2.0611676062710827e-230,0.01876875199587622
R2_smin,PROJ,DECISION_CLEAN_2023_24,TRAIL5,3167,764,0.26168220201480463,0.18847053888107856,0.07321166313372598,0.009653169937326199,7.586195809355419,0.0004997501249375312,2.0611676062710827e-230,0.027028875824513354
R2_smin,PROJ,DECISION_CLEAN_2023_24,UNIFORM,3167,764,0.26168220201480463,-1.5982385671619848,1.8599207691767896,0.08256033960469293,22.50488964771294,0.0004997501249375312,2.0611676062710827e-230,0.23116895089314018
R2_smin,PROJ,DECISION_DISCLOSED_2022,NAIVE,1350,336,0.24205304356194202,0.22352759131871003,0.018525452243231984,0.008982065752757588,2.0383543567586524,0.04097951024487756,1.4287342391028437e-101,0.025149784107721247
R2_smin,PROJ,DECISION_DISCLOSED_2022,TRAIL5,1350,336,0.24205304356194202,0.20146573935777123,0.040587304204170824,0.011269698630379006,3.6015734808610014,0.0009995002498750624,1.4287342391028437e-101,0.031555156165061216
R2_smin,PROJ,DECISION_DISCLOSED_2022,UNIFORM,1350,336,0.24205304356194202,-1.3281374452306154,1.5701904887925577,0.11539386191266533,13.598952640382791,0.0004997501249375312,1.4287342391028437e-101,0.3231028133554629
R2_smin,PROJ,ALL_APPEARED_CLEAN_2023_24,NAIVE,9056,960,0.6667138256035903,0.6615477328793169,0.005166092724273518,0.002445456289896548,2.091892441995141,0.03298350824587706,2.0522684006491881e-289,0.006847277611710334
R2_smin,PROJ,ALL_APPEARED_CLEAN_2023_24,TRAIL5,9056,960,0.6667138256035903,0.6525604725366049,0.014153353066985485,0.0030590100070850236,4.637253750473532,0.0004997501249375312,2.0522684006491881e-289,0.008565228019838065
R2_smin,PROJ,ALL_APPEARED_CLEAN_2023_24,UNIFORM,9056,960,0.6667138256035903,0.045617654201541624,0.6210961714020486,0.0236848125118668,26.222192858494783,0.0004997501249375312,2.0522684006491881e-289,0.06631747503322703
