response,projection,stratum,candidate,n,sst,r2_base,corr_with_base,ORACLE_unconstrained,ORACLE_projected,c_star,g_star_projected,clip_frac_at_gstar,ORACLE_projected_g_within_2g0,NOT_A_BOUND_dd_over_sst
R1_min,RAW,DECISION_CLEAN_2023_24,C5_starter_delta__B,3167,132506.76970090868,0.2294384480422601,-0.10523807736368228,0.0002916932835468704,0.00024941826215389625,0.11110794786638353,1.6384946862417404,0.0,0.00024941826215389625,0.023628501317325534
R1_min,RAW,DECISION_CLEAN_2023_24,G01_noise__W,3167,132506.76970090868,0.2294384480422601,1.9337207084030677e-05,4.413141757204895e-05,4.45272404690546e-05,0.04297714059476348,0.04527942919411556,0.0,4.45272404690546e-05,0.023893118864510624
R1_min,RAW,DECISION_CLEAN_2023_24,G01_noise__B,3167,132506.76970090868,0.2294384480422601,-0.0074907691960147665,5.155844571085747e-06,6.222741336975811e-06,-0.014690131086374356,-0.0494996951344378,0.0,6.222741336975811e-06,0.023891778191762858
R1_min,PROJ,DECISION_CLEAN_2023_24,C1_player_rest,3167,132506.76970090868,0.22487168002214952,-0.07883604611261215,0.004228392336570088,0.01068201009811972,-0.4219927839952796,-0.3491624053772762,0.0,0.00993902607508475,0.023744620220703685
R1_min,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate,3167,132506.76970090868,0.22487168002214952,-0.25794611270959805,8.738878932194745e-05,0.0009277928042978249,-0.06259544027983369,-0.01578018739195859,0.0,0.00031124998489129844,0.02230336160765577
R1_min,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj,3167,132506.76970090868,0.22487168002214952,0.2197564610683553,0.002388454387023323,0.03297844854513998,0.32409355891256564,0.9469594493364217,0.0,0.02690415187354734,0.02273925082088376
R1_min,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility,3167,132506.76970090868,0.22487168002214952,-0.3184761738289356,0.00243424032284264,0.0071601829614198215,-0.33671978809569997,-0.2929441034269034,0.0,0.006542425321674204,0.021469709754180805
R1_min,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta,3167,132506.76970090868,0.22487168002214952,-0.20778090200424706,0.0005957297948390725,0.009051793066390234,-0.16142526422165032,2.3894565857306302,0.0,0.004135800146286177,0.022861583564274857
R1_min,PROJ,DECISION_CLEAN_2023_24,C6_team_rest,3167,132506.76970090868,0.22487168002214952,-0.041065653383112986,0.00010107374941127556,0.0007471816192325837,-0.06509524560578299,0.10269310605451518,0.0,0.00027463480175239516,0.023852825807175404
R1_min,PROJ,DECISION_CLEAN_2023_24,C7_sched_density,3167,132506.76970090868,0.22487168002214952,0.09354121637506087,9.75568139248472e-05,0.0017202998705073316,-0.06418015670953302,-0.9194232817403681,0.0,0.000464483120529676,0.02368405505907512
R1_min,PROJ,DECISION_CLEAN_2023_24,C8_opp_pace_prior,3167,132506.76970090868,0.22487168002214952,-0.06649117082899257,0.0005202391226263995,0.001959589942446729,0.14788605886701933,-0.620100723912223,0.0,0.0008764816507377204,0.023787485583849764
R1_min,PROJ,DECISION_CLEAN_2023_24,G01_noise,3167,132506.76970090868,0.22487168002214952,-0.007313873037367388,8.9537564354049e-05,8.364183661033218e-06,0.061217816093770236,0.01958690529300066,0.0,8.364183661033218e-06,0.023891840765077735
R1_min,PROJ,DECISION_CLEAN_2023_24,G02_tg_noise,3167,132506.76970090868,0.22487168002214952,-0.03984915707108146,0.0004147735100178799,0.000849861876283593,0.13186033605143743,-0.6216986583027154,0.0,0.00040294142308928613,0.023855177668235732
R1_min,PROJ,DECISION_CLEAN_2023_24,C1_player_rest__W,3167,132506.76970090868,0.22487168002214952,-0.005559630595165025,0.008704143117081373,0.023640685330597776,-0.6035778611328069,-0.7480357271858388,0.0025397526501766783,0.023611847172897524,0.02389238034926976
R1_min,PROJ,DECISION_CLEAN_2023_24,C1_player_rest__B,3167,132506.76970090868,0.22487168002214952,-0.08580420321871549,0.00046346722082325065,0.003026292610707511,-0.13979052005702017,0.35182058162356566,0.0,0.0012291989467902074,0.02371720909995373
R1_min,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate__W,3167,132506.76970090868,0.22487168002214952,-0.25936472992596105,4.1620359869675936e-07,0.026530464568801374,-0.004321539983968932,-0.8654730770878156,0.0017667844522968198,0.014376931135889321,0.022285827258466034
R1_min,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate__B,3167,132506.76970090868,0.22487168002214952,0.04225631302444636,0.00020006953724042696,6.077793130722434e-06,-0.0915887529329422,-0.09354296417783442,0.0,6.077793130722434e-06,0.023850455416185856
R1_min,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj__W,3167,132506.76970090868,0.22487168002214952,0.21057280763820738,0.0004966214932254626,0.0284012405160366,0.14747718375239677,0.5769821734033231,0.0,0.007286854122188541,0.022833676303972088
R1_min,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj__B,3167,132506.76970090868,0.22487168002214952,0.035732364947273165,0.004010228881043992,0.00021839531915712187,0.409944995895897,0.9038908553529372,0.0,0.00021839531915712187,0.02386261209375748
R1_min,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility__W,3167,132506.76970090868,0.22487168002214952,-0.31312802554294666,0.0015259550515287143,0.009676299648533481,-0.2660988606993509,-0.3540774730914437,0.0,0.007648462732014179,0.021550418629033976
R1_min,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility__B,3167,132506.76970090868,0.22487168002214952,-0.08303411499048077,0.000774235439470944,0.003970459363177523,-0.18063522474597105,0.7042753614776271,0.0,0.0014861932175116803,0.023728383840873352
R1_min,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta__W,3167,132506.76970090868,0.22487168002214952,-0.22190810832885235,4.912336088161283e-05,0.004670495868290703,-0.04650213537201342,0.9619736079338987,0.0,0.0010613808886253504,0.022716545038038917
R1_min,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta__B,3167,132506.76970090868,0.22487168002214952,0.023250852151078187,0.0031188466475711245,0.0024516874194639446,-0.3613915641104604,24.119998191917766,0.0,0.001625391516350648,0.023880202202591107
R1_min,PROJ,DECISION_CLEAN_2023_24,G01_noise__W,3167,132506.76970090868,0.22487168002214952,-0.0026043703844662474,7.770065723192297e-05,1.4613942488550317e-05,0.05702658922600776,0.027509371887327803,0.0,1.4613942488550317e-05,0.023892956812509965
R1_min,PROJ,DECISION_CLEAN_2023_24,G01_noise__B,3167,132506.76970090868,0.22487168002214952,-0.01491770242781553,9.905119574938807e-06,6.592403038617684e-05,0.020363000330654933,-0.313503699359867,0.0,2.4795417288219758e-05,0.023887801750243166
R2_smin,PROJ,DECISION_CLEAN_2023_24,C1_player_rest,3167,3.163535498446242,0.1806910837755299,-0.07556004072089059,0.004488636984697513,0.01249304747330024,-0.0021238872521383663,-0.0018413534660981477,0.0,0.01125316357797849,995.0652664418471
R2_smin,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate,3167,3.163535498446242,0.1806910837755299,-0.2647926291667015,0.00015783365750526328,0.013243955701362652,-0.0004118282381195624,-0.0010662823575954905,0.00011042402826855124,0.0029191336109599974,930.6092754168145
R2_smin,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj,3167,3.163535498446242,0.1806910837755299,0.22511098427940202,0.002952508137447228,0.043372919952227404,0.0017628647071202361,0.005321106017115588,0.0,0.03494567063223927,950.0646011957407
R2_smin,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility,3167,3.163535498446242,0.1806910837755299,-0.3281985688792131,0.0027904988481629064,0.00895568139894518,-0.0017677459798795447,-0.001634723045326483,0.0,0.00803578977008422,892.9808202381167
R2_smin,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta,3167,3.163535498446242,0.1806910837755299,-0.2143299744632332,0.0007976126309467953,0.011168973749347796,-0.0009139837246986327,0.014764870318762656,0.0,0.005489499727754728,954.8059092502807
R2_smin,PROJ,DECISION_CLEAN_2023_24,C6_team_rest,3167,3.163535498446242,0.1806910837755299,-0.03687853602387529,0.00011678462730122026,0.0008387522982022906,-0.0003418371565705389,0.0005047618622948721,0.0,0.00030218282219946136,999.4179480234893
R2_smin,PROJ,DECISION_CLEAN_2023_24,C7_sched_density,3167,3.163535498446242,0.1806910837755299,0.08200233863641612,0.00010818920707388007,0.0024424495624653405,-0.00032990430482496497,-0.0048918016223657955,0.0,0.000605789626888249,994.0494118845962
R2_smin,PROJ,DECISION_CLEAN_2023_24,C8_opp_pace_prior,3167,3.163535498446242,0.1806910837755299,-0.06569254437047807,0.0005501172997279993,0.0020787219546115608,0.0007430151706116617,-0.0030516585910852273,0.0,0.000872801051148101,996.4601616345393
R2_smin,PROJ,DECISION_CLEAN_2023_24,G01_noise,3167,3.163535498446242,0.1806910837755299,-0.00634217439068622,8.970786458825188e-05,4.336095990275542e-06,0.0002994021362455608,6.838314180206855e-05,0.0,4.336095990275542e-06,1000.738779438285
R2_smin,PROJ,DECISION_CLEAN_2023_24,G02_tg_noise,3167,3.163535498446242,0.1806910837755299,-0.03628037912000598,0.000457948269126946,0.0010409732339591836,0.000676900949850897,-0.0031744693203411764,0.0,0.0004505513616214985,999.4617426245849
R2_smin,PROJ,DECISION_CLEAN_2023_24,C1_player_rest__W,3167,3.163535498446242,0.1806910837755299,-0.007668488295483537,0.009311910832107041,0.027027506832795947,-0.0030504441289501954,-0.003916784248693375,0.0025397526501766783,0.02689119418032945,1000.7201824251218
R2_smin,PROJ,DECISION_CLEAN_2023_24,C1_player_rest__B,3167,3.163535498446242,0.1806910837755299,-0.08094361128258618,0.0004833009982124515,0.003418179645696033,-0.0006972156841082226,0.0017514380568825457,0.0,0.0013339973721097419,994.2220616142735
R2_smin,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate__W,3167,3.163535498446242,0.1806910837755299,-0.261731137303007,4.5149952455673444e-05,0.03216292202540188,-0.00022007406381333906,-0.00350693003281147,0.000993816254416961,0.014430792357940555,932.2224794062973
R2_smin,PROJ,DECISION_CLEAN_2023_24,C2_foul_rate__B,3167,3.163535498446242,0.1806910837755299,0.03503958868261591,7.282927505472526e-05,0.00013529601394768662,-0.0002699296959805836,-0.0024438181735043016,0.0,0.00013529601394768662,999.5503046977854
R2_smin,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj__W,3167,3.163535498446242,0.1806910837755299,0.21802539531415305,0.0007857533011643658,0.04416078293935577,0.0009079240320837479,0.004564652019766753,0.0,0.01302978710670979,953.2069295119531
R2_smin,PROJ,DECISION_CLEAN_2023_24,C3_blowout_adj__B,3167,3.163535498446242,0.1806910837755299,0.031207899381224372,0.003962630385637286,0.0008578848947590792,0.0019908304439991147,0.008649169727411775,0.0,0.0008578848947590792,999.8043422388588
R2_smin,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility__W,3167,3.163535498446242,0.1806910837755299,-0.3253509653969315,0.0017631803900861394,0.012008604464587755,-0.0014037018532505581,-0.0019390595621695825,0.0,0.009412005050311648,894.8433199888423
R2_smin,PROJ,DECISION_CLEAN_2023_24,C4_min_volatility__B,3167,3.163535498446242,0.1806910837755299,-0.08091115983402303,0.0008681849520771096,0.004639953759521658,-0.0009344655193546008,0.0035427724741687733,0.0,0.0016852440329761828,994.2273181278678
R2_smin,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta__W,3167,3.163535498446242,0.1806910837755299,-0.2286476022808412,0.00011270587736061635,0.0004385991132743045,-0.0003447181078036199,0.0003533892458465975,0.0,0.00014718142996686176,948.4585802392814
R2_smin,PROJ,DECISION_CLEAN_2023_24,C5_starter_delta__B,3167,3.163535498446242,0.1806910837755299,0.02318484643028846,0.0032353510793430456,0.002581299286378812,-0.0017984913942209063,0.13236189947968882,0.0,0.0015643475572611647,1000.2410780858569
R2_smin,PROJ,DECISION_CLEAN_2023_24,G01_noise__W,3167,3.163535498446242,0.1806910837755299,-0.0009134041177838204,7.598548563145437e-05,9.185493150880339e-06,0.00027554745468546946,0.00010664522297682714,0.0,9.185493150880339e-06,1000.7781989924703
R2_smin,PROJ,DECISION_CLEAN_2023_24,G01_noise__B,3167,3.163535498446242,0.1806910837755299,-0.016925293221237557,1.201000323643694e-05,7.483865870901129e-05,0.00010956319216981303,-0.0016540481561277873,0.0,2.758138570557643e-05,1000.4923452324921
