grid,response,projection,arm,candidate,stratum,window,n,n_blocks_scored,sst,r2_base,r2_aug,dR2,beta,primary_null,null_mean,null_sd,z,p,n_null_blocks,n_draws,p_floor,second_null,null_mean_2,null_sd_2,z_2,p_2,n_draws_2,p_familywise,MDE80_analytic,boot_sd,boot_t,boot_MDE80,boot_over_perm_sd,dr2_eval_2023,dr2_eval_2024,dr2_eval_2022
CONSTRAINT,R1_min,PROJ,FROZEN,C7_sched_density,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22477593964752207,-9.574037462745333e-05,0.09717699019934332,N_TGBLOCK,-4.125732850785874e-06,0.00027417825263018254,-0.33414262764391905,0.6646676661669165,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,-9.574037462745336e-05,2.717307212124647e-20,0.9974968671630001,1.0,200,0.9335332333833083,0.0007676991073645111,0.0001830374598717715,-0.5230643754263476,0.0005125048876409602,0.6675856240088317,-0.0001481313599116097,-4.517360374651423e-05,-0.0009452507613884583
CONSTRAINT,R1_min,PROJ,FROZEN,C8_opp_pace_prior,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22511071054687526,0.00023903052472576462,-0.040839995224782315,N_TGBLOCK,-7.65084758812849e-05,0.0002891362915428742,1.0913157906373032,0.10044977511244378,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.00023903052472576457,5.434614424249294e-20,0.9974968671630001,1.0,200,0.2818590704647676,0.0008095816163200477,0.00011586343300441417,2.0630367884633456,0.00032441761241235967,0.400722553319577,0.00045224952953813415,3.3011251775101486e-05,0.00012610177156852754
CONSTRAINT,R1_min,PROJ,FROZEN,G01_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.2246837590523545,-0.00018792096979499792,0.03763465969394827,N_TGSWAP,-0.00018455076342571965,0.00044096995558589875,-0.007642711995651514,0.6261869065467266,1776,2000,0.0004997501249375312,N_PSWAP,-0.0002815470069708035,0.0005577849570076358,0.1678532846745881,0.5008319467554077,600,,0.0012347158756405164,0.00021546692976905476,-0.8721569012767686,0.0006033074033533533,0.4886204310286234,4.645535689098053e-05,-0.0004150545960290794,-0.002636132572394509
CONSTRAINT,R1_min,PROJ,FROZEN,G02_tg_noise,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.2249831183632376,0.00011143834108803658,-0.027592630072713085,N_TGBLOCK,2.083966145313488e-05,0.00017950050983167116,0.5047265866813512,0.23588205897051473,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.00011143834108803658,0.0,,1.0,200,,0.0005026014275286792,9.740610817407351e-05,1.1440590654631864,0.0002727371028874058,0.5426508719413516,0.0002364471987921871,-9.392127777070948e-06,-4.854574820976724e-06
CONSTRAINT,R1_min,PROJ,UNFROZEN,C1_player_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22600100698936543,0.0011293269672158848,-0.044449203345948055,N_TGSWAP,0.00011080401829099873,0.0006058697114425629,1.68109236967764,0.04997501249375312,1776,2000,0.0004997501249375312,N_PSWAP,-0.00011073780957933527,0.0006231025538842773,1.9901455531917547,0.02329450915141431,600,0.19540229885057472,0.001696435192039176,0.0006208319904681836,1.8190540831573991,0.0017383295733109138,1.0246955388972916,0.0009021038038646807,0.001350939610537047,-0.0001857867553809831
CONSTRAINT,R1_min,PROJ,UNFROZEN,C2_foul_rate,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22572909673499852,0.000857416712849009,-0.0511140495871243,N_TGSWAP,0.00010253487861120234,0.0007751462085681122,0.9738573521919963,0.12543728135932034,1776,2000,0.0004997501249375312,N_PSWAP,-0.0005606240865169656,0.0011262588188352678,1.2590718719809504,0.04492512479201331,600,0.48075962018990503,0.002170409383990714,0.0002749869034733329,3.118027447922289,0.000769963329725332,0.35475488421894247,0.0014632166399272091,0.0002723383527808583,0.005184125299512643
CONSTRAINT,R1_min,PROJ,UNFROZEN,C3_blowout_adj,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.2268175226734579,0.0019458426513083611,0.2737526053990634,N_TGSWAP,-0.0004351259025159402,0.0006317224955775619,3.7690102386609876,0.0009995002498750624,1776,2000,0.0004997501249375312,N_PSWAP,-0.0007063234898993434,0.0012203019906769767,2.1733686919058326,0.0033277870216306157,600,0.006496751624187906,0.0017688229876171731,0.0012790353456130267,1.5213361053566048,0.0035812989677164743,2.024679118706465,0.004043334457754441,-8.142773073997064e-05,0.004361135595595796
CONSTRAINT,R1_min,PROJ,UNFROZEN,C4_min_volatility,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22175381251985316,-0.0031178675022963676,-0.053970378115307735,N_TGSWAP,-0.0005307739301995489,0.0010474969847256684,-2.469786175827856,0.9775112443778111,1776,2000,0.0004997501249375312,N_PSWAP,-0.000950853391639392,0.001358125034896204,-1.595592493310155,0.9334442595673876,600,1.0,0.002932991557231871,0.0006931805018261116,-4.497915757991852,0.0019409054051131125,0.6617494006511632,-0.0025514032010486784,-0.003670795499073031,-0.003439604855512429
CONSTRAINT,R1_min,PROJ,UNFROZEN,C5_starter_delta,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22664859535318738,0.00177691533103786,0.2815165129542442,N_TGSWAP,9.110005028101326e-05,0.0007313727538483424,2.305001480963588,0.02798600699650175,1776,2000,0.0004997501249375312,N_PSWAP,-0.0002500907852098104,0.001296614707928047,1.5633064347131829,0.048252911813643926,600,0.08295852073963018,0.0020478437107753584,0.0003451798179321158,5.147796130384756,0.0009665034902099242,0.4719615491770047,0.0023980442427383795,0.001178369943259208,0.009891037361547651
CONSTRAINT,R1_min,PROJ,UNFROZEN,C6_team_rest,DECISION,CLEAN_2023_24,3167,764,132506.76970090868,0.22487168002214952,0.22541490009766174,0.0005432200755121682,0.027436921059815753,N_TGBLOCK,0.0008501846444069329,0.0003767236143178272,-0.814826990473155,0.7866066966516742,335,2000,0.0004997501249375312,N_TGSWAP_VACUOUS_IDENTITY,0.0005432200755121682,0.0,,1.0,200,0.9885057471264368,0.0010548261200899161,0.00018896166120120525,2.874763441742559,0.0005290926513633747,0.501592292119457,0.00026711899051225484,0.000811268592908474,0.0018432973151209908
