game_id,game_date,season,team_i,player_id,player_name,label,absence_game_id,absence_date,d_ft,d_stint,d_rim,d_min,days_rest,games_last7,score_micro,score_incumbent
1022200179,2022-07-31,2022,IND,1628927,Victoria Vivians,0,,,0.12954545454545452,-17.11134920634919,-0.04558404558404558,-0.42611111111110844,2.0,2.0,-0.020092732170997663,0.7330965120238828
1022200186,2022-08-03,2022,IND,1628927,Victoria Vivians,0,,,0.2545454545454545,-9.228402457757227,-0.04983388704318936,-1.9117204301075255,3.0,2.0,-0.9310183242658452,0.7967034619876039
1022300036,2023-06-06,2023,IND,1628927,Victoria Vivians,0,,,,0.0,,0.0,2.0,2.0,0.06816210263777228,0.595276352087873
1022300043,2023-06-09,2023,IND,1628927,Victoria Vivians,0,,,,-17.769999999999982,-0.005291005291005291,-0.9700000000000006,3.0,2.0,0.9204831199784692,0.49211609754644325
1022300049,2023-06-11,2023,IND,1628927,Victoria Vivians,0,,,,-17.727142857142866,-0.02651515151515152,-0.8147619047619052,2.0,3.0,1.1601714290723038,2.0323925267255847
1022300052,2023-06-13,2023,IND,1628927,Victoria Vivians,1,1022300073,2023-06-22,,-16.912499999999966,-0.055555555555555566,-1.5962500000000013,2.0,3.0,1.7896302659655263,2.2851548027266864
1022300057,2023-06-15,2023,IND,1628927,Victoria Vivians,1,1022300073,2023-06-22,,12.320370370370398,-0.03789473684210526,0.5744444444444454,2.0,3.0,0.07346140781904842,1.5830715955428813
1022300064,2023-06-18,2023,IND,1628927,Victoria Vivians,1,1022300073,2023-06-22,,15.016666666666652,0.022796352583586615,1.206666666666667,3.0,3.0,-1.034428963264524,0.9616931646579641
1022300076,2023-06-24,2023,IND,1628927,Victoria Vivians,0,,,,1.4799999999999898,0.05059523809523808,-1.6381818181818169,6.0,1.0,-0.13803685323396575,-1.7160438443855084
1022300081,2023-06-26,2023,IND,1628927,Victoria Vivians,0,,,,-0.9588888888889073,0.05529411764705883,-1.8305555555555575,2.0,1.0,-0.07584723906551383,0.013754096397298299
