file,ncol,nrow,hits
E0_I0013_possession_volume\placebo_draws_ast_exp_gposs.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_opp_fgaA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_opp_missA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_opp_missO48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_opp_orebA100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_opp_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_own_orebR100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_own_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_ast_ppm.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_exp_gposs.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_opp_fgaA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_opp_missA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_opp_missO48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_opp_orebA100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_opp_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_own_orebR100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_own_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_pts_ppm.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_exp_gposs.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_opp_fgaA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_opp_missA48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_opp_missO48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_opp_orebA100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_opp_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_own_orebR100.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_own_pace48.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0013_possession_volume\placebo_draws_reb_ppm.csv,2,200,cluster_perm_dR2_M|naive_row_perm_dR2_M
E0_I0014_residual_heterogeneity\family_summary.csv,6,11,n_p_correct_lt_05
E0_I0014_residual_heterogeneity\lead_correlations.csv,11,10,pl_dnp_frac5
E0_I0014_residual_heterogeneity\maxt_null_draws__fga_absres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws__fga_sqres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws__minutes_absres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws__minutes_sqres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws__pts_absres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws__pts_sqres.csv,1,1000,maxt_correct_level
E0_I0014_residual_heterogeneity\maxt_null_draws_whole_screen.csv,5,1000,maxt_correct_level|maxt_correct_level_absres_family|maxt_between_block|maxt_within_block
E0_I0014_residual_heterogeneity\screen_results.csv,35,348,perm_scheme|var_share_between_blocks|correct_null_level|p_correct_level|p_between_block_null|p_within_block_null|p_conservative_both|null_correct_sd|null_between_sd|null_within_sd|p_row_level_NAIVE|null_row_sd|null_inflation_factor|p_familywise_within_dependent|p_familywise_whole_screen|p_familywise_absres_family
E0_I0015_points_skill_decomposition\abstention_rate_screen.csv,12,550,scheme|p_correct_level|p_row_level_NAIVE|null_sd_correct|null_sd_row_NAIVE|familywise_p_correct
E0_I0015_points_skill_decomposition\coldstart_splice.csv,7,7,p_vs_champion_blockflip
E0_I0015_points_skill_decomposition\component_skill.csv,13,9,p_two_sided_block_signflip|null_sd
E0_I0015_points_skill_decomposition\grouping_levels.csv,5,55,kit_recommended_level|var_share_between_player_season|scheme_used
E0_I0015_points_skill_decomposition\hybrid_by_depth_contrasts.csv,9,15,p_two_sided_block_signflip
E0_I0015_points_skill_decomposition\hybrid_contrasts.csv,13,10,p_two_sided_block_signflip|null_sd
E0_I0015_points_skill_decomposition\hybrid_sensitivity.csv,8,4,skill_blend50_champ_ref
E0_I0015_points_skill_decomposition\noop_placebo_draws.csv,3,200,identity|genuine_shuffle
E0_I0015_points_skill_decomposition\points_skill_depth_by_volume.csv,7,16,p_blockflip
E0_I0016_efficiency_predictors\grouping_levels.csv,10,132,recommended_permutation_level|row_null_is_anticonservative|declared_entity_level|n_groups_at_declared_entity|constant_within_declared_entity|coarsest_constant_level_found
E0_I0016_efficiency_predictors\kill_keep_log.csv,18,132,entity_level|n_entity_seasons|p_N1_within_entity|p_N2_entity_swap|p_correct_level|p_familywise_maxt|p_row_level_NAIVE
E0_I0016_efficiency_predictors\maxt_null_draws.csv,3,600,maxt_N1_within|maxt_N2_entity_swap
E0_I0016_efficiency_predictors\noop_placebo_draws.csv,2,200,identity
E0_I0016_efficiency_predictors\screen_results.csv,38,132,entity_level|n_entity_seasons|var_share_between_entity|p_N1_within_entity|null_sd_N1|null_mean_N1|p_N2_entity_swap|null_sd_N2|null_mean_N2|p_correct_level|p_row_level_NAIVE|null_sd_row_NAIVE|paired_p_cluster|paired_p_row_NAIVE|p_familywise_N1|p_familywise_N2|p_familywise_maxt
E0_I0016_efficiency_predictors\screen_results_SUPERSEDED.csv,30,264,entity_level|scheme|var_share_between|null_mean|null_sd|p_correct_level|p_row_level_NAIVE|null_sd_row_NAIVE|spread_y_top_minus_bottom_decile|spread_refresidual_top_minus_bottom_decile|paired_p_cluster|paired_p_row_NAIVE|t_correct_level|p_familywise_maxt
E0_I0017_shot_quality_efficiency\family_attrition.csv,7,7,min_p_correct|min_p_fw
E0_I0017_shot_quality_efficiency\grouping_levels.csv,6,39,recommended_permutation_level|row_null_is_anticonservative
E0_I0017_shot_quality_efficiency\interaction_with_main_effects.csv,7,12,p_base_ref_only|p_with_own_main_effects
E0_I0017_shot_quality_efficiency\k1_full_reference_base.csv,12,117,p_base_single_ref|p_base_full_ref|p_familywise_full_ref
E0_I0017_shot_quality_efficiency\k3_decision_stratum.csv,6,120,p_correct
E0_I0017_shot_quality_efficiency\maxt_null_draws.csv,2,600,maxz_null
E0_I0017_shot_quality_efficiency\s00_column_constancy.csv,6,24,frac_const_within_player_season|frac_const_within_team_season|frac_const_within_game
E0_I0017_shot_quality_efficiency\s04_volume_offset.csv,15,12,p_efg|p_fga_per_min|p_ppm
E0_I0017_shot_quality_efficiency\screen_results.csv,16,117,entity|p_correct_entityswap|p_row_naive|sd_null_correct|sd_null_row|p_familywise_maxz
E0_I0017_shot_quality_efficiency\var_share_between.csv,3,39,entity|var_share_between
E0_I0019_availability_forecast\abstention_p_active_within_depth_quintiles.csv,8,5,gain_from_p_active_at_075
E0_I0019_availability_forecast\decomposition_vs_components.csv,4,6,r2_base_plus_p_active
E0_I0019_availability_forecast\grouping_levels.csv,9,53,row_null_anticonservative|var_share_between_primary_block|scheme_primary|scheme_secondary|secondary_is_identity
E0_I0019_availability_forecast\leads.csv,17,9,p_between|p_within|within_null_degenerate|p_familywise|var_share_between|share_of_skill_gap_explained_by_candidate_itself|calibration_gap_min|calibration_gap_max|calibration_gap_spread|signed_err_p_familywise
E0_I0019_availability_forecast\maxt_null_draws.csv,3,1000,maxt_correct_level
E0_I0019_availability_forecast\null_sds_by_scheme.csv,3,5,scheme
E0_I0019_availability_forecast\practical_spread_summary.csv,13,30,calib_gap_min|calib_gap_max|calib_gap_spread
E0_I0019_availability_forecast\screen_results.csv,18,318,p_player_between|sd_player_between|p_player_within|sd_player_within|p_row|p_correct_level_WORST|p_row_NAIVE|p_familywise|p_teamgame_between|sd_teamgame_between
E0_I0019_availability_forecast\screen_results_repaired.csv,20,318,var_share_between|scheme_between|p_familywise|p_between|nullmean_between|nullsd_between|p_within|nullmean_within|nullsd_within|p_row|nullmean_row|nullsd_row|within_null_degenerate|inflation_between_over_row
E0_I0019_availability_forecast\survivor_decomposition.csv,8,9,share_of_gap_explained_by_candidate
E0_I0019_availability_forecast\void_risk_bands.csv,6,5,p_active_band|void_gap_pred_minus_actual
E0_I0024_reb_ast_characterisation\arithmetic_ceiling.csv,16,78,level|p_correct_level
E0_I0024_reb_ast_characterisation\mechanism_minutes_conditioning.csv,11,12,p_base_complete|p_plus_ACTUAL_minutes
E0_I0024_reb_ast_characterisation\mechanism_per_minute.csv,13,8,p_swap|p_cyc|p_correct|p_row
E0_I0024_reb_ast_characterisation\upstream_signals.csv,27,250,level|p_row_level_NAIVE|p_entity_swap|p_cyclic_shift|p_correct_level|null_sd_row|null_sd_swap|null_sd_cyclic|inflation_swap_over_row|inflation_cyclic_over_row
E0_I0028_degeneracy_sweep\defects_table.csv,42,8,dup_cluster_size|dup_cluster_players|dup_cluster_games|dup_cluster_seasons|sd_null_share
E0_I0028_degeneracy_sweep\output_inventory.csv,10,8,pred_point_null|pred_sd_null|q50_null
E0_I0028_degeneracy_sweep\region_table.csv,42,1612,dup_cluster_size|dup_cluster_players|dup_cluster_games|dup_cluster_seasons|sd_null_share
E0_I0028_degeneracy_sweep\residual_sweep.csv,41,286,dup_cluster_size|dup_cluster_players|dup_cluster_games|dup_cluster_seasons|sd_null_share
E0_I0028_degeneracy_sweep\uncertainty_defect.csv,10,8,pred_sd_null_share
E0_I0029_freethrow_hurdle\injection_power.csv,15,90,carrier_level|null|p_correct_level|p_row_level_NAIVE|null_sd_correct|null_sd_row
E0_I0029_freethrow_hurdle\matchup_decomposition.csv,37,96,level|p_correct_single|p_fw_single|p_correct_complete|p_fw_complete|p_correct_plus_M02|p_fw_plus_M02|p_correct_matchup|p_fw_matchup|p_correct_matchup2|p_fw_matchup2
E0_I0029_freethrow_hurdle\screen_results.csv,40,560,level|p_N_ROW|nullmean_N_ROW|nullsd_N_ROW|p_N_CYCLIC|nullmean_N_CYCLIC|nullsd_N_CYCLIC|z_N_CYCLIC|p_N_PSWAP|nullmean_N_PSWAP|nullsd_N_PSWAP|z_N_PSWAP|p_correct_level|correct_null_used|p_N_CYCLIC_EXCLUDED_no_power|p_N_ENTITY|nullmean_N_ENTITY|nullsd_N_ENTITY|z_N_ENTITY|p_family_wise|p_normal_ORIENTATION_ONLY
E1_I0004_efficiency_transfer\efficiency_contrast.csv,20,24,cluster|p_two_sided_cluster|n_clusters|null_sd_cluster|p_row_level_NAIVE|inflation_cluster_over_row
E1_I0004_efficiency_transfer\points_contrast.csv,20,12,cluster|p_two_sided_cluster|n_clusters|null_sd_cluster|p_row_level_NAIVE|inflation_cluster_over_row
E1_I0004_efficiency_transfer_v2\centring_report.csv,9,5,n_opp_game_rows_with_OCc
E1_I0004_efficiency_transfer_v2\efficiency_contrast.csv,28,54,p_cluster_opp_team_season|n_clusters|p_row_level_NAIVE|inflation_cluster_over_row|p_opponent_team_season|p_opponent_team_season_game|p_game|p_player_season
E1_I0004_efficiency_transfer_v2\points_contrast.csv,20,12,p_cluster_opp_team_season|p_row_level_NAIVE|p_opponent_team_season|p_opponent_team_season_game|p_game|p_player_season
E1_I0004_efficiency_transfer_v2\ppf_positive_cells_propagation.csv,6,4,points_p_cluster
E1_I0004_fga_forecast\permutation_draws_step4_fgpts_F_A.csv,2,5000,cluster_null|row_null
E1_I0004_fga_forecast\permutation_draws_step4_fgpts_F_B.csv,2,5000,cluster_null|row_null
E1_I0004_shot_selection\permutation_draws_cluster.csv,6,150000,null_level
E1_I0004_shot_selection\permutation_draws_rowlevel.csv,6,60000,null_level
E1_I0009_r2_rerun\permutation_draws_plain_ols.csv,4,2975,null_kind
E1_I0009_r2_rerun\permutation_draws_standard_weighted_wf.csv,5,400,null_kind
E1_I0011_split_alpha\fold_contrasts.csv,8,396,gap_pct
E1_I0011_split_alpha\fold_summary.csv,9,90,mean_gap_pct|sd_gap_pct|min_gap_pct|max_gap_pct
E1_I0011_split_alpha\placebo.csv,9,24,n_perm
E1_I0011_split_alpha\role_conditional.csv,11,63,gap_role_vs_global_pct
E1_I0011_split_alpha\role_conditional_summary.csv,9,18,mean_gap_pct|sd_gap_pct|min_gap_pct|max_gap_pct
E1_I0011_split_alpha\slice_folds.csv,14,96,gap_vs_single_pct|gap_vs_incumbent_pct|gap_vs_naive_pct
E1_I0011_split_alpha\slice_summary.csv,14,24,alpha_exp_folds
E1_I0013_tempo_redundancy\common_sample_features.csv,17,8919,opp_team_id|exp_gposs
E1_I0013_tempo_redundancy\noop_diagnostic_e1.csv,1,60,noop_dR2
E1_I0013_tempo_redundancy\perm_draws_step2.csv,3,400,game_level|row_level_naive
E1_I0013_tempo_redundancy\perm_draws_step3.csv,34,300,R0_game_level|A3_game_level|A5_game_level|A10_game_level|B1_game_level|B2_game_level|B3_game_level|B4_game_level|C1_game_level|C2_game_level|C3_game_level
E1_I0013_tempo_redundancy\perm_draws_step3d.csv,18,300,F1_game_level|F2_game_level|F3_game_level|G1_game_level|G2_game_level|G3_game_level
E1_I0018_teammate_volume_channel\ceiling_reconciliation.csv,10,16,D084_form_ceiling_var_share
E1_I0018_teammate_volume_channel\maxt_null_draws.csv,3,600,maxt_N1_within|maxt_N2_entity_swap
E1_I0018_teammate_volume_channel\noop_placebo_draws.csv,2,200,identity
E1_I0018_teammate_volume_channel\points_propagation.csv,25,16,tip_time|paired_p_cluster|paired_p_row_NAIVE|n_clusters|ORACLE_MINUTES_p_cluster
E1_I0018_teammate_volume_channel\screen_results.csv,40,154,tip_time|var_share_between_team_season|paired_p_cluster|paired_p_row_NAIVE|p_N1_within_entity|null_sd_N1|null_mean_N1|p_N2_entity_swap|null_sd_N2|null_mean_N2|p_correct_level|p_row_level_NAIVE|null_sd_row_NAIVE|p_familywise_N1|p_familywise_N2|p_familywise_maxt
E1_I0018_teammate_volume_channel\symmetry_kink_test.csv,21,8,p_N1_within_entity|null_sd_N1|null_mean_N1|p_N2_entity_swap|null_sd_N2|null_mean_N2|p_correct_level|p_row_level_NAIVE|null_sd_row_NAIVE
E1_I0018_teammate_volume_channel\tiptime_loss_ladder.csv,9,20,tip_time|tip_time_fw_p|lost_to_tip_time_pct
E1_I0018_teammate_volume_channel\walkforward_points.csv,13,16,paired_p_cluster|paired_p_row_NAIVE
E1_I0020_coldstart_tiering\component_decomposition.csv,7,24,p_cluster_vs_previous
E1_I0020_coldstart_tiering\d087_decomposition.csv,14,45,n_clusters|p_cluster_STRUCT_vs_LEAGUE|p_row_NAIVE_STRUCT_vs_LEAGUE|p_STRUCT_vs_P1full|p_LEAGUE_vs_P1full
E1_I0020_coldstart_tiering\handover_curve.csv,11,22,n_clusters
E1_I0020_coldstart_tiering\per_season_stability.csv,10,6,p_vs_champion|p_vs_crude
E1_I0020_coldstart_tiering\permutation_nulls.csv,10,6,level|p_correct_level|null_sd_correct|p_row_level_NAIVE|null_sd_row
E1_I0020_coldstart_tiering\placeholder_comparison.csv,22,300,n_clusters|p_cluster_vs_champion|p_row_NAIVE_vs_champion|p_cluster_vs_P1refD076|p_cluster_vs_P1full|p_row_NAIVE_vs_P1full
E1_I0020_coldstart_tiering\pooled_operating_rule.csv,11,12,p_vs_champion|p_row_NAIVE_vs_champion|p_vs_crude_complete
E1_I0020_coldstart_tiering\repro_coldstart_splice.csv,7,7,p_vs_champion_blockflip
E1_I0020_coldstart_tiering\skill_versus_tier.csv,21,26,champ_mae_pts|champ_mae_minutes|champ_mae_ppm
E1_I0020_coldstart_tiering\zero_games_case.csv,11,54,n_clusters|p_cluster|p_row_NAIVE
E1_I0021_heterogeneity_diagnostic\correlation_robustness.csv,15,8,corr_weighted_drop_top10|p_covariate_permutation|p_covariate_permutation_unweighted|p_covariate_permutation_spearman|cov_null_p95|weighted_var_share_explained|cyclic_spread_ratio|implied_var_share_from_spread
E1_I0021_heterogeneity_diagnostic\family_wise_by_floor.csv,24,6,null_p95|max_z_cyclic|family_wise_p_cyclic|null_p95_cyclic|clears_005_cyclic|z_R02_opp_efg_allowed|z_R03_opp_ts_allowed|z_R04_opp_defrtg|z_cyclic_R01_prior_efficiency_persistence|z_cyclic_R02_opp_efg_allowed|z_cyclic_R03_opp_ts_allowed|z_cyclic_R04_opp_defrtg|z_cyclic_R05_teammate_volume_pregame|z_cyclic_R06_own_usage
E1_I0021_heterogeneity_diagnostic\grouping_levels.csv,8,8,recommended_level|row_null_anticonservative|constant_levels
E1_I0021_heterogeneity_diagnostic\heterogeneity_structure.csv,8,36,null_mean_abs_corr|null_p95_abs_corr|p_vs_cyclic_null
E1_I0021_heterogeneity_diagnostic\permutation_draws.csv,6,16000,null
E1_I0021_heterogeneity_diagnostic\pooling_diagnostic.csv,33,48,n1_null_mean_w|n1_null_sd_w|n1_p_w|n1_null_mean_u|n1_p_u|n2_rowlevel_null_mean_w|n2_rowlevel_ratio_w|n2_rowlevel_p_w|n3_teamgame_null_mean_w|n3_teamgame_p_w|n4_cyclic_null_mean_w|n4_cyclic_ratio_w|n4_cyclic_p_w
E1_I0021_heterogeneity_diagnostic\response_variance_by_floor.csv,15,6,ppm_var_between|ppm_var_within|pts_var_between|pts_var_within
E1_I0021_heterogeneity_diagnostic\scale_test.csv,10,6,p_absolute|p_relative|null_p95
E1_I0021_heterogeneity_diagnostic\serial_structure_diagnostic.csv,10,48,acf1_x_within_player|acf1_y_within_player|shuffle_ratio|cyclic_ratio|gap_shuffle_minus_cyclic|shuffle_p|cyclic_p
E1_I0021_heterogeneity_diagnostic\structure_decisive.csv,9,8,null_mean|null_sd|null_p95_abs|p_two_sided
E1_I0022_optimal_simple_estimator\champion_vs_best.csv,11,44,champ_mae|champ_skill_vs_best_simple|champ_skill_vs_best_simple_adaptive|champ_skill_vs_d081_ref
E1_I0022_optimal_simple_estimator\cyclic_shift_control.csv,7,4,real_champ_skill|cyclic_mean|cyclic_sd|shuffle_mean|shuffle_sd|cyclic_perturbs
E1_I0022_optimal_simple_estimator\estimator_surface.csv,28,15048,champ_mae_wf_eval_2023_24|champ_skill_vs_est_wf_eval_2023_24|champ_mae_all_seasons|champ_skill_vs_est_all_seasons
E1_I0022_optimal_simple_estimator\eval_row_floor_robustness.csv,6,24,champ_mae|champ_skill_vs_best_simple
E1_I0022_optimal_simple_estimator\fallback_split.csv,8,20,champ_mae|champ_skill_vs_best_simple|p_two_sided_blockflip
E1_I0022_optimal_simple_estimator\hybrid_postocc.csv,9,4,champ_mae|champ_skill_vs_best_simple
E1_I0022_optimal_simple_estimator\paired_inference.csv,8,44,mean_abs_err_diff_champ_minus_est|champ_skill_vs_best_simple|p_two_sided_blockflip|null_sd
E1_I0022_optimal_simple_estimator\ros_vs_mor_by_floor.csv,5,4,gap_ros_minus_mor
E1_I0022_optimal_simple_estimator\selection_and_optimism.csv,10,4,optimism_gap_mae|optimism_gap_pct
E1_I0022_optimal_simple_estimator\where_the_advantage_lives.csv,9,76,champ_mae|champ_skill_vs_best_simple|champ_skill_vs_d081_ref
E1_I0023_usage_defence_interaction\arithmetic_ceiling.csv,21,64,ceiling_D084_form_var_share
E1_I0023_usage_defence_interaction\interaction_forecast.csv,25,120,p_cluster|p_row_NAIVE|n_clusters_present|null_sd_cluster|null_sd_row|null_width_inflation_cluster_over_row
E1_I0023_usage_defence_interaction\leadlag_profile.csv,4,3,corr_level_with_game_k
E1_I0023_usage_defence_interaction\leakage_probes.csv,7,24,p_cluster
E1_I0023_usage_defence_interaction\permutation_draws_s01.csv,5,16000,null
E1_I0023_usage_defence_interaction\permutation_draws_s02.csv,6,30000,null
E1_I0023_usage_defence_interaction\placebo_diagnostics.csv,16,16,p_cluster_signflip|dr2_P3_within_date_demeaned|p_P2_within_date_swap|n_swap_draws|P2_swap_null_mean|P2_swap_null_sd|P2_swap_null_p95
E1_I0023_usage_defence_interaction\reproduction_d093.csv,14,8,published_null_sd|reproduced_null_sd|abs_delta_null_sd
E1_I0023_usage_defence_interaction\stress_family_wise.csv,11,24,swap_null_mean|swap_null_sd|p_swap
E1_I0023_usage_defence_interaction\stress_scale_test.csv,9,7,p_swap|p_cluster
E1_I0023_usage_defence_interaction\usage_tier_gain.csv,16,12,p_cluster|p_row_NAIVE|n_clusters_present|null_sd_cluster|null_sd_row|null_width_inflation_cluster_over_row
E1_I0023_usage_defence_interaction\usage_tier_maineffect.csv,20,12,se_cluster_robust|t_cluster_robust|p_cluster|p_row_NAIVE|n_clusters_present|null_sd_cluster|null_sd_row|null_width_inflation_cluster_over_row
E1_I0025_threshold_vs_refit\axis_resolution.csv,27,18,jaccard_top_tercile|top_on|not_top_on
E1_I0025_threshold_vs_refit\concentration_increment_null.csv,9,2,null_mean|null_sd|null_p95|p_swap
E1_I0025_threshold_vs_refit\ladder_swap_null.csv,9,8,swap_null_mean|swap_null_sd|swap_null_p95|p_swap
E1_I0025_threshold_vs_refit\pooled_tier_dummy.csv,16,28,p_cluster_signflip|p_row_NAIVE|null_sd_cluster
E1_I0025_threshold_vs_refit\random_tier_null.csv,11,8,null_mean|null_sd|null_p95|null_max|p_onesided
E1_I0025_threshold_vs_refit\refit_decomposition.csv,20,12,G_step_L3|R_nodef_p_cluster
E1_I0026_detection_floor\mde_table.csv,13,180,null|n_clusters|mu_null_delta0|sd_null_delta0
E1_I0026_detection_floor\out\power_curves.csv,16,5616,null|n_clusters|null_mean|null_sd
E1_I0026_detection_floor\out\retrospective_power.csv,20,1975,n_clusters|null_arm|level|null_mean|null_sd|null_mean_source|reported_p_fw
E1_I0026_detection_floor\out\s01_family_sizes.csv,51,21,attrition.n_cells_p_correct_lt_0p05|attrition.n_cells_p_correct_ge_0p05|n_candidates_no_coarser_level|family_verdicts.E_opp_conceded.n_cells|statistics.n_candidates_with_no_coarser_constant_level|stage1_noise_floor.post_hoc_position_nulls.n_cells|STEP_2_POOLING.why_N1_and_N4_disagree.n_cells
E1_I0026_detection_floor\out\s03_null_meta.csv,16,24,null|level|null_mean|null_sd
E1_I0026_detection_floor\out\s04_mde_table.csv,17,216,null|n_clusters|null_mean|null_sd
E1_I0026_detection_floor\out\s04_power_curves_partial.csv,16,5616,null|n_clusters|null_mean|null_sd
E1_I0026_detection_floor\out\s05_mde_vs_n.csv,14,24,n_clusters|null|null_mean|null_sd
E1_I0026_detection_floor\out\s05_sigma_drift.csv,10,12,null|sigma_null_delta0|sigma_null_planted_median|sigma_null_planted_max
E1_I0026_detection_floor\out\s06_retrospective_by_screen.csv,12,10,null_arm
E1_I0026_detection_floor\out\s06_validation_analytic_vs_simulated.csv,21,192,null|n_clusters|null_mean|null_sd
E1_I0026_detection_floor\out\s07_mde_drift_corrected.csv,13,144,null|n_clusters|mu_null_delta0|sd_null_delta0
E1_I0026_detection_floor\out\s07_null_drift_probe.csv,12,64,null|mu_null|sd_null|mu_null_delta0|sd_null_delta0
E1_I0026_detection_floor\out\s08_cell_verdicts.csv,14,1349,reported_p_fw
E1_I0026_detection_floor\out\s08_uninformative_nulls_by_screen.csv,6,7,uninformative_nulls
E1_I0026_detection_floor\out\s08_uninformative_nulls_named.csv,15,628,reported_p_fw|was_reported_null_at_fw05
E1_I0026_detection_floor\out\s09_player_season_swap_mde.csv,12,36,null|n_clusters|mu_null_delta0|sd_null_delta0
E1_I0026_detection_floor\out\s09_player_season_swap_probe.csv,9,16,null|mu_null|sd_null|mu_null_delta0|sd_null_delta0
E1_I0026_detection_floor\power_curves.csv,16,5616,null|n_clusters|null_mean|null_sd
E1_I0026_detection_floor\retrospective_power.csv,20,1975,n_clusters|null_arm|level|null_mean|null_sd|null_mean_source|reported_p_fw
E1_I0027_reference_ladder\cyclic_null.csv,5,3,scheme|null_sd
E1_I0027_reference_ladder\ladder_pairwise.csv,7,23,p_row_level_NAIVE
E1_I0027_reference_ladder\ranking_change.csv,10,5,p_cluster_signflip_repriced|p_cyclic_repriced
E1_I0027_reference_ladder\reprice_by_rung.csv,12,12,p_cluster|p_row_NAIVE
E1_I0027_reference_ladder\reprice_table.csv,17,6,p_cluster_signflip|p_cyclic_within
E1_I0030_home_advantage_accounting\decomposition.csv,18,12,p_total|p_volume|p_rate
