dR2_M,dR2_OxM,stage
3.899368709159301e-05,4.14650206996825e-05,B_drop2021_analysis_stage
3.0186152209621397e-05,4.2030225293476775e-06,B_drop2021_analysis_stage
2.626668585636871e-06,1.8046554106643242e-06,B_drop2021_analysis_stage
2.3950683555318264e-06,0.00027532620432912935,B_drop2021_analysis_stage
0.000457047321746451,0.0006488804022848349,B_drop2021_analysis_stage
0.00022236119882501626,0.0007618902452244392,B_drop2021_analysis_stage
0.0003275288027279055,4.768660142762116e-06,B_drop2021_analysis_stage
2.1881851439142785e-05,3.8917500107760183e-05,B_drop2021_analysis_stage
1.991426126868312e-05,0.00030951835452242005,B_drop2021_analysis_stage
5.1069915287027534e-05,3.425320234917706e-05,B_drop2021_analysis_stage
3.429729114690083e-05,3.676301856392339e-05,B_drop2021_analysis_stage
2.3650203825109628e-05,1.552795044990063e-06,B_drop2021_analysis_stage
5.78995502673596e-05,4.4107683210059534e-05,B_drop2021_analysis_stage
1.8315531375989735e-05,4.90708148873642e-05,B_drop2021_analysis_stage
2.3403133564414702e-07,0.00011301854768475117,B_drop2021_analysis_stage
9.252889271449405e-07,8.491328163728884e-05,B_drop2021_analysis_stage
7.12108119138577e-08,7.94870768910938e-05,B_drop2021_analysis_stage
9.538894802929576e-07,0.00015668921894307353,B_drop2021_analysis_stage
8.039237464618765e-08,8.317842314842228e-05,B_drop2021_analysis_stage
2.8868917887003853e-05,3.297289892278954e-05,B_drop2021_analysis_stage
0.000233107806280497,8.395467052202399e-05,B_drop2021_analysis_stage
5.193981702955597e-06,9.748249163443745e-07,B_drop2021_analysis_stage
0.00028389533046235815,0.00014119916202670613,B_drop2021_analysis_stage
2.6739138482834157e-05,1.1220411502144145e-06,B_drop2021_analysis_stage
8.99017976219163e-06,8.92172626453247e-05,B_drop2021_analysis_stage
0.00012592334143013417,6.889929670761408e-05,B_drop2021_analysis_stage
1.402277348239167e-06,5.190846879199462e-05,B_drop2021_analysis_stage
5.3980773066064636e-05,4.335919925069209e-05,B_drop2021_analysis_stage
1.3302871035736352e-05,1.7767567580317944e-05,B_drop2021_analysis_stage
2.282039553513915e-05,0.00014097665316659125,B_drop2021_analysis_stage
2.8414421978428805e-05,7.610339908259434e-07,B_drop2021_analysis_stage
4.825231008087627e-07,3.337717025764242e-05,B_drop2021_analysis_stage
1.3302342949383927e-07,0.0002002788536757949,B_drop2021_analysis_stage
0.00018387121755902847,8.929807759905373e-08,B_drop2021_analysis_stage
0.00013724364438205683,7.296626497943492e-05,B_drop2021_analysis_stage
7.032460765787896e-05,0.00016025437877731363,B_drop2021_analysis_stage
5.323330528050896e-06,0.00027596214825265086,B_drop2021_analysis_stage
0.00011833782561698758,8.479775341396767e-05,B_drop2021_analysis_stage
0.00013798933038933203,1.9828253480236313e-06,B_drop2021_analysis_stage
3.175236040287022e-05,2.7730642746526257e-05,B_drop2021_analysis_stage
1.7209827237296693e-05,0.00016033135605220128,B_drop2021_analysis_stage
1.0718942993648284e-05,0.00022387663379319633,B_drop2021_analysis_stage
4.789440843921966e-09,0.00010040848984471662,B_drop2021_analysis_stage
8.691586787845651e-06,1.0304776839054064e-05,B_drop2021_analysis_stage
7.489083304523803e-05,5.160265015291543e-07,B_drop2021_analysis_stage
0.00023592689194429362,0.00012874425500986053,B_drop2021_analysis_stage
0.00027436702632621657,3.6270569483409787e-06,B_drop2021_analysis_stage
4.762692316084838e-06,0.0001387162247814544,B_drop2021_analysis_stage
5.6869968529937864e-06,1.3317284781821925e-05,B_drop2021_analysis_stage
1.547389266376431e-05,2.0334027439616875e-07,B_drop2021_analysis_stage
6.628032679900642e-05,1.1314101950432587e-05,B_drop2021_analysis_stage
0.0002818579538794719,8.054110656674496e-05,B_drop2021_analysis_stage
5.023015960947674e-06,6.798269712726679e-07,B_drop2021_analysis_stage
0.00053366378351416,8.95070084219185e-05,B_drop2021_analysis_stage
0.000500365909296252,0.00017937784443078364,B_drop2021_analysis_stage
9.582582731648692e-06,8.070844109986375e-05,B_drop2021_analysis_stage
1.1808915937550069e-05,1.628097113937077e-05,B_drop2021_analysis_stage
2.1250648252202353e-07,1.493024881504823e-08,B_drop2021_analysis_stage
6.998869723440215e-06,0.00021431843895924896,B_drop2021_analysis_stage
5.340273541998286e-05,0.00023458607736392967,B_drop2021_analysis_stage
0.00016135370805614446,0.00017629827474940907,B_drop2021_analysis_stage
1.878487669859652e-05,0.00024394916183378967,B_drop2021_analysis_stage
2.3641195376900015e-06,0.0008338895300612492,B_drop2021_analysis_stage
1.9639193524323417e-05,6.1393679029464465e-09,B_drop2021_analysis_stage
0.0001392045913003459,2.6501292616054606e-05,B_drop2021_analysis_stage
3.97630490944767e-05,9.616119712974047e-05,B_drop2021_analysis_stage
2.2787757132380904e-06,0.00016787037463361631,B_drop2021_analysis_stage
1.1181151459704886e-05,1.125422774750362e-06,B_drop2021_analysis_stage
1.8320984285224995e-08,1.9562282094209849e-07,B_drop2021_analysis_stage
1.0009909878316847e-05,4.9113977518944196e-05,B_drop2021_analysis_stage
4.3507556002353454e-08,1.620717486061629e-05,B_drop2021_analysis_stage
5.792495384981944e-05,1.2515479542618557e-05,B_drop2021_analysis_stage
8.188027830069444e-05,1.674749618796323e-05,B_drop2021_analysis_stage
5.238528612860893e-05,2.0462584943148343e-06,B_drop2021_analysis_stage
0.0003889193905982635,0.0003829010160235624,B_drop2021_analysis_stage
7.451703556538014e-06,0.0003044090177259928,B_drop2021_analysis_stage
4.5516809422441185e-05,0.0001669119736730229,B_drop2021_analysis_stage
0.00012721485208677663,1.780995793931872e-05,B_drop2021_analysis_stage
8.557728197011727e-05,6.470228956834134e-06,B_drop2021_analysis_stage
9.097629708465504e-06,5.8487576613530656e-05,B_drop2021_analysis_stage
3.818870971783461e-05,6.549878439621182e-08,B_drop2021_analysis_stage
5.542711293204938e-05,2.6136752670047336e-05,B_drop2021_analysis_stage
7.104558093595781e-05,3.1299030763154434e-05,B_drop2021_analysis_stage
9.510564449333181e-05,0.00027370713404906155,B_drop2021_analysis_stage
0.00020056229178677665,1.8925815490344888e-06,B_drop2021_analysis_stage
0.00025769240717732345,1.1111087914628115e-05,B_drop2021_analysis_stage
9.189830330524895e-05,6.134748727903983e-05,B_drop2021_analysis_stage
2.1487904167116767e-06,2.3241406921226115e-07,B_drop2021_analysis_stage
6.641094369697065e-05,0.000204816500179672,B_drop2021_analysis_stage
0.00025142062256899855,4.1509920979954096e-05,B_drop2021_analysis_stage
0.0001948661488000436,6.459096705269118e-07,B_drop2021_analysis_stage
0.0003393912487631434,3.570635991412274e-05,B_drop2021_analysis_stage
1.9076933444051036e-07,1.2087997640630732e-06,B_drop2021_analysis_stage
2.0101182519272065e-05,4.543399318968078e-05,B_drop2021_analysis_stage
0.00013028309595486398,1.5727482745697685e-05,B_drop2021_analysis_stage
1.8210144503427728e-10,3.9851648551136876e-06,B_drop2021_analysis_stage
2.1149864467551183e-06,0.00015002427434251953,B_drop2021_analysis_stage
8.556045377527965e-06,2.2594534533126875e-05,B_drop2021_analysis_stage
3.462819306443432e-05,2.3778592183720804e-05,B_drop2021_analysis_stage
5.9871775430320184e-05,1.8964086732409235e-05,B_drop2021_analysis_stage
6.075424734408585e-07,6.61597894000554e-05,B_drop2021_analysis_stage
2.7038027653025765e-05,0.00011225377151102833,B_drop2021_analysis_stage
4.42182500166588e-05,0.00019660171694357853,B_drop2021_analysis_stage
3.239574720148575e-05,4.01783283506818e-05,B_drop2021_analysis_stage
4.830088041130054e-05,3.6444049689166036e-07,B_drop2021_analysis_stage
2.4509304458741887e-05,2.0661675703692595e-08,B_drop2021_analysis_stage
5.097212726679068e-06,0.00010237450947725435,B_drop2021_analysis_stage
0.00023869884796490215,8.525945767789977e-05,B_drop2021_analysis_stage
7.2661497605430725e-06,5.0050979458760025e-06,B_drop2021_analysis_stage
1.2212006570644363e-05,0.0004175167936857349,B_drop2021_analysis_stage
2.967071998227766e-05,8.206583581327198e-05,B_drop2021_analysis_stage
4.476209465198444e-06,0.0001772948169352917,B_drop2021_analysis_stage
0.0003740466650973273,0.00042844425212107407,B_drop2021_analysis_stage
1.9773441955472926e-05,1.757841529004267e-07,B_drop2021_analysis_stage
1.0514493720137352e-09,0.00016881944389801617,B_drop2021_analysis_stage
0.00024249443108104174,3.837496011471764e-05,B_drop2021_analysis_stage
0.00015456171329852886,0.0002473750299283317,B_drop2021_analysis_stage
1.8074391873179607e-06,0.000331598566225888,B_drop2021_analysis_stage
0.00013316931588036596,4.347483618549752e-06,B_drop2021_analysis_stage
1.5717438472950818e-07,6.333840661021384e-05,B_drop2021_analysis_stage
2.466589967387023e-06,5.997520057365868e-06,B_drop2021_analysis_stage
3.97720900705556e-05,3.226304141257241e-05,B_drop2021_analysis_stage
2.37329672447828e-06,0.0001566621652178135,B_drop2021_analysis_stage
8.170287482345273e-06,2.2104369568065607e-07,B_drop2021_analysis_stage
7.56030032762478e-05,1.6856639906137616e-05,B_drop2021_analysis_stage
9.657512785476996e-05,0.00011906506646697235,B_drop2021_analysis_stage
9.228356742996269e-06,5.411309339364845e-05,B_drop2021_analysis_stage
9.830546624312042e-05,2.1670925354211334e-07,B_drop2021_analysis_stage
6.7142261402919345e-06,0.00012226683947924588,B_drop2021_analysis_stage
3.0051926076524182e-06,4.3975597680434575e-05,B_drop2021_analysis_stage
0.000436828704634018,6.090348295428871e-05,B_drop2021_analysis_stage
0.00017465161626706305,0.0003730602129425886,B_drop2021_analysis_stage
4.899133361135899e-05,8.090212286859799e-05,B_drop2021_analysis_stage
0.00012526659469080936,1.052889218589037e-06,B_drop2021_analysis_stage
0.00040099263630333226,8.70553821152864e-06,B_drop2021_analysis_stage
1.1044302002938267e-05,2.7529487534039276e-06,B_drop2021_analysis_stage
6.513676482411412e-06,0.0001255798728148072,B_drop2021_analysis_stage
4.644645765483624e-05,2.1559591983022486e-05,B_drop2021_analysis_stage
9.027733229960422e-05,0.00048099515655875,B_drop2021_analysis_stage
8.330860460292744e-05,4.083387539211003e-07,B_drop2021_analysis_stage
4.958034717794657e-05,4.877565853389498e-05,B_drop2021_analysis_stage
0.00044053708202929087,0.00020593487432341018,B_drop2021_analysis_stage
0.00010046580559675,4.292989610688025e-06,B_drop2021_analysis_stage
0.0001824112397680322,5.961127683695722e-07,B_drop2021_analysis_stage
3.687384896700063e-05,3.1607158122115564e-05,B_drop2021_analysis_stage
0.00016447550398601685,0.00034453172548976063,B_drop2021_analysis_stage
1.2602830752883598e-05,9.19775776119236e-05,B_drop2021_analysis_stage
1.6605779197820247e-05,7.188894843634941e-06,B_drop2021_analysis_stage
2.1767662561900103e-05,0.00018346365843269208,B_drop2021_analysis_stage
6.486826800378154e-06,0.00033660732724094533,B_drop2021_analysis_stage
0.00018219497750948666,9.21042712330733e-05,B_drop2021_analysis_stage
3.943921511595505e-08,2.462371707290245e-05,B_drop2021_analysis_stage
8.226879965045342e-07,8.094164449801156e-09,B_drop2021_analysis_stage
3.48913345770141e-05,7.387373309186707e-06,B_drop2021_analysis_stage
5.568798695843036e-06,2.6317927648511485e-05,B_drop2021_analysis_stage
0.00011982457242432076,2.0331674762674723e-05,B_drop2021_analysis_stage
1.1412484767214792e-06,8.28762618657608e-05,B_drop2021_analysis_stage
2.20731025726284e-05,1.4578908890783282e-05,B_drop2021_analysis_stage
3.4350555733198007e-10,5.721523057766742e-05,B_drop2021_analysis_stage
2.418896416378491e-05,0.0001333949714992233,B_drop2021_analysis_stage
5.6044051559567265e-06,0.0002491592314822766,B_drop2021_analysis_stage
3.0512522016801213e-06,9.269277565282508e-05,B_drop2021_analysis_stage
1.020326497525037e-05,0.00048516411605603604,B_drop2021_analysis_stage
9.966842246145191e-05,3.086753525105568e-05,B_drop2021_analysis_stage
5.3270504891345105e-05,9.371261278745546e-05,B_drop2021_analysis_stage
1.5574928383443876e-05,5.6772026608586934e-05,B_drop2021_analysis_stage
0.0002872397181937769,2.768202170522205e-05,B_drop2021_analysis_stage
1.0589134361249641e-05,0.0002809493858459966,B_drop2021_analysis_stage
0.00014400405159531449,5.264751954503488e-06,B_drop2021_analysis_stage
0.0003104791462130718,1.4265722825257399e-06,B_drop2021_analysis_stage
1.794590434256449e-06,6.983557650386274e-06,B_drop2021_analysis_stage
9.991147608301443e-05,1.1798778531524334e-05,B_drop2021_analysis_stage
5.924253678846192e-05,0.0001292250489072222,B_drop2021_analysis_stage
1.4928712663841992e-06,1.0282156562846367e-06,B_drop2021_analysis_stage
2.819896724415294e-05,7.458635918222711e-06,B_drop2021_analysis_stage
3.280329006638549e-05,1.5642777616342585e-05,B_drop2021_analysis_stage
0.00015650499610142532,5.599520614407716e-06,B_drop2021_analysis_stage
3.203344633972982e-05,0.00011922185835555599,B_drop2021_analysis_stage
1.1154098786381184e-05,1.6794962490518373e-05,B_drop2021_analysis_stage
0.0001355389199033663,0.00013567982475870544,B_drop2021_analysis_stage
0.0006260972372926776,2.417530673826107e-05,B_drop2021_analysis_stage
0.00015470908745873757,0.000527858562760608,B_drop2021_analysis_stage
0.00014662666300924165,2.629884507943103e-07,B_drop2021_analysis_stage
0.00014039082716166273,0.0002232173956449035,B_drop2021_analysis_stage
4.4767363195807874e-05,8.443454886231105e-05,B_drop2021_analysis_stage
3.926575952384326e-06,2.201974348858826e-05,B_drop2021_analysis_stage
5.1418648362444586e-06,0.00011811526928573457,B_drop2021_analysis_stage
1.3799536622061126e-05,3.843736295527922e-05,B_drop2021_analysis_stage
0.0003351791939615323,6.5124232625835e-05,B_drop2021_analysis_stage
1.8385330923242904e-06,3.710809388990377e-05,B_drop2021_analysis_stage
1.2087084870104903e-05,6.8822658498834954e-06,B_drop2021_analysis_stage
5.842619805074278e-06,5.811719655501868e-05,B_drop2021_analysis_stage
1.9484105504563587e-06,5.340123143016129e-05,B_drop2021_analysis_stage
5.866216183258999e-05,0.00040278634535884095,B_drop2021_analysis_stage
0.00015969774469482,0.0002204403640052588,B_drop2021_analysis_stage
1.5185682735729955e-06,7.283329991336629e-06,B_drop2021_analysis_stage
0.00011112986720629436,3.929455266082904e-05,B_drop2021_analysis_stage
0.00013123944671444843,3.1517278449633146e-05,B_drop2021_analysis_stage
1.0763675968528119e-05,6.244058792681528e-05,B_drop2021_analysis_stage
5.8150894340913695e-05,0.00017808708020350394,B_drop2021_analysis_stage
4.8702139686662704e-06,1.6184917510653207e-05,B_drop2021_analysis_stage
2.352131537430857e-05,2.472493434624301e-05,B_drop2021_analysis_stage
6.0024556858051525e-05,0.0004651702807467739,B_drop2021_analysis_stage
1.3340402794770334e-05,3.728430813332295e-05,B_drop2021_analysis_stage
0.00038581553159222626,0.00011063611371175952,B_drop2021_analysis_stage
4.8847317313915894e-05,2.0933083635710226e-05,B_drop2021_analysis_stage
1.5164435708259205e-06,1.8556490662624547e-05,B_drop2021_analysis_stage
0.00012129823846562804,2.9545369184535986e-07,B_drop2021_analysis_stage
6.891362732963646e-05,0.00016737723352655554,B_drop2021_analysis_stage
7.470429696954106e-06,0.0001791464790720232,B_drop2021_analysis_stage
7.317239329762693e-05,0.000189314104304672,B_drop2021_analysis_stage
4.675548179511324e-06,0.00019612458767781504,B_drop2021_analysis_stage
9.476966622712357e-05,5.13395771462033e-06,B_drop2021_analysis_stage
6.450762617404848e-07,1.6604163147970752e-05,B_drop2021_analysis_stage
4.150136340475008e-05,4.4856376263169295e-05,B_drop2021_analysis_stage
0.00014737231398376238,0.0001900484759417287,B_drop2021_analysis_stage
0.0003880481880992326,9.572009851410712e-12,B_drop2021_analysis_stage
3.144142400790528e-05,1.1217394021101335e-05,B_drop2021_analysis_stage
3.2789524659904146e-06,2.775452396086564e-05,B_drop2021_analysis_stage
9.6424263831274e-05,4.204287716191857e-06,B_drop2021_analysis_stage
8.869741946182508e-05,3.3194959858651174e-07,B_drop2021_analysis_stage
4.268928194051114e-06,0.00010839327021205936,B_drop2021_analysis_stage
0.00010136736523136403,9.447380756588686e-05,B_drop2021_analysis_stage
3.5848585250075615e-05,4.17924603359765e-05,B_drop2021_analysis_stage
0.00013064097603854297,0.0001808113413920287,B_drop2021_analysis_stage
0.0002996264717055608,0.00016029571392972564,B_drop2021_analysis_stage
3.846118455053116e-05,9.002791809487043e-06,B_drop2021_analysis_stage
2.289107421948877e-06,6.29435871132289e-05,B_drop2021_analysis_stage
2.2326436241115744e-05,0.00011741404678322631,B_drop2021_analysis_stage
3.0134360733180543e-05,0.00044344928385364746,B_drop2021_analysis_stage
1.5846036166111688e-05,6.691422547089321e-05,B_drop2021_analysis_stage
6.72270255684948e-05,0.0003171890326348903,B_drop2021_analysis_stage
2.582987625954214e-05,0.00014469925202831302,B_drop2021_analysis_stage
1.0252756532658225e-07,2.0233484782528066e-05,B_drop2021_analysis_stage
3.868001125839626e-06,0.0001303172035759248,B_drop2021_analysis_stage
4.245105954203687e-06,0.00015790191395326225,B_drop2021_analysis_stage
0.00021205704388971292,3.206235230490684e-05,B_drop2021_analysis_stage
0.0001818034696685622,4.561154221205399e-06,B_drop2021_analysis_stage
5.1642829399956014e-05,0.00010983518035501127,B_drop2021_analysis_stage
6.520770136397847e-05,2.2740832860135285e-06,B_drop2021_analysis_stage
3.3173797098662305e-05,1.5206632656417085e-06,B_drop2021_analysis_stage
7.552305535551973e-05,0.00010991601591892053,B_drop2021_analysis_stage
2.178906775984757e-05,1.1466490430489529e-06,B_drop2021_analysis_stage
1.7796818214010912e-05,0.00023835260091220611,B_drop2021_analysis_stage
4.810625113715883e-05,0.00017482564642090637,B_drop2021_analysis_stage
2.271838155043504e-06,0.00010331396932905523,B_drop2021_analysis_stage
7.568264024260252e-06,0.00010757435228503365,B_drop2021_analysis_stage
9.185721041360395e-06,2.7880317584161318e-05,B_drop2021_analysis_stage
4.877243029444145e-07,1.4556179289693105e-06,B_drop2021_analysis_stage
2.436311761222498e-07,2.5790302216055494e-07,B_drop2021_analysis_stage
0.00011770703264646354,9.720104054977696e-09,B_drop2021_analysis_stage
1.4477712724558778e-05,1.0003850804407577e-06,B_drop2021_analysis_stage
3.2922595050832726e-05,3.714933194132186e-05,B_drop2021_analysis_stage
0.00031862896105328,1.3458301082014401e-05,B_drop2021_analysis_stage
0.00027955602538898283,8.016836793522941e-06,B_drop2021_analysis_stage
9.826759327902224e-05,3.092273158744607e-05,B_drop2021_analysis_stage
0.00018704623592169511,4.483116988973634e-06,B_drop2021_analysis_stage
0.00013680261058757193,3.528155873555594e-05,B_drop2021_analysis_stage
3.2086599613956324e-06,6.564813749720955e-06,B_drop2021_analysis_stage
