rank,player_id,player_name,team_id,team_abbreviation,absent_game_opponent_abbreviation,absent_game_team_is_home,prior_game_id,prior_game_date,absent_game_id,absent_game_date,absent_season,absent_season_type,dnp_reason,minutes_ewma_at_prior_game,prior_game_minutes,prior_game_team_total_minutes,team_minutes_share_prior_game
17,203826,Alyssa Thomas,1611661317,PHX,TOR,False,1022600128,2026-06-24,1022600138,2026-06-27,2026,Regular Season,NWT - League Suspension,34.261,37.583,200.0,0.1879
18,204333,Natasha Cloud,1611661317,PHO,IND,False,1022400132,2024-07-10,1022400135,2024-07-12,2024,Regular Season,DNP - Coach's Decision,34.182,34.55,200.0,0.1727
19,1629483,Napheesa Collier,1611661324,MIN,WAS,True,1022400116,2024-07-04,1022400122,2024-07-06,2024,Regular Season,DND - Injury/Illness,34.11,24.567,200.017,0.1228
20,1628276,Kelsey Plum,1611661320,LAS,TOR,False,1022600122,2026-06-21,1022600132,2026-06-25,2026,Regular Season,NWT - Not With Team,34.088,35.883,200.0,0.1794
21,1642291,Angel Reese,1611661329,CHI,ATL,True,1022500137,2025-07-14,1022500141,2025-07-16,2025,Regular Season,DND - Injury/Illness,34.027,36.65,200.0,0.1832
22,204335,Betnijah Laney-Hamilton,1611661313,NYL,LAS,True,1022400083,2024-06-18,1022400088,2024-06-20,2024,Regular Season,DND - Injury/Illness,33.867,34.267,200.0,0.1713
23,1642291,Angel Reese,1611661329,CHI,DAL,True,1022400205,2024-09-06,1022400210,2024-09-08,2024,Regular Season,DND - Injury/Illness,33.851,31.967,200.0,0.1598
24,1629481,Arike Ogunbowale,1611661321,DAL,CHI,False,1022200176,2022-07-30,1022200185,2022-08-02,2022,Regular Season,DND - Injury/Illness,33.805,36.333,200.0,0.1817
25,1629483,Napheesa Collier,1611661324,MIN,PHX,False,1042500203,2025-09-26,1042500204,2025-09-28,2025,Playoffs,DND - Injury/Illness,33.659,36.933,200.0,0.1847
26,204335,Betnijah Laney-Hamilton,1611661313,NYL,CON,False,1022400121,2024-07-06,1022400128,2024-07-10,2024,Regular Season,DND - Injury/Illness,33.544,37.517,200.0,0.1876
27,1630149,Satou Sabally,1611661321,DAL,PHX,False,1022300196,2023-08-22,1022300207,2023-08-27,2023,Regular Season,DND - Injury/Illness,33.499,34.633,200.0,0.1732
28,1642286,Caitlin Clark,1611661325,IND,LAS,True,1022500093,2025-06-24,1022500096,2025-06-26,2025,Regular Season,DND - Injury/Illness,33.416,31.45,200.017,0.1572
29,1627668,Breanna Stewart,1611661313,NYL,SEA,False,1022600127,2026-06-23,1022600134,2026-06-25,2026,Regular Season,DND - Rest,33.38,35.7,200.0,0.1785
30,1627674,Kahleah Copper,1611661317,PHX,PDX,False,1022600071,2026-06-03,1022600076,2026-06-05,2026,Regular Season,DND - Injury/Illness,33.348,34.917,200.0,0.1746
31,1642291,Angel Reese,1611661329,CHI,SEA,True,1022500148,2025-07-22,1022500154,2025-07-24,2025,Regular Season,DND - Injury/Illness,33.334,30.217,200.0,0.1511
32,1629477,Sabrina Ionescu,1611661313,NYL,DAL,True,1022400156,2024-08-17,1022400163,2024-08-20,2024,Regular Season,DND - Injury/Illness,33.276,36.0,200.033,0.18
33,1631009,Rhyne Howard,1611661330,ATL,NYL,False,1022500129,2025-07-11,1022500134,2025-07-13,2025,Regular Season,DND - Injury/Illness,33.259,25.683,200.017,0.1284
34,203826,Alyssa Thomas,1611661317,PHX,PDX,False,1022600071,2026-06-03,1022600076,2026-06-05,2026,Regular Season,DND - Injury/Illness,33.185,34.05,200.0,0.1703
35,1628279,Brittney Sykes,1611661322,WAS,MIN,True,1022500086,2025-06-22,1022500090,2025-06-24,2025,Regular Season,DND - Injury/Illness,33.177,38.933,225.0,0.173
36,1629477,Sabrina Ionescu,1611661313,NYL,SEA,False,1022500078,2025-06-19,1022500088,2025-06-22,2025,Regular Season,DND - Injury/Illness,33.169,34.85,200.033,0.1742
37,1642291,Angel Reese,1611661329,CHI,GSV,True,1022500168,2025-07-29,1022500176,2025-08-01,2025,Regular Season,DND - Injury/Illness,33.125,32.183,199.983,0.1609
38,1642784,Paige Bueckers,1611661321,DAL,SEA,False,1022500034,2025-05-29,1022500047,2025-06-03,2025,Regular Season,NWT - Injury/Illness,32.91,36.05,200.0,0.1802
39,1629483,Napheesa Collier,1611661324,MIN,NYL,False,1022300140,2023-07-26,1022300038,2023-07-28,2023,Regular Season,DND - Injury/Illness,32.86,34.5,200.0,0.1725
40,1629481,Arike Ogunbowale,1611661321,DAL,IND,False,1022500200,2025-08-10,1022500205,2025-08-12,2025,Regular Season,DND - Injury/Illness,32.7,31.767,200.0,0.1588
41,203400,Skylar Diggins,1611661317,PHO,NYL,True,1022200189,2022-08-04,1022200194,2022-08-06,2022,Regular Season,NWT - Not With Team,32.697,29.267,200.0,0.1463
42,204335,Betnijah Laney-Hamilton,1611661313,NYL,MIN,False,1022200023,2022-05-17,1022200042,2022-05-24,2022,Regular Season,NWT - Injury/Illness,32.659,31.95,200.0,0.1598
43,1630149,Satou Sabally,1611661321,DAL,PHX,False,1042300203,2023-09-29,1022400029,2024-05-25,2024,Regular Season,NWT - Not With Team,32.626,26.667,200.017,0.1333
44,1629477,Sabrina Ionescu,1611661313,NYL,CON,True,1042500133,2025-09-19,1022600001,2026-05-08,2026,Regular Season,DND - Injury/Illness,32.508,37.467,200.0,0.1873
45,1631019,NaLyssa Smith,1611661325,IND,ATL,True,1022200022,2022-05-15,1022200024,2022-05-17,2022,Regular Season,DNP - Coach's Decision,32.496,31.8,200.0,0.159
46,1629483,Napheesa Collier,1611661324,MIN,LAS,True,1022500075,2025-06-17,1022500084,2025-06-21,2025,Regular Season,DND - Injury/Illness,32.486,18.983,200.0,0.0949
47,203827,Natasha Howard,1611661321,DAL,IND,False,1022300207,2023-08-27,1022300216,2023-09-01,2023,Regular Season,NWT - Health and Safety Protocols,32.403,37.3,200.0,0.1865
48,1629477,Sabrina Ionescu,1611661313,NYL,WAS,True,1022500241,2025-08-25,1022500247,2025-08-28,2025,Regular Season,DND - Injury/Illness,32.296,33.883,200.017,0.1694
49,1629481,Arike Ogunbowale,1611661321,DAL,PHX,False,1022200193,2022-08-06,1022200210,2022-08-12,2022,Regular Season,DNP - Injury/Illness,32.207,25.017,225.0,0.1112
50,1629477,Sabrina Ionescu,1611661313,NYL,CON,False,1022600045,2026-05-24,1022600083,2026-06-08,2026,Regular Season,NWT - Not With Team,32.182,30.717,200.033,0.1536
51,203400,Skylar Diggins,1611661328,SEA,DAL,True,1022500143,2025-07-16,1022500150,2025-07-22,2025,Regular Season,NWT - Personal,32.163,32.017,200.017,0.1601
52,1627674,Kahleah Copper,1611661329,CHI,IND,True,1022300047,2023-06-11,1022300057,2023-06-15,2023,Regular Season,NWT - Personal,32.1,31.533,200.017,0.1577
53,1642784,Paige Bueckers,1611661321,DAL,PDX,False,1022600093,2026-06-11,1022600099,2026-06-13,2026,Regular Season,DND - Injury/Illness,32.091,32.15,200.0,0.1608
54,1628932,A'ja Wilson,1611661319,LVA,MIN,False,1022500060,2025-06-11,1022500075,2025-06-17,2025,Regular Season,NWT_CONCUSSION_PROTOCOL,32.074,27.9,200.0,0.1395
55,1628886,Jordin Canada,1611661330,ATL,CON,False,1022400112,2024-07-02,1022400123,2024-07-07,2024,Regular Season,DND - Injury/Illness,32.069,40.0,200.0,0.2
56,203825,Kayla McBride,1611661324,MIN,LAS,True,1022400230,2024-09-17,1022400238,2024-09-19,2024,Regular Season,DND - Injury/Illness,32.034,37.567,200.0,0.1878
57,1642291,Angel Reese,1611661329,CHI,IND,False,1022500264,2025-09-03,1022500269,2025-09-05,2025,Regular Season,NWT - League Suspension,32.018,30.867,200.0,0.1543
58,204319,Jewell Loyd,1611661328,SEA,LAS,True,1022400221,2024-09-13,1022400229,2024-09-15,2024,Regular Season,DND - Injury/Illness,31.973,35.45,200.0,0.1773
59,1629497,Marina Mabrey,1611661323,CON,LVA,False,1022500081,2025-06-20,1022500095,2025-06-25,2025,Regular Season,DND - Injury/Illness,31.905,28.867,200.0,0.1443
60,1629477,Sabrina Ionescu,1611661313,NYL,CON,True,1022300209,2023-08-28,1022300217,2023-09-01,2023,Regular Season,DND - Injury/Illness,31.881,35.1,200.0,0.1755
61,1628280,Brionna Jones,1611661323,CON,MIN,False,1022300069,2023-06-20,1022300072,2023-06-22,2023,Regular Season,NWT - Injury/Illness,31.873,30.133,200.0,0.1507
62,203014,Nneka Ogwumike,1611661328,SEA,WAS,False,1022400009,2024-05-17,1022400014,2024-05-19,2024,Regular Season,DND - Injury/Illness,31.79,42.733,250.0,0.1709
63,202250,Tina Charles,1611661317,PHO,CON,True,1022200053,2022-05-31,1022200061,2022-06-03,2022,Regular Season,DNP - Coach's Decision,31.775,33.417,200.0,0.1671
64,1628886,Jordin Canada,1611661320,LAS,PHX,False,1022300240,2023-09-10,1022400013,2024-05-18,2024,Regular Season,NWT - Not With Team,31.77,23.65,200.0,0.1182
65,204333,Natasha Cloud,1611661322,WAS,CON,False,1022300096,2023-07-02,1022300108,2023-07-09,2023,Regular Season,DND - Injury/Illness,31.759,29.883,200.0,0.1494
66,1629477,Sabrina Ionescu,1611661313,NYL,ATL,True,1022300046,2023-06-11,1022300053,2023-06-13,2023,Regular Season,DND - Injury/Illness,31.732,30.55,200.017,0.1527
67,203825,Kayla McBride,1611661324,MIN,DAL,True,1022500252,2025-08-30,1022500259,2025-09-01,2025,Regular Season,DND - Rest,31.584,27.383,200.0,0.1369
68,1627674,Kahleah Copper,1611661317,PHO,CON,True,1022400206,2024-09-07,1022400223,2024-09-13,2024,Regular Season,DND - Injury/Illness,31.582,27.35,200.0,0.1368
69,1628277,Allisha Gray,1611661321,DAL,SEA,False,1022200130,2022-07-05,1022200137,2022-07-12,2022,Regular Season,NWT - Personal,31.581,35.467,200.0,0.1773
70,1629482,Sophie Cunningham,1611661317,PHO,LAS,False,1042200102,2022-08-20,1022300004,2023-05-19,2023,Regular Season,NWT - Not With Team,31.39,25.617,200.0,0.1281
71,1629483,Napheesa Collier,1611661324,MIN,SEA,False,1022500179,2025-08-02,1022500189,2025-08-05,2025,Regular Season,NWT - Injury/Illness,31.364,26.2,200.0,0.131
72,1628909,Kelsey Mitchell,1611661325,IND,LVA,True,1022200173,2022-07-29,1022200179,2022-07-31,2022,Regular Season,DND - Injury/Illness,31.336,24.95,200.0,0.1247
73,1642288,Rickea Jackson,1611661320,LAS,PHX,False,1022500008,2025-05-18,1022500014,2025-05-21,2025,Regular Season,NWT - Injury/Illness,31.179,23.033,200.0,0.1152
74,203014,Nneka Ogwumike,1611661328,SEA,PHX,True,1022400038,2024-05-30,1022400051,2024-06-04,2024,Regular Season,NWT - Injury/Illness,31.154,27.633,200.0,0.1382
75,201480,Sylvia Fowles,1611661324,MIN,WAS,True,1022200069,2022-06-07,1022200076,2022-06-10,2022,Regular Season,DND - Injury/Illness,31.121,23.967,200.0,0.1198
76,203399,Elena Delle Donne,1611661322,WAS,SEA,False,1022300045,2023-06-09,1022300050,2023-06-11,2023,Regular Season,DND - Injury/Illness,31.115,26.267,200.0,0.1313
77,1628882,Lexie Brown,1611661320,LAS,MIN,True,1022300055,2023-06-14,1022300068,2023-06-20,2023,Regular Season,DND - Injury/Illness,31.029,32.833,200.0,0.1642
78,1629497,Marina Mabrey,1611661329,CHI,PHX,False,1022300003,2023-05-19,1022300009,2023-05-21,2023,Regular Season,DNP - Coach's Decision,31.019,22.55,200.0,0.1128
79,1629482,Sophie Cunningham,1611661317,PHO,CON,False,1022300207,2023-08-27,1022300213,2023-08-31,2023,Regular Season,NWT - Injury/Illness,30.979,31.033,200.0,0.1552
80,1628922,Azura Stevens,1611661320,LAS,IND,False,1022300240,2023-09-10,1022400033,2024-05-28,2024,Regular Season,DNP - Coach's Decision,30.934,27.333,200.0,0.1367
81,1631009,Rhyne Howard,1611661330,ATL,CON,False,1022400085,2024-06-19,1022400102,2024-06-28,2024,Regular Season,DND - Injury/Illness,30.923,24.217,200.0,0.1211
82,203035,Shey Peddy,1611661317,PHO,LAS,False,1042200101,2022-08-17,1022300004,2023-05-19,2023,Regular Season,DND - Injury/Illness,30.899,25.7,200.0,0.1285
83,1629483,Napheesa Collier,1611661324,MIN,IND,False,1022500272,2025-09-06,1022500278,2025-09-09,2025,Regular Season,DND - Rest,30.895,36.183,200.0,0.1809
84,1630149,Satou Sabally,1611661317,PHX,LVA,True,1042500303,2025-10-08,1042500304,2025-10-10,2025,Playoffs,NWT - Injury/Illness,30.853,31.633,200.0,0.1582
85,1628886,Jordin Canada,1611661330,ATL,SEA,False,1022500202,2025-08-10,1022500210,2025-08-13,2025,Regular Season,DND - Injury/Illness,30.852,25.267,200.033,0.1263
86,1627673,Jonquel Jones,1611661313,NYL,GSV,True,1022500028,2025-05-27,1022500033,2025-05-29,2025,Regular Season,DND - Injury/Illness,30.751,25.217,200.0,0.1261
87,1643426,Olivia Miles,1611661324,MIN,CON,True,1022600148,2026-07-03,1022600155,2026-07-06,2026,Regular Season,DND - Injury/Illness,30.702,26.233,200.0,0.1312
88,1629491,Jessica Shepard,1611661324,MIN,LAS,False,1022300051,2023-06-11,1022300068,2023-06-20,2023,Regular Season,DND - Injury/Illness,30.647,23.933,200.0,0.1197
89,1629497,Marina Mabrey,1611661332,TOR,GSV,False,1022600210,2026-07-30,1022600221,2026-08-02,2026,Regular Season,DND - Injury/Illness,30.57,27.933,200.0,0.1397
90,1627673,Jonquel Jones,1611661313,NYL,WAS,True,1022500241,2025-08-25,1022500247,2025-08-28,2025,Regular Season,DND - Injury/Illness,30.558,33.45,200.017,0.1672
91,203825,Kayla McBride,1611661324,MIN,IND,True,1022200076,2022-06-10,1022200082,2022-06-12,2022,Regular Season,DND - Injury/Illness,30.457,21.15,200.017,0.1057
92,1628279,Brittney Sykes,1611661332,TOR,CON,False,1022600106,2026-06-16,1022600114,2026-06-19,2026,Regular Season,NWT - Injury/Illness,30.448,19.333,200.0,0.0967
93,1629497,Marina Mabrey,1611661332,TOR,PHX,True,1022600132,2026-06-25,1022600138,2026-06-27,2026,Regular Season,DNP - Coach's Decision,30.446,32.017,200.017,0.1601
94,1627674,Kahleah Copper,1611661329,CHI,CON,False,1022300232,2023-09-08,1022300236,2023-09-10,2023,Regular Season,DND - Injury/Illness,30.441,34.3,200.0,0.1715
95,1628886,Jordin Canada,1611661330,ATL,WAS,False,1042400102,2024-09-24,1022500001,2025-05-16,2025,Regular Season,DND - Injury/Illness,30.416,34.45,200.017,0.1722
96,203014,Nneka Ogwumike,1611661320,LAS,WAS,True,1022300215,2023-08-31,1022300223,2023-09-03,2023,Regular Season,DND - Injury/Illness,30.335,29.217,200.0,0.1461
97,1630142,Leonie Fiebich,1611661313,NYL,MIN,False,1022600148,2026-07-03,1022600168,2026-07-11,2026,Regular Season,NWT - Injury/Illness,30.293,36.467,200.0,0.1823
98,100940,Diana Taurasi,1611661317,PHO,DAL,True,1022400115,2024-07-03,1022400132,2024-07-10,2024,Regular Season,DND - Injury/Illness,30.282,30.5,200.0,0.1525
99,100940,Diana Taurasi,1611661317,PHO,CON,True,1022400108,2024-06-30,1022400109,2024-07-01,2024,Regular Season,DND - Injury/Illness,30.233,32.133,200.0,0.1607
100,1628277,Allisha Gray,1611661321,DAL,MIN,False,1022200102,2022-06-23,1022200115,2022-06-28,2022,Regular Season,NWT - Injury/Illness,30.211,18.467,200.0,0.0923
101,1627674,Kahleah Copper,1611661317,PHO,SEA,True,1042400112,2024-09-25,1022500006,2025-05-17,2025,Regular Season,DND - Injury/Illness,30.055,25.917,200.0,0.1296
102,203416,Emma Meesseman,1611661329,CHI,CON,False,1042200215,2022-09-08,1022500175,2025-08-01,2025,Regular Season,DNP - Coach's Decision,30.002,32.517,200.0,0.1626
103,1630112,Tyasha Harris,1611661323,CON,MIN,False,1022400109,2024-07-01,1022400116,2024-07-04,2024,Regular Season,NWT - Injury/Illness,29.98,22.85,200.0,0.1143
104,1642286,Caitlin Clark,1611661325,IND,PDX,True,1022600027,2026-05-17,1022600032,2026-05-20,2026,Regular Season,DND - Injury/Illness,29.899,23.7,200.0,0.1185
105,100940,Diana Taurasi,1611661317,PHO,NYL,False,1022300054,2023-06-13,1022300062,2023-06-18,2023,Regular Season,DND - Injury/Illness,29.861,22.65,200.0,0.1132
106,1627673,Jonquel Jones,1611661313,NYL,CON,False,1022600080,2026-06-06,1022600083,2026-06-08,2026,Regular Season,DND - Injury/Illness,29.817,27.95,200.0,0.1397
107,203824,Odyssey Sims,1611661320,LAS,MIN,False,1022500060,2025-06-11,1022500065,2025-06-14,2025,Regular Season,DND - Personal,29.775,22.25,200.0,0.1113
108,1630150,Chennedy Carter,1611661329,CHI,CON,False,1022400227,2024-09-15,1022400235,2024-09-19,2024,Regular Season,DND - Injury/Illness,29.767,34.0,200.0,0.17
109,1642286,Caitlin Clark,1611661325,IND,LAS,True,1022600128,2026-06-24,1022600139,2026-06-27,2026,Regular Season,DND - Injury/Illness,29.711,20.017,200.0,0.1001
110,203406,Layshia Clarendon,1611661320,LAS,SEA,True,1022300205,2023-08-27,1022300215,2023-08-31,2023,Regular Season,NWT - Health and Safety Protocols,29.67,31.8,200.0,0.159
111,1627700,Julie Allemand,1611661332,TOR,DAL,True,1022600138,2026-06-27,1022600152,2026-07-05,2026,Regular Season,DND - Injury/Illness,29.633,38.567,200.0,0.1928
112,1628317,Karlie Samuelson,1611661322,WAS,CON,True,1022400095,2024-06-23,1022400099,2024-06-27,2024,Regular Season,DND - Injury/Illness,29.603,29.133,200.0,0.1457
113,203399,Elena Delle Donne,1611661322,WAS,MIN,False,1022200001,2022-05-06,1022200009,2022-05-08,2022,Regular Season,NWT - Injury/Illness,29.6,29.6,200.0,0.148
114,1631009,Rhyne Howard,1611661330,ATL,PHX,False,1022200139,2022-07-12,1022200152,2022-07-17,2022,Regular Season,DND - Injury/Illness,29.527,29.883,200.0,0.1494
115,203866,Kayla Thornton,1611661331,GSV,CON,False,1022500143,2025-07-16,1022500161,2025-07-27,2025,Regular Season,NWT - Injury/Illness,29.503,24.8,200.0,0.124
116,1629524,Bridget Carleton,1611661324,MIN,DAL,True,1022400075,2024-06-14,1022400081,2024-06-17,2024,Regular Season,DND - Injury/Illness,29.433,36.767,200.0,0.1838
117,100940,Diana Taurasi,1611661317,PHO,CON,False,1022200182,2022-08-02,1022200189,2022-08-04,2022,Regular Season,DND - Injury/Illness,29.414,11.333,200.0,0.0567
118,1628317,Karlie Samuelson,1611661320,LAS,CON,False,1022300223,2023-09-03,1022300224,2023-09-05,2023,Regular Season,DND - Injury/Illness,29.402,35.417,200.0,0.1771
119,1642286,Caitlin Clark,1611661325,IND,NYL,False,1022500139,2025-07-15,1022500144,2025-07-16,2025,Regular Season,DND - Injury/Illness,29.382,28.0,200.0,0.14
120,203014,Nneka Ogwumike,1611661320,LAS,LVA,True,1022300004,2023-05-19,1022300012,2023-05-25,2023,Regular Season,NWT - Injury/Illness,29.214,27.017,200.017,0.1351
121,1628878,Ariel Atkins,1611661329,CHI,ATL,True,1022500137,2025-07-14,1022500141,2025-07-16,2025,Regular Season,DND - Injury/Illness,29.196,15.367,200.0,0.0768
122,204333,Natasha Cloud,1611661313,NYL,LVA,True,1022500117,2025-07-06,1022500122,2025-07-08,2025,Regular Season,DND - Injury/Illness,29.167,22.417,200.0,0.1121
123,203399,Elena Delle Donne,1611661322,WAS,CHI,False,1022200184,2022-08-02,1022200192,2022-08-05,2022,Regular Season,NWT - Rest,29.166,28.883,200.0,0.1444
124,203399,Elena Delle Donne,1611661322,WAS,CON,False,1022200040,2022-05-24,1022200048,2022-05-28,2022,Regular Season,NWT - Rest,29.147,25.467,200.0,0.1273
125,1628922,Azura Stevens,1611661329,CHI,CON,True,1022600199,2026-07-22,1022600211,2026-07-30,2026,Regular Season,NWT - Personal,29.065,30.4,200.0,0.152
126,1629482,Sophie Cunningham,1611661317,PHO,CHI,True,1042400112,2024-09-25,1022500004,2025-05-17,2025,Regular Season,DND - Injury/Illness,29.045,34.633,200.0,0.1732
127,1629478,Katie Lou Samuelson,1611661320,LAS,PHX,True,1022200216,2022-08-14,1022300004,2023-05-19,2023,Regular Season,DND - Personal,29.028,21.867,200.0,0.1093
128,1643447,Gabriela Jaquez,1611661329,CHI,TOR,True,1022600041,2026-05-23,1022600050,2026-05-27,2026,Regular Season,DND - Injury/Illness,29.025,23.233,200.0,0.1162
129,1628279,Brittney Sykes,1611661320,LAS,SEA,True,1022200113,2022-06-27,1022200136,2022-07-07,2022,Regular Season,NWT - Health and Safety Protocols,29.023,33.8,200.0,0.169
130,1641648,Aliyah Boston,1611661325,IND,SEA,True,1022600181,2026-07-15,1022600184,2026-07-17,2026,Regular Season,DND - Injury/Illness,29.017,25.283,200.017,0.1264
131,1628279,Brittney Sykes,1611661322,WAS,SEA,True,1022400008,2024-05-17,1022400014,2024-05-19,2024,Regular Season,DND - Injury/Illness,28.962,5.95,200.0,0.0298
132,1629524,Bridget Carleton,1611661327,PDX,ATL,True,1022600052,2026-05-27,1022600059,2026-05-29,2026,Regular Season,DND - Injury/Illness,28.937,28.833,200.0,0.1442
133,1627700,Julie Allemand,1611661332,TOR,PHX,False,1022600023,2026-05-15,1022600031,2026-05-19,2026,Regular Season,DND - Injury/Illness,28.798,21.033,200.0,0.1052
134,201496,Candace Parker,1611661329,CHI,NYL,True,1022200164,2022-07-23,1022200174,2022-07-29,2022,Regular Season,NWT - Injury/Illness,28.74,29.117,200.0,0.1456
135,1628882,Lexie Brown,1611661320,LAS,IND,False,1022300139,2023-07-25,1022300167,2023-08-08,2023,Regular Season,NWT - Injury/Illness,28.739,24.467,200.0,0.1223
136,1631022,Shakira Austin,1611661322,WAS,CON,False,1022600101,2026-06-14,1022600107,2026-06-17,2026,Regular Season,DND - Injury/Illness,28.732,30.0,200.0,0.15
137,1630150,Chennedy Carter,1611661329,CHI,PHX,True,1022400146,2024-07-16,1022400149,2024-08-15,2024,Regular Season,NWT - Injury/Illness,28.728,30.383,200.0,0.1519
138,203399,Elena Delle Donne,1611661322,WAS,CHI,False,1022200059,2022-06-03,1022200065,2022-06-05,2022,Regular Season,NWT - Rest,28.622,29.883,200.0,0.1494
139,203400,Skylar Diggins,1611661329,CHI,PHX,False,1022600149,2026-07-03,1022600158,2026-07-07,2026,Regular Season,DND - Injury/Illness,28.613,34.1,225.0,0.1516
140,203825,Kayla McBride,1611661324,MIN,PHX,False,1022300011,2023-05-23,1022300013,2023-05-25,2023,Regular Season,NWT - Not With Team,28.547,33.5,200.0,0.1675
141,1627668,Breanna Stewart,1611661313,NYL,MIN,False,1022500159,2025-07-26,1022500172,2025-07-30,2025,Regular Season,DND - Injury/Illness,28.497,3.45,200.017,0.0172
142,1628927,Victoria Vivians,1611661325,IND,SEA,False,1022200117,2022-06-29,1022200122,2022-07-01,2022,Regular Season,DND - Injury/Illness,28.456,32.233,200.017,0.1612
143,1628263,Lindsay Allen,1611661324,MIN,SEA,False,1022300171,2023-08-10,1022300187,2023-08-18,2023,Regular Season,DND - Injury/Illness,28.454,20.517,200.017,0.1026
144,203400,Skylar Diggins,1611661329,CHI,MIN,False,1022600024,2026-05-15,1022600025,2026-05-17,2026,Regular Season,DND - Injury/Illness,28.433,11.533,200.0,0.0577
145,1628279,Brittney Sykes,1611661322,WAS,MIN,True,1022500180,2025-08-03,1022500189,2025-08-05,2025,Regular Season,NWT - Not With Team,28.431,26.317,200.0,0.1316
146,1628931,Gabby Williams,1611661328,SEA,ATL,True,1022300166,2023-08-08,1022300173,2023-08-10,2023,Regular Season,DND - Injury/Illness,28.402,16.6,200.033,0.083
147,204333,Natasha Cloud,1611661313,NYL,CON,True,1022500235,2025-08-23,1022500241,2025-08-25,2025,Regular Season,DND - Injury/Illness,28.354,24.75,200.033,0.1237
148,1631019,NaLyssa Smith,1611661325,IND,NYL,True,1022300109,2023-07-09,1022300115,2023-07-12,2023,Regular Season,DND - Injury/Illness,28.3,25.183,200.0,0.1259
149,204296,Rebecca Allen,1611661323,CON,NYL,True,1042300212,2023-09-26,1042300213,2023-09-29,2023,Playoffs,DNP - Coach's Decision,28.271,19.75,200.0,0.0988
150,1627674,Kahleah Copper,1611661329,CHI,MIN,True,1022200105,2022-06-23,1022200111,2022-06-26,2022,Regular Season,DND - Injury/Illness,28.241,21.883,200.0,0.1094
151,201496,Candace Parker,1611661329,CHI,ATL,True,1022200079,2022-06-12,1022200091,2022-06-17,2022,Regular Season,DND - Injury/Illness,28.169,21.2,200.0,0.106
