response,window,base,arm,candidate,is_negative_control,n,n_folds,n_blocks,signed_dr2,beta,rmse_base,rmse_aug,sst,vs_floor_single,vs_floor_132,vs_largest_live
y_ppm,CLEAN_2023_24,B2_FAMILY,UNFROZEN,G01_noise,True,3167,2,24,0.00016873524060490082,-0.0030264901749130733,0.192932194696437,0.1929099814920757,160.86559838272288,0.16542670647539295,0.07180223004463865,0.08202977180597999
y_ppm,CLEAN_2023_24,B2_FAMILY,FROZEN,A10_opp_defrtg,False,3167,2,24,0.0027034564606610604,0.0011518390779436984,0.192932194696437,0.1925759889730833,160.86559838272288,2.65044751045202,1.1504070045366215,1.3142714927861257
y_ppm,CLEAN_2023_24,B2_FAMILY,FROZEN,G01_noise,True,3167,2,24,0.00020377206495858708,-0.0030178859231657276,0.192932194696437,0.19290536873749636,160.86559838272288,0.19977653427312458,0.08671151700365408,0.09906274426766509
y_ppm,CLEAN_2023_24,B2_FAMILY,INTERCEPT_ONLY,A10_opp_defrtg,False,3167,2,24,1.2394091319632795e-13,-2.6752770567415785e-13,0.192932194696437,0.19293219469642067,160.86559838272288,1.215106992120862e-10,5.2740814126097e-11,6.025323927872045e-11
y_ppm,DISCLOSED_2022,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.00684532444806086,0.00301608920329894,0.19447476623654353,0.19361786678086898,65.5850716039414,6.711102400059666,2.9129040204514296,3.3278193719304134
y_ppm,DISCLOSED_2022,B0_COMPLETE,UNFROZEN,G01_noise,True,1350,1,12,-0.000622975207458443,-0.00723217725348184,0.19447476623654353,0.19455256306280158,65.5850716039414,-0.610760007312199,-0.26509583296103956,-0.3028562019729913
y_ppm,DISCLOSED_2022,B0_COMPLETE,FROZEN,A10_opp_defrtg,False,1350,1,12,0.00644388865480055,0.0029964833074003056,0.19447476623654353,0.19366822326758396,65.5850716039414,6.317537896863284,2.742080278638532,3.132663419932207
y_ppm,DISCLOSED_2022,B0_COMPLETE,FROZEN,G01_noise,True,1350,1,12,-0.001142568250865458,-0.007201080078078279,0.19447476623654353,0.19461742579142485,65.5850716039414,-1.1201649518288803,-0.48619925568742894,-0.5554536951217589
y_ppm,DISCLOSED_2022,B0_COMPLETE,INTERCEPT_ONLY,A10_opp_defrtg,False,1350,1,12,-1.2242317828935044e-13,-1.4653003915960593e-13,0.19447476623654353,0.19447476623655882,65.5850716039414,-1.2002272381308865e-10,-5.2094969484829973e-11,-5.951540023789522e-11
y_ppm,DISCLOSED_2022,B1_HONEST,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.004449255574283825,0.0024551096320468316,0.193961314960573,0.19340330927354327,65.5850716039414,4.362015268905711,1.8933002443760958,2.1629827779697743
y_ppm,DISCLOSED_2022,B1_HONEST,UNFROZEN,G01_noise,True,1350,1,12,-0.000583641661259872,-0.007222040429603212,0.193961314960573,0.19403439362326785,65.5850716039414,-0.5721977071175216,-0.2483581537276051,-0.28373440022356444
y_ppm,DISCLOSED_2022,B1_HONEST,FROZEN,A10_opp_defrtg,False,1350,1,12,0.004023645699561088,0.0023427274748437196,0.193961314960573,0.19345675697369513,65.5850716039414,3.9447506858442036,1.712189659387697,1.9560747202533244
y_ppm,DISCLOSED_2022,B1_HONEST,FROZEN,G01_noise,True,1350,1,12,-0.0010889078725928242,-0.0071901322510340634,0.193961314960573,0.19409763655603235,65.5850716039414,-1.0675567378361022,-0.46336505216715923,-0.5293669774393895
y_ppm,DISCLOSED_2022,B1_HONEST,INTERCEPT_ONLY,A10_opp_defrtg,False,1350,1,12,-1.6402539108856332e-13,-2.0313201332457418e-13,0.193961314960573,0.19396131496059352,65.5850716039414,-1.6080920694957186e-10,-6.979803876109077e-11,-7.974010261962243e-11
y_ppm,DISCLOSED_2022,B2_FAMILY,UNFROZEN,A10_opp_defrtg,False,1350,1,12,0.0030333308462666044,0.002820191137762073,0.19402964248431856,0.19364952438715058,65.5850716039414,2.9738537708496118,1.290779083517704,1.4746382334791466
y_ppm,DISCLOSED_2022,B2_FAMILY,UNFROZEN,G01_noise,True,1350,1,12,-0.0006817295017383409,-0.00732187541542777,0.19402964248431856,0.19411497012831197,65.5850716039414,-0.6683622566062165,-0.2900976603141876,-0.3314193007964711
y_ppm,DISCLOSED_2022,B2_FAMILY,FROZEN,A10_opp_defrtg,False,1350,1,12,0.0013009297728737445,0.0006749000464408684,0.19402964248431856,0.19386670935960523,65.5850716039414,1.2754213459546515,0.5535871373930827,0.6324403368370174
y_ppm,DISCLOSED_2022,B2_FAMILY,FROZEN,G01_noise,True,1350,1,12,-0.0012463012193241745,-0.007287796992777225,0.19402964248431856,0.1941856055126208,65.5850716039414,-1.2218639405138965,-0.5303409443932657,-0.6058829457093703
y_ppm,DISCLOSED_2022,B2_FAMILY,INTERCEPT_ONLY,A10_opp_defrtg,False,1350,1,12,-4.1558877160880374e-13,-6.742760905560387e-13,0.19402964248431856,0.19402964248437057,65.5850716039414,-4.074399721654938e-10,-1.768462857909803e-10,-2.020363498341292e-10
y_pts,CLEAN_2023_24,B0_COMPLETE,UNFROZEN,A10_opp_defrtg,False,3167,2,24,0.005323438214633735,0.06336180528771296,6.4071390309807335,6.382200995030219,189743.2023997474,5.219057073170328,2.265292857290951,2.5879621850431382
