candidate,family,status,recommended,row_null_anticonservative,var_share_between_primary_block,scheme_primary,scheme_secondary,secondary_is_identity
tm_b2b,F_schedule,COARSER_LEVEL_FOUND,team_game,False,1.0000000000000133,teamgame_between,teamseason_between,True
tm_3in4,F_schedule,COARSER_LEVEL_FOUND,team_game,False,0.9999999999999991,teamgame_between,teamseason_between,True
tm_games_prior7d,F_schedule,COARSER_LEVEL_FOUND,team_game,False,1.0000000000000042,teamgame_between,teamseason_between,True
tm_is_home,F_schedule,COARSER_LEVEL_FOUND,team_game,False,1.000000000000014,teamgame_between,teamseason_between,True
tm_game_idx,G_season_phase_contention,COARSER_LEVEL_FOUND,team_game,False,0.9999999999999998,teamgame_between,teamseason_between,True
tm_season_progress,G_season_phase_contention,COARSER_LEVEL_FOUND,team_game,False,0.999999999999998,teamgame_between,teamseason_between,True
tm_win_pct_prior,G_season_phase_contention,COARSER_LEVEL_FOUND,team_game,False,0.9999999999999996,teamgame_between,teamseason_between,True
tm_win_pct_vs_league,G_season_phase_contention,COARSER_LEVEL_FOUND,team_game,False,1.0,teamgame_between,teamseason_between,True
tm_late_out_of_contention,G_season_phase_contention,COARSER_LEVEL_FOUND,team_game,False,1.000000000000003,teamgame_between,teamseason_between,True
mdl_is_fallback,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.03945681101019259,player_between,player_within,False
mdl_fallback_level,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.04362752911978475,player_between,player_within,False
mdl_is_cold_start,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.06920240970711794,player_between,player_within,False
mdl_n_prior_games,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.27227630773524564,player_between,player_within,False
mdl_pred_point,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.5449866120946343,player_between,player_within,False
mdl_pred_entropy,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.591613076487009,player_between,player_within,False
mdl_pred_dist_from_half,H_model_own_state,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.48608956461306585,player_between,player_within,False
neg_ctrl_row_noise,Z_negative_control,NO_COARSER_LEVEL_EXISTS__ROW_NULL_IS_ANTICONSERVATIVE,,True,0.026895846892519778,player_between,player_within,False
neg_ctrl_player_noise,Z_negative_control,COARSER_LEVEL_FOUND,player_season,False,1.0000000000000004,player_between,player_within,True
