candidate,family,dependent,beta,t,n,var_share_between,scheme_between,p_familywise,p_between,nullmean_between,nullsd_between,p_within,nullmean_within,nullsd_within,p_row,nullmean_row,nullsd_row,within_null_degenerate,inflation_between_over_row
pl_prior_season_games,A_depth_experience,skill_vs_R1,-2.1766453356784745e-05,-0.502029450035936,17809,0.9999999999999994,player_between,1.0,0.7952047952047953,-0.06350225147437254,2.034107275145973,,,,0.6453546453546454,-0.03786248290155557,0.9854423343320383,False,2.064156576472585
pl_prior_season_games,A_depth_experience,skill_vs_R2,0.0001847854648237,3.479005600289041,17809,0.9999999999999994,player_between,1.0,0.2097902097902098,-0.08188037385407464,2.7753121418791933,,,,0.001998001998001998,-0.009756749975626448,0.9919235875998136,False,2.797909210521646
pl_prior_season_games,A_depth_experience,skill_vs_R3,-8.043422895541787e-05,-2.778309165276227,17809,0.9999999999999994,player_between,1.0,0.056943056943056944,0.00714025340411116,1.4650339968518762,,,,0.006993006993006993,-0.013925638620259183,0.962009751468795,False,1.522888925621663
pl_prior_season_games,A_depth_experience,llskill_vs_R3,-0.0002850325164315,-3.4103513270771,17809,0.9999999999999994,player_between,1.0,0.03396603396603397,0.006868638784078857,1.6022135149494505,,,,0.000999000999000999,-0.014648757822547674,0.9994955062249434,False,1.6030222296856043
pl_is_rookie_window,A_depth_experience,signed_err,-0.0186916237368155,-3.276644679642868,17809,1.0000000000000029,player_between,1.0,0.01998001998001998,-0.026808390504750767,1.4033827930249794,,,,0.000999000999000999,0.02407934741968927,0.9991116681965813,False,1.4046305710332825
pl_is_rookie_window,A_depth_experience,brier,0.0522592592354176,13.89354656754359,17809,1.0000000000000029,player_between,0.0009990009990009,0.000999000999000999,0.011487501125771295,2.6061840434686627,,,,0.000999000999000999,-0.06724985569943541,1.020992441140077,False,2.5525987641578456
pl_is_rookie_window,A_depth_experience,skill_vs_R1,-0.0016333208284024,-0.496595692088046,17809,1.0000000000000029,player_between,1.0,0.7952047952047953,0.07502434007076834,2.025073284464888,,,,0.6203796203796204,0.01701598183024287,0.985209801684441,False,2.05547415484759
pl_is_rookie_window,A_depth_experience,skill_vs_R2,-0.033145170133531,-8.23903413976724,17809,1.0000000000000029,player_between,0.1118881118881118,0.004995004995004995,0.08782477449278904,2.904955172818741,,,,0.000999000999000999,0.04575820603145426,0.9659811333474473,False,3.0072587057183
pl_is_rookie_window,A_depth_experience,skill_vs_R3,0.0007498655550111,0.341366079830412,17809,1.0000000000000029,player_between,1.0,0.8361638361638362,0.028070345577336807,1.5347480303122758,,,,0.7502497502497503,-0.003256564824487029,1.0228910707740424,False,1.500402216973994
pl_is_rookie_window,A_depth_experience,llskill_vs_R3,0.0022564726004133,0.3557824444374948,17809,1.0000000000000029,player_between,1.0,0.8291708291708292,0.00028066487530125527,1.5808846379662906,,,,0.7252747252747253,0.00162180862102883,0.9944017639867322,False,1.5897846275214207
pl_minutes_prior,A_depth_experience,signed_err,-1.2395342173683157e-05,-1.760782741089483,17809,0.4559642369573253,player_between,1.0,0.5924075924075924,-2.0233180907446915,1.154691096028586,1.0,5.118783127701376,0.4868838539354223,0.08091908091908091,0.04519694946029774,1.007417685700343,True,1.146189026079943
