game_id,season,season_type,game_date,team_id,team_abbreviation,opp_team_id,opp_team_abbreviation,is_home,wl,minutes,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,reb,ast,stl,blk,tov,pf,pts,plus_minus,points_paint,points_fast_break,points_second_chance,points_off_turnovers,fouls_drawn,opp_fgm,opp_fga,opp_fg_pct,opp_fg3m,opp_fg3a,opp_fg3_pct,opp_ftm,opp_fta,opp_ft_pct,opp_oreb,opp_dreb,opp_reb,opp_ast,opp_stl,opp_blk,opp_tov,opp_pf,opp_pts,opp_plus_minus,opp_points_paint,opp_points_fast_break,opp_points_second_chance,opp_points_off_turnovers,opp_fouls_drawn,box_source,opp_box_source,in_misc,era,source,observed_time
1022100011,2021,Regular Season,2021-05-18,1611661319,LVA,1611661328,SEA,0,W,200.0,37,70,0.529,6,15,0.4,16,18,0.889,8,32,40,24,7,7,11,14,96,16,48,15,8,17,13,32,76,0.421,7,25,0.28,9,12,0.75,8,26,34,17,8,5,9,13,80,-16,32,10,8,16,14,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100011.parquet,2026-07-31T20:42:42+00:00
1022100011,2021,Regular Season,2021-05-18,1611661328,SEA,1611661319,LVA,1,L,200.0,32,76,0.421,7,25,0.28,9,12,0.75,8,26,34,17,8,5,9,13,80,-16,32,10,8,16,14,37,70,0.529,6,15,0.4,16,18,0.889,8,32,40,24,7,7,11,14,96,16,48,15,8,17,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100011.parquet,2026-07-31T20:42:42+00:00
1022100012,2021,Regular Season,2021-05-19,1611661329,CHI,1611661330,ATL,0,W,200.0,28,70,0.4,1,13,0.077,28,36,0.778,14,33,47,18,8,6,24,21,85,8,48,14,14,17,28,30,77,0.39,5,15,0.333,12,24,0.5,12,23,35,16,17,7,19,28,77,-8,40,10,16,25,21,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100012.parquet,2026-07-31T20:42:42+00:00
1022100012,2021,Regular Season,2021-05-19,1611661330,ATL,1611661329,CHI,1,L,200.0,30,77,0.39,5,15,0.333,12,24,0.5,12,23,35,16,17,7,19,28,77,-8,40,10,16,25,21,28,70,0.4,1,13,0.077,28,36,0.778,14,33,47,18,8,6,24,21,85,8,48,14,14,17,28,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100012.parquet,2026-07-31T20:42:42+00:00
1022100013,2021,Regular Season,2021-05-19,1611661323,CON,1611661325,IND,1,W,200.0,37,67,0.552,10,21,0.476,4,7,0.571,12,26,38,29,8,3,15,19,88,21,52,14,12,25,13,24,66,0.364,4,15,0.267,15,16,0.938,12,19,31,14,7,4,13,13,67,-21,30,11,11,19,19,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100013.parquet,2026-07-31T20:42:42+00:00
1022100013,2021,Regular Season,2021-05-19,1611661325,IND,1611661323,CON,0,L,200.0,24,66,0.364,4,15,0.267,15,16,0.938,12,19,31,14,7,4,13,13,67,-21,30,11,11,19,19,37,67,0.552,10,21,0.476,4,7,0.571,12,26,38,29,8,3,15,19,88,21,52,14,12,25,13,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100013.parquet,2026-07-31T20:42:42+00:00
1022100014,2021,Regular Season,2021-05-20,1611661324,MIN,1611661328,SEA,1,L,200.0,30,68,0.441,5,17,0.294,13,21,0.619,6,25,31,22,6,1,17,16,78,-12,40,6,7,19,17,31,63,0.492,12,25,0.48,16,20,0.8,5,30,35,23,12,6,17,17,90,12,26,21,5,26,16,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100014.parquet,2026-07-31T20:42:42+00:00
1022100014,2021,Regular Season,2021-05-20,1611661328,SEA,1611661324,MIN,0,W,200.0,31,63,0.492,12,25,0.48,16,20,0.8,5,30,35,23,12,6,17,17,90,12,26,21,5,26,16,30,68,0.441,5,17,0.294,13,21,0.619,6,25,31,22,6,1,17,16,78,-12,40,6,7,19,17,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100014.parquet,2026-07-31T20:42:42+00:00
1022100015,2021,Regular Season,2021-05-21,1611661325,IND,1611661330,ATL,1,L,200.0,31,67,0.463,6,18,0.333,11,13,0.846,6,28,34,20,0,4,17,16,79,-4,24,8,10,2,19,30,75,0.4,11,22,0.5,12,16,0.75,11,17,28,20,7,6,5,19,83,4,28,12,11,17,16,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100015.parquet,2026-07-31T20:42:42+00:00
1022100015,2021,Regular Season,2021-05-21,1611661330,ATL,1611661325,IND,0,W,200.0,30,75,0.4,11,22,0.5,12,16,0.75,11,17,28,20,7,6,5,19,83,4,28,12,11,17,16,31,67,0.463,6,18,0.333,11,13,0.846,6,28,34,20,0,4,17,16,79,-4,24,8,10,2,19,team_gamelog,team_gamelog,1,gamelog_new,gamelog_team_2021_regular_season.parquet+misc_1022100015.parquet,2026-07-31T20:42:42+00:00
