nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,16,64,gauss,0.7,1.0,FRESH,1.0,3.4429554068721937e-17,0.2991331300463535,0.2991331300463535,1.0,2.8933346144381944,1.923521900691645,0.8380468901409134,0.8380468901409134,9.645732223562035e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.6833189947986268e+16,True,0.0,0.0
4,16,64,gauss,0.7,1.0,FRESH,3.0,4.1230571752287604e-17,0.24944824779777783,0.24944824779777786,0.9999999999999999,1.7651656957384543,1.7321475041078833,0.6988504693065375,0.6988504693065375,1.1551095136263268e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4095894678825117.0,True,0.0,0.0
4,16,64,t3,0.0,1.0,FRESH,0.0,2.1784997928114194e-17,0.14166826835848528,0.14166826835848528,1.0,2.8017509251689545,1.9278224927770955,0.39689569560910704,0.39689569560910704,6.103252342043581e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.2730735181900484e+16,True,0.0,0.0
4,16,64,t3,0.0,1.0,FRESH,1.0,2.50230004416988e-17,0.1126059511305021,0.1126059511305021,1.0,2.6083429953254105,1.816170063283382,0.31547514359794776,0.31547514359794776,7.010406269245673e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4.849144924710449e+16,True,0.0,0.0
4,16,64,t3,0.0,1.0,FRESH,3.0,2.171873581831489e-17,0.11728928944152542,0.11728928944152542,1.0,1.7483941190880832,1.790276097603815,0.328595913960036,0.328595913960036,6.084688448755372e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.4261279864746442e+17,True,0.0,0.0
4,16,64,t3,0.3,1.0,FRESH,0.0,2.922417914229772e-17,0.3316270264158098,0.3316270264158098,1.0,1.93942556291748,1.6597477769211548,0.9290813028011367,0.9290813028011367,8.187402192237417e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.247541857980418e+16,True,0.0,0.0
4,16,64,t3,0.3,1.0,FRESH,1.0,3.2470488789402134e-17,0.1805085600779286,0.1805085600779286,1.0,1.937135671622695,1.5553868141893494,0.5057100742859236,0.5057100742859236,9.096883433505719e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.0903121873145348e+16,True,0.0,0.0
4,16,64,t3,0.3,1.0,FRESH,3.0,3.1445963344561065e-17,0.1312385301370653,0.13123853013706532,0.9999999999999998,2.0244128427339594,1.5346555324827804,0.3676758974540501,0.36767589745405016,8.809853921667212e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7468153991320986.0,True,0.0,0.0
4,16,64,t3,0.7,1.0,FRESH,0.0,3.683085817520019e-17,0.08343876549908265,0.08343876549908265,1.0,1.768327373993049,1.6966127823069592,0.23376079384074747,0.23376079384074747,1.0318477980076823e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6.524881521665857e+299,True,0.0,0.0
4,16,64,t3,0.7,1.0,FRESH,1.0,3.570153632433037e-17,0.5521697095082269,0.5521697095082269,1.0,1.9931421829067133,1.5025817655735656,1.546950375612606,1.546950375612606,1.000208886431991e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.3062103678777668e+16,True,0.0,0.0
4,16,64,t3,0.7,1.0,FRESH,3.0,3.520716805277202e-17,0.667626374935182,0.6676263749351818,1.0000000000000002,1.7295797690302,1.7183005659952615,1.870412037622782,1.8704120376227815,9.86358739091253e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.4326447472572602e+16,True,0.0,0.0
4,16,64,brier,0.0,1.0,FRESH,0.0,1.332191678179551e-17,0.08986558027137782,0.08986558027137782,1.0,1.9264956344529596,1.6701280023763971,0.25176606170458804,0.25176606170458804,3.732248222712658e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5.764607523034235e+17,True,0.0,0.0
4,16,64,brier,0.0,1.0,FRESH,1.0,1.2343957760369113e-17,0.12533138251449938,0.12533138251449935,1.0000000000000002,1.8620378869894254,1.7187147247227608,0.35112652128188376,0.3511265212818837,3.4582646902083706e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7.205759403792794e+16,True,0.0,0.0
4,16,64,brier,0.0,1.0,FRESH,3.0,1.2929169186263791e-17,0.10643894813910304,0.10643894813910307,0.9999999999999998,3.029314720974814,1.9166107438329527,0.298197760522289,0.2981977605222891,3.6222166454698846e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.8823037615171172e+16,True,0.0,0.0
4,16,64,brier,0.3,1.0,FRESH,0.0,2.690805771489116e-17,0.16594024535329266,0.16594024535329266,1.0,3.581972096944191,2.0180046324006082,0.46489570227810445,0.46489570227810445,7.538521087317335e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6.449063818716691e+16,True,0.0,0.0
4,16,64,brier,0.3,1.0,FRESH,1.0,2.74012316245677e-17,0.19217553833121953,0.19217553833121953,1.0,2.4899160791333,1.8520916533713578,0.5383961055556697,0.5383961055556697,7.676687950091451e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,9.08651467980937e+299,True,0.0,0.0
4,16,64,brier,0.3,1.0,FRESH,3.0,3.0730373663278255e-17,0.30666977550210683,0.3066697755021069,0.9999999999999998,1.8696096904471757,1.6463160774813448,0.85916144300007,0.8591614430000702,8.609375389943541e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6182204005743322.0,True,0.0,0.0
4,16,64,brier,0.7,1.0,FRESH,0.0,3.553301780931729e-17,0.3570639224564917,0.3570639224564917,1.0,1.8138863007907933,1.672660222883493,1.0003449291952704,1.0003449291952704,9.95487696993162e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.5306011049665674e+17,True,0.0,0.0
4,16,64,brier,0.7,1.0,FRESH,1.0,3.897929554563303e-17,0.18834189548455077,0.18834189548455077,1.0,2.1027046832466807,1.623346044489512,0.5276558292610852,0.5276558292610852,1.0920380971121232e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,8546074885331875.0,True,0.0,0.0
4,16,64,brier,0.7,1.0,FRESH,3.0,3.7780140161411197e-17,0.22155789960064443,0.22155789960064443,1.0,2.5445302773631773,1.8063287746853816,0.6207132881526715,0.6207132881526715,1.0584427397410719e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7172550028440850.0,True,0.0,0.0
4,64,256,gauss,0.0,1.0,FRESH,0.0,2.0084233658592964e-17,0.04293573649881228,0.04293573649881228,1.0,2.1694443468494535,1.7235698249653453,0.120288115339025,0.120288115339025,5.626768775440917e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.974924269900206e+17,True,0.0,0.0
4,64,256,gauss,0.0,1.0,FRESH,1.0,1.9889724449790554e-17,0.04464025758499483,0.04464025758499483,1.0,2.165852587325432,1.6681286695371678,0.12506347604625775,0.12506347604625775,5.572275367266648e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5.209120519550292e+16,True,0.0,0.0
4,64,256,gauss,0.0,1.0,FRESH,3.0,2.0667021886605797e-17,0.020899380145391565,0.02089938014539157,0.9999999999999999,3.863798009670401,1.9793771551437072,0.058551389924626836,0.05855138992462684,5.79004185121865e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.5652311420783822e+16,True,0.0,0.0
4,64,256,gauss,0.3,1.0,FRESH,0.0,3.3000334495370253e-17,0.18395743232162257,0.18395743232162257,1.0,2.248005859139669,1.7415943679133097,0.515372383030773,0.515372383030773,9.245324211721188e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.6423572528665832e+16,True,0.0,0.0
4,64,256,gauss,0.3,1.0,FRESH,1.0,3.4886619982645236e-17,0.09093745646904026,0.09093745646904026,1.0,2.5103072062207743,1.8090564203858006,0.2547690139818162,0.2547690139818162,9.773783124407916e-17,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,6.1851126178359416e+16,True,0.0,0.0
4,64,256,gauss,0.3,1.0,FRESH,3.0,3.7613066154013006e-17,0.21379654328119654,0.21379654328119657,0.9999999999999999,3.7230719551245985,1.9830414269849117,0.5989691887084511,0.5989691887084512,1.0537620194109054e-16,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,7975737005821975.0,True,0.0,0.0
