nb,m,n,dist,icc,sigma,arm,obs_effect_u,se_true,sd_obs,sd_centred,inflation_sd_obs_over_centred,neff_blocks,q975_over_sd,A_obs,A_ctr,A_oracle,E_inj,E_inj_gridpoint,u80,u80_status,ratio_E_over_A_obs,ratio_E_over_A_ctr,ratio_E_over_A_oracle,ratio_grid_over_interp,type_I,S1_pass,S2_pass,S3_ratio,S3_pass,power_min,power_max
4,4,16,brier,0.3,1.0,FRESH,0.0,0.32886911513219735,0.3034856384491535,0.30191668499365537,1.005196643754654,2.693836246353258,1.8191828293043009,0.8502408123945717,0.84584525592795,0.9213547799176371,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,5.467485967387484,True,0.0,0.0025
4,4,16,brier,0.3,1.0,FRESH,1.0,0.3334411192971045,0.34997439532826374,0.34965127521507083,1.0009241210774769,3.855194633641092,1.9935078915204332,0.9804830163357339,0.9795777678734143,0.9341636382059786,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,22.51439587173937,True,0.0,0.01
4,4,16,brier,0.3,1.0,FRESH,3.0,0.3550821896047625,0.7877348196377695,0.1325899750990809,5.941134079323241,3.6859695056160957,2.004322959954038,2.2069060546748807,0.3714620853879586,0.9947929361638587,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,0.5198651538314176,True,0.0,0.0075
4,4,16,brier,0.7,1.0,FRESH,0.0,0.4540987143057183,0.42391605538853105,0.393168332062187,1.0782049845293256,1.44818934101833,1.5345057932234891,1.1876368620356779,1.1014945015804423,1.272196146518186,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.0191241646627636,True,0.0,0.0075
4,4,16,brier,0.7,1.0,FRESH,1.0,0.4626828827117674,0.7291342877683155,0.49626172844091654,1.4692535127764221,2.395095457408742,1.7384211464976318,2.0427316835973963,1.3903194144741453,1.296245423962047,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.1110513998964127,True,0.0,0.0125
4,4,16,brier,0.7,1.0,FRESH,3.0,0.45195160043306487,0.4744450143391941,0.36734670370559497,1.2915455877329218,1.7685545506192442,1.489302110097887,1.3291980354974713,1.0291530149010393,1.266180824499268,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,1.2920925281995004,True,0.0,0.0075
4,16,64,gauss,0.0,1.0,FRESH,0.0,0.12348453918774273,0.1294960257428146,0.12933722377437212,1.0012278133379413,1.916270183724432,1.4919808764603377,0.3627941232806833,0.36234922606792436,0.34595243272029225,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,125.67181764591064,True,0.0,0.0025
4,16,64,gauss,0.0,1.0,FRESH,1.0,0.12331932318814377,0.17990023732897753,0.15072136147100496,1.1935948267265744,2.557272179374851,1.9213398009393863,0.5040058063973035,0.42225870547674543,0.3454895660540558,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,4.853788950103044,True,0.0,0.0075
4,16,64,gauss,0.0,1.0,FRESH,3.0,0.12847733020260838,0.22845763611123387,0.12116186742257645,1.8855572381898158,2.3892904982023957,1.6932735757469115,0.6400434864646912,0.33944527034307886,0.3599401611356746,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,2.6731831881599812,True,0.0,0.005
4,16,64,gauss,0.3,1.0,FRESH,0.0,0.2869597459199182,0.21225355689994718,0.16715323009241864,1.2698142703110953,2.53163428439133,1.8325888365949594,0.5946463812075385,0.46829398212846873,0.8039421197730541,inf,inf,inf,ABOVE_GRID,inf,inf,inf,,0.0,False,False,3.1625991172383023,True,0.0,0.005
