response,window,population,row_set,candidate,arm,projection,weighting,base,n,n_folds,sst,r2_base,r2_aug,dr2,beta,sign
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.2624951742160795,-0.0003009644777891581,0.026577682618202654,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2291152874609419,0.22871344546242367,-0.00040184199851824113,0.026579171957198153,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.2287314069808466,0.22841447983221663,-0.000316927148629934,0.026579171957198153,-
M_level_min,CLEAN_2023_24,DECISION,n_prior>=8 & prior5_minutes>=24,G01_noise,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",3167,2,132506.76970090868,0.26279613869386864,0.26251927986995327,-0.00027685882391539137,0.026579171957198153,-
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,FROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6446183569669743,0.0006594799775934215,4.10259659842753,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,FROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6640759855304821,0.00022476966510875287,4.10259659842753,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,FROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6682960669990607,7.28077439083571e-05,4.10259659842753,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,UNFROZEN,RAW,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6439588769893809,0.6465605637835978,0.0026016867942168986,13.963537888895843,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,UNFROZEN,PROJ_BUDGET,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6638512158653733,0.6664869816738861,0.002635765808512735,13.963537888895843,+
M_level_min,CLEAN_2023_24,ALL_APPEARED,all appeared,A1_pts_share_prior,UNFROZEN,PROJ_ORACLE,none,"B_TUNED (h,k) walk-forward",9056,2,1065787.3907900227,0.6682232592551522,0.6708771890574597,0.002653929802307401,13.963537888895843,+
