tg,season,freed,n_est,n_abs,n_rem,rem_base5_sum,realised_rem_min,realised_gain,bucket
1022300134|1611661317,2023,39.473333333333336,11,2,9,178.83333333333334,198.96666666666664,20.133333333333297,30-45
1022300135|1611661317,2023,39.473333333333336,12,2,10,188.58666666666667,199.99999999999997,11.413333333333298,30-45
1022300148|1611661317,2023,41.71333333333334,12,2,10,187.06666666666666,200.0,12.933333333333337,30-45
1022300152|1611661317,2023,28.830000000000002,11,1,10,190.80333333333334,200.0,9.196666666666658,15-30
1022300156|1611661317,2023,28.830000000000002,11,1,10,195.05666666666667,200.0,4.943333333333328,15-30
1022300161|1611661317,2023,1.9033333333333335,11,1,10,227.18333333333334,200.0,-27.183333333333337,0-15
1022300170|1611661317,2023,20.76666666666667,11,2,9,205.64333333333335,183.88333333333333,-21.76000000000002,15-30
1022300172|1611661317,2023,20.76666666666667,11,2,9,204.64666666666668,193.39999999999998,-11.246666666666698,15-30
1022300179|1611661317,2023,20.76666666666667,11,2,9,198.60333333333335,196.70000000000002,-1.903333333333336,15-30
1022300186|1611661317,2023,64.39333333333335,12,3,9,164.01333333333335,195.81666666666666,31.803333333333313,45+
1022300191|1611661317,2023,45.34,12,2,10,183.94,200.0,16.060000000000002,45+
1022300197|1611661317,2023,62.833333333333336,11,3,8,150.91666666666666,186.06666666666666,35.150000000000006,45+
1022300207|1611661317,2023,42.93666666666667,11,3,8,176.85,192.98333333333335,16.133333333333354,30-45
1022300210|1611661317,2023,47.78666666666666,11,3,8,179.29,179.4666666666667,0.17666666666670494,45+
1022300213|1611661317,2023,72.37666666666667,12,4,8,160.02666666666667,193.13333333333335,33.10666666666668,45+
1022300222|1611661317,2023,72.37666666666667,13,4,9,178.8,199.99999999999997,21.19999999999996,45+
1022300227|1611661317,2023,73.00666666666666,12,4,8,175.19333333333333,200.0,24.806666666666672,45+
1022300234|1611661317,2023,66.42666666666666,11,3,8,179.38,200.0,20.620000000000005,45+
1022300239|1611661317,2023,33.873333333333335,10,2,8,184.66333333333333,200.01666666666665,15.353333333333325,30-45
1022300005|1611661319,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300012|1611661319,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300017|1611661319,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300020|1611661319,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300027|1611661319,2023,0.0,7,0,7,183.10555555555555,200.0,16.894444444444446,none
1022300034|1611661319,2023,0.0,7,0,7,184.10416666666666,198.05,13.945833333333354,none
1022300035|1611661319,2023,0.0,8,0,8,196.67777777777778,200.01666666666665,3.3388888888888744,none
1022300040|1611661319,2023,0.0,8,0,8,197.16333333333333,188.0,-9.163333333333327,none
1022300047|1611661319,2023,0.0,10,0,10,207.46,200.0,-7.460000000000008,none
1022300058|1611661319,2023,0.0,10,0,10,211.46333333333334,200.0,-11.463333333333338,none
1022300066|1611661319,2023,0.0,10,0,10,208.71666666666667,200.03333333333333,-8.683333333333337,none
1022300070|1611661319,2023,0.0,10,0,10,205.39333333333335,199.99999999999997,-5.3933333333333735,none
1022300076|1611661319,2023,0.0,10,0,10,200.95666666666668,200.03333333333333,-0.9233333333333462,none
1022300081|1611661319,2023,13.263333333333332,10,2,8,186.74333333333334,200.0,13.25666666666666,0-15
1022300087|1611661319,2023,0.0,10,0,10,202.13333333333333,199.99999999999997,-2.133333333333354,none
1022300092|1611661319,2023,0.0,10,0,10,202.34333333333333,200.00000000000003,-2.3433333333333053,none
1022300100|1611661319,2023,40.723333333333336,10,3,7,161.99333333333334,200.0,38.00666666666666,30-45
1022300105|1611661319,2023,18.453333333333333,10,3,7,185.47,200.0,14.530000000000001,15-30
1022300111|1611661319,2023,25.3,10,1,9,187.38,200.0,12.620000000000005,15-30
1022300114|1611661319,2023,25.3,10,1,9,188.02666666666667,200.0,11.97333333333333,15-30
1022300119|1611661319,2023,25.3,10,1,9,190.20666666666668,200.0,9.793333333333322,15-30
1022300127|1611661319,2023,28.91,10,2,8,190.36,200.01666666666665,9.656666666666638,15-30
1022300132|1611661319,2023,25.3,10,1,9,200.12333333333333,197.25,-2.873333333333335,15-30
1022300137|1611661319,2023,13.02,9,2,7,187.42000000000002,199.99999999999997,12.579999999999956,0-15
1022300149|1611661319,2023,4.0633333333333335,9,1,8,195.71666666666667,200.01666666666668,4.300000000000011,0-15
1022300153|1611661319,2023,0.0,9,0,9,204.73333333333335,196.43333333333334,-8.300000000000011,none
1022300163|1611661319,2023,0.0,9,0,9,205.15333333333334,192.86666666666667,-12.286666666666662,none
1022300169|1611661319,2023,0.0,9,0,9,202.28333333333333,193.73333333333332,-8.550000000000011,none
1022300175|1611661319,2023,0.0,9,0,9,199.00333333333333,197.31666666666666,-1.6866666666666674,none
1022300181|1611661319,2023,22.493333333333332,10,1,9,181.94333333333333,199.99999999999997,18.056666666666644,15-30
1022300182|1611661319,2023,0.0,10,0,10,199.23000000000002,200.0,0.7699999999999818,none
1022300188|1611661319,2023,7.856666666666667,10,2,8,196.68333333333334,200.0,3.316666666666663,0-15
1022300193|1611661319,2023,0.0,10,0,10,206.03333333333333,200.0,-6.033333333333331,none
1022300200|1611661319,2023,6.970000000000001,10,2,8,200.17,200.0,-0.1699999999999875,0-15
1022300203|1611661319,2023,0.0,10,0,10,209.49,200.0,-9.490000000000009,none
1022300209|1611661319,2023,2.6566666666666667,10,1,9,205.13333333333333,200.0,-5.133333333333326,0-15
1022300214|1611661319,2023,16.263333333333332,10,2,8,185.95666666666668,200.0,14.043333333333322,15-30
1022300219|1611661319,2023,0.0,10,0,10,204.18666666666667,200.0,-4.186666666666667,none
1022300234|1611661319,2023,0.0,10,0,10,204.41,200.03333333333333,-4.376666666666665,none
1022300239|1611661319,2023,0.0,10,0,10,204.57333333333332,200.03333333333333,-4.539999999999992,none
1022300001|1611661323,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300007|1611661323,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300010|1611661323,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300016|1611661323,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300022|1611661323,2023,0.0,8,0,8,196.41666666666669,183.85000000000002,-12.566666666666663,none
1022300025|1611661323,2023,5.216666666666667,9,1,8,195.2875,188.31666666666666,-6.970833333333331,0-15
1022300032|1611661323,2023,5.216666666666667,10,1,9,198.3111111111111,199.99999999999997,1.6888888888888687,0-15
1022300035|1611661323,2023,0.0,10,0,10,203.72083333333333,200.00000000000003,-3.720833333333303,none
1022300040|1611661323,2023,0.0,10,0,10,201.86499999999998,199.99999999999997,-1.865000000000009,none
1022300048|1611661323,2023,0.0,10,0,10,201.73333333333335,200.0,-1.7333333333333485,none
1022300056|1611661323,2023,3.8033333333333332,10,1,9,198.78666666666666,225.0,26.21333333333334,0-15
1022300065|1611661323,2023,3.8033333333333332,10,1,9,199.29333333333332,200.0,0.7066666666666777,0-15
1022300069|1611661323,2023,3.8033333333333332,10,1,9,204.29333333333335,200.0,-4.293333333333351,0-15
1022300072|1611661323,2023,34.46333333333333,10,1,9,173.63333333333335,195.58333333333331,21.94999999999996,30-45
1022300078|1611661323,2023,34.46333333333333,10,1,9,174.03333333333333,197.81666666666666,23.78333333333333,30-45
1022300082|1611661323,2023,38.14333333333333,10,2,8,175.34,200.0,24.659999999999997,30-45
1022300092|1611661323,2023,34.46333333333333,10,1,9,183.66,194.21666666666664,10.556666666666644,30-45
1022300102|1611661323,2023,56.22,11,2,9,168.79666666666668,200.01666666666665,31.21999999999997,45+
1022300108|1611661323,2023,4.245833333333334,10,1,9,191.82999999999998,200.0,8.170000000000016,0-15
1022300116|1611661323,2023,4.245833333333334,10,1,9,198.37333333333333,200.0,1.6266666666666652,0-15
1022300121|1611661323,2023,11.8625,10,2,8,195.72,198.11666666666667,2.3966666666666754,0-15
1022300124|1611661323,2023,4.245833333333334,10,1,9,205.16333333333333,198.43333333333334,-6.72999999999999,0-15
1022300129|1611661323,2023,4.245833333333334,10,1,9,202.01333333333332,197.45000000000002,-4.563333333333304,0-15
1022300138|1611661323,2023,9.096666666666668,10,2,8,197.81333333333333,200.0,2.1866666666666674,0-15
1022300145|1611661323,2023,9.096666666666668,10,2,8,197.87333333333333,200.0,2.126666666666665,0-15
1022300151|1611661323,2023,9.096666666666668,10,2,8,197.98666666666665,200.0,2.0133333333333496,0-15
1022300157|1611661323,2023,3.5666666666666673,10,1,9,203.86333333333334,200.00000000000003,-3.8633333333333155,0-15
1022300166|1611661323,2023,3.5666666666666673,10,1,9,202.99666666666667,194.98333333333332,-8.01333333333335,0-15
1022300172|1611661323,2023,1.6300000000000001,9,1,8,198.63333333333333,184.53333333333336,-14.099999999999966,0-15
1022300177|1611661323,2023,1.6300000000000001,9,1,8,197.51333333333335,200.0,2.4866666666666504,0-15
1022300183|1611661323,2023,0.0,9,0,9,196.05,200.0,3.9499999999999886,none
1022300190|1611661323,2023,0.0,9,0,9,196.71666666666667,200.0,3.2833333333333314,none
1022300194|1611661323,2023,2.2366666666666664,9,1,8,194.13333333333335,200.0,5.866666666666646,0-15
1022300198|1611661323,2023,34.45,9,3,6,162.36666666666667,219.86666666666665,57.49999999999997,30-45
1022300205|1611661323,2023,18.563333333333333,9,1,8,183.29333333333332,197.88333333333333,14.590000000000003,15-30
1022300213|1611661323,2023,18.563333333333333,10,1,9,203.43444444444444,200.0,-3.4344444444444377,15-30
1022300217|1611661323,2023,18.563333333333333,10,1,9,203.90416666666667,200.0,-3.9041666666666686,15-30
1022300224|1611661323,2023,25.14666666666667,10,2,8,197.09666666666666,199.98333333333332,2.886666666666656,15-30
1022300230|1611661323,2023,6.583333333333334,9,1,8,196.99333333333334,183.71666666666664,-13.2766666666667,0-15
1022300236|1611661323,2023,6.583333333333334,10,1,9,218.60000000000002,225.00000000000003,6.400000000000006,0-15
1022300002|1611661322,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300007|1611661322,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300010|1611661322,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300014|1611661322,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300026|1611661322,2023,0.0,9,0,9,198.87222222222223,191.08333333333331,-7.78888888888892,none
1022300030|1611661322,2023,17.591666666666665,10,2,8,182.925,192.33333333333331,9.408333333333303,15-30
1022300045|1611661322,2023,6.262499999999999,10,1,9,194.96416666666667,189.29999999999998,-5.664166666666688,0-15
1022300050|1611661322,2023,44.586666666666666,10,2,8,158.17249999999999,189.16666666666666,30.994166666666672,30-45
1022300052|1611661322,2023,0.0,10,0,10,203.19,188.95,-14.240000000000009,none
1022300059|1611661322,2023,30.836666666666666,11,1,10,186.46444444444444,200.0,13.535555555555561,30-45
1022300063|1611661322,2023,15.759999999999998,11,2,9,200.10166666666666,200.01666666666668,-0.08499999999997954,15-30
1022300071|1611661322,2023,26.619999999999997,11,2,9,190.87,193.51666666666665,2.646666666666647,15-30
1022300079|1611661322,2023,33.38666666666667,11,3,8,185.15666666666667,219.26666666666665,34.109999999999985,30-45
1022300086|1611661322,2023,50.77333333333333,11,3,8,168.03666666666666,190.06666666666666,22.03,45+
1022300090|1611661322,2023,50.77333333333333,11,3,8,171.78666666666666,195.95000000000002,24.163333333333355,45+
1022300096|1611661322,2023,69.32333333333332,11,3,8,157.28777777777776,191.25,33.96222222222224,45+
1022300103|1611661322,2023,99.95583333333333,10,5,5,113.08000000000001,150.70000000000002,37.620000000000005,45+
1022300108|1611661322,2023,70.64916666666666,11,4,7,168.92,171.63333333333333,2.7133333333333383,45+
1022300113|1611661322,2023,43.60916666666667,11,3,8,190.57222222222222,175.7,-14.872222222222234,30-45
1022300122|1611661322,2023,74.0325,12,4,8,174.31916666666666,190.68333333333334,16.364166666666677,45+
1022300128|1611661322,2023,67.70333333333333,12,3,9,187.36916666666667,193.95,6.580833333333317,45+
1022300134|1611661322,2023,60.77333333333334,11,2,9,192.49666666666667,188.83333333333331,-3.6633333333333553,45+
1022300140|1611661322,2023,60.77333333333334,11,2,9,196.50666666666666,186.86666666666667,-9.639999999999986,45+
1022300144|1611661322,2023,30.423333333333336,11,1,10,201.8188888888889,200.0,-1.8188888888888926,30-45
1022300146|1611661322,2023,1.85,10,1,9,198.905,200.0,1.0949999999999989,0-15
1022300158|1611661322,2023,6.516666666666666,10,2,8,193.45666666666668,200.0,6.543333333333322,0-15
1022300164|1611661322,2023,1.85,10,1,9,199.50666666666666,200.0,0.4933333333333394,0-15
1022300170|1611661322,2023,1.85,10,1,9,199.12666666666667,200.0,0.8733333333333348,0-15
1022300175|1611661322,2023,1.85,10,1,9,198.79000000000002,200.0,1.2099999999999795,0-15
1022300178|1611661322,2023,16.586666666666666,9,2,7,182.86666666666667,186.50000000000003,3.633333333333354,15-30
1022300184|1611661322,2023,16.586666666666666,10,2,8,209.71333333333334,174.91666666666666,-34.79666666666668,15-30
1022300189|1611661322,2023,63.40333333333333,12,4,8,214.53,200.0,-14.530000000000001,45+
1022300194|1611661322,2023,44.13333333333333,12,3,9,224.14333333333335,200.01666666666668,-24.126666666666665,30-45
1022300203|1611661322,2023,32.81666666666667,12,3,9,231.94,200.0,-31.939999999999998,30-45
1022300211|1611661322,2023,16.23,10,1,9,219.75666666666666,196.41666666666666,-23.340000000000003,15-30
1022300214|1611661322,2023,16.23,11,1,10,218.25666666666666,199.98333333333335,-18.273333333333312,15-30
1022300223|1611661322,2023,36.5,11,2,9,189.96333333333334,200.00000000000003,10.03666666666669,30-45
1022300227|1611661322,2023,44.82333333333334,11,3,8,179.88,200.0,20.120000000000005,30-45
1022300231|1611661322,2023,26.103333333333335,11,2,9,199.30333333333334,199.98333333333332,0.6799999999999784,15-30
1022300238|1611661322,2023,26.103333333333335,11,2,9,205.74666666666664,200.01666666666665,-5.72999999999999,15-30
1022300002|1611661313,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300008|1611661313,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300016|1611661313,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300024|1611661313,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300028|1611661313,2023,0.0,7,0,7,174.73333333333332,172.39999999999998,-2.333333333333343,none
1022300033|1611661313,2023,0.0,7,0,7,179.2125,167.06666666666666,-12.145833333333343,none
1022300041|1611661313,2023,0.0,8,0,8,187.26666666666668,177.7,-9.566666666666691,none
1022300046|1611661313,2023,0.0,10,0,10,194.82166666666666,180.70000000000002,-14.121666666666641,none
1022300053|1611661313,2023,36.483333333333334,11,2,9,177.6522222222222,200.0,22.347777777777793,30-45
1022300062|1611661313,2023,36.483333333333334,11,2,9,173.43,189.31666666666666,15.886666666666656,30-45
1022300074|1611661313,2023,4.283333333333333,11,1,10,208.09666666666666,200.0,-8.096666666666664,0-15
1022300079|1611661313,2023,19.226666666666667,11,3,8,194.7,225.0,30.30000000000001,15-30
1022300082|1611661313,2023,19.226666666666667,11,3,8,192.9,200.0,7.099999999999994,15-30
1022300087|1611661313,2023,10.383333333333333,10,1,9,207.17,193.36666666666665,-13.803333333333342,0-15
1022300097|1611661313,2023,30.804444444444446,11,3,8,203.42333333333335,200.0,-3.423333333333346,30-45
1022300098|1611661313,2023,25.677777777777777,11,2,9,201.84,199.98333333333332,-1.8566666666666833,15-30
1022300107|1611661313,2023,21.81111111111111,10,2,8,198.4,200.0,1.5999999999999943,15-30
1022300115|1611661313,2023,15.294444444444446,10,1,9,207.39,225.0,17.610000000000014,15-30
1022300123|1611661313,2023,0.0,10,0,10,218.21777777777777,199.99999999999997,-18.217777777777798,none
1022300128|1611661313,2023,0.0,10,0,10,219.96583333333334,200.00000000000003,-19.965833333333308,none
1022300133|1611661313,2023,0.0,10,0,10,218.33333333333331,200.01666666666665,-18.316666666666663,none
1022300136|1611661313,2023,8.760000000000002,10,1,9,206.07,200.0,-6.069999999999993,0-15
1022300142|1611661313,2023,0.0,10,0,10,212.77666666666664,200.0,-12.776666666666642,none
1022300038|1611661313,2023,29.639999999999997,10,1,9,178.82666666666668,200.01666666666668,21.189999999999998,15-30
1022300150|1611661313,2023,3.7266666666666666,10,1,9,201.23333333333332,199.98333333333335,-1.2499999999999716,0-15
1022300154|1611661313,2023,3.7266666666666666,10,1,9,204.49333333333334,200.01666666666668,-4.4766666666666595,0-15
1022300160|1611661313,2023,3.7266666666666666,10,1,9,203.81333333333333,200.0,-3.8133333333333326,0-15
1022300163|1611661313,2023,0.0,10,0,10,207.6,200.0166666666667,-7.583333333333286,none
1022300174|1611661313,2023,2.9333333333333336,10,1,9,203.51333333333332,188.66666666666666,-14.846666666666664,0-15
1022300180|1611661313,2023,2.9333333333333336,11,1,10,213.00666666666666,200.0,-13.00666666666666,0-15
1022300182|1611661313,2023,2.9333333333333336,11,1,10,208.04,200.00000000000003,-8.039999999999964,0-15
1022300186|1611661313,2023,2.9333333333333336,11,1,10,207.41333333333333,200.0,-7.413333333333327,0-15
1022300198|1611661313,2023,8.103333333333333,11,3,8,199.78333333333333,225.0,25.21666666666667,0-15
1022300204|1611661313,2023,16.25,10,1,9,185.98666666666668,190.0,4.013333333333321,15-30
1022300209|1611661313,2023,8.25,11,3,8,199.47,200.0,0.5300000000000011,0-15
1022300217|1611661313,2023,30.406666666666666,11,1,10,176.94,200.0,23.060000000000002,30-45
1022300220|1611661313,2023,30.406666666666666,11,1,10,179.44333333333333,200.00000000000003,20.5566666666667,30-45
1022300226|1611661313,2023,8.3,11,2,9,206.92333333333335,200.00000000000003,-6.923333333333318,0-15
1022300229|1611661313,2023,19.0,11,3,8,206.29333333333332,200.03333333333333,-6.259999999999991,15-30
1022300238|1611661313,2023,19.0,11,3,8,200.57666666666665,200.01666666666665,-0.5600000000000023,15-30
1022300006|1611661330,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300011|1611661330,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300018|1611661330,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300021|1611661330,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300027|1611661330,2023,0.0,8,0,8,185.76111111111112,175.48333333333332,-10.2777777777778,none
1022300041|1611661330,2023,29.3875,9,1,8,169.35833333333335,184.16666666666669,14.808333333333337,15-30
1022300048|1611661330,2023,29.3875,9,1,8,168.3475,193.05,24.702500000000015,15-30
1022300053|1611661330,2023,29.3875,9,1,8,170.33333333333334,200.05,29.71666666666667,15-30
1022300056|1611661330,2023,29.3875,9,1,8,174.98333333333332,225.0,50.01666666666668,15-30
1022300064|1611661330,2023,35.15416666666667,10,2,8,180.93666666666667,185.33333333333331,4.396666666666647,30-45
1022300067|1611661330,2023,0.0,9,0,9,199.12,176.03333333333333,-23.086666666666673,none
1022300074|1611661330,2023,0.0,9,0,9,201.84916666666666,177.83333333333337,-24.01583333333329,none
1022300086|1611661330,2023,0.0,11,0,11,217.9622222222222,199.99999999999997,-17.962222222222238,none
1022300090|1611661330,2023,6.029166666666667,11,1,10,208.85333333333332,200.01666666666668,-8.836666666666645,0-15
1022300094|1611661330,2023,0.0,11,0,11,209.50583333333333,200.00000000000003,-9.5058333333333,none
1022300101|1611661330,2023,5.413333333333333,11,1,10,196.62,200.01666666666668,3.3966666666666754,0-15
1022300104|1611661330,2023,18.06,11,2,9,183.53666666666666,199.99999999999997,16.46333333333331,15-30
1022300112|1611661330,2023,18.06,11,2,9,186.00666666666666,200.0,13.99333333333334,15-30
1022300118|1611661330,2023,5.413333333333333,11,1,10,202.22333333333333,192.68333333333337,-9.539999999999964,0-15
1022300120|1611661330,2023,17.14666666666667,11,2,9,193.58666666666667,195.0,1.413333333333327,15-30
1022300124|1611661330,2023,11.733333333333334,10,1,9,193.36333333333334,176.11666666666667,-17.24666666666667,0-15
1022300129|1611661330,2023,11.733333333333334,11,1,10,223.92333333333335,184.61666666666667,-39.30666666666667,0-15
1022300135|1611661330,2023,0.0,12,0,12,235.65,200.0166666666667,-35.6333333333333,none
1022300142|1611661330,2023,0.0,12,0,12,227.8775,200.0,-27.877499999999998,none
1022300146|1611661330,2023,9.313333333333333,12,1,11,207.44666666666666,200.03333333333333,-7.413333333333327,0-15
1022300153|1611661330,2023,0.0,12,0,12,211.91333333333333,200.0,-11.913333333333327,none
1022300156|1611661330,2023,0.0,12,0,12,204.76,200.0,-4.759999999999991,none
1022300162|1611661330,2023,27.356666666666666,12,3,9,174.98,199.99999999999997,25.019999999999982,15-30
1022300173|1611661330,2023,5.8133333333333335,12,1,11,198.18333333333334,199.99999999999997,1.8166666666666345,0-15
1022300176|1611661330,2023,13.863333333333333,12,2,10,195.68,200.01666666666668,4.336666666666673,0-15
1022300181|1611661330,2023,5.8133333333333335,12,1,11,202.99333333333334,200.00000000000003,-2.993333333333311,0-15
1022300185|1611661330,2023,62.04666666666667,12,3,9,144.80333333333334,200.0,55.19666666666666,45+
1022300193|1611661330,2023,51.56333333333333,11,2,9,149.66,188.75,39.09,45+
1022300202|1611661330,2023,57.93666666666667,12,3,9,158.07000000000002,200.0,41.92999999999998,45+
1022300206|1611661330,2023,21.356666666666666,12,1,11,202.70000000000002,200.0,-2.700000000000017,15-30
1022300210|1611661330,2023,21.356666666666666,12,1,11,216.89999999999998,200.00000000000006,-16.89999999999992,15-30
1022300218|1611661330,2023,0.0,11,0,11,217.3,225.0,7.699999999999989,none
1022300228|1611661330,2023,6.083333333333333,11,1,10,215.08,199.99999999999997,-15.080000000000041,0-15
1022300231|1611661330,2023,37.04666666666667,11,3,8,183.81333333333333,200.0,16.186666666666667,30-45
1022300235|1611661330,2023,6.03,11,1,10,212.86333333333334,200.0,-12.863333333333344,0-15
1022300004|1611661320,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300012|1611661320,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300017|1611661320,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300029|1611661320,2023,0.0,0,0,0,0.0,0.0,0.0,none
1022300031|1611661320,2023,0.0,5,0,5,110.90555555555555,76.86666666666667,-34.03888888888888,none
1022300037|1611661320,2023,38.25694444444444,9,2,7,181.3,180.43333333333334,-0.8666666666666742,30-45
1022300044|1611661320,2023,53.65694444444444,10,3,7,178.12583333333333,174.81666666666666,-3.3091666666666697,45+
1022300051|1611661320,2023,83.63694444444444,10,4,6,150.41666666666669,177.53333333333333,27.116666666666646,45+
1022300055|1611661320,2023,68.23694444444445,10,3,7,168.62,168.68333333333334,0.06333333333333258,45+
1022300060|1611661320,2023,91.62416666666667,11,4,7,159.9911111111111,180.63333333333333,20.642222222222216,45+
1022300065|1611661320,2023,77.86166666666666,11,3,8,176.17944444444444,194.31666666666666,18.13722222222222,45+
1022300068|1611661320,2023,77.86166666666666,11,3,8,186.57833333333335,186.16666666666669,-0.41166666666666174,45+
1022300075|1611661320,2023,47.88166666666667,10,2,8,191.44666666666666,166.61666666666667,-24.829999999999984,45+
1022300080|1611661320,2023,59.48166666666667,10,3,7,180.42333333333335,176.4666666666667,-3.9566666666666492,45+
1022300085|1611661320,2023,0.0,10,0,10,212.32222222222222,200.01666666666665,-12.305555555555571,none
1022300091|1611661320,2023,17.3,10,1,9,190.91416666666666,199.99999999999997,9.085833333333312,15-30
1022300094|1611661320,2023,50.67333333333333,10,2,8,154.37666666666667,200.0,45.623333333333335,45+
1022300101|1611661320,2023,17.3,10,1,9,189.71,200.00000000000003,10.29000000000002,15-30
1022300110|1611661320,2023,44.980000000000004,10,2,8,169.44,200.0,30.560000000000002,30-45
1022300119|1611661320,2023,17.3,10,1,9,200.85,200.0,-0.8499999999999943,15-30
1022300125|1611661320,2023,19.95333333333333,9,1,8,189.91666666666666,157.33333333333331,-32.58333333333334,15-30
1022300131|1611661320,2023,45.73333333333332,11,2,9,228.19333333333336,199.99999999999997,-28.193333333333385,45+
1022300139|1611661320,2023,45.73333333333332,11,2,9,217.54666666666668,200.0,-17.54666666666668,45+
1022300141|1611661320,2023,50.97666666666666,11,2,9,206.0,200.0,-6.0,45+
1022300150|1611661320,2023,50.97666666666666,11,2,9,199.82666666666665,200.0,0.17333333333334622,45+
1022300154|1611661320,2023,44.39666666666667,10,2,8,177.40666666666667,200.0,22.593333333333334,30-45
1022300158|1611661320,2023,31.023333333333333,10,1,9,196.88333333333333,194.35000000000002,-2.533333333333303,30-45
1022300164|1611661320,2023,31.023333333333333,10,1,9,200.98666666666668,200.0,-0.9866666666666788,30-45
1022300167|1611661320,2023,0.0,9,0,9,200.89666666666668,190.11666666666665,-10.78000000000003,none
1022300176|1611661320,2023,0.0,9,0,9,202.06,199.98333333333335,-2.076666666666654,none
1022300188|1611661320,2023,12.540000000000001,9,1,8,187.67666666666668,198.56666666666666,10.889999999999986,0-15
1022300197|1611661320,2023,0.0,10,0,10,211.87,200.0,-11.870000000000005,none
1022300202|1611661320,2023,4.096666666666667,10,1,9,203.07333333333332,200.0,-3.0733333333333235,0-15
1022300205|1611661320,2023,0.0,10,0,10,204.52666666666667,200.0,-4.526666666666671,none
1022300212|1611661320,2023,37.403333333333336,10,2,8,165.75666666666666,200.0,34.24333333333334,30-45
1022300215|1611661320,2023,31.336666666666666,10,1,9,173.76666666666665,199.99999999999997,26.23333333333332,30-45
1022300223|1611661320,2023,35.56333333333333,10,2,8,174.61333333333332,200.0,25.386666666666684,30-45
1022300224|1611661320,2023,58.25,10,2,8,158.81666666666666,200.0,41.18333333333334,45+
1022300229|1611661320,2023,62.25333333333333,10,3,7,157.55666666666664,200.0,42.44333333333336,45+
1022300240|1611661320,2023,27.8,10,1,9,200.77333333333334,200.0,-0.7733333333333405,15-30
1022300005|1611661328,2023,0.0,0,0,0,0.0,0.0,0.0,none
