candidate,outcome,base,n,dR2,p_correct
A11_share_layup_action,ts,single_ref,5683,0.0016779795484704245,0.0033277870216306157
F02_lt5ft_x_opplt5ft,efg,full_ref,5683,0.0016567040667651702,0.008319467554076539
A11_share_layup_action,ts,full_ref,5683,0.001620605867037604,0.0033277870216306157
D01_xefg_zone,ts,single_ref,5683,0.0016124849089370807,0.004991680532445923
D02_xpps_zone,ts,single_ref,5683,0.0016124849089370807,0.0066555740432612314
D04_xefg_minus_own,efg,full_ref,5683,0.0015869043075350886,0.0066555740432612314
D02_xpps_zone,efg,full_ref,5683,0.0015869043075350882,0.0066555740432612314
D01_xefg_zone,efg,full_ref,5683,0.0015869043075350882,0.009983361064891847
D04_xefg_minus_own,ts,single_ref,5683,0.0015852587014306037,0.008319467554076539
B02_lt5ft_t5,efg,full_ref,5683,0.0015577721354949887,0.0033277870216306157
A03_share_restricted,efg,single_ref,5683,0.00154640380010284,0.008319467554076539
A02_share_lt5ft,efg,full_ref,5683,0.0015460039932104256,0.009983361064891847
A11_share_layup_action,efg,single_ref,5683,0.0015046337340583248,0.004991680532445923
B03_restricted_t5,efg,full_ref,5683,0.0014817450058451742,0.004991680532445923
B01_dist_t5,ts,single_ref,5683,0.0014042568349160393,0.008319467554076539
B01_dist_t5,ts,full_ref,5683,0.00139040036989509,0.009983361064891847
A03_share_restricted,efg,full_ref,5683,0.0013346831781206924,0.008319467554076539
A11_share_layup_action,efg,full_ref,5683,0.001323704955560022,0.0066555740432612314
A05_share_midrange,efg,single_ref,5683,0.0012519382940080824,0.018302828618968387
A01_dist_mean,ts,single_ref,5683,0.0011851679592259096,0.019966722129783693
A04_share_paint,ts,single_ref,5683,0.0011850891890596213,0.029950083194675542
A01_dist_mean,ts,full_ref,5683,0.001170195353691306,0.02329450915141431
B01_dist_t5,efg,single_ref,5683,0.001156667031846704,0.013311148086522463
A04_share_paint,ts,full_ref,5683,0.001147579439988833,0.03161397670549085
F01_dist_x_oppdist,ts,single_ref,5683,0.0011394837944390967,0.019966722129783693
B01_dist_t5,efg,full_ref,5683,0.001127694854857512,0.016638935108153077
F01_dist_x_oppdist,ts,full_ref,5683,0.0011227840758387113,0.019966722129783693
A05_share_midrange,ts,single_ref,5683,0.0010380739732386373,0.033277870216306155
A05_share_midrange,efg,full_ref,5683,0.0010015668892685633,0.029950083194675542
A05_share_midrange,ts,full_ref,5683,0.0009948565363213082,0.033277870216306155
A04_share_paint,efg,single_ref,5683,0.0009874036874301427,0.03161397670549085
A04_share_paint,efg,full_ref,5683,0.0009677430155078918,0.036605657237936774
A01_dist_mean,efg,full_ref,5683,0.0009614542142911873,0.03494176372712146
A01_dist_mean,efg,single_ref,5683,0.0009543844317949654,0.033277870216306155
F01_dist_x_oppdist,efg,full_ref,5683,0.0008679450921386359,0.04326123128119801
F01_dist_x_oppdist,efg,single_ref,5683,0.0008605179728743142,0.04326123128119801
A12_share_plain_jumpshot,ts,full_ref,5683,0.0006441770202884576,0.08485856905158069
A12_share_plain_jumpshot,ts,single_ref,5683,0.0005935946978754483,0.09317803660565724
A05_share_midrange,ppm,single_ref,5683,0.0004950263569660845,0.0632279534109817
A12_share_plain_jumpshot,efg,full_ref,5683,0.0004883020752099893,0.1314475873544093
A08_share_3pa,ts,full_ref,5683,0.0004125220645586481,0.13810316139767054
A08_share_3pa,ts,single_ref,5683,0.00039580049171185496,0.14309484193011648
D03_xefg_action,ppm,full_ref,5683,0.00036708109815663734,0.1497504159733777
A12_share_plain_jumpshot,efg,single_ref,5683,0.00033178116844360093,0.21963394342762063
B01_dist_t5,ppm,full_ref,5683,0.0003237235016582073,0.16971713810316139
A10_share_selfcreate_action,ppm,full_ref,5683,0.0003000731393611243,0.24459234608985025
A08_share_3pa,efg,full_ref,5683,0.000300014333469527,0.19966722129783693
A09_share_catch_action,ppm,full_ref,5683,0.00028367067527350847,0.2961730449251248
D02_xpps_zone,ppm,single_ref,5683,0.0002542447144384811,0.24625623960066556
D01_xefg_zone,ppm,single_ref,5683,0.0002542447144384811,0.19800332778702162
A08_share_3pa,efg,single_ref,5683,0.00023020006020379083,0.28452579034941766
F03_xefg_x_oppxefg,ppm,full_ref,5683,0.0001936018071694741,0.32945091514143093
B01_dist_t5,ppm,single_ref,5683,0.00015643449613563247,0.33277870216306155
A12_share_plain_jumpshot,ppm,single_ref,5683,0.00014486464709024407,0.40931780366056575
B03_restricted_t5,ppm,full_ref,5683,0.00014214267731425088,0.3910149750415973
F02_lt5ft_x_opplt5ft,ppm,full_ref,5683,0.0001241157685286085,0.3843594009983361
A08_share_3pa,ppm,single_ref,5683,0.0001223753325029868,0.3843594009983361
B02_lt5ft_t5,ppm,full_ref,5683,0.00011750982037220542,0.4059900166389351
F01_dist_x_oppdist,ppm,full_ref,5683,0.00010316931070562101,0.4525790349417637
A08_share_3pa,ppm,full_ref,5683,8.687006586231158e-05,0.46921797004991683
A01_dist_mean,ppm,full_ref,5683,8.298112032028894e-05,0.4858569051580699
A10_share_selfcreate_action,ppm,single_ref,5683,7.668391999447377e-05,0.5424292845257903
A09_share_catch_action,ppm,single_ref,5683,7.052545144040606e-05,0.5906821963394343
A12_share_plain_jumpshot,ppm,full_ref,5683,5.919911703254791e-05,0.6173044925124792
A05_share_midrange,ppm,full_ref,5683,5.583086742334377e-05,0.5856905158069884
A03_share_restricted,ppm,full_ref,5683,4.407918384249466e-05,0.6189683860232945
A02_share_lt5ft,ppm,full_ref,5683,3.13434640465759e-05,0.6672212978369384
A04_share_paint,ppm,full_ref,5683,2.798863186749942e-05,0.6638935108153078
F03_xefg_x_oppxefg,ppm,single_ref,5683,2.7712386409839054e-05,0.6871880199667221
A11_share_layup_action,ppm,single_ref,5683,2.7566456830493014e-05,0.7154742096505824
F01_dist_x_oppdist,ppm,single_ref,5683,2.200090241430477e-05,0.7321131447587355
A02_share_lt5ft,ppm,single_ref,5683,2.0719337818692185e-05,0.7221297836938436
A03_share_restricted,ppm,single_ref,5683,1.621317274019577e-05,0.7737104825291181
A01_dist_mean,ppm,single_ref,5683,1.2796035270259877e-05,0.800332778702163
D03_xefg_action,ppm,single_ref,5683,1.1597272332928358e-05,0.78369384359401
D04_xefg_minus_own,ppm,full_ref,5683,7.831011644065673e-06,0.8186356073211315
D02_xpps_zone,ppm,full_ref,5683,7.831011644065578e-06,0.8069883527454242
D01_xefg_zone,ppm,full_ref,5683,7.831011644065578e-06,0.800332778702163
A11_share_layup_action,ppm,full_ref,5683,7.182943691532804e-06,0.831946755407654
B03_restricted_t5,ppm,single_ref,5683,4.437008927633768e-06,0.8901830282861897
B02_lt5ft_t5,ppm,single_ref,5683,3.6858286236656685e-06,0.9051580698835274
A04_share_paint,ppm,single_ref,5683,8.6500811762285e-07,0.940099833610649
F02_lt5ft_x_opplt5ft,ppm,single_ref,5683,5.562176737730226e-07,0.9600665557404326
