candidate,outcome,season,n,dR2,beta_sign
A05_share_midrange,ppm,2023,3812,6.856888150707548e-05,1.0
A05_share_midrange,ppm,2024,3790,3.986772130065717e-05,1.0
A05_share_midrange,ts,2021,2960,0.0012547265450902176,-1.0
A05_share_midrange,ts,2022,3422,0.0013022518897577314,-1.0
A05_share_midrange,ts,2023,3812,0.0014284875784141616,-1.0
A05_share_midrange,ts,2024,3790,0.0014450043170753206,-1.0
A05_share_midrange,efg,2021,2960,0.0016427687132836745,-1.0
A05_share_midrange,efg,2022,3422,0.001162324778322131,-1.0
A05_share_midrange,efg,2023,3812,0.001256159900232935,-1.0
A05_share_midrange,efg,2024,3790,0.0013950281292610751,-1.0
A08_share_3pa,ppm,2021,2960,0.0001078553064051588,-1.0
A08_share_3pa,ppm,2022,3422,0.0017280112754389815,-1.0
A08_share_3pa,ppm,2023,3812,0.0003597626390828104,-1.0
A08_share_3pa,ppm,2024,3790,0.000658893001157971,-1.0
A08_share_3pa,ts,2021,2960,0.0006062699650757545,-1.0
A08_share_3pa,ts,2022,3422,0.0027601488682739853,-1.0
A08_share_3pa,ts,2023,3812,0.00020283336452784172,-1.0
A08_share_3pa,ts,2024,3790,0.0006962717536657396,-1.0
A08_share_3pa,efg,2021,2960,0.0002127189633216033,-1.0
A08_share_3pa,efg,2022,3422,0.001298622140673372,-1.0
A08_share_3pa,efg,2023,3812,0.0001300091577611533,-1.0
A08_share_3pa,efg,2024,3790,0.00051531956014617,-1.0
A09_share_catch_action,ppm,2021,2960,6.93834024642598e-05,1.0
A09_share_catch_action,ppm,2022,3422,0.0005965444735948297,1.0
A09_share_catch_action,ppm,2023,3812,3.780048266046432e-05,1.0
A09_share_catch_action,ppm,2024,3790,0.001069731280079856,1.0
A09_share_catch_action,ts,2021,2960,0.00022902083733977702,1.0
A09_share_catch_action,ts,2022,3422,0.0010707097659983583,1.0
A09_share_catch_action,ts,2023,3812,0.0005991694821828794,1.0
A09_share_catch_action,ts,2024,3790,0.004918477436743699,1.0
A09_share_catch_action,efg,2021,2960,0.000690630388845892,1.0
A09_share_catch_action,efg,2022,3422,0.0011829533244778275,1.0
A09_share_catch_action,efg,2023,3812,0.0010323453940618381,1.0
A09_share_catch_action,efg,2024,3790,0.006425189605754829,1.0
A10_share_selfcreate_action,ppm,2021,2960,0.0002139678481946512,-1.0
A10_share_selfcreate_action,ppm,2022,3422,0.0008609283299171769,-1.0
A10_share_selfcreate_action,ppm,2023,3812,1.887728152406566e-05,-1.0
A10_share_selfcreate_action,ppm,2024,3790,0.0010412669824683438,-1.0
A10_share_selfcreate_action,ts,2021,2960,0.0004217276722657268,-1.0
A10_share_selfcreate_action,ts,2022,3422,0.0013570632128071282,-1.0
A10_share_selfcreate_action,ts,2023,3812,0.0005657534382639304,-1.0
A10_share_selfcreate_action,ts,2024,3790,0.004793774338976166,-1.0
A10_share_selfcreate_action,efg,2021,2960,0.0010730248778876546,-1.0
A10_share_selfcreate_action,efg,2022,3422,0.0014402691380833858,-1.0
A10_share_selfcreate_action,efg,2023,3812,0.0010053400786291424,-1.0
A10_share_selfcreate_action,efg,2024,3790,0.006079741781306655,-1.0
A11_share_layup_action,ppm,2021,2960,4.335692675705053e-05,1.0
A11_share_layup_action,ppm,2022,3422,0.0012255183851237889,1.0
A11_share_layup_action,ppm,2023,3812,8.758881458327967e-05,1.0
A11_share_layup_action,ppm,2024,3790,0.0006178453681982317,1.0
A11_share_layup_action,ts,2021,2960,0.0017359460564737386,1.0
A11_share_layup_action,ts,2022,3422,0.004932377969468616,1.0
A11_share_layup_action,ts,2023,3812,0.0008497567486656946,1.0
A11_share_layup_action,ts,2024,3790,0.003869150079210049,1.0
A11_share_layup_action,efg,2021,2960,0.0014240570493175657,1.0
A11_share_layup_action,efg,2022,3422,0.0027725610877839825,1.0
A11_share_layup_action,efg,2023,3812,0.0007509471201127569,1.0
A11_share_layup_action,efg,2024,3790,0.0033673492528758344,1.0
A12_share_plain_jumpshot,ppm,2021,2960,0.00010005161336691971,-1.0
A12_share_plain_jumpshot,ppm,2022,3422,0.0013153552006405507,-1.0
A12_share_plain_jumpshot,ppm,2023,3812,0.00027915706166936334,-1.0
A12_share_plain_jumpshot,ppm,2024,3790,0.0003942670240827788,-1.0
A12_share_plain_jumpshot,ts,2021,2960,0.001690998158040933,-1.0
A12_share_plain_jumpshot,ts,2022,3422,0.0027636612163901056,-1.0
A12_share_plain_jumpshot,ts,2023,3812,0.0004336575406074657,-1.0
A12_share_plain_jumpshot,ts,2024,3790,0.00032474563325632713,-1.0
A12_share_plain_jumpshot,efg,2021,2960,0.0011676422814127009,-1.0
A12_share_plain_jumpshot,efg,2022,3422,0.001380696817245871,-1.0
A12_share_plain_jumpshot,efg,2023,3812,0.00034378494455612686,-1.0
A12_share_plain_jumpshot,efg,2024,3790,8.325828551391996e-05,-1.0
B01_dist_t5,ppm,2021,2959,0.0005739831844081718,-1.0
B01_dist_t5,ppm,2022,3422,0.0018932749309553082,-1.0
B01_dist_t5,ppm,2023,3810,0.0002122428068469895,-1.0
B01_dist_t5,ppm,2024,3788,0.0008815738803749034,-1.0
B01_dist_t5,ts,2021,2959,0.0016382044160268637,-1.0
B01_dist_t5,ts,2022,3422,0.004567583504342861,-1.0
B01_dist_t5,ts,2023,3810,0.0006926859075210261,-1.0
B01_dist_t5,ts,2024,3788,0.0023241703590372613,-1.0
B01_dist_t5,efg,2021,2959,0.0010259940338800094,-1.0
B01_dist_t5,efg,2022,3422,0.002643413869751219,-1.0
B01_dist_t5,efg,2023,3810,0.0007701239266044542,-1.0
B01_dist_t5,efg,2024,3788,0.0017327301026136752,-1.0
B02_lt5ft_t5,ppm,2021,2959,0.00012648521854636996,1.0
B02_lt5ft_t5,ppm,2022,3422,0.0008688682525067055,1.0
B02_lt5ft_t5,ppm,2023,3810,3.469829703308353e-05,1.0
B02_lt5ft_t5,ppm,2024,3788,0.00038540832568890874,1.0
B02_lt5ft_t5,ts,2021,2959,0.001546298199213797,1.0
B02_lt5ft_t5,ts,2022,3422,0.004795095955947899,1.0
B02_lt5ft_t5,ts,2023,3810,0.0010511256271060914,1.0
B02_lt5ft_t5,ts,2024,3788,0.003135450419719204,1.0
B02_lt5ft_t5,efg,2021,2959,0.0012011460315449563,1.0
B02_lt5ft_t5,efg,2022,3422,0.0026809641081097166,1.0
B02_lt5ft_t5,efg,2023,3810,0.0010728005794460806,1.0
B02_lt5ft_t5,efg,2024,3788,0.002615355436383888,1.0
B03_restricted_t5,ppm,2021,2959,4.972536876234073e-05,1.0
B03_restricted_t5,ppm,2022,3422,0.0007331728220105069,1.0
B03_restricted_t5,ppm,2023,3810,5.399138753496799e-05,1.0
B03_restricted_t5,ppm,2024,3788,0.0005107530269256031,1.0
B03_restricted_t5,ts,2021,2959,0.0014200850464129637,1.0
B03_restricted_t5,ts,2022,3422,0.004075309181169686,1.0
B03_restricted_t5,ts,2023,3810,0.0012998767989363712,1.0
B03_restricted_t5,ts,2024,3788,0.0027783032702730203,1.0
B03_restricted_t5,efg,2021,2959,0.0011996474445359426,1.0
B03_restricted_t5,efg,2022,3422,0.002057756911517026,1.0
B03_restricted_t5,efg,2023,3810,0.0012317210220624914,1.0
B03_restricted_t5,efg,2024,3788,0.0020618880008637414,1.0
D01_xefg_zone,ppm,2021,2960,0.00039132371748916634,1.0
D01_xefg_zone,ppm,2022,3422,0.0001906405228079126,1.0
D01_xefg_zone,ppm,2023,3812,2.822047926686333e-05,-1.0
D01_xefg_zone,ppm,2024,3790,8.932242424299105e-05,1.0
D01_xefg_zone,ts,2021,2960,0.0020237359050474316,1.0
D01_xefg_zone,ts,2022,3422,0.0022972653661950723,1.0
D01_xefg_zone,ts,2023,3812,0.0010739194768685542,1.0
D01_xefg_zone,ts,2024,3790,0.0034241869875462133,1.0
D01_xefg_zone,efg,2021,2960,0.0024553384632677562,1.0
D01_xefg_zone,efg,2022,3422,0.0014585915778040275,1.0
D01_xefg_zone,efg,2023,3812,0.0013451666338422908,1.0
D01_xefg_zone,efg,2024,3790,0.002942243821069688,1.0
D02_xpps_zone,ppm,2021,2960,0.00039132371748916634,1.0
D02_xpps_zone,ppm,2022,3422,0.0001906405228079126,1.0
D02_xpps_zone,ppm,2023,3812,2.822047926686333e-05,-1.0
D02_xpps_zone,ppm,2024,3790,8.932242424299105e-05,1.0
D02_xpps_zone,ts,2021,2960,0.0020237359050474316,1.0
D02_xpps_zone,ts,2022,3422,0.0022972653661950723,1.0
D02_xpps_zone,ts,2023,3812,0.0010739194768685542,1.0
D02_xpps_zone,ts,2024,3790,0.0034241869875462133,1.0
D02_xpps_zone,efg,2021,2960,0.0024553384632677562,1.0
D02_xpps_zone,efg,2022,3422,0.0014585915778040275,1.0
D02_xpps_zone,efg,2023,3812,0.0013451666338422908,1.0
D02_xpps_zone,efg,2024,3790,0.002942243821069688,1.0
D03_xefg_action,ppm,2021,2960,4.8819203803921955e-05,1.0
D03_xefg_action,ppm,2022,3422,0.00023182272979200855,1.0
D03_xefg_action,ppm,2023,3812,0.00031258608790015396,1.0
D03_xefg_action,ppm,2024,3790,0.0012961073038879705,1.0
D03_xefg_action,ts,2021,2960,0.0007703574869320451,1.0
D03_xefg_action,ts,2022,3422,0.003364287761835129,1.0
D03_xefg_action,ts,2023,3812,0.0007916961816629597,1.0
D03_xefg_action,ts,2024,3790,0.006660274077508322,1.0
D03_xefg_action,efg,2021,2960,0.000660240625900005,1.0
D03_xefg_action,efg,2022,3422,0.0020002949096189254,1.0
D03_xefg_action,efg,2023,3812,0.0009641659906291581,1.0
D03_xefg_action,efg,2024,3790,0.007400867560431008,1.0
D04_xefg_minus_own,ppm,2021,2960,0.0003913237174891675,1.0
D04_xefg_minus_own,ppm,2022,3422,0.00019064052280791228,1.0
D04_xefg_minus_own,ppm,2023,3812,2.8220479266862807e-05,-1.0
D04_xefg_minus_own,ppm,2024,3790,8.932242424299163e-05,1.0
D04_xefg_minus_own,ts,2021,2960,0.002023735905047436,1.0
D04_xefg_minus_own,ts,2022,3422,0.0022972653661950723,1.0
D04_xefg_minus_own,ts,2023,3812,0.0010739194768685557,1.0
D04_xefg_minus_own,ts,2024,3790,0.003424186987546216,1.0
D04_xefg_minus_own,efg,2021,2960,0.0024553384632677614,1.0
D04_xefg_minus_own,efg,2022,3422,0.0014585915778040275,1.0
D04_xefg_minus_own,efg,2023,3812,0.0013451666338422923,1.0
D04_xefg_minus_own,efg,2024,3790,0.0029422438210696933,1.0
F01_dist_x_oppdist,ppm,2021,2960,0.00036262779119091386,-1.0
F01_dist_x_oppdist,ppm,2022,3422,0.002025087210157154,-1.0
F01_dist_x_oppdist,ppm,2023,3812,0.00016776347443425493,-1.0
F01_dist_x_oppdist,ppm,2024,3790,0.00035716124026168906,-1.0
F01_dist_x_oppdist,ts,2021,2960,0.0017402176119085528,-1.0
F01_dist_x_oppdist,ts,2022,3422,0.003961333239543206,-1.0
F01_dist_x_oppdist,ts,2023,3812,0.0005994011417471973,-1.0
F01_dist_x_oppdist,ts,2024,3790,0.001578838826612682,-1.0
F01_dist_x_oppdist,efg,2021,2960,0.0011305956302837155,-1.0
F01_dist_x_oppdist,efg,2022,3422,0.002018309188228039,-1.0
F01_dist_x_oppdist,efg,2023,3812,0.0005538097457237308,-1.0
F01_dist_x_oppdist,efg,2024,3790,0.0012697651448953387,-1.0
F02_lt5ft_x_opplt5ft,ppm,2021,2960,0.00033968013918804187,1.0
F02_lt5ft_x_opplt5ft,ppm,2022,3422,0.0021426760382990233,1.0
F02_lt5ft_x_opplt5ft,ppm,2023,3812,0.00010646112696762815,1.0
F02_lt5ft_x_opplt5ft,ppm,2024,3790,0.00033159516255562083,1.0
F02_lt5ft_x_opplt5ft,ts,2021,2960,0.0021731295778238385,1.0
F02_lt5ft_x_opplt5ft,ts,2022,3422,0.005415171884930194,1.0
F02_lt5ft_x_opplt5ft,ts,2023,3812,0.0012926433435803048,1.0
F02_lt5ft_x_opplt5ft,ts,2024,3790,0.0029671529612206246,1.0
F02_lt5ft_x_opplt5ft,efg,2021,2960,0.0016224457271453224,1.0
F02_lt5ft_x_opplt5ft,efg,2022,3422,0.0029587378612963003,1.0
F02_lt5ft_x_opplt5ft,efg,2023,3812,0.0012989771820365538,1.0
F02_lt5ft_x_opplt5ft,efg,2024,3790,0.0026254243820210367,1.0
F03_xefg_x_oppxefg,ppm,2021,2960,0.0005377124043950792,1.0
F03_xefg_x_oppxefg,ppm,2022,3422,0.00061726481885208,1.0
F03_xefg_x_oppxefg,ppm,2023,3812,1.213247855555789e-05,-1.0
F03_xefg_x_oppxefg,ppm,2024,3790,3.170667397242295e-06,1.0
F03_xefg_x_oppxefg,ts,2021,2960,0.002446746168763877,1.0
F03_xefg_x_oppxefg,ts,2022,3422,0.002244174153039554,1.0
F03_xefg_x_oppxefg,ts,2023,3812,0.0011393621815446067,1.0
F03_xefg_x_oppxefg,ts,2024,3790,0.003011581149792566,1.0
F03_xefg_x_oppxefg,efg,2021,2960,0.002680280350859625,1.0
F03_xefg_x_oppxefg,efg,2022,3422,0.0011992284460176825,1.0
F03_xefg_x_oppxefg,efg,2023,3812,0.001413467060544392,1.0
F03_xefg_x_oppxefg,efg,2024,3790,0.0026141168246321617,1.0
