outcome,candidate,component,entity_level,n,scheme,n_groups,var_share_between,dr2,dr2_sign,null_mean,null_sd,p_correct_level,p_row_level_NAIVE,null_sd_row_NAIVE,inflation_correct_over_row,corr_with_ref_residual,corr_with_abs_resid,spread_y_top_minus_bottom_decile,spread_refresidual_top_minus_bottom_decile,mae_reference,mae_with_candidate,skill_vs_reference,paired_dr2_cand_minus_ref,paired_p_cluster,paired_p_row_NAIVE,dr2_over_refA,cell_key,t_correct_level,p_familywise_maxt
ts,A06_opp_fg3a_share_allowed,within,opp_team_season,14079,within,48,2.5188545493579584e-30,0.0004213547504751289,1.0,7.265821080993927e-05,0.000104535662073046,0.019966722129783693,0.009983361064891847,0.00010017604888371524,1.0435195162707147,0.01817672858084775,0.012460151898851175,0.010748532652645859,0.008867514393581567,0.20586982115596403,0.20165881891402807,0.020454684510294308,0.052449187333583294,0.0004997501249375312,0.0004997501249375312,0.00031936870856018757,ts|A06_opp_fg3a_share_allowed|within,3.335670648180639,0.9534109816971714
ts,A07_opp_ftrate_allowed,between,opp_team_season,14079,between,48,1.000000000000001,0.002005855379398254,1.0,0.00012528243438033836,0.00016470874561810153,0.0016638935108153079,0.0016638935108153079,0.00010029409819999193,1.6422576061221794,0.03288420100092062,0.015363273613356052,0.03031675935033601,0.03051406838794283,0.20586982115596403,0.2015203847477335,0.02112711996254879,0.053191255896319574,0.0004997501249375312,0.0004997501249375312,0.0010680563781609797,ts|A07_opp_ftrate_allowed|between,11.417565824818231,0.0033277870216306157
ts,A07_opp_ftrate_allowed,within,opp_team_season,14079,within,48,1.205263185837103e-30,0.0002693449737313762,-1.0,7.326594393949628e-05,0.0001007131821669141,0.05490848585690516,0.04991680532445923,9.551821827322705e-05,1.054387152394604,0.03288420100092062,0.015363273613356052,0.03031675935033601,0.03051406838794283,0.20586982115596403,0.2015203847477335,0.02112711996254879,0.053191255896319574,0.0004997501249375312,0.0004997501249375312,0.0010680563781609797,ts|A07_opp_ftrate_allowed|within,1.9469053163955636,1.0
ts,A08_opp_pf,between,opp_team_season,14079,between,48,1.0,0.0017866126336341303,1.0,0.00012917017386878792,0.0001701567941697293,0.0016638935108153079,0.0016638935108153079,0.0001106507201458955,1.5377829800418261,0.033271063230017765,0.00820493355469501,0.02012087962185033,0.0196169396214934,0.20586982115596403,0.20149355074338196,0.021257464489011557,0.05321654158622431,0.0004997501249375312,0.0004997501249375312,0.0010515709858538618,ts|A08_opp_pf|between,9.740677519535682,0.018302828618968387
ts,A08_opp_pf,within,opp_team_season,14079,within,48,3.3168411006163514e-30,0.00013301016681726812,-1.0,6.760419307857454e-05,8.937471099390775e-05,0.17304492512479203,0.15806988352745424,0.00010051486903007882,0.8891690538557295,0.033271063230017765,0.00820493355469501,0.02012087962185033,0.0196169396214934,0.20586982115596403,0.20149355074338196,0.021257464489011557,0.05321654158622431,0.0004997501249375312,0.0004997501249375312,0.0010515709858538618,ts|A08_opp_pf|within,0.731817457212835,1.0
ts,A09_opp_stl,between,opp_team_season,14079,between,48,0.9999999999999994,2.072769913268908e-06,1.0,0.00011367979186039582,0.00014157644951649437,0.9068219633943427,0.8818635607321131,8.990486105467718e-05,1.5747363140953214,-0.003062762892407862,0.01691832319164255,-0.011552673326286844,-0.010697745823065293,0.20586982115596403,0.20168000543658895,0.020351772279439295,0.05213194054974721,0.0004997501249375312,0.0004997501249375312,1.0231468722079913e-05,ts|A09_opp_stl|between,-0.7883162936228608,1.0
ts,A09_opp_stl,within,opp_team_season,14079,within,48,8.223502553460142e-31,8.423591318532805e-05,-1.0,7.189130770872472e-05,9.540420217496637e-05,0.2778702163061564,0.2628951747088186,9.747974980627876e-05,0.9787079097408732,-0.003062762892407862,0.01691832319164255,-0.011552673326286844,-0.010697745823065293,0.20586982115596403,0.20168000543658895,0.020351772279439295,0.05213194054974721,0.0004997501249375312,0.0004997501249375312,1.0231468722079913e-05,ts|A09_opp_stl|within,0.12939268077483596,1.0
ts,A10_opp_defrtg,between,opp_team_season,14079,between,48,1.0000000000000013,0.001820790760438647,1.0,0.00013229186389445265,0.00018672844750875614,0.0016638935108153079,0.0016638935108153079,8.391816758299345e-05,2.2251254154719873,0.0265011303126774,-0.0015847927892583093,0.029215482693233708,0.026538533362835782,0.20586982115596403,0.20159076955281813,0.020785230098898988,0.05281675346752905,0.0004997501249375312,0.0004997501249375312,0.0007014493977903677,ts|A10_opp_defrtg|between,9.04253700532168,0.026622296173044926
ts,A10_opp_defrtg,within,opp_team_season,14079,within,48,4.800637368061512e-30,0.000545411714581942,-1.0,6.712885263886939e-05,9.883134650426567e-05,0.0066555740432612314,0.004991680532445923,9.904426732196259e-05,0.9978502459207984,0.0265011303126774,-0.0015847927892583093,0.029215482693233708,0.026538533362835782,0.20586982115596403,0.20159076955281813,0.020785230098898988,0.05281675346752905,0.0004997501249375312,0.0004997501249375312,0.0007014493977903677,ts|A10_opp_defrtg|within,4.839384252671589,0.6222961730449251
ts,A11_opp_fastbreak_allowed,between,opp_team_season,14079,between,48,1.0000000000000002,0.0004634024662687723,1.0,9.455199676204157e-05,0.00012462290692959914,0.018302828618968387,0.004991680532445923,7.563484118905505e-05,1.647691790851979,0.011278298140205449,0.010207581910994993,0.01911951666115974,0.018886036015010238,0.20586982115596403,0.20167216793502596,0.020389842461455254,0.0522483664369225,0.0004997501249375312,0.0004997501249375312,0.00013884439071067017,ts|A11_opp_fastbreak_allowed|between,2.9597325130210486,0.9833610648918469
