game_id,team_id,season,def_poss,def_tov,def_pts_allowed,game_date,def_is_home,def_tov_rate,def_pts_rate,s_poss,s_tov,s_pts,pressure_loo,defrtg_loo,pressure_pregame,pregame_games,pressure_pregame_venue,pregame_venue_games,defrtg_pregame
1022100008,1611661317,2021,77,13,86,2021-05-16,0,16.883116883116884,111.68831168831169,3384,475,3473,13.970365890535229,102.41911097671606,17.156115087117907,1,17.131996515686456,1,98.41467001977519
1022100008,1611661323,2021,77,17,78,2021-05-16,1,22.07792207792208,101.2987012987013,2749,514,2571,18.600299401197606,93.30089820359281,17.402965663910972,1,17.402965663910972,0,96.9530105955993
1022100009,1611661313,2021,84,10,75,2021-05-18,1,11.904761904761905,89.28571428571429,2678,407,2819,15.304548959136469,105.78257517347726,17.84415175958938,2,16.439543492668577,1,95.30359393972203
1022100009,1611661324,2021,83,17,86,2021-05-18,0,20.481927710843372,103.6144578313253,2647,458,2608,17.1996879875195,98.3619344773791,16.03542210094435,1,16.03542210094435,0,98.7736287829562
1022100010,1611661317,2021,80,11,70,2021-05-18,0,13.75,87.5,3384,475,3473,14.043583535108958,102.99636803874093,17.097561154783428,2,17.045995072302745,2,101.26166280104903
1022100010,1611661322,2021,79,19,91,2021-05-18,1,24.050632911392405,115.18987341772151,2553,457,2676,17.704122877930477,104.48666127728374,17.635801623454466,1,17.95414401675319,1,97.33191766277358
1022100011,1611661319,2021,83,9,80,2021-05-18,0,10.843373493975903,96.3855421686747,3061,448,3023,14.741437206178643,98.82471457353928,15.922892823042984,1,15.033608998626656,1,105.09802437044422
1022100011,1611661328,2021,81,11,96,2021-05-18,1,13.580246913580247,118.51851851851852,2681,450,2657,16.884615384615383,98.5,13.866283290729754,1,11.525551613189968,1,100.5385103717486
1022100012,1611661329,2021,93,18,77,2021-05-19,0,19.35483870967742,82.79569892473118,3427,638,3380,18.59628074385123,99.07018596280744,17.928912649705516,1,18.454742099434533,1,92.00333432589538
1022100012,1611661330,2021,94,24,85,2021-05-19,1,25.53191489361702,90.42553191489361,2569,496,2698,19.07070707070707,105.57575757575758,19.920951275421764,1,21.885576457137958,1,100.9098451279734
1022100013,1611661323,2021,74,13,67,2021-05-19,1,17.56756756756757,90.54054054054055,2749,514,2571,18.72897196261682,93.60747663551402,18.416970294555632,2,19.434635591736917,1,97.89559702979324
1022100013,1611661325,2021,73,15,88,2021-05-19,0,20.54794520547945,120.54794520547945,2503,391,2724,15.473251028806585,108.47736625514403,19.239958098564014,2,18.544139998985166,1,98.52543651098814
1022100014,1611661324,2021,85,17,90,2021-05-20,1,20.0,105.88235294117646,2647,458,2608,17.21311475409836,98.28259172521467,17.04378266275205,2,15.93200188180357,1,99.87141241960819
1022100014,1611661328,2021,85,17,78,2021-05-20,0,20.0,91.76470588235294,2681,450,2657,16.67950693374422,99.34514637904468,13.802806724841782,2,13.802806724841782,0,104.52859437144274
1022100015,1611661325,2021,75,5,83,2021-05-21,1,6.666666666666667,110.66666666666667,2503,391,2724,15.897858319604612,108.77265238879737,19.455010032809124,3,21.496534745006336,1,102.14625438192928
1022100015,1611661330,2021,75,16,79,2021-05-21,0,21.333333333333332,105.33333333333333,2569,496,2698,19.246190858059343,105.01202886928628,21.33877541550336,2,21.33877541550336,0,98.26058318703387
1022100016,1611661313,2021,80,11,101,2021-05-21,0,13.75,126.25,2678,407,2819,15.242494226327944,104.6189376443418,16.75005362843695,3,18.92364835308122,1,94.19503716135219
1022100016,1611661322,2021,80,15,72,2021-05-21,1,18.75,90.0,2553,457,2676,17.87302871006874,105.29720986655883,19.047421879017406,2,20.08212918051109,2,101.26166280104903
